precinct,ballot_type,registered_voters,ballots_cast,turnout,DONALD_TRUMP,BEN_CARSON,TED_CRUZ,JOHN_KASICH,JIM_GILMORE,WRITE_IN,over_votes,under_votes
9114,Election_Day,69,7,10.14,2,,3,2,,,,
9114,VBM,69,13,18.84,7,,2,2,,1,,1
9115,Election_Day,68,12,17.65,5,1,2,3,1,,,
9115,VBM,68,18,26.47,11,,,4,,1,,2
9116,Election_Day,78,9,11.54,3,,1,3,,2,,
9116,VBM,78,18,23.08,11,,3,2,,2,,
9117,Election_Day,79,9,11.39,3,2,1,2,,,,1
9117,VBM,79,18,22.78,9,,,5,,2,,2
9118,Election_Day,77,19,24.68,14,1,,,,,,4
9118,VBM,77,12,15.58,7,1,3,1,,,,
9119,Election_Day,85,8,9.41,4,,1,1,,1,,1
9119,VBM,85,22,25.88,11,1,2,2,,,,6
9121,Election_Day,71,14,19.72,6,1,3,1,1,,,2
9121,VBM,71,10,14.08,7,,2,,,,,1
9122,Election_Day,92,5,5.43,4,,1,,,,,
9122,VBM,92,22,23.91,17,1,1,1,,2,,
9123,Election_Day,76,11,14.47,8,,,2,,,,1
9123,VBM,76,19,25.00,17,,1,,,,,1
9124,VBM,72,17,23.61,10,,,2,,2,,3
9125,Election_Day,54,5,9.26,4,,,1,,,,
9125,VBM,54,15,27.78,8,,5,1,,1,,
9126,Election_Day,80,14,17.50,4,,2,6,,1,,1
9126,VBM,80,16,20.00,6,1,1,6,,1,,1
9127,Election_Day,85,24,28.24,12,,3,7,,,,2
9127,VBM,85,7,8.24,6,,,,1,,,
9128,Election_Day,80,15,18.75,10,1,2,2,,,,
9128,VBM,80,19,23.75,10,,3,3,,,,3
9129,Election_Day,66,4,6.06,2,,,1,,,,1
9129,VBM,66,15,22.73,9,,1,4,,1,,
9131,Election_Day,48,6,12.50,1,,5,,,,,
9131,VBM,48,8,16.67,4,,1,3,,,,
9132,Election_Day,57,2,3.51,1,,1,,,,,
9132,VBM,57,9,15.79,4,1,,4,,,,
9133,Election_Day,73,13,17.81,3,1,2,5,1,,,1
9133,VBM,73,15,20.55,7,,1,4,,1,,2
9134,Election_Day,83,11,13.25,6,,2,2,,1,,
9134,VBM,83,20,24.10,8,1,1,8,,1,,1
9135,Election_Day,76,15,19.74,10,,,2,1,,,2
9135,VBM,76,23,30.26,16,3,2,1,,,,1
9136,Election_Day,59,9,15.25,2,,2,3,,1,,1
9136,VBM,59,8,13.56,8,,,,,,,
9137,Election_Day,102,20,19.61,14,,2,1,1,2,,
9137,VBM,102,21,20.59,16,,1,1,1,2,,
9138,Election_Day,76,10,13.16,7,,,1,,1,,1
9138,VBM,76,17,22.37,10,2,,1,,1,,3
9139,Election_Day,113,15,13.27,5,,5,4,,1,,
9139,VBM,113,27,23.89,16,1,2,5,,1,,2
9141,Election_Day,90,13,14.44,6,,2,4,,1,,
9141,VBM,90,21,23.33,13,2,3,2,,,,1
9142,VBM,64,14,21.88,7,,1,1,,1,,4
9143,Election_Day,86,15,17.44,4,2,1,4,,3,,1
9143,VBM,86,30,34.88,15,3,3,8,1,,,
9144,Election_Day,78,8,10.26,6,,,,,1,,1
9144,VBM,78,30,38.46,10,5,4,7,,2,,2
9145,Election_Day,67,10,14.93,9,,,,,1,,
9145,VBM,67,12,17.91,9,,1,2,,,,
9146,Election_Day,55,11,20.00,7,,1,3,,,,
9146,VBM,55,11,20.00,5,1,1,1,,1,,2
9147,Election_Day,59,6,10.17,3,,1,,,2,,
9147,VBM,59,11,18.64,6,,,2,,,,3
9148,Election_Day,60,10,16.67,5,1,1,2,,1,,
9148,VBM,60,11,18.33,6,1,1,1,,,,2
9149,Election_Day,77,10,12.99,4,,2,1,,2,,1
9149,VBM,77,15,19.48,6,3,3,1,,1,,1
9151,Election_Day,80,8,10.00,1,,1,4,,,,2
9151,VBM,80,17,21.25,10,1,1,4,,1,,
9152,Election_Day,66,2,3.03,,,1,1,,,,
9152,VBM,66,21,31.82,20,,1,,,,,
9201,Election_Day,87,7,8.05,5,,,2,,,,
9201,VBM,87,13,14.94,7,,,4,,2,,
9202,Election_Day,97,13,13.40,3,1,,8,,,,1
9202,VBM,97,9,9.28,6,,1,2,,,,
9203,Election_Day,235,24,10.21,11,,1,8,,2,,2
9203,VBM,235,59,25.11,34,1,1,15,,5,,3
9204,Election_Day,180,21,11.67,11,,2,7,,,,1
9204,VBM,180,38,21.11,25,,,9,2,2,,
9205,Election_Day,112,18,16.07,7,2,3,5,,1,,
9205,VBM,112,23,20.54,10,,2,6,2,2,,1
9206,Election_Day,227,29,12.78,17,,1,7,,,,4
9206,VBM,227,57,25.11,32,,1,18,1,2,,3
9207,VBM,195,31,15.90,21,,,7,,,,3
9208,Election_Day,192,25,13.02,10,1,1,9,,2,,2
9208,VBM,192,41,21.35,19,1,2,13,,4,,2
9209,Election_Day,147,18,12.24,6,,1,8,,2,,1
9209,VBM,147,33,22.45,17,1,1,10,,2,,2
9211,Election_Day,140,13,9.29,7,,,5,,1,,
9211,VBM,140,21,15.00,10,1,2,5,,3,,
9212,Election_Day,124,12,9.68,7,1,1,3,,,,
9212,VBM,124,19,15.32,9,1,1,4,,2,,2
9213,Election_Day,160,14,8.75,8,,,6,,,,
9213,VBM,160,28,17.50,10,,6,9,,2,,1
9214,Election_Day,108,20,18.52,8,,5,7,,,,
9214,VBM,108,25,23.15,14,,1,8,,,,2
9215,Election_Day,143,20,13.99,9,,,11,,,,
9215,VBM,143,30,20.98,10,1,2,12,,3,,2
9216,Election_Day,151,15,9.93,7,1,,6,,1,,
9216,VBM,151,23,15.23,10,,1,11,,1,,
9217,Election_Day,124,16,12.90,6,1,1,5,1,1,,1
9217,VBM,124,22,17.74,12,1,,6,,1,,2
9218,Election_Day,128,18,14.06,6,,2,6,,2,,2
9218,VBM,128,21,16.41,13,,1,6,,,,1
9219,Election_Day,108,14,12.96,6,,,7,,,,1
9219,VBM,108,17,15.74,13,1,,2,,1,,
9221,Election_Day,147,21,14.29,7,1,,13,,,,
9221,VBM,147,49,33.33,21,,1,24,,2,,1
9222,Election_Day,160,19,11.88,9,,1,7,,1,,1
9222,VBM,160,40,25.00,20,,,15,,2,,3
9223,Election_Day,114,12,10.53,6,,1,4,,,,1
9223,VBM,114,27,23.68,12,,2,10,,2,,1
9224,Election_Day,191,21,10.99,13,1,,6,,,,1
9224,VBM,191,47,24.61,25,,1,11,,8,,2
9225,VBM,130,14,10.77,6,,2,4,,2,,
9226,Election_Day,151,26,17.22,11,,2,9,1,1,,2
9226,VBM,151,41,27.15,18,,5,12,,3,,3
9227,Election_Day,127,14,11.02,6,,1,3,,,,4
9227,VBM,127,39,30.71,19,1,1,15,,,,3
9228,Election_Day,127,19,14.96,9,1,,7,,1,,1
9228,VBM,127,30,23.62,16,,,12,,1,,1
9229,Election_Day,79,17,21.52,2,1,,9,1,1,,3
9229,VBM,79,21,26.58,7,1,,9,,,,4
9231,Election_Day,94,17,18.09,5,,2,5,,2,,3
9231,VBM,94,13,13.83,4,,3,4,,1,,1
9232,Election_Day,109,14,12.84,4,,3,6,,1,,
9232,VBM,109,22,20.18,7,2,1,10,,2,,
9233,Election_Day,139,8,5.76,6,,1,1,,,,
9233,VBM,139,38,27.34,18,1,1,15,,,,3
9234,Election_Day,124,9,7.26,4,,,4,,1,,
9234,VBM,124,37,29.84,14,3,2,10,,2,,6
9235,Election_Day,182,34,18.68,12,1,3,15,,,,3
9235,VBM,182,47,25.82,17,,2,21,,3,,4
9236,Election_Day,116,17,14.66,8,,1,7,,1,,
9236,VBM,116,20,17.24,10,1,,9,,,,
9237,Election_Day,153,20,13.07,5,1,,11,,2,,1
9237,VBM,153,36,23.53,13,,2,14,,2,,5
9238,Election_Day,157,18,11.46,9,,2,6,,1,,
9238,VBM,157,42,26.75,19,,1,19,,2,,1
9239,Election_Day,152,16,10.53,5,,1,5,1,2,,2
9239,VBM,152,45,29.61,33,,1,8,,1,,2
9241,Election_Day,149,18,12.08,10,,,3,1,4,,
9241,VBM,149,28,18.79,9,1,,16,,2,,
9242,Election_Day,127,15,11.81,3,1,2,7,,2,,
9242,VBM,127,22,17.32,9,1,,6,,4,,2
9243,VBM,85,17,20.00,8,,,7,,,,2
9244,Election_Day,96,7,7.29,2,,,5,,,,
9244,VBM,96,20,20.83,10,,1,8,,,,1
9245,Election_Day,72,9,12.50,4,1,1,1,,1,,1
9245,VBM,72,14,19.44,4,,,9,,,,1
9246,Election_Day,128,19,14.84,9,,4,3,,3,,
9246,VBM,128,21,16.41,10,2,,7,,2,,
9247,Election_Day,102,12,11.76,3,,,7,,1,,1
9247,VBM,102,29,28.43,11,,1,10,1,5,,1
9248,Election_Day,88,9,10.23,4,,2,2,,1,,
9248,VBM,88,20,22.73,11,2,1,4,,1,,1
9249,Election_Day,108,14,12.96,4,1,1,6,,,,2
9249,VBM,108,18,16.67,9,,,7,,1,,1
9251,Election_Day,99,8,8.08,4,,,3,,1,,
9251,VBM,99,24,24.24,9,,3,6,,4,,2
9252,Election_Day,101,10,9.90,6,,1,3,,,,
9252,VBM,101,30,29.70,15,3,1,8,,1,,2
9253,Election_Day,90,12,13.33,7,,,2,,1,,2
9253,VBM,90,16,17.78,11,1,1,2,,,,1
9254,Election_Day,90,10,11.11,8,,1,1,,,,
9254,VBM,90,29,32.22,15,,3,9,,1,,1
9255,Election_Day,42,4,9.52,2,1,,,,1,,
9255,VBM,42,8,19.05,2,,1,2,,2,,1
9256,Election_Day,26,2,7.69,,,,2,,,,
9256,VBM,26,4,15.38,1,1,,1,,1,,
9257,Election_Day,12,0,0.00,,,,,,,,
9257,VBM,12,5,41.67,3,,1,,,,,1
9258,Election_Day,52,5,9.62,1,,,3,,,,1
9258,VBM,52,13,25.00,7,,,2,1,1,,2
9401,Election_Day,54,4,7.41,3,,,1,,,,
9401,VBM,54,9,16.67,5,,1,1,,,,2
9402,VBM,48,16,33.33,11,,2,3,,,,
9403,Election_Day,71,4,5.63,3,,,,,1,,
9403,VBM,71,20,28.17,14,,2,1,,,,3
9404,Election_Day,72,8,11.11,4,,1,2,,1,,
9404,VBM,72,19,26.39,9,,2,5,2,,,1
9405,Election_Day,73,15,20.55,6,3,2,3,1,,,
9405,VBM,73,9,12.33,6,,2,1,,,,
9406,Election_Day,67,11,16.42,4,,3,2,,1,,1
9406,VBM,67,16,23.88,10,3,1,2,,,,
9407,Election_Day,57,13,22.81,8,,1,3,,,,1
9407,VBM,57,8,14.04,6,,1,1,,,,
9408,Election_Day,44,7,15.91,4,,3,,,,,
9408,VBM,44,8,18.18,6,,,1,,1,,
9409,Election_Day,34,5,14.71,,,1,4,,,,
9409,VBM,34,6,17.65,5,,,,,1,,
9411,Election_Day,59,9,15.25,6,,1,,,2,,
9411,VBM,59,8,13.56,6,,,,,1,,1
9412,Election_Day,54,5,9.26,3,1,1,,,,,
9412,VBM,54,21,38.89,12,1,1,6,,,,1
9413,Election_Day,86,8,9.30,6,,,1,,1,,
9413,VBM,86,23,26.74,14,2,3,4,,,,
9414,Election_Day,70,9,12.86,5,,,4,,,,
9414,VBM,70,16,22.86,8,,2,3,,1,,2
9415,Election_Day,67,12,17.91,4,,4,3,,,,1
9415,VBM,67,13,19.40,8,,1,3,,,,1
9416,Election_Day,72,19,26.39,12,,1,2,,2,,2
9416,VBM,72,18,25.00,6,3,3,2,,,,4
9417,Election_Day,60,6,10.00,5,,,,,1,,
9417,VBM,60,13,21.67,7,,,3,,3,,
9418,Election_Day,74,5,6.76,3,,,1,,,,1
9418,VBM,74,26,35.14,18,,5,1,,,,2
9419,VBM,103,39,37.86,26,,4,6,,,,3
9421,Election_Day,81,12,14.81,9,,,3,,,,
9421,VBM,81,24,29.63,20,1,,1,,,,2
9422,Election_Day,137,35,25.55,19,,4,7,1,2,,2
9422,VBM,137,26,18.98,14,3,2,3,1,1,,2
9423,Election_Day,89,13,14.61,8,1,1,1,,1,,1
9423,VBM,89,16,17.98,9,,1,5,,1,,
9424,Election_Day,73,4,5.48,1,,1,,,1,,1
9424,VBM,73,12,16.44,5,,4,1,,1,,1
9425,Election_Day,78,6,7.69,3,,1,1,1,,,
9425,VBM,78,25,32.05,10,3,2,3,,,,7
9426,Election_Day,77,8,10.39,7,,,,,,,1
9426,VBM,77,15,19.48,5,2,3,2,1,1,,1
9427,Election_Day,105,16,15.24,9,2,1,1,,2,,1
9427,VBM,105,27,25.71,7,3,3,7,,3,,4
9428,Election_Day,78,13,16.67,10,1,,,,,,2
9428,VBM,78,16,20.51,4,1,1,3,1,4,,2
9429,Election_Day,89,20,22.47,10,2,3,2,,3,,
9429,VBM,89,12,13.48,5,1,1,3,,,,2
9431,Election_Day,92,9,9.78,3,1,3,1,,,,1
9431,VBM,92,17,18.48,11,1,,3,,,,2
9432,Election_Day,78,11,14.10,8,,1,1,,,,1
9432,VBM,78,18,23.08,9,1,1,2,,1,,4
9433,Election_Day,93,19,20.43,14,1,1,,1,1,,1
9433,VBM,93,26,27.96,19,,,3,,1,,3
9434,Election_Day,73,11,15.07,7,1,,3,,,,
9434,VBM,73,14,19.18,8,1,2,1,,1,,1
9435,Election_Day,76,18,23.68,11,,3,2,,1,,1
9435,VBM,76,17,22.37,8,,4,4,,,,1
9436,Election_Day,85,15,17.65,10,,2,3,,,,
9436,VBM,85,23,27.06,10,2,,4,,2,,5
9437,VBM,112,33,29.46,25,2,1,4,,,,1
9438,Election_Day,98,14,14.29,11,,2,1,,,,
9438,VBM,98,24,24.49,13,,4,2,,1,,4
9439,Election_Day,78,9,11.54,6,,1,2,,,,
9439,VBM,78,26,33.33,12,,3,5,,,,6
9441,Election_Day,65,10,15.38,6,,,1,,1,,2
9441,VBM,65,17,26.15,7,2,3,1,,1,,3
9442,Election_Day,84,11,13.10,6,,3,1,,,,1
9442,VBM,84,19,22.62,14,,1,2,,,,2
9443,Election_Day,66,8,12.12,5,1,,1,,,,1
9443,VBM,66,13,19.70,8,,,2,,1,,2
9444,Election_Day,102,14,13.73,5,1,2,3,,1,,2
9444,VBM,102,20,19.61,11,,,6,1,,,2
9445,Election_Day,80,21,26.25,13,,3,4,,1,,
9445,VBM,80,21,26.25,13,1,1,2,,1,,3
9446,Election_Day,90,12,13.33,9,,,2,,,,1
9446,VBM,90,26,28.89,17,,3,2,,,,4
9447,Election_Day,76,10,13.16,6,1,1,2,,,,
9447,VBM,76,16,21.05,9,,1,3,,2,,1
9448,Election_Day,69,8,11.59,6,1,1,,,,,
9448,VBM,69,10,14.49,3,,3,1,1,,,2
9449,Election_Day,73,6,8.22,5,,,,,1,,
9449,VBM,73,17,23.29,9,,2,1,,1,,4
9451,Election_Day,48,4,8.33,3,,1,,,,,
9451,VBM,48,17,35.42,16,,1,,,,,
9452,Election_Day,89,17,19.10,13,1,,2,,1,,
9452,VBM,89,13,14.61,6,2,1,1,1,1,,1
9453,Election_Day,58,10,17.24,5,1,1,3,,,,
9453,VBM,58,10,17.24,5,,,2,,1,,2
9501,Election_Day,19,0,0.00,,,,,,,,
9501,VBM,19,6,31.58,3,,2,1,,,,
9502,VBM,19,8,42.11,5,1,,2,,,,
9503/9504,Election_Day,38,3,7.89,1,,1,1,,,,
9503/9504,VBM,38,7,18.42,2,,,3,,1,,1
9505,Election_Day,40,7,17.50,3,1,,2,,,,1
9505,VBM,40,6,15.00,3,,1,,,1,,1
9506,Election_Day,37,4,10.81,1,,1,1,,,,1
9506,VBM,37,3,8.11,1,,,2,,,,
9507,Election_Day,21,2,9.52,,,,2,,,,
9507,VBM,21,4,19.05,2,,,,,1,,1
9508,Election_Day,23,2,8.70,,,,,,2,,
9508,VBM,23,4,17.39,2,,,,,2,,
9509,Election_Day,28,2,7.14,2,,,,,,,
9509,VBM,28,7,25.00,3,,2,2,,,,
9511,Election_Day,30,5,16.67,2,,1,1,,,,1
9511,VBM,30,2,6.67,1,1,,,,,,
9512,Election_Day,39,6,15.38,2,,2,1,,1,,
9512,VBM,39,3,7.69,2,,,1,,,,
9513,Election_Day,21,2,9.52,,,,,,1,,1
9513,VBM,21,3,14.29,,,,2,,1,,
9514/9522,Election_Day,41,7,17.07,3,,,4,,,,
9514/9522,VBM,41,6,14.63,4,,,1,,,,1
9515,Election_Day,38,8,21.05,4,1,2,1,,,,
9515,VBM,38,8,21.05,3,,4,1,,,,
9516,Election_Day,61,8,13.11,2,2,,2,,1,1,
9516,VBM,61,9,14.75,8,,,1,,,,
9517,Election_Day,31,7,22.58,3,,,1,,3,,
9517,VBM,31,6,19.35,4,,1,,,1,,
9518,Election_Day,34,4,11.76,1,,2,,,1,,
9518,VBM,34,11,32.35,3,,2,2,,4,,
9519,Election_Day,59,8,13.56,5,,1,2,,,,
9519,VBM,59,13,22.03,8,,,4,,,,1
9521,VBM,48,11,22.92,7,,,3,,1,,
9701,Election_Day,39,5,12.82,3,,,,,1,,1
9701,VBM,39,13,33.33,9,,2,1,,,,1
9702,Election_Day,45,2,4.44,2,,,,,,,
9702,VBM,45,13,28.89,10,1,,2,,,,
9703,Election_Day,99,21,21.21,13,1,2,4,,,,1
9703,VBM,99,30,30.30,20,1,2,6,,,,1
9704,Election_Day,87,19,21.84,7,1,3,3,,2,,3
9704,VBM,87,22,25.29,14,1,,7,,,,
9705,Election_Day,60,13,21.67,9,,,4,,,,
9705,VBM,60,12,20.00,6,,1,1,1,1,,2
9706,Election_Day,4,0,0.00,,,,,,,,
9706,VBM,4,0,0.00,,,,,,,,
9707,Election_Day,125,17,13.60,7,2,4,3,,1,,
9707,VBM,125,27,21.60,16,,4,5,1,,,1
9708,Election_Day,57,8,14.04,4,,1,2,,1,,
9708,VBM,57,12,21.05,7,,1,1,,1,1,1
9709,Election_Day,129,22,17.05,16,1,1,2,,1,,1
9709,VBM,129,27,20.93,15,2,2,4,1,2,,1
9711,Election_Day,77,22,28.57,11,2,4,2,1,1,,1
9711,VBM,77,14,18.18,3,,1,3,,3,,4
9712,Election_Day,81,14,17.28,4,,1,5,,1,,3
9712,VBM,81,23,28.40,12,,1,9,,1,,
9713,Election_Day,113,17,15.04,10,,,5,,1,,1
9713,VBM,113,30,26.55,16,1,2,2,,3,,6
9714,Election_Day,136,18,13.24,12,1,2,3,,,,
9714,VBM,136,50,36.76,28,,4,13,1,,,4
9715,Election_Day,99,17,17.17,12,,,5,,,,
9715,VBM,99,25,25.25,16,,2,4,,2,,1
9716,Election_Day,90,19,21.11,11,,,5,,2,,1
9716,VBM,90,17,18.89,11,1,2,2,,1,,
9717,VBM,105,22,20.95,12,,3,5,,,,2
9718,Election_Day,108,23,21.30,12,,3,8,,,,
9718,VBM,108,34,31.48,15,2,3,8,1,1,,4
9719,Election_Day,116,16,13.79,5,,2,6,,2,,1
9719,VBM,116,32,27.59,19,2,,6,,1,,4
9721,Election_Day,94,19,20.21,9,1,3,5,,,,1
9721,VBM,94,31,32.98,22,,1,5,,1,,2
9722,Election_Day,111,17,15.32,11,1,1,4,,,,
9722,VBM,111,33,29.73,21,1,2,6,,2,,1
9723,Election_Day,100,9,9.00,7,,,1,,1,,
9723,VBM,100,35,35.00,24,2,,6,,2,,1
9724,Election_Day,174,19,10.92,10,,5,3,,,,1
9724,VBM,174,44,25.29,25,,5,10,,1,,3
9725,Election_Day,146,25,17.12,18,,1,2,,2,1,1
9725,VBM,146,39,26.71,27,,,6,,,,6
9726,Election_Day,61,15,24.59,11,,2,,1,,,1
9726,VBM,61,16,26.23,11,,2,2,,1,,
9727,Election_Day,91,17,18.68,9,,1,1,,1,,5
9727,VBM,91,39,42.86,27,1,,8,,,,3
9728,Election_Day,163,29,17.79,17,1,1,7,,1,,2
9728,VBM,163,51,31.29,23,1,6,16,,3,,2
9729,Election_Day,190,31,16.32,14,2,,12,1,2,,
9729,VBM,190,54,28.42,24,,,19,1,1,,9
9731,Election_Day,99,24,24.24,13,,,8,,2,,1
9731,VBM,99,18,18.18,10,,,5,,,,3
9732,Election_Day,10,0,0.00,,,,,,,,
9732,VBM,10,6,60.00,6,,,,,,,
9733,Election_Day,22,0,0.00,,,,,,,,
9733,VBM,22,11,50.00,3,,2,2,,1,,3
9734,Election_Day,93,18,19.35,8,,,5,,,,5
9734,VBM,93,20,21.51,12,,1,3,,2,,2
9735,VBM,131,34,25.95,18,4,2,9,,1,,
9736,Election_Day,84,15,17.86,9,1,1,3,,1,,
9736,VBM,84,18,21.43,14,1,,,,2,,1
9737,Election_Day,72,12,16.67,8,1,1,2,,,,
9737,VBM,72,21,29.17,10,3,,2,1,2,,3
9738,Election_Day,97,14,14.43,10,,,4,,,,
9738,VBM,97,21,21.65,18,,,1,,1,,1
9739,Election_Day,58,9,15.52,5,,,4,,,,
9739,VBM,58,11,18.97,9,,1,,1,,,
9741,Election_Day,24,0,0.00,,,,,,,,
9741,VBM,24,1,4.17,1,,,,,,,
9742,Election_Day,98,18,18.37,10,,2,4,,,,2
9742,VBM,98,20,20.41,13,,,7,,,,
9743,Election_Day,60,11,18.33,9,,1,1,,,,
9743,VBM,60,20,33.33,14,,3,1,,2,,
9744,Election_Day,84,10,11.90,5,,2,3,,,,
9744,VBM,84,22,26.19,20,,1,,,,,1
9745,Election_Day,78,14,17.95,8,1,2,,1,1,,1
9745,VBM,78,20,25.64,15,,1,1,,2,,1
9746,Election_Day,156,36,23.08,19,1,4,9,1,,,2
9746,VBM,156,35,22.44,16,6,3,8,1,,,1
9747,Election_Day,96,14,14.58,7,1,1,4,,,,1
9747,VBM,96,23,23.96,11,,5,6,,,,1
9748,Election_Day,105,13,12.38,8,1,2,2,,,,
9748,VBM,105,31,29.52,21,2,2,3,,1,,2
9749,Election_Day,50,9,18.00,6,,1,2,,,,
9749,VBM,50,7,14.00,4,,2,,,,,1
9751,Election_Day,125,18,14.40,6,1,2,9,,,,
9751,VBM,125,30,24.00,18,2,2,3,,,,5
9752,Election_Day,76,10,13.16,5,,,2,,,1,2
9752,VBM,76,19,25.00,16,,3,,,,,
9753,VBM,52,15,28.85,5,,3,,2,2,,3
9754,Election_Day,47,9,19.15,4,,1,4,,,,
9754,VBM,47,12,25.53,8,,3,1,,,,
9755,Election_Day,38,6,15.79,3,,,3,,,,
9755,VBM,38,8,21.05,4,,1,1,,2,,
9756,Election_Day,57,9,15.79,7,,,,,1,,1
9756,VBM,57,17,29.82,8,,4,4,,,,1
9801,Election_Day,38,5,13.16,4,,1,,,,,
9801,VBM,38,11,28.95,6,,2,1,,2,,
9900,Election_Day,0,0,0.00,,,,,,,,
9900,VBM,0,0,0.00,,,,,,,,
9901,Election_Day,0,0,0.00,,,,,,,,
9901,VBM,0,0,0.00,,,,,,,,
9902,Election_Day,0,0,0.00,,,,,,,,
9902,VBM,0,0,0.00,,,,,,,,
