precinct,ballot_type,registered_voters,ballots_cast,turnout,DONALD_TRUMP,BEN_CARSON,TED_CRUZ,JOHN_KASICH,JIM_GILMORE,WRITE_IN,over_votes,under_votes
7639,Election_Day,101,9,8.91,5,,,3,,1,,
7639,VBM,101,21,20.79,9,,,7,,5,,
7641,Election_Day,98,9,9.18,1,,4,1,1,,,2
7641,VBM,98,28,28.57,14,,3,9,,,,2
7642,Election_Day,88,4,4.55,1,,,1,,,,2
7642,VBM,88,28,31.82,17,,1,3,1,3,,3
7643,VBM,67,19,28.36,9,,1,6,1,2,,
7644,Election_Day,56,6,10.71,4,,,,,1,,1
7644,VBM,56,6,10.71,3,,,2,1,,,
7645,Election_Day,70,3,4.29,2,,,,,1,,
7645,VBM,70,30,42.86,17,,1,10,,1,,1
7646,Election_Day,126,5,3.97,,,1,,,2,,2
7646,VBM,126,28,22.22,10,,2,10,,3,,3
7647,Election_Day,42,1,2.38,1,,,,,,,
7647,VBM,42,8,19.05,5,,,,,,,3
7648,Election_Day,0,0,0.00,,,,,,,,
7648,VBM,0,0,0.00,,,,,,,,
7701,Election_Day,75,21,28.00,13,,1,5,,1,,1
7701,VBM,75,23,30.67,10,,5,7,1,,,
7702,Election_Day,95,9,9.47,5,,2,1,,1,,
7702,VBM,95,42,44.21,26,1,3,9,,,,3
7703,Election_Day,7,0,0.00,,,,,,,,
7703,VBM,7,4,57.14,2,,1,,,,,1
7704,Election_Day,119,15,12.61,9,1,,3,,,,2
7704,VBM,119,46,38.66,33,,4,8,,,,1
7705,Election_Day,82,12,14.63,4,,,4,1,,,3
7705,VBM,82,24,29.27,15,1,1,6,,1,,
7706,Election_Day,89,18,20.22,9,1,4,4,,,,
7706,VBM,89,28,31.46,11,2,1,5,1,2,,6
7707,Election_Day,96,15,15.63,10,,1,3,,1,,
7707,VBM,96,25,26.04,13,,2,4,3,3,,
7708,Election_Day,92,8,8.70,2,1,,4,,,,1
7708,VBM,92,25,27.17,14,1,5,3,,,,2
7709,Election_Day,31,6,19.35,5,,,,,1,,
7709,VBM,31,9,29.03,3,,2,1,1,1,,1
7711,Election_Day,52,6,11.54,3,,1,1,,1,,
7711,VBM,52,16,30.77,8,,,6,,,,2
7712,VBM,33,3,9.09,3,,,,,,,
7801,Election_Day,58,12,20.69,3,1,,5,,1,,2
7801,VBM,58,15,25.86,8,1,1,3,,1,,1
7802,Election_Day,48,8,16.67,3,1,1,1,,2,,
7802,VBM,48,12,25.00,5,,1,5,,,,1
7803,Election_Day,32,4,12.50,1,1,1,,,1,,
7803,VBM,32,10,31.25,6,,1,3,,,,
7804,Election_Day,38,4,10.53,1,,,2,,1,,
7804,VBM,38,10,26.32,4,,,4,,1,,1
7805,Election_Day,19,1,5.26,,,,1,,,,
7805,VBM,19,5,26.32,3,1,,1,,,,
7806,Election_Day,20,2,10.00,,,,2,,,,
7806,VBM,20,6,30.00,4,,,2,,,,
7807,Election_Day,26,4,15.38,2,,,2,,,,
7807,VBM,26,1,3.85,1,,,,,,,
7808,Election_Day,18,5,27.78,2,,,1,,,,2
7808,VBM,18,5,27.78,1,1,,,2,1,,
7809,Election_Day,26,2,7.69,,,1,1,,,,
7809,VBM,26,12,46.15,8,,,2,,1,,1
7811,Election_Day,16,3,18.75,,,1,2,,,,
7811,VBM,16,5,31.25,3,,,2,,,,
7812,Election_Day,30,7,23.33,3,1,,1,,1,,1
7812,VBM,30,7,23.33,3,,,3,,1,,
7813,Election_Day,33,6,18.18,5,,,,,1,,
7813,VBM,33,10,30.30,5,,1,1,,2,,1
7814,Election_Day,22,3,13.64,,,1,1,1,,,
7814,VBM,22,4,18.18,2,,1,,,,,1
7815,Election_Day,22,7,31.82,1,,2,3,1,,,
7815,VBM,22,3,13.64,2,,,1,,,,
7816,Election_Day,33,6,18.18,4,,,,1,1,,
7816,VBM,33,7,21.21,4,,2,1,,,,
7817,VBM,17,7,41.18,5,,,1,,1,,
7818,Election_Day,27,4,14.81,2,,,1,1,,,
7818,VBM,27,2,7.41,1,,1,,,,,
7819,Election_Day,28,5,17.86,2,,,3,,,,
7819,VBM,28,11,39.29,8,,,2,,,,1
7821,Election_Day,34,3,8.82,,,,2,,1,,
7821,VBM,34,16,47.06,8,,,2,,2,,4
7822,Election_Day,21,5,23.81,3,2,,,,,,
7822,VBM,21,3,14.29,3,,,,,,,
7823,Election_Day,24,1,4.17,,,1,,,,,
7823,VBM,24,11,45.83,5,1,,3,1,,,1
7824,Election_Day,34,6,17.65,2,,1,1,,,,2
7824,VBM,34,7,20.59,4,,,3,,,,
7825,Election_Day,20,5,25.00,2,,,2,,1,,
7825,VBM,20,3,15.00,2,,,,,,,1
7826,Election_Day,25,2,8.00,1,,1,,,,,
7826,VBM,25,6,24.00,1,,1,1,,1,,2
7827,Election_Day,21,0,0.00,,,,,,,,
7827,VBM,21,2,9.52,2,,,,,,,
7828,Election_Day,70,18,25.71,6,1,2,3,1,4,,1
7828,VBM,70,21,30.00,13,,,4,,2,,2
7829,Election_Day,39,7,17.95,3,,1,1,,1,,1
7829,VBM,39,11,28.21,9,1,1,,,,,
7831,Election_Day,21,4,19.05,2,,1,1,,,,
7831,VBM,21,6,28.57,2,,,3,,,,1
7832,Election_Day,35,7,20.00,,,,6,,1,,
7832,VBM,35,10,28.57,5,1,1,2,,1,,
7833,Election_Day,16,2,12.50,,,,1,,,,1
7833,VBM,16,4,25.00,2,,,2,,,,
7834,Election_Day,27,5,18.52,3,,,,,1,,1
7834,VBM,27,2,7.41,1,,,,,,,1
7835,VBM,54,17,31.48,7,1,1,4,,,,4
7836,Election_Day,62,10,16.13,4,,,4,,1,,1
7836,VBM,62,20,32.26,13,,1,4,,,,2
7837,Election_Day,39,8,20.51,6,,,2,,,,
7837,VBM,39,9,23.08,5,,1,3,,,,
7838,Election_Day,35,3,8.57,1,,1,,,1,,
7838,VBM,35,7,20.00,3,,,2,,1,,1
7839,Election_Day,53,11,20.75,4,,4,3,,,,
7839,VBM,53,17,32.08,7,1,,6,1,,,2
7841,Election_Day,28,6,21.43,3,,,1,,1,,1
7841,VBM,28,8,28.57,2,1,,4,,1,,
7842,Election_Day,41,5,12.20,2,,,,,1,,2
7842,VBM,41,7,17.07,4,,,1,,1,,1
7843,Election_Day,34,3,8.82,2,,1,,,,,
7843,VBM,34,6,17.65,5,,,1,,,,
7844,Election_Day,29,5,17.24,4,1,,,,,,
7844,VBM,29,4,13.79,3,,,,1,,,
7845,Election_Day,37,2,5.41,1,,,1,,,,
7845,VBM,37,8,21.62,3,,1,1,1,1,,1
7846,Election_Day,62,10,16.13,2,,2,3,,,,3
7846,VBM,62,19,30.65,14,,,4,1,,,
7847,Election_Day,38,7,18.42,1,,1,3,,1,,1
7847,VBM,38,8,21.05,6,,1,,,,,1
7848,Election_Day,47,8,17.02,3,,2,2,,1,,
7848,VBM,47,10,21.28,1,1,1,7,,,,
7849,Election_Day,30,9,30.00,4,,1,3,,,,1
7849,VBM,30,4,13.33,1,,2,,,,,1
7851,Election_Day,64,15,23.44,12,,1,2,,,,
7851,VBM,64,20,31.25,6,1,,11,,,,2
7852,Election_Day,44,11,25.00,8,,1,2,,,,
7852,VBM,44,13,29.55,12,,,,,,,1
7853,VBM,50,10,20.00,4,,,4,1,1,,
7854,Election_Day,51,7,13.73,2,,,4,,,,1
7854,VBM,51,15,29.41,6,,1,6,,2,,
7855,Election_Day,34,3,8.82,1,,1,1,,,,
7855,VBM,34,14,41.18,11,,1,,,2,,
7856,Election_Day,29,3,10.34,,,,3,,,,
7856,VBM,29,5,17.24,1,1,1,2,,,,
7857,Election_Day,39,3,7.69,1,,,1,,1,,
7857,VBM,39,14,35.90,6,,1,3,,3,,1
7858,Election_Day,26,6,23.08,3,1,,2,,,,
7858,VBM,26,7,26.92,3,,,2,1,1,,
7859,Election_Day,49,12,24.49,6,,,5,,1,,
7859,VBM,49,8,16.33,7,,,1,,,,
