precinct,ballot_type,registered_voters,ballots_cast,turnout,KEITH_JUDD,MICHAEL_STEINBERG,BERNIE_SANDERS,WILLIE_WILSON,ROQUE_DE_LA_FUENTE,HILLARY_CLINTON,HENRY_HEWES,WRITE_IN,over_votes,under_votes
7206,Election_Day,203,70,34.48,,,25,,,45,,,,
7206,VBM,203,51,25.12,,,19,,,32,,,,
7207,Election_Day,331,81,24.47,,,34,,,47,,,,
7207,VBM,331,101,30.51,,,42,,,58,,1,,
7208,Election_Day,334,92,27.54,,,40,,,51,1,,,
7208,VBM,334,107,32.04,,,39,,1,66,,,,1
7209,Election_Day,279,49,17.56,,,24,,,24,1,,,
7209,VBM,279,154,55.20,,1,32,,,119,1,,,1
7301,Election_Day,496,102,20.56,,,53,2,,47,,,,
7301,VBM,496,145,29.23,,,56,,,88,,,,1
7302,Election_Day,394,108,27.41,,1,40,,,65,,,,2
7302,VBM,394,188,47.72,,,65,,,120,,,,3
7303,Election_Day,479,153,31.94,,,73,,,79,,,,1
7303,VBM,479,124,25.89,,,42,,,78,,1,,3
7304,Election_Day,518,160,30.89,,,77,,,82,,1,,
7304,VBM,518,157,30.31,,,54,,,97,,3,,3
7305,VBM,446,144,32.29,,,56,,,86,,,,2
7306,Election_Day,488,139,28.48,,,78,,,59,1,,,1
7306,VBM,488,138,28.28,,,66,,,71,,,1,
7307,Election_Day,399,130,32.58,,1,74,,,54,,1,,
7307,VBM,399,99,24.81,,1,39,,,57,,,,2
7308,Election_Day,352,123,34.94,1,,53,,,69,,,,
7308,VBM,352,117,33.24,,,37,,,78,,,,2
7309,Election_Day,446,150,33.63,,,72,,,78,,,,
7309,VBM,446,86,19.28,,,31,,,54,,1,,
7311,Election_Day,470,183,38.94,,,80,,,102,1,,,
7311,VBM,470,133,28.30,,,41,,,89,,1,,2
7312,Election_Day,444,126,28.38,,,43,,,82,,,,1
7312,VBM,444,174,39.19,,,53,,1,118,,,,2
7313,Election_Day,484,111,22.93,,,58,,,52,,1,,
7313,VBM,484,139,28.72,,,49,,,87,,,,3
7314,Election_Day,293,73,24.91,,,38,,,35,,,,
7314,VBM,293,108,36.86,,,27,,,79,,1,,1
7315,Election_Day,373,144,38.61,,,81,,,61,,,,2
7315,VBM,373,97,26.01,,,38,,,57,,,,2
7316,Election_Day,415,109,26.27,,,63,,,44,,1,1,
7316,VBM,415,132,31.81,,,64,1,,59,1,,,7
7317,Election_Day,444,109,24.55,,,60,,,49,,,,
7317,VBM,444,162,36.49,,,51,3,,103,,,1,4
7318,Election_Day,347,126,36.31,,,59,,,67,,,,
7318,VBM,347,116,33.43,,,36,,,76,,1,1,2
7319,Election_Day,516,141,27.33,,,62,,,76,2,,,1
7319,VBM,516,118,22.87,,,46,,,68,1,,,3
7321,Election_Day,282,62,21.99,,,32,,,29,,,,1
7321,VBM,282,92,32.62,,,25,,,66,,,,1
7322,Election_Day,358,43,12.01,,,23,1,,19,,,,
7322,VBM,358,133,37.15,,,28,2,,98,1,1,1,2
7323,VBM,406,119,29.31,,,41,,1,76,1,,,
7324,Election_Day,322,92,28.57,,,50,,,42,,,,
7324,VBM,322,89,27.64,,,35,,,54,,,,
7325,Election_Day,462,106,22.94,,,48,,,58,,,,
7325,VBM,462,123,26.62,,1,45,1,,76,,,,
7326,Election_Day,400,129,32.25,1,,69,,,59,,,,
7326,VBM,400,93,23.25,,,37,,1,54,,,,1
7327,Election_Day,259,46,17.76,,1,25,1,,18,,1,,
7327,VBM,259,116,44.79,,,27,1,,80,,,,8
7328,Election_Day,351,47,13.39,,,28,,,19,,,,
7328,VBM,351,161,45.87,,,22,5,,124,1,,1,8
7329,Election_Day,235,46,19.57,,,21,,,25,,,,
7329,VBM,235,100,42.55,,,26,1,,72,1,,,
7331,Election_Day,419,129,30.79,,,45,,,84,,,,
7331,VBM,419,159,37.95,,,37,1,1,119,,,,1
7332,Election_Day,415,147,35.42,,,68,,,75,,,,4
7332,VBM,415,118,28.43,,,39,,,77,,,1,1
7333,Election_Day,500,173,34.60,,,79,,,93,,,,1
7333,VBM,500,101,20.20,,,31,,,68,,,,2
7334,Election_Day,467,142,30.41,,,84,,1,57,,,,
7334,VBM,467,119,25.48,,,49,,,68,,,,2
7335,Election_Day,452,125,27.65,,,70,,,55,,,,
7335,VBM,452,158,34.96,,,56,,,99,1,,,2
7336,Election_Day,444,146,32.88,,,73,,,72,,1,,
7336,VBM,444,148,33.33,,,45,,,97,,1,,5
7337,Election_Day,416,104,25.00,,,39,1,,63,,1,,
7337,VBM,416,159,38.22,,,44,,,112,,,,3
7338,Election_Day,373,82,21.98,,,39,,,41,,,1,1
7338,VBM,373,168,45.04,,,43,1,,114,,2,1,7
7339,Election_Day,316,101,31.96,,,61,,,37,1,2,,
7339,VBM,316,92,29.11,,,37,1,,52,,,,2
7341,VBM,472,95,20.13,,,42,,1,50,1,,,1
7342,Election_Day,504,229,45.44,,,123,,,104,,,1,1
7342,VBM,504,104,20.63,,,44,,,57,,,,3
7343,Election_Day,396,134,33.84,,,77,,,57,,,,
7343,VBM,396,93,23.48,,,47,,,46,,,,
7344,Election_Day,572,156,27.27,,,83,,,72,,,,1
7344,VBM,572,160,27.97,,1,73,,,85,,,,1
7345,Election_Day,610,178,29.18,,,101,,,77,,,,
7345,VBM,610,170,27.87,,,81,,,85,,2,,2
7346,Election_Day,527,167,31.69,,,98,,,69,,,,
7346,VBM,527,113,21.44,,,65,,,46,,1,,1
7347,Election_Day,568,149,26.23,,,84,,,65,,,,
7347,VBM,568,158,27.82,,,87,,,70,,,,1
7348,Election_Day,459,107,23.31,,,54,,,51,,1,,1
7348,VBM,459,111,24.18,,1,58,,,52,,,,
7349,Election_Day,496,144,29.03,,,75,,,68,,,,1
7349,VBM,496,159,32.06,,,61,,,98,,,,
7501,Election_Day,305,111,36.39,,,46,,,65,,,,
7501,VBM,305,62,20.33,,,14,,,47,,1,,
7502,Election_Day,423,123,29.08,,,57,,,66,,,,
7502,VBM,423,109,25.77,,,23,1,,83,,,,2
7503,Election_Day,424,122,28.77,,,51,,,69,,,,2
7503,VBM,424,105,24.76,,,37,,,68,,,,
7504,Election_Day,271,70,25.83,,,29,,,40,1,,,
7504,VBM,271,82,30.26,,,16,,,61,1,,,4
7505,Election_Day,510,114,22.35,,,44,,,70,,,,
7505,VBM,510,219,42.94,,,44,1,1,170,1,,,2
7506,Election_Day,588,144,24.49,,1,68,,,73,,,,2
7506,VBM,588,131,22.28,1,2,59,,,67,,,,2
7507,Election_Day,585,111,18.97,1,,56,1,,51,1,,,1
7507,VBM,585,107,18.29,,,53,,,53,,,,1
7508,VBM,399,160,40.10,,,53,,,105,,1,,1
7509,Election_Day,560,158,28.21,,,78,,,78,,,,2
7509,VBM,560,163,29.11,,,54,,,106,,2,,1
7512,Election_Day,344,86,25.00,,2,29,3,,51,,,,1
7512,VBM,344,116,33.72,1,1,37,2,,71,,,1,3
7513,Election_Day,466,134,28.76,,1,68,,,64,,,1,
7513,VBM,466,88,18.88,2,1,32,1,,50,,2,,
7514,Election_Day,533,70,13.13,,,23,,,45,,,1,1
7514,VBM,533,107,20.08,,,23,,,83,,,,1
7515,Election_Day,553,125,22.60,,,46,1,1,75,,1,,1
7515,VBM,553,128,23.15,,,46,,,79,,,,3
7516,Election_Day,504,132,26.19,,,58,,,74,,,,
7516,VBM,504,190,37.70,,,57,,1,128,,1,,3
7517,Election_Day,571,229,40.11,1,,122,,,105,,,,1
7517,VBM,571,153,26.80,,,69,,,83,,,1,
7518,Election_Day,599,234,39.07,,,132,,,102,,,,
7518,VBM,599,137,22.87,1,,62,,,74,,,,
7519,Election_Day,481,165,34.30,,,98,,,67,,,,
7519,VBM,481,88,18.30,,,42,,,46,,,,
7521,Election_Day,514,223,43.39,,,122,,,100,,1,,
7521,VBM,514,108,21.01,,,41,,,67,,,,
7522,Election_Day,527,195,37.00,,,110,,,85,,,,
7522,VBM,527,122,23.15,,,60,,,58,,,,4
7523,Election_Day,456,224,49.12,,,141,,,83,,,,
7523,VBM,456,104,22.81,,,52,,,51,,,,1
7524,Election_Day,423,131,30.97,,,59,,,72,,,,
7524,VBM,423,74,17.49,1,,34,,,38,,,,1
7525,Election_Day,535,142,26.54,,,77,,,65,,,,
7525,VBM,535,99,18.50,,,41,,,56,,,,2
