precinct,ballot_type,registered_voters,ballots_cast,turnout,KEITH_JUDD,MICHAEL_STEINBERG,BERNIE_SANDERS,WILLIE_WILSON,ROQUE_DE_LA_FUENTE,HILLARY_CLINTON,HENRY_HEWES,WRITE_IN,over_votes,under_votes
9718,Election_Day,454,156,34.36,,,63,1,,90,,,,2
9718,VBM,454,161,35.46,1,,56,1,2,98,,1,,2
9719,Election_Day,491,155,31.57,,,70,,,84,,,,1
9719,VBM,491,135,27.49,1,1,43,1,1,85,1,1,,1
9721,Election_Day,357,139,38.94,,,38,,,98,,1,,2
9721,VBM,357,84,23.53,,,18,,,63,,,,3
9722,Election_Day,322,73,22.67,,,35,,,38,,,,
9722,VBM,322,124,38.51,,,42,,,78,,1,,3
9723,Election_Day,187,40,21.39,,,20,,,19,,1,,
9723,VBM,187,85,45.45,,,24,,,58,,1,1,1
9724,Election_Day,400,107,26.75,1,,50,,,56,,,,
9724,VBM,400,122,30.50,1,,35,,,79,,3,,4
9725,Election_Day,440,109,24.77,,1,49,1,,57,,,,1
9725,VBM,440,121,27.50,,1,44,,,69,,1,,6
9726,Election_Day,384,101,26.30,,,66,,,35,,,,
9726,VBM,384,88,22.92,,,49,,,36,,1,1,1
9727,Election_Day,195,33,16.92,,,14,,,19,,,,
9727,VBM,195,62,31.79,,,19,,,41,,1,,1
9728,Election_Day,481,124,25.78,,1,48,1,,72,,1,,1
9728,VBM,481,131,27.23,,,44,,1,83,,1,,2
9729,Election_Day,353,108,30.59,,,35,,,73,,,,
9729,VBM,353,131,37.11,,,37,,,92,,,,2
9731,Election_Day,269,102,37.92,,,27,,,75,,,,
9731,VBM,269,76,28.25,,,29,,,47,,,,
9732,Election_Day,41,0,0.00,,,,,,,,,,
9732,VBM,41,22,53.66,,,4,,,17,,,,1
9733,Election_Day,140,0,0.00,,,,,,,,,,
9733,VBM,140,68,48.57,,,14,,,52,,1,,1
9734,Election_Day,321,104,32.40,,1,21,,,80,1,,,1
9734,VBM,321,101,31.46,,,21,1,,77,,1,,1
9735,VBM,416,160,38.46,,,43,1,,115,,,,1
9736,Election_Day,406,115,28.33,,,44,,,71,,,,
9736,VBM,406,143,35.22,,,37,,,102,,1,,3
9737,Election_Day,502,138,27.49,,,58,,,79,,1,,
9737,VBM,502,186,37.05,,,67,,,116,,2,,1
9738,Election_Day,419,114,27.21,,,73,,,39,,,,2
9738,VBM,419,125,29.83,,,51,,1,70,,1,,2
9739,Election_Day,464,121,26.08,,,77,,,42,,,,2
9739,VBM,464,100,21.55,,,51,,,45,,1,,3
9741,Election_Day,384,37,9.64,,1,35,,,1,,,,
9741,VBM,384,27,7.03,,,23,,,4,,,,
9742,Election_Day,277,79,28.52,,,28,,,50,,1,,
9742,VBM,277,84,30.32,,,31,,,51,,,,2
9743,Election_Day,613,141,23.00,,,97,,,44,,,,
9743,VBM,613,163,26.59,1,2,63,,,94,,2,,1
9744,Election_Day,502,140,27.89,,,86,,,54,,,,
9744,VBM,502,118,23.51,,,56,,,60,,1,,1
9745,Election_Day,543,115,21.18,,1,85,,,28,1,,,
9745,VBM,543,103,18.97,1,1,60,1,,40,,,,
9746,Election_Day,455,141,30.99,,,68,,1,71,,,,1
9746,VBM,455,153,33.63,,,66,,1,83,,1,,2
9747,Election_Day,526,173,32.89,,,91,,,82,,,,
9747,VBM,526,145,27.57,,,60,1,,84,,,,
9748,Election_Day,504,142,28.17,,,61,,,79,1,,,1
9748,VBM,504,147,29.17,,,50,,,92,,2,,3
9749,Election_Day,453,120,26.49,,,70,1,,47,1,,,1
9749,VBM,453,117,25.83,,1,54,,1,60,,1,,
9751,Election_Day,531,144,27.12,,1,72,,,69,,,,2
9751,VBM,531,177,33.33,,,66,1,,110,,,,
9752,Election_Day,416,128,30.77,,1,60,,,65,1,1,,
9752,VBM,416,140,33.65,,,51,,,87,,,,2
9753,VBM,406,125,30.79,,,55,,,65,1,1,,3
9754,Election_Day,437,125,28.60,,,64,,,61,,,,
9754,VBM,437,139,31.81,,,47,,,92,,,,
9755,Election_Day,367,106,28.88,,,54,,2,49,,,,1
9755,VBM,367,92,25.07,,,35,1,,55,,,,1
