precinct,ballot_type,registered_voters,ballots_cast,turnout,Yes,No,over_votes,under_votes
7017,Election_Day,721,81,11.23,53,11,1,16
7017,VBM,721,150,20.8,111,21,,18
7018,Election_Day,904,106,11.73,71,16,,19
7018,VBM,904,305,33.74,220,36,,49
7019,Election_Day,883,136,15.4,93,20,,23
7019,VBM,883,319,36.13,248,39,,32
7021,Election_Day,910,141,15.49,99,14,,28
7021,VBM,910,235,25.82,175,30,,30
7022,Election_Day,969,157,16.2,110,25,,22
7022,VBM,969,245,25.28,190,24,,31
7023,Election_Day,878,134,15.26,92,20,,22
7023,VBM,878,253,28.82,182,27,,44
7024,Election_Day,290,21,7.24,15,2,,4
7024,VBM,290,23,7.93,16,5,,2
7025,Election_Day,460,61,13.26,38,11,,12
7025,VBM,460,82,17.83,49,14,,19
7026,Election_Day,927,108,11.65,71,20,,17
7026,VBM,927,334,36.03,237,53,,44
7027,Election_Day,823,143,17.38,98,21,,24
7027,VBM,823,242,29.4,167,42,,33
7028,Election_Day,838,146,17.42,105,16,,25
7028,VBM,838,178,21.24,131,24,,23
7029,Election_Day,853,102,11.96,58,23,,21
7029,VBM,853,149,17.47,95,28,,26
7030,Election_Day,727,80,11,57,10,,13
7030,VBM,727,234,32.19,170,33,,31
7031,Election_Day,412,39,9.47,32,3,,4
7031,VBM,412,179,43.45,124,25,,30
7032,Election_Day,857,131,15.29,90,21,,20
7032,VBM,857,232,27.07,160,32,,40
7033,Election_Day,767,150,19.56,94,25,,31
7033,VBM,767,158,20.6,125,17,,16
7034,Election_Day,875,94,10.74,57,15,,22
7034,VBM,875,143,16.34,105,22,,16
7035,Election_Day,386,71,18.39,47,15,,9
7035,VBM,386,113,29.27,80,16,,17
7036,Election_Day,862,92,10.67,65,12,,15
7036,VBM,862,233,27.03,179,34,,20
7037,Election_Day,762,83,10.89,44,23,,16
7037,VBM,762,70,9.19,44,11,,15
7038,Election_Day,874,90,10.3,60,11,,19
7038,VBM,874,242,27.69,165,46,,31
7039,Election_Day,764,168,21.99,116,22,,30
7039,VBM,764,194,25.39,144,20,,30
7041,Election_Day,55,3,5.45,1,1,,1
