precinct,ballot_type,registered,ballots_cast,turnout,Yes,No,over_votes,under_votes
7026,VBM,927,334,36.03,188,117,,29
7027,Election_Day,823,143,17.38,109,19,,15
7027,VBM,823,242,29.4,161,63,,18
7028,Election_Day,838,146,17.42,110,24,,12
7028,VBM,838,178,21.24,134,33,,11
7029,Election_Day,853,102,11.96,83,8,,11
7029,VBM,853,149,17.47,116,24,,9
7030,Election_Day,727,80,11,56,22,,2
7030,VBM,727,234,32.19,127,92,,15
7031,Election_Day,412,39,9.47,32,4,,3
7031,VBM,412,179,43.45,130,36,,13
7032,Election_Day,857,131,15.29,99,20,,12
7032,VBM,857,232,27.07,179,34,,19
7033,Election_Day,767,150,19.56,99,31,,20
7033,VBM,767,158,20.6,130,18,,10
7034,Election_Day,875,94,10.74,72,10,,12
7034,VBM,875,143,16.34,125,11,1,6
7035,Election_Day,386,71,18.39,57,10,,4
7035,VBM,386,113,29.27,82,24,,7
7036,Election_Day,862,92,10.67,74,10,,8
7036,VBM,862,233,27.03,165,59,,9
7037,Election_Day,762,83,10.89,66,6,,11
7037,VBM,762,70,9.19,53,10,,7
7038,Election_Day,874,90,10.3,60,16,,14
7038,VBM,874,242,27.69,155,66,1,20
7039,Election_Day,764,168,21.99,125,28,,15
7039,VBM,764,194,25.39,121,58,,15
7041,Election_Day,55,3,5.45,2,,,1
7041,VBM,55,20,36.36,11,8,,1
7042,Election_Day,627,100,15.95,68,19,,13
7042,VBM,627,202,32.22,134,58,,10
7043,Election_Day,884,111,12.56,83,14,,14
7043,VBM,884,257,29.07,174,65,,18
7044,Election_Day,785,85,10.83,65,7,,13
7044,VBM,785,104,13.25,72,25,1,6
7045,Election_Day,736,99,13.45,72,15,,12
7045,VBM,736,242,32.88,147,72,1,22
7046,Election_Day,416,61,14.66,44,16,,1
7046,VBM,416,139,33.41,94,39,,6
7047,Election_Day,783,98,12.52,72,19,,7
7047,VBM,783,282,36.02,172,90,1,19
7048,Election_Day,793,106,13.37,79,20,,7
7048,VBM,793,210,26.48,139,55,,16
7049,Election_Day,778,105,13.5,73,20,,12
7049,VBM,778,218,28.02,126,76,,16
7051,Election_Day,839,80,9.54,58,12,,10
7051,VBM,839,297,35.4,184,94,,19
7052,Election_Day,813,126,15.5,92,22,,12
7052,VBM,813,266,32.72,157,98,,11
7053,Election_Day,446,40,8.97,30,8,,2
7053,VBM,446,170,38.12,107,48,,15
7054,Election_Day,949,179,18.86,138,24,,17
7054,VBM,949,252,26.55,191,43,,18
7101,Election_Day,135,9,6.67,5,1,,3
7101,VBM,135,81,60,70,8,,3
7201,Election_Day,874,170,19.45,108,40,,22
7201,VBM,874,322,36.84,236,59,,27
7202,Election_Day,783,180,22.99,132,30,1,17
7202,VBM,783,258,32.95,158,84,1,15
7203,Election_Day,806,209,25.93,143,39,,27
7203,VBM,806,229,28.41,154,55,,20
7204,Election_Day,811,155,19.11,108,32,,15
7204,VBM,811,332,40.94,238,61,,33
7205,Election_Day,826,162,19.61,114,33,,15
7205,VBM,826,288,34.87,206,63,,19
7206,Election_Day,339,89,26.25,63,16,,10
7206,VBM,339,106,31.27,69,24,,13
7207,Election_Day,584,115,19.69,91,14,,10
7207,VBM,584,191,32.71,138,39,,14
7208,Election_Day,565,117,20.71,94,9,,14
7208,VBM,565,199,35.22,141,45,,13
7209,Election_Day,529,67,12.67,53,10,,4
7209,VBM,529,288,54.44,221,45,1,21
7301,Election_Day,953,142,14.9,105,20,,17
7301,VBM,953,321,33.68,212,77,,32
7302,Election_Day,773,138,17.85,98,23,,17
7302,VBM,773,358,46.31,250,71,,37
7303,Election_Day,914,205,22.43,162,27,,16
7303,VBM,914,294,32.17,194,74,,26
7304,Election_Day,924,199,21.54,131,41,,27
7304,VBM,924,317,34.31,230,62,,25
7305,Election_Day,825,215,26.06,149,42,,24
7305,VBM,825,302,36.61,196,78,,28
7306,Election_Day,936,181,19.34,130,36,,15
7306,VBM,936,308,32.91,216,68,,24
7307,Election_Day,717,167,23.29,115,27,,25
7307,VBM,717,231,32.22,159,49,,23
7308,Election_Day,588,171,29.08,123,32,,16
7308,VBM,588,209,35.54,145,50,,14
7309,Election_Day,775,198,25.55,137,41,,20
7309,VBM,775,222,28.65,160,41,,21
7311,Election_Day,875,214,24.46,164,30,,20
7311,VBM,875,268,30.63,192,53,,23
7312,Election_Day,806,156,19.35,113,28,,15
7312,VBM,806,345,42.8,226,90,2,27
7313,Election_Day,879,155,17.63,107,31,,17
7313,VBM,879,308,35.04,217,69,,22
7314,Election_Day,739,92,12.45,69,15,,8
7314,VBM,739,225,30.45,157,46,1,21
7315,Election_Day,695,165,23.74,122,19,,24
7315,VBM,695,193,27.77,142,33,,18
7316,Election_Day,823,142,17.25,111,12,,19
7316,VBM,823,283,34.39,178,67,,38
7317,Election_Day,885,159,17.97,119,27,1,12
7317,VBM,885,343,38.76,229,90,,24
7318,Election_Day,700,154,22,101,30,,23
7318,VBM,700,247,35.29,166,62,,19
7319,Election_Day,983,193,19.63,141,31,,21
7319,VBM,983,293,29.81,201,61,,31
7321,Election_Day,620,88,14.19,61,15,,12
7321,VBM,620,207,33.39,132,50,,25
7322,Election_Day,868,66,7.6,47,11,,8
7322,VBM,868,277,31.91,181,53,,43
7323,Election_Day,804,187,23.26,111,57,,19
7323,VBM,804,237,29.48,151,57,1,28
7324,Election_Day,657,130,19.79,91,20,1,18
7324,VBM,657,207,31.51,143,42,,22
7325,Election_Day,870,159,18.28,108,22,,29
7325,VBM,870,272,31.26,187,58,1,26
7326,Election_Day,808,173,21.41,124,26,1,22
7326,VBM,808,247,30.57,174,52,,21
7327,Election_Day,701,58,8.27,43,8,,7
7327,VBM,701,266,37.95,169,58,1,38
7328,Election_Day,936,79,8.44,65,7,,7
7328,VBM,936,362,38.68,260,53,,49
7329,Election_Day,543,76,14,44,23,,9
7329,VBM,543,201,37.02,140,44,1,16
7331,Election_Day,831,181,21.78,130,25,,26
7331,VBM,831,343,41.28,248,69,,26
7332,Election_Day,782,188,24.04,147,21,,20
7332,VBM,782,241,30.82,175,46,,20
7333,Election_Day,936,228,24.36,164,34,,30
7333,VBM,936,273,29.17,198,45,,30
7334,Election_Day,833,173,20.77,131,23,,19
7334,VBM,833,277,33.25,198,48,1,30
7335,Election_Day,883,166,18.8,128,21,,17
7335,VBM,883,336,38.05,225,86,,25
7336,Election_Day,879,188,21.39,151,22,,15
7336,VBM,879,334,38,232,79,,23
7337,Election_Day,829,141,17.01,99,29,,13
7337,VBM,829,339,40.89,240,71,,28
7338,Election_Day,912,120,13.16,84,17,,19
7338,VBM,912,346,37.94,219,73,1,53
7339,Election_Day,585,142,24.27,110,16,,16
7339,VBM,585,169,28.89,121,32,,16
7341,Election_Day,868,192,22.12,145,21,,26
7341,VBM,868,239,27.53,180,41,,18
7342,Election_Day,908,269,29.63,215,37,,17
7342,VBM,908,252,27.75,176,55,,21
7343,Election_Day,647,176,27.2,137,21,1,17
7343,VBM,647,176,27.2,143,18,,15
7344,Election_Day,1024,210,20.51,161,26,,23
7344,VBM,1024,356,34.77,253,69,1,33
7345,Election_Day,1006,238,23.66,179,32,,27
7345,VBM,1006,314,31.21,245,42,,27
7346,Election_Day,869,217,24.97,169,23,,25
7346,VBM,869,234,26.93,182,33,,19
7347,Election_Day,954,200,20.96,170,15,,15
7347,VBM,954,311,32.6,243,42,,26
7348,Election_Day,808,143,17.7,108,27,,8
7348,VBM,808,229,28.34,167,38,,24
7349,Election_Day,893,186,20.83,132,28,,26
7349,VBM,893,297,33.26,213,55,,29
7501,Election_Day,523,142,27.15,91,31,,20
7501,VBM,523,161,30.78,103,41,,17
7502,Election_Day,735,159,21.63,115,26,,18
7502,VBM,735,259,35.24,186,53,,20
7503,Election_Day,706,156,22.1,112,29,,15
7503,VBM,706,213,30.17,161,38,,14
7504,Election_Day,454,98,21.59,74,15,,9
7504,VBM,454,141,31.06,111,22,,8
7505,Election_Day,853,148,17.35,117,16,,15
7505,VBM,853,426,49.94,344,48,,34
7506,Election_Day,908,202,22.25,159,17,,26
7506,VBM,908,263,28.96,202,34,,27
7507,Election_Day,927,152,16.4,118,16,,18
7507,VBM,927,263,28.37,208,37,1,17
7508,Election_Day,683,122,17.86,88,18,,16
7508,VBM,683,304,44.51,229,56,,19
7509/7511,Election_Day,896,195,21.76,154,24,,17
7509/7511,VBM,896,323,36.05,233,63,1,26
7512,Election_Day,579,100,17.27,83,10,,7
7512,VBM,579,217,37.48,166,35,,16
7513,Election_Day,735,172,23.4,133,10,,29
7513,VBM,735,183,24.9,141,23,,19
7514,Election_Day,803,92,11.46,69,7,,16
7514,VBM,803,194,24.16,149,28,,17
7515,Election_Day,826,158,19.13,133,14,,11
7515,VBM,826,278,33.66,202,55,1,20
7516,Election_Day,805,160,19.88,120,22,,18
7516,VBM,805,361,44.84,264,73,,24
