precinct,ballot_type,registered_voters,ballots_cast,turnout,GEORGE_C_YANG,JERRY_J_LAWS,GAIL_K_LIGHTFOOT,MIKE_BEITIKS,PAMELA_ELIZONDO,SCOTT_A_VINEBERG,STEVE_STOKES,DUF_SUNDHEIM,LING_LING_SHI,LORETTA_L_SANCHEZ,PHIL_WYMAN,JARRELL_WILLIAMSON,THOMAS_G_DEL_BECCARO,RON_UNZ,GREG_CONLON,JASON_KRAUS,DON_KRAMPE,MARK_MATTHEW_HERD,VON_HOUGO,JASON_HANANIA,KAMALA_D_HARRIS,GAR_MYERS,PAUL_MERRITT,MASSIE_MUNROE,ELEANOR_GARCÍA,TIM_GILDERSLEEVE,CLIVE_GREY,DON_J_GRUNDMANN,PRESIDENT_CRISTINA_GRAPPO,HERBERT_G_PETERS,TOM_PALZER,JOHN_THOMPSON_PARKER,KAREN_ROSEBERRY,EMORY_RODGERS,WRITE-IN,over_votes,under_votes
7038,VBM,874,243,27.8,23,1,2,1,2,,3,1,16,26,3,,1,,,,,2,1,,115,,1,,1,1,1,,2,1,2,1,,4,3,7,22
7039,Election_Day,764,166,21.73,3,2,,1,3,1,1,1,1,27,1,,2,,7,,1,,1,,86,,,,1,1,,1,,,,3,,1,,3,18
7039,VBM,764,196,25.65,16,,1,2,,,4,5,5,22,,1,1,,1,1,,3,1,,98,,1,4,1,,,,2,,3,,3,,,2,19
7041,Election_Day,55,3,5.45,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2
7041,VBM,55,21,38.18,2,,,,,,,1,,2,,,,,,,,,,,12,,,,,,,,,,,,,,,3,1
7042,Election_Day,627,100,15.95,3,,2,,6,,,,2,18,,,1,,3,,1,1,,,47,,1,,1,,,,1,1,1,,,,,1,10
7042,VBM,627,203,32.38,11,,1,1,2,,2,1,2,20,,,1,,,,4,1,3,1,122,,1,1,2,1,1,,,1,,,1,,2,5,16
7043,Election_Day,884,108,12.22,2,,1,,5,,1,,,17,,,,,,,,1,,,59,,,1,,,,,3,2,1,2,1,,,1,11
7043,VBM,884,260,29.41,10,,1,,2,,1,,1,27,,,,,,2,3,,,2,167,,1,2,2,,,,,2,4,1,4,1,2,5,20
7044,Election_Day,785,86,10.96,,,,,,1,1,,,7,,,,,,,,3,,,55,,,,1,,,,,1,,2,,,,1,14
7044,VBM,785,103,13.12,4,,1,,1,1,2,1,,13,2,,1,,2,,,1,,,55,,,2,3,,,,,1,2,,1,,,1,9
7045,Election_Day,736,99,13.45,1,,,1,1,,2,,2,14,2,,,,2,,1,1,,1,48,,,,2,,,,,1,,2,2,,,1,15
7045,VBM,736,243,33.02,21,1,2,1,4,,3,1,14,26,4,1,3,,3,,,1,2,1,109,1,1,1,1,,,1,3,1,1,,,1,,4,31
7046,Election_Day,416,65,15.63,,,,,,,1,,,5,,1,1,,,,1,,,,44,,,1,,,,,1,,,,1,,1,,8
7046,VBM,416,140,33.65,13,1,,,1,,2,2,2,15,3,,,,,,2,1,,3,78,,,3,2,,,,,,,,,,,1,11
7047,Election_Day,783,99,12.64,1,1,2,,3,,1,1,,10,,,,,,,2,1,1,1,52,,1,2,2,,,,2,1,2,,1,,,1,11
7047,VBM,783,282,36.02,13,,2,,,1,1,1,7,26,4,,,3,3,3,2,2,4,1,140,1,1,3,2,,,,7,5,,4,2,2,2,7,33
7048,Election_Day,793,108,13.62,1,,1,,,1,1,,,16,,1,,,1,,1,,,,61,1,,1,,,,,1,2,2,,,1,,,16
7048,VBM,793,209,26.36,19,1,,,1,,2,1,2,30,,1,,,,,2,4,1,,100,3,,5,1,1,,,2,3,,4,2,1,1,5,17
7049,Election_Day,778,105,13.5,4,,,,2,1,,1,,17,1,2,1,,1,,,4,2,2,45,,1,1,,1,1,1,,3,1,2,,,1,,10
7049,VBM,778,216,27.76,15,,1,,2,2,,1,10,28,,,,1,5,1,2,3,1,1,89,,,5,,1,,,2,6,1,1,4,,3,2,29
7051,Election_Day,839,80,9.54,,,2,,,,1,,2,17,1,,2,,1,,,1,1,2,36,,2,1,2,,,,1,,1,1,,,,,6
7051,VBM,839,297,35.4,27,,3,1,4,1,9,1,7,44,2,1,,,4,1,4,,2,2,121,,1,3,5,1,,,4,4,,1,2,,2,5,35
7052,Election_Day,813,126,15.5,1,,3,2,,,1,1,2,13,,,1,1,1,,,2,1,1,74,,1,1,1,,2,1,,,,,,1,1,,14
7052,VBM,813,269,33.09,21,,1,,2,1,5,2,11,20,2,,,,4,1,5,2,6,1,121,1,1,6,4,,,,,1,1,2,2,1,,4,41
7053,Election_Day,446,41,9.19,,,1,,1,1,,,2,6,,,,,,1,,1,,1,20,,,1,,,,,,,,1,1,1,,,3
7053,VBM,446,173,38.79,10,,,,4,,2,5,2,10,1,,3,,3,,3,2,1,1,104,,,1,1,,,,1,,3,,2,,1,2,11
7054,Election_Day,949,180,18.97,,,,1,1,,,1,,22,,1,,,2,,1,,,1,112,1,,3,2,1,,,1,,,2,,,,8,20
7054,VBM,949,252,26.55,6,,1,,1,1,2,1,2,33,1,1,,,,,,,,2,159,,,,3,,1,1,2,1,1,1,,,,7,25
7101,Election_Day,135,9,6.67,,,,,,1,,,,3,,,,,,,,,,,,,,2,,,,,,,,,,1,,,2
7101,VBM,135,82,60.74,,,,,,,1,,2,9,,,,,,,,1,2,,61,,,,,,,,,,,,,,,,6
7201,Election_Day,874,172,19.68,,1,,,2,,1,2,,23,1,,1,,,,2,2,,,95,1,,3,2,,,,1,1,,,1,,,2,31
7201,VBM,874,326,37.3,5,,2,,2,,,6,2,26,3,,7,4,11,1,3,4,2,,193,,,4,1,,,,,,1,,1,,,5,43
7202,Election_Day,783,181,23.12,1,,2,,1,1,,3,1,8,3,,,1,1,,3,1,1,1,115,,1,,,,1,,1,2,1,,,1,2,2,27
7202,VBM,783,267,34.1,7,1,2,1,,,,10,3,23,,,9,,7,,8,2,1,2,148,,,2,,,4,,,,3,,1,,,3,30
7203,Election_Day,806,215,26.67,4,,2,,2,1,1,4,,22,,1,,2,2,,4,2,4,,112,,,1,1,,1,2,1,,,,1,,1,,44
7203,VBM,806,232,28.78,1,,,,1,1,1,5,,25,4,,3,3,3,,,2,,,136,,,2,,,1,,1,,4,,2,,1,4,32
7204,Election_Day,811,160,19.73,3,,,,1,,2,3,,17,2,,1,1,2,,1,2,1,,92,1,,3,,,,,1,,1,,,,,,26
7204,VBM,811,341,42.05,1,,3,,1,,3,3,,33,2,,2,,8,,4,2,4,1,233,,1,2,,,3,,,1,1,,,,1,1,31
7205,Election_Day,826,163,19.73,,,,,3,,,1,,7,,,3,1,1,,3,2,1,,116,,,1,,,,,,,,1,1,,,1,21
7205,VBM,826,298,36.08,1,,,1,2,,,15,,17,7,,6,7,6,,,1,,2,199,2,,,1,,1,,1,,,,,,,3,26
7206,Election_Day,339,91,26.84,1,,,,1,,,3,,8,,,,,2,,,2,2,,59,,,2,1,,,,,,,1,,,1,,8
7206,VBM,339,106,31.27,,,1,,1,,,1,,10,,,4,1,2,,,,2,,73,,1,2,,,,,1,,,,,,,1,6
7207,Election_Day,584,113,19.35,,,,,,,1,,1,7,1,,,1,,,,3,,,67,,,5,,,,1,,,,,,,1,3,22
7207,VBM,584,197,33.73,4,,,,3,1,3,4,1,14,,,6,,3,,,,1,,106,1,,2,,,,,2,2,1,,2,,3,4,34
7208,Election_Day,565,116,20.53,1,1,1,,1,2,1,1,,9,,1,,,,,1,,,,78,,,,1,,,,1,,,1,,,2,1,13
7208,VBM,565,208,36.81,3,,3,,2,1,1,3,1,25,,1,10,,3,,2,,,,122,,,,,,,,2,,1,1,,,,2,25
7209,Election_Day,529,68,12.85,1,,1,,,1,,,,8,,1,2,,,,1,1,1,,39,,,2,,,,,,,1,1,,1,,,7
7209,VBM,529,297,56.14,1,,,,1,1,2,22,,24,6,,4,3,6,,2,4,1,,176,,,3,,,1,,1,,1,,,1,,5,32
7301,Election_Day,953,143,15.01,6,,4,,6,2,1,1,1,16,,,,,1,,1,4,1,1,68,,2,1,1,2,1,,2,,1,1,1,,1,2,15
7301,VBM,953,327,34.31,7,1,3,1,2,3,5,3,4,32,2,,4,,5,2,2,2,4,,159,,,5,4,,1,2,,2,6,4,2,2,1,8,49
7302,Election_Day,773,139,17.98,2,,,,,3,6,1,,8,,,1,,,,3,,,1,79,,1,2,,,,,1,,1,,2,1,,2,25
7302,VBM,773,361,46.7,8,1,4,,1,1,3,13,2,30,2,,6,2,8,2,1,4,3,1,201,2,2,3,1,,2,1,5,,,,2,1,1,,48
7303,Election_Day,914,209,22.87,4,,,,2,1,2,4,1,25,1,,1,,1,,4,1,,,120,,,2,2,,,1,3,1,2,,,,,1,30
7303,VBM,914,300,32.82,6,1,1,,7,,6,7,1,32,1,,1,1,5,,4,,2,,172,,,4,,,,,3,,2,,,1,3,,40
7304,Election_Day,924,201,21.75,2,,2,1,2,,1,,,15,1,,1,1,1,1,1,1,3,,125,,,5,,,,,,,2,1,3,,1,1,30
7304,VBM,924,321,34.74,7,,,,1,,4,5,1,25,2,1,1,2,6,,7,1,2,,206,,1,8,1,,,,4,,1,,1,1,2,1,30
7305,Election_Day,825,215,26.06,1,,1,,5,,3,9,,17,1,,1,1,6,1,4,1,,,128,,,1,1,,1,,2,,,,1,,1,3,26
7305,VBM,825,306,37.09,1,,3,,1,,5,6,1,19,3,,8,,3,,6,1,4,,189,,,4,1,1,,,,,4,,1,,,,45
7306,Election_Day,936,183,19.55,4,,3,,4,,1,,,10,2,,1,,,,1,2,2,1,100,,,3,1,,,,5,,,1,,1,3,,38
7306,VBM,936,309,33.01,13,,3,1,2,,,7,4,24,2,1,6,1,4,,2,2,1,1,182,1,,2,1,,3,,1,1,3,1,,,1,4,35
7307,Election_Day,717,170,23.71,3,,3,,3,1,,2,,13,1,,1,,,,1,,2,2,98,,1,2,1,,,,2,2,,,1,,1,1,29
7307,VBM,717,237,33.05,5,,1,1,2,,3,1,2,18,2,,5,,5,,3,1,2,,144,,1,1,,,1,,1,1,,1,1,,1,4,30
7308,Election_Day,588,171,29.08,1,,1,,2,,1,5,,13,,,3,,2,,,2,,2,109,,1,2,,,2,,2,,,,,1,,,22
7308,VBM,588,214,36.39,6,,1,,4,,3,6,,24,2,,1,,,,5,,2,,133,,,,1,,,,1,,,,,,,,25
7309,Election_Day,775,201,25.94,1,1,2,3,3,,1,6,1,25,1,1,2,2,2,,,1,2,,105,,2,2,,,,,,,,,,,1,,37
7309,VBM,775,225,29.03,5,,1,,1,,2,4,,20,2,,2,,5,,4,,3,1,137,,,1,,,1,1,1,1,,2,1,3,,4,23
7311,Election_Day,875,213,24.34,,,,,5,1,3,2,,18,1,,1,,1,,1,4,1,1,135,1,2,4,1,,,,,,1,2,2,1,1,,24
7311,VBM,875,271,30.97,3,,,1,3,,,3,2,21,1,,6,,3,,4,1,1,,180,,2,2,,1,1,1,1,,,,1,,,4,29
7312,Election_Day,806,158,19.6,2,,,,,1,,6,1,13,4,,2,2,3,,1,1,1,,96,,,,,,,,,1,1,1,,,,,22
7312,VBM,806,352,43.67,7,,1,,2,,,8,2,24,5,,5,2,5,,1,,3,1,233,1,,,2,,,,,,,,1,1,1,2,45
7313,Election_Day,879,155,17.63,2,,,,1,2,2,1,,17,1,1,3,1,1,,,6,1,1,77,,,3,2,,,,1,,,1,,1,,1,29
7313,VBM,879,317,36.06,6,1,2,,1,,3,10,3,30,3,,2,,3,1,4,5,,2,185,2,,,,1,,,1,1,2,1,2,,1,1,44
7314,Election_Day,739,92,12.45,1,,2,,3,,3,1,1,5,,,1,,2,1,,1,,1,41,,2,3,,,2,,,,2,2,1,,,2,15
7314,VBM,739,229,30.99,13,1,1,,4,2,2,2,14,28,3,,1,3,,,,3,,5,80,,1,5,,1,3,,3,2,,,2,1,1,5,43
7315,Election_Day,695,165,23.74,3,,2,1,2,,2,2,,15,,,1,,,,1,,1,,88,1,,6,,,,1,1,3,1,2,1,1,,1,29
7315,VBM,695,198,28.49,12,,1,,1,,,3,8,13,3,,3,,2,,1,,2,4,97,,,5,,1,,,4,,,,,3,2,1,32
7316,Election_Day,823,143,17.38,2,,2,,,1,,,,13,1,,,,1,,1,1,,2,89,,,2,3,,,,3,,,,,,,2,20
7316,VBM,823,286,34.75,9,1,2,,3,1,2,3,3,36,,,1,1,4,1,1,2,,,146,,1,2,1,,2,,1,4,,4,,1,1,,53
7317,Election_Day,885,159,17.97,,,2,,,,1,4,,13,,,1,,3,,2,,,2,106,,,3,1,,,,,,2,3,2,,1,1,12
7317,VBM,885,346,39.1,9,1,3,2,2,1,,4,2,28,3,,6,,5,2,4,2,,,206,4,,3,3,1,,,5,1,2,,1,2,2,1,41
7318,Election_Day,700,154,22,3,,2,2,3,1,1,3,1,10,,,,,2,,2,2,1,,84,,,2,,,2,,2,,,,3,,,1,27
7318,VBM,700,251,35.86,5,,2,2,1,2,2,4,3,22,1,,1,,2,,1,,,1,155,,1,4,,,,,3,,1,,1,,,4,33
7319,Election_Day,983,197,20.04,2,,,,2,,4,2,,15,,1,3,,1,,2,1,,1,122,,1,2,1,,2,,1,,,1,,,1,,32
7319,VBM,983,297,30.21,9,,5,,3,2,2,9,4,20,3,,4,,7,,,3,4,2,156,2,,5,,2,,,2,1,1,2,,,1,,48
7321,Election_Day,620,87,14.03,4,,1,,,,1,,2,7,1,,1,,1,1,2,,,,40,,1,,2,,1,,1,,,,,,2,1,18
7321,VBM,620,208,33.55,13,,,,2,,1,1,6,22,2,,1,1,4,,3,1,1,1,100,,,2,1,1,,,2,,1,1,2,2,,6,31
7322,Election_Day,868,66,7.6,4,,,,,,,,1,5,,,,,1,,1,,,,31,,1,2,1,,,,,,,1,,,2,1,15
7322,VBM,868,279,32.14,19,1,1,1,,,2,2,19,35,,1,1,3,2,,3,3,,1,96,4,,5,,,1,1,2,2,,,3,,1,3,67
7323,Election_Day,804,186,23.13,4,1,3,,6,,1,4,3,10,,1,3,2,,,1,2,1,,90,,,6,1,,1,,3,3,,,1,,2,,37
7323,VBM,804,242,30.1,6,1,,,,1,,5,2,17,3,2,3,,,1,4,1,,,143,1,,4,2,,,,3,,1,1,1,1,1,2,36
7324,Election_Day,657,132,20.09,3,2,1,,1,1,2,2,1,9,,,,1,,,1,1,,,65,,,5,,,,1,3,1,,1,3,,1,2,25
7324,VBM,657,206,31.35,11,,1,1,2,,1,4,1,19,1,1,1,,1,1,1,,,1,117,,,1,,,1,,,,,1,1,,,3,35
7325,Election_Day,870,157,18.05,,,1,1,1,,3,1,,11,,1,,,5,,1,3,,,89,,,2,,,1,,5,,1,,,,1,,30
7325,VBM,870,277,31.84,11,,,,4,,2,6,2,21,,,,2,2,,,1,1,1,172,,,2,,,1,,,,1,1,2,,1,1,43
7326,Election_Day,808,174,21.53,5,1,1,,4,,2,,2,11,2,,,1,1,1,3,,,,82,,1,4,1,1,1,,1,2,1,2,1,1,2,,40
7326,VBM,808,253,31.31,15,1,3,,1,1,2,4,5,27,,2,6,,1,,1,1,2,,118,2,,1,3,1,1,4,,1,,2,1,1,,2,44
7327,Election_Day,701,58,8.27,,,,,,,,,1,7,,,,,,,,3,1,,27,,,1,,,,1,,1,,,,,,,16
7327,VBM,701,269,38.37,30,2,1,1,1,,1,2,12,26,4,1,2,1,2,,4,,8,,96,,1,1,,2,1,2,1,4,1,1,3,1,,1,56
7328,Election_Day,936,80,8.55,,,,,2,,3,,1,4,,,,,,,,2,1,1,43,,,,1,,,,,,2,2,,1,1,,16
7328,VBM,936,361,38.57,31,,2,2,1,1,1,,13,42,1,1,2,1,1,1,4,5,4,2,155,2,,4,6,1,1,,4,6,1,1,2,2,3,2,56
7329,Election_Day,543,78,14.36,1,1,1,1,,,1,6,,3,1,,,1,1,,,3,,1,41,,,,1,1,1,,1,,,,1,,,,11
7329,VBM,543,203,37.38,5,,2,,2,1,2,7,2,28,2,1,3,3,8,,1,3,,1,94,1,1,3,1,,3,,2,2,1,1,1,,,1,21
7331,Election_Day,831,183,22.02,3,1,2,,,,2,8,,14,2,,4,1,4,1,2,2,4,,96,1,1,2,1,,,,,,,1,,,1,,30
7331,VBM,831,345,41.52,4,1,,,1,,3,11,,33,5,2,3,1,6,1,4,4,,,218,,,2,,,1,,1,,4,,,,2,3,35
7332,Election_Day,782,189,24.17,3,1,,1,7,,3,,,9,1,,1,,,,1,3,2,,112,,,1,3,,1,,,1,,1,,,,1,37
7332,VBM,782,248,31.71,8,1,,,2,3,4,6,5,21,1,,2,3,3,,5,3,,,129,1,,3,2,1,1,,3,1,,2,2,,2,2,32
7333,Election_Day,936,232,24.79,5,,2,1,4,,1,2,1,18,,,3,,1,,2,3,,,133,,,3,,,,,1,1,1,,3,,3,,44
7333,VBM,936,270,28.85,9,,3,1,1,,7,2,4,32,2,,4,1,4,1,2,4,2,2,136,,,,1,2,,,3,,,2,,,2,2,41
7334,Election_Day,833,179,21.49,4,,4,,4,1,3,,,13,1,,2,,,,,1,1,2,96,,,4,1,,1,,2,1,,,,1,4,,33
7334,VBM,833,281,33.73,6,1,1,,2,,4,2,3,34,2,,2,,5,,2,1,1,,160,,3,4,,,1,,1,1,1,1,,,1,3,39
7335,Election_Day,883,169,19.14,,,1,1,3,,,2,,18,,,1,,,1,1,4,1,,104,,1,1,1,,,,1,,2,,,1,,,25
7335,VBM,883,343,38.84,9,,2,1,1,,1,13,2,27,4,,2,3,6,,3,5,,,207,,,,,,2,,1,1,3,,3,,1,2,44
7336,Election_Day,879,190,21.62,2,,1,,2,,2,1,1,15,,,,1,1,,1,,1,,124,,,2,1,,,,,,1,1,1,,,1,31
7336,VBM,879,338,38.45,5,,1,,4,1,1,11,,30,5,2,7,2,9,,5,,1,,201,,,3,2,,,,5,,2,,2,,2,1,36
7337,Election_Day,829,142,17.13,2,,2,,1,,2,2,,13,2,,,,2,1,4,1,,,81,,1,,,,1,2,1,,,,,2,,,22
7337,VBM,829,344,41.5,11,,1,,4,1,,19,1,21,5,,3,1,4,,9,2,1,1,196,,1,4,1,,,,,3,2,,1,1,,2,49
7338,Election_Day,912,122,13.38,5,,,1,,,2,2,2,12,,,1,,1,,,1,2,,60,,,1,,,,,,1,,,2,,,3,26
7338,VBM,912,351,38.49,18,,,1,2,,3,9,9,33,1,,4,2,7,,1,2,3,3,137,2,2,5,2,1,2,,3,5,3,3,3,4,3,8,70
7339,Election_Day,585,142,24.27,1,1,2,,1,,2,1,,18,,,2,1,,,4,1,2,,69,,,6,2,,2,1,3,,2,,,,1,,20
7339,VBM,585,173,29.57,3,1,2,,2,1,,3,,21,1,,1,,2,1,,2,1,1,86,,,4,1,,2,1,2,1,,2,,2,2,2,26
7341,Election_Day,868,192,22.12,1,,2,,2,1,,2,2,16,1,,3,,,,1,1,3,,116,,,2,,1,,1,1,,1,1,,,,2,32
7341,VBM,868,245,28.23,1,,3,,6,3,,1,3,23,1,,2,,1,1,,5,1,3,154,,1,2,,,,,4,,,2,,,,1,27
7342,Election_Day,908,271,29.85,1,,2,,1,2,4,3,,28,1,,2,2,3,2,2,3,3,2,159,,1,4,1,,,1,3,1,3,2,,,2,2,31
7342,VBM,908,262,28.85,4,,2,1,5,1,,8,1,29,1,,3,1,2,,2,7,2,,153,,1,1,,,1,,,1,1,1,1,2,1,1,29
7343,Election_Day,647,178,27.51,1,,1,2,3,,5,1,,6,,,1,,1,,,4,3,2,107,,1,3,,,1,,1,1,1,4,1,,,2,26
7343,VBM,647,181,27.98,4,,,,3,,3,,2,19,,,,,3,,1,1,1,2,110,,,2,,,1,,2,,,,,,1,,26
7344,Election_Day,1024,213,20.8,3,,1,1,3,,6,2,1,17,2,,,1,4,,3,4,,,110,,,7,1,,1,,3,2,,2,,,1,1,37
7344,VBM,1024,357,34.86,5,,3,2,6,,8,4,4,38,3,,4,4,2,2,5,5,3,2,209,,,4,,2,,,3,,,1,,,1,,37
7345,Election_Day,1006,241,23.96,4,1,1,,5,,3,1,1,29,,,,,2,1,,1,,1,148,,,2,,,2,,4,,,2,,,1,1,31
7345,VBM,1006,322,32.01,1,,2,1,4,,7,2,,28,1,,,1,1,,1,2,1,4,209,,,3,1,,1,1,1,1,,,,,,2,47
7346,Election_Day,869,216,24.86,,,2,,2,,3,,1,22,,,1,1,2,,1,,1,1,121,,2,3,4,,,,2,1,,1,3,,1,1,40
7346,VBM,869,237,27.27,3,,5,1,2,,5,1,,30,4,,,1,1,,3,2,2,4,128,,1,8,,,,,2,,,,2,2,,2,28
7347,Election_Day,954,201,21.07,,,4,,2,,4,1,,12,,,,1,,,3,3,1,,123,,,2,,,1,,3,1,1,1,,1,3,3,31
7347,VBM,954,319,33.44,1,,3,1,7,,5,1,1,32,1,,1,4,2,1,2,1,,,191,,,6,3,,2,,,,2,2,,1,1,5,43
7348,Election_Day,808,147,18.19,,1,1,1,3,,2,1,,23,,,2,,2,1,1,3,2,,76,,,2,,1,1,,,1,2,1,,,,,20
7348,VBM,808,238,29.46,3,,,,3,1,3,4,,32,1,,1,,6,,3,3,1,1,126,,,5,,,1,,1,2,,,2,2,2,4,31
7349,Election_Day,893,187,20.94,2,,3,,5,2,1,3,,17,5,1,1,,2,1,1,2,,1,98,,1,3,2,,,1,2,,,,1,1,3,,28
7349,VBM,893,298,33.37,6,2,1,2,3,1,1,5,1,38,,,4,3,6,,5,,2,1,170,1,,,,,3,,2,2,,,,,,1,38
7501,Election_Day,523,142,27.15,,1,1,,2,,5,4,,8,,,1,1,2,1,2,1,1,,92,,,,,,,,1,1,,1,,,,,17
7501,VBM,523,166,31.74,3,,1,,2,,1,4,,15,,1,,,2,,4,1,1,,97,,,3,,,,,1,,2,2,1,,,2,23
7502,Election_Day,735,160,21.77,1,,1,,3,,2,2,,20,1,,,1,1,,1,1,,1,95,,1,4,1,1,,,1,2,1,,,,2,,17
7502,VBM,735,267,36.33,6,2,1,1,1,2,1,6,1,21,,,3,1,3,,4,2,1,2,168,,,1,,,,1,1,,2,,,,1,4,31
7503,Election_Day,706,159,22.52,2,,,1,5,4,1,1,,18,,,1,2,1,,1,1,,,87,,1,2,,,,,3,,1,,,2,,1,24
7503,VBM,706,218,30.88,,,3,1,,,2,4,,16,1,,4,,2,,1,4,,3,144,,,2,,,1,,,,,,1,,1,3,25
7504,Election_Day,454,98,21.59,2,,,1,,2,1,,1,6,,,1,,,,1,1,,1,57,,,2,1,,3,,1,1,1,,,,1,1,13
7504,VBM,454,143,31.5,4,,,,,,,5,1,9,2,,,,,,,,2,,99,,1,1,,,,,1,,1,,1,,,5,11
7505,Election_Day,853,149,17.47,1,,1,,,,,1,,15,,,1,,2,,,,1,2,98,,,,,,,,1,,1,1,,,,1,23
7505,VBM,853,427,50.06,5,1,2,1,2,1,2,6,3,36,3,,6,1,10,,2,3,5,3,271,1,,2,1,,,,7,2,6,1,2,1,,8,33
7506,Election_Day,908,205,22.58,1,,1,1,1,,4,,,9,1,2,1,,1,,5,1,1,1,125,1,2,8,1,,,,,3,,2,,2,,2,29
7506,VBM,908,271,29.85,1,,4,2,4,,6,3,,25,1,3,1,1,2,,3,2,,3,157,1,1,3,,,1,2,1,1,1,2,,,1,1,38
7507,Election_Day,927,149,16.07,,,2,,3,,4,1,,8,,,,,,,2,2,,1,100,,,1,1,,,1,,1,1,2,,2,,,17
7507,VBM,927,266,28.69,16,,1,1,1,1,1,,4,29,1,3,2,,2,,2,,1,1,160,2,,3,1,,,,,,1,1,2,,,5,25
7508,Election_Day,683,122,17.86,2,,1,1,2,1,,3,2,7,1,1,,,,,,1,1,,75,,1,1,2,,1,,2,,,,1,,1,1,14
7508,VBM,683,308,45.1,12,,,,3,,,4,8,31,5,,,4,2,,,3,2,2,187,1,,1,,1,,,2,,1,,,,1,5,33
7509-7511,Election_Day,896,196,21.88,,,1,,3,1,3,2,,12,,,3,,3,1,2,1,1,2,127,,1,1,,,,,2,1,,2,,1,,,26
7509-7511,VBM,896,325,36.27,2,,3,,5,,1,4,1,42,,,1,2,4,1,4,2,1,2,209,,,1,2,1,,,2,1,2,1,,2,3,2,24
7512,Election_Day,579,98,16.93,,,,,3,,2,,,4,,1,1,,,,1,,,,69,,1,1,1,,,,,,,,,,,1,13
7512,VBM,579,220,38,1,,1,,2,8,4,3,1,16,4,3,3,,1,1,3,2,3,,113,1,1,1,,,,,4,1,3,2,1,1,,12,24
7513,Election_Day,735,173,23.54,1,,1,,4,,1,,1,11,,,,,,,1,1,2,,105,,1,1,,,,1,1,,,,,1,,7,33
7513,VBM,735,187,25.44,1,1,2,,2,1,4,2,,10,2,,2,,1,,5,1,1,,113,,,2,1,1,,1,2,3,,,1,1,,9,18
7514,Election_Day,803,92,11.46,,,,,,,,,1,5,,,,,,,,1,,3,61,,,2,1,,,,1,,1,1,,,,4,11
7514,VBM,803,194,24.16,6,,1,,4,,,,1,10,1,,,,4,,2,,,,112,,1,2,1,,1,,5,,1,3,4,,1,7,27
7515,Election_Day,826,158,19.13,2,,1,,2,,1,1,,14,1,,1,,,,,2,,1,112,,,2,,,,,1,,,1,,1,,2,13
7515,VBM,826,281,34.02,4,2,1,,6,1,3,3,2,25,2,1,3,,2,1,1,1,1,,184,1,,2,,,,,5,,1,3,1,,,2,23
7516,Election_Day,805,161,20,,2,2,,1,,,,,21,,,3,1,1,1,1,1,1,,104,,,,,,,,1,,,,,,1,2,18
7516,VBM,805,369,45.84,2,1,3,,,1,2,6,8,47,,,2,1,4,,3,5,1,3,225,,,4,2,2,,,,1,3,3,,1,1,1,37
7517,Election_Day,877,268,30.56,,1,2,,2,2,5,,,21,1,1,2,,,,,2,1,1,179,,1,6,,2,1,,2,,,,,,,,36
7517,VBM,877,291,33.18,,1,2,,3,1,4,2,,27,1,,,,1,,1,2,,2,197,,,4,,,1,1,1,,2,2,,,4,1,31
7518,Election_Day,905,295,32.6,2,,3,,5,,3,1,,16,,,1,,,1,,5,,3,188,,2,1,2,,2,,5,1,,4,1,,,,49
7518,VBM,905,295,32.6,4,,1,1,,,1,3,1,14,,1,1,2,1,,,,1,,214,1,,3,,,,,1,,,,,1,,2,42
7519,Election_Day,741,230,31.04,,,3,1,1,2,7,1,,8,,1,1,,1,,1,1,,1,149,,1,6,1,,1,2,2,,1,2,,,,,36
7519,VBM,741,208,28.07,1,,1,2,2,,3,2,1,14,1,,2,,1,,,2,,1,131,,,5,,,,,,1,,1,,1,,1,35
7521,Election_Day,773,239,30.92,,,2,1,7,,3,1,,14,,,,,1,,,,2,1,157,1,,3,2,,1,,1,1,1,,,1,,,39
7521,VBM,773,232,30.01,,,1,,4,,6,1,,16,,,,,4,,,2,1,2,158,1,,4,,,1,,1,,,2,,,,,28
7522,Election_Day,801,242,30.21,,,1,,3,,3,,1,19,,,,,,1,,3,2,,166,,1,2,1,,,,,,,,1,,,1,37
7522,VBM,801,267,33.33,,,3,,3,,2,,,25,,,,,,1,1,1,,,187,,,2,,,,1,,1,1,,,,,4,35
7523,Election_Day,743,262,35.26,,1,4,5,2,,1,,1,20,,,,,1,,2,3,1,,171,,,6,,,1,1,2,1,,1,1,1,4,,32
7523,VBM,743,208,27.99,,,,,3,1,3,,,13,1,,,,2,,1,4,1,1,134,,,3,2,1,,,2,,,1,,1,1,2,31
7524,Election_Day,638,175,27.43,2,,,1,3,2,1,1,1,12,,,,1,,,,2,,,114,,,2,1,,,,2,1,,1,,,1,1,26
7524,VBM,638,182,28.53,,,1,,4,,2,2,1,17,,1,2,,3,,1,,,,129,,,1,,,1,,3,,,2,,,,1,11
7525,Election_Day,800,172,21.5,,,1,,2,1,4,1,,8,,,1,,1,,,2,1,,107,1,,1,2,,,,3,1,1,3,1,,1,2,27
7525,VBM,800,221,27.63,1,,,,5,,3,,1,20,,,1,,1,1,1,2,,1,149,,1,2,2,1,1,,,,,,,,2,2,24
