precinct,ballot_type,registered_voters,ballots_cast,turnout,GEORGE_C_YANG,JERRY_J_LAWS,GAIL_K_LIGHTFOOT,MIKE_BEITIKS,PAMELA_ELIZONDO,SCOTT_A_VINEBERG,STEVE_STOKES,DUF_SUNDHEIM,LING_LING_SHI,LORETTA_L_SANCHEZ,PHIL_WYMAN,JARRELL_WILLIAMSON,THOMAS_G_DEL_BECCARO,RON_UNZ,GREG_CONLON,JASON_KRAUS,DON_KRAMPE,MARK_MATTHEW_HERD,VON_HOUGO,JASON_HANANIA,KAMALA_D_HARRIS,GAR_MYERS,PAUL_MERRITT,MASSIE_MUNROE,ELEANOR_GARCÍA,TIM_GILDERSLEEVE,CLIVE_GREY,DON_J_GRUNDMANN,PRESIDENT_CRISTINA_GRAPPO,HERBERT_G_PETERS,TOM_PALZER,JOHN_THOMPSON_PARKER,KAREN_ROSEBERRY,EMORY_RODGERS,WRITE-IN,over_votes,under_votes
1118,Election_Day,972,178,18.31,2,1,1,,3,2,5,,,30,1,,1,,,,1,2,,1,97,,,5,1,,,,3,2,,2,,,1,,17
1118,VBM,972,320,32.92,14,1,1,,4,1,1,5,2,26,2,,2,,5,,1,,7,4,189,1,1,3,2,,1,,4,1,2,1,2,,,2,35
1119,Election_Day,719,122,16.97,,,1,,2,1,2,,,11,,1,2,,,,,2,1,2,83,,1,1,1,,,,1,,,,,,1,1,8
1119,VBM,719,241,33.52,4,,1,1,,2,1,,4,32,,2,1,,3,,,,2,1,133,1,3,3,1,,2,,1,2,1,2,6,,2,8,22
1121,Election_Day,642,114,17.76,1,,,1,2,1,3,,,18,1,,,1,,,1,,3,2,59,,2,1,1,,,,1,1,1,,1,2,1,,10
1121,VBM,642,219,34.11,8,1,,,3,3,2,3,5,26,,3,1,1,3,,,1,1,3,100,,1,1,2,,,1,3,1,,1,1,,2,4,38
1122,Election_Day,613,105,17.13,,,,,,,1,,,14,1,,2,,1,,1,2,,,56,,,2,,,2,,3,,1,1,,1,,,17
1122,VBM,613,189,30.83,18,1,4,,,,2,4,5,25,1,,,,2,,1,,,1,91,,1,1,,,,,2,1,,3,1,1,1,1,22
1123,Election_Day,881,140,15.89,1,,,,1,,5,,,19,,,,,,,,1,2,1,76,,1,7,3,,,,1,1,,2,,,,4,15
1123,VBM,881,244,27.7,13,,1,1,2,3,6,1,10,20,3,,,2,,,,1,4,1,127,1,1,2,1,,1,,2,4,,2,4,,,5,26
1124,Election_Day,758,149,19.66,5,,,2,1,,5,,,22,,1,1,,,,,,1,3,82,,,4,5,,,1,2,1,,2,,,,,11
1124,VBM,758,208,27.44,26,2,2,,1,,1,3,3,12,,,1,1,,,,,2,1,116,,,3,1,,2,2,5,,1,1,,,2,2,18
1125,Election_Day,935,116,12.41,,,3,1,2,,2,,,19,2,,,,,,,,1,2,51,,1,5,4,,,,2,,1,1,2,,1,,16
1125,VBM,935,287,30.7,20,,1,1,3,3,2,1,6,36,5,1,,1,4,,1,3,4,2,143,,,5,1,,3,,1,3,3,3,2,,1,4,24
1126,Election_Day,864,146,16.9,2,1,,,2,3,2,1,,19,,1,,,,,,2,2,2,83,,,1,3,,,,2,,2,,1,,,3,14
1126,VBM,864,283,32.75,16,,2,,2,2,11,,6,38,,,,2,1,,,,1,2,146,,,2,1,1,1,,2,,1,1,2,,3,10,30
1127,Election_Day,841,161,19.14,1,,,,1,2,2,1,,13,,,3,,1,,,2,5,1,87,,1,3,4,,,,,,1,1,3,,1,3,25
1127,VBM,841,281,33.41,18,,3,1,1,1,5,3,4,25,4,2,4,1,3,,,1,,2,153,1,,1,5,,1,,1,,6,,2,,,5,28
1128,Election_Day,813,117,14.39,,,1,,,1,,3,1,12,,,,,,,1,1,2,3,56,,3,1,3,,,,3,1,2,1,1,,1,3,17
1128,VBM,813,265,32.6,15,1,1,3,2,1,4,2,4,28,1,,4,,2,,,,9,2,125,,3,5,,,,1,2,1,3,5,1,2,,9,29
1129,Election_Day,852,136,15.96,1,,,1,5,1,1,,1,15,1,,2,,,1,1,2,2,2,66,,,2,1,,,,1,1,1,1,,,1,2,24
1129,VBM,852,272,31.92,18,1,,2,5,1,2,,5,26,1,2,3,,3,1,,3,1,1,139,,,4,8,3,1,2,3,3,1,1,3,1,2,5,21
1131,Election_Day,787,108,13.72,1,,,,6,,6,,,14,,,2,,1,,,1,1,2,41,,,3,1,,,,4,1,,,1,2,,,21
1131,VBM,787,277,35.2,19,,2,2,,,,3,12,39,1,2,,,4,1,,,1,2,129,1,,4,4,,5,,3,2,3,1,1,2,2,3,29
1132,Election_Day,910,135,14.84,,,2,1,4,3,,,,21,,,,,,1,1,,1,,65,,,2,1,,,1,5,,1,4,2,,,1,19
1132,VBM,910,334,36.7,20,2,1,1,1,,2,1,12,22,2,,1,4,6,,,3,5,,169,,2,4,1,1,2,,2,,3,3,3,2,3,14,42
1133,Election_Day,811,126,15.54,,,2,,2,,1,1,,15,1,,,3,,,,1,,1,69,,,1,1,,2,1,,3,,1,2,1,,,18
1133,VBM,811,285,35.14,8,1,2,1,1,,1,3,2,21,4,,6,1,4,1,,,4,2,169,,,3,4,,1,2,2,1,2,3,2,,,4,30
1134,Election_Day,720,142,19.72,4,,2,,5,1,,1,1,14,1,,,,,1,,,,,81,,,3,3,,1,,1,1,,1,1,1,,1,18
1134,VBM,720,219,30.42,17,,2,,2,1,3,3,,16,1,1,2,,2,,,2,7,1,108,1,,2,4,,1,,,,3,,3,1,1,4,31
1135,Election_Day,495,86,17.37,1,,,,2,,2,1,1,11,1,,1,,,,,,,,47,,,,,,1,,,1,4,,,,2,,11
1135,VBM,495,185,37.37,12,,2,,1,1,1,1,5,16,1,,5,1,2,1,,1,4,1,94,1,4,,4,,1,,,,,1,,2,1,7,15
1136,Election_Day,775,104,13.42,3,,,1,2,,1,,,9,1,,2,,1,,,,2,1,52,,,1,3,,1,,1,,1,,1,,1,5,15
1136,VBM,775,295,38.06,14,1,1,,4,,1,1,1,28,4,2,4,,2,,2,,4,4,156,1,2,2,,,,,1,1,2,,1,,5,7,44
1141,Election_Day,960,159,16.56,3,,1,,4,,1,1,,20,,2,1,3,,,1,,,1,82,,,1,4,,,,3,2,1,,1,,2,2,23
1141,VBM,960,372,38.75,14,,3,,10,,2,1,5,51,5,1,2,1,2,1,5,1,3,3,203,2,1,6,2,,1,,1,4,1,4,1,1,,7,28
1142,Election_Day,755,149,19.74,1,,2,,2,,1,,3,18,,,,1,,,2,,,1,82,,,2,3,,,1,1,1,,1,1,,,4,22
1142,VBM,755,259,34.3,11,1,,1,7,1,2,1,4,30,1,1,2,,4,1,2,,,1,132,,,3,3,,1,1,2,,6,,4,3,,5,29
1143,Election_Day,974,207,21.25,1,,2,1,7,1,3,,1,34,,,,,3,,,5,1,,106,,1,2,6,1,,,2,2,,2,2,1,1,,22
1143,VBM,974,316,32.44,16,,3,1,3,,6,6,2,45,3,,1,2,4,2,6,3,1,4,153,,,3,2,,1,,2,,,2,2,2,2,10,29
