precinct,ballot_type,registered,ballots_cast,turnout,GARY_JOHNSON,MARC_FELDMAN,RHETT_WHITE_FEATHER_SMITH,JOY_WAYMIRE,STEVE_KERBEL,JOHN_HALE,JOHN_MCAFEE,CECIL_INCE,AUSTIN_PETERSEN,DARRYL_W._PERRY,DERRICK_M._REID,"JACK_ROBINSON,_JR.",WRITE-IN,over_votes,under_votes
1152,VBM,2,2,100,,,,,1,,,,,1,,,,,
1153,Election_Day,2,0,0,,,,,,,,,,,,,,,
1153,VBM,2,1,50,,,,,,,,,1,,,,,,
1154,Election_Day,0,0,0,,,,,,,,,,,,,,,
1154,VBM,0,0,0,,,,,,,,,,,,,,,
7001,Election_Day,5,1,20,1,,,,,,,,,,,,,,
7001,VBM,5,0,0,,,,,,,,,,,,,,,
7002,Election_Day,6,2,33.33,1,,,,,,,,,,,,,,1
7002,VBM,6,2,33.33,1,,,,,1,,,,,,,,,
7003,Election_Day,7,3,42.86,2,,,,,,,,,,,,1,,
7003,VBM,7,3,42.86,1,,,,,,,,,,,,1,,1
7004,Election_Day,3,0,0,,,,,,,,,,,,,,,
7004,VBM,3,2,66.67,1,,,,,,,,,,,,1,,
7005,Election_Day,5,3,60,,,1,,,,,,,,,,,,2
7005,VBM,5,2,40,2,,,,,,,,,,,,,,
7006,Election_Day,6,0,0,,,,,,,,,,,,,,,
7006,VBM,6,1,16.67,,,,,,,,,,,,,1,,
7007,Election_Day,5,1,20,,,,,,,,,,,,,,,1
7007,VBM,5,0,0,,,,,,,,,,,,,,,
7008,Election_Day,3,1,33.33,,,,,,,,,,,,,,,1
7008,VBM,3,2,66.67,,,,,,,,,,,,1,,,1
7009,Election_Day,8,4,50,1,,,1,,,,,1,,,,,,1
7009,VBM,8,1,12.5,1,,,,,,,,,,,,,,
7011,Election_Day,8,0,0,,,,,,,,,,,,,,,
7011,VBM,8,1,12.5,1,,,,,,,,,,,,,,
7012,Election_Day,7,5,71.43,4,,,1,,,,,,,,,,,
7012,VBM,7,1,14.29,,,,,,,,,,,,,,,1
7013,Election_Day,8,1,12.5,,,,1,,,,,,,,,,,
7013,VBM,8,4,50,3,,,,,,1,,,,,,,,
7014,Election_Day,3,1,33.33,,,,,,,1,,,,,,,,
7014,VBM,3,0,0,,,,,,,,,,,,,,,
7015,Election_Day,0,0,0,,,,,,,,,,,,,,,
7015,VBM,0,0,0,,,,,,,,,,,,,,,
7016,Election_Day,5,1,20,,,,,,,,,,,,,1,,
7016,VBM,5,3,60,,,,,,,,,,,,,2,,1
7017,Election_Day,2,0,0,,,,,,,,,,,,,,,
7017,VBM,2,1,50,,,,,,,,,,,,,,,1
7018,Election_Day,4,1,25,,,,,,,,,,,,,,,1
7018,VBM,4,6,150,,,,,,,,,1,,,1,,,4
7019,Election_Day,5,0,0,,,,,,,,,,,,,,,
7019,VBM,5,3,60,3,,,,,,,,,,,,,,
7021,Election_Day,3,0,0,,,,,,,,,,,,,,,
7021,VBM,3,0,0,,,,,,,,,,,,,,,
7022,Election_Day,1,0,0,,,,,,,,,,,,,,,
7022,VBM,1,1,100,,,,,,,,,,,,,1,,
7023,Election_Day,2,0,0,,,,,,,,,,,,,,,
7023,VBM,2,1,50,,,,,,,,,,,,,1,,
7024,Election_Day,1,0,0,,,,,,,,,,,,,,,
7024,VBM,1,0,0,,,,,,,,,,,,,,,
7025,Election_Day,1,0,0,,,,,,,,,,,,,,,
7025,VBM,1,0,0,,,,,,,,,,,,,,,
7026,Election_Day,2,1,50,1,,,,,,,,,,,,,,
7026,VBM,2,3,150,,,,,1,,,,,,,,,,2
7027,Election_Day,1,0,0,,,,,,,,,,,,,,,
7027,VBM,1,1,100,,,,,,,,,,,,,,,1
7028,Election_Day,1,0,0,,,,,,,,,,,,,,,
7028,VBM,1,0,0,,,,,,,,,,,,,,,
7029,Election_Day,3,0,0,,,,,,,,,,,,,,,
7029,VBM,3,0,0,,,,,,,,,,,,,,,
7030,Election_Day,4,0,0,,,,,,,,,,,,,,,
7030,VBM,4,4,100,1,,,,,1,1,,,,,,,,1
7031,Election_Day,4,1,25,,,,,,,,,,,,,1,,
7031,VBM,4,1,25,1,,,,,,,,,,,,,,
7032,Election_Day,2,1,50,,,,,,,,,,,,,1,,
7032,VBM,2,2,100,,,,,,,,,,,,,2,,
7033,Election_Day,4,1,25,,,,,,,1,,,,,,,,
7033,VBM,4,0,0,,,,,,,,,,,,,,,
7034,Election_Day,2,1,50,,,,,,,,1,,,,,,,
7034,VBM,2,0,0,,,,,,,,,,,,,,,
7035,Election_Day,2,0,0,,,,,,,,,,,,,,,
7035,VBM,2,2,100,,,,,,,1,,,,1,,,,
7036,Election_Day,1,1,100,,,,,,,,,,,,,,,1
7036,VBM,1,0,0,,,,,,,,,,,,,,,
7037,Election_Day,1,0,0,,,,,,,,,,,,,,,
7037,VBM,1,2,200,,,,,,,,,,,,,1,,1
7038,Election_Day,3,0,0,,,,,,,,,,,,,,,
7038,VBM,3,3,100,1,,,,,1,,,,,,,1,,
7039,Election_Day,1,0,0,,,,,,,,,,,,,,,
7039,VBM,1,2,200,,,,,,,,,,,,,1,,1
7041,Election_Day,0,0,0,,,,,,,,,,,,,,,
7041,VBM,0,0,0,,,,,,,,,,,,,,,
7042,Election_Day,4,0,0,,,,,,,,,,,,,,,
7042,VBM,4,0,0,,,,,,,,,,,,,,,
7043,Election_Day,4,0,0,,,,,,,,,,,,,,,
