precinct,ballot_type,registered,ballots_cast,turnout,TROY_BODNAR,MATTHEW_DEL_CARLO,HARMEET_K._DHILLON,JASON_P._CLARK,CHRIS_CHENG,CHRISTINE_HUGHES,MASON_HARRISON,CHANTAL_ANDERSON,LAUREN_R._AMMATUNA,BARRY_A._GRAYNOR,LISA_REMMER,SARVJIT_S._RANDHAWA,WRITE-IN,over_votes,under_votes
7307,Election_Day,69,9,13.04,3,4,3,2,3,3,2,2,3,2,3,1,,,68
7307,VBM,69,29,42.03,5,5,5,6,10,6,3,4,2,2,7,2,,,262
7308,Election_Day,60,10,16.67,2,4,3,4,3,2,3,2,2,3,4,2,,,76
7308,VBM,60,21,35,1,5,5,5,4,5,5,3,2,4,3,4,,,185
7309,Election_Day,90,15,16.67,2,7,,4,2,3,3,3,,3,4,2,,,132
7309,VBM,90,34,37.78,11,13,7,9,12,11,9,10,7,8,10,8,3,,256
7311,Election_Day,107,11,10.28,3,4,2,3,6,4,4,4,3,3,6,6,,,73
7311,VBM,107,24,22.43,4,7,6,6,7,4,6,5,1,4,4,3,1,,206
7312,Election_Day,129,19,14.73,1,7,4,5,4,5,2,4,2,6,4,4,,,161
7312,VBM,129,54,41.86,6,14,16,18,13,11,10,10,8,13,16,7,,,452
7313,Election_Day,93,7,7.53,1,1,1,1,2,2,1,1,1,1,2,,,,63
7313,VBM,93,44,47.31,17,17,11,18,16,16,21,16,13,17,17,15,,,290
7314,Election_Day,31,6,19.35,,1,3,2,,1,2,2,,,,1,,,54
7314,VBM,31,8,25.81,,2,1,4,3,2,1,2,2,1,2,1,,,67
7315,Election_Day,55,11,20,,4,3,2,2,2,2,2,1,1,5,2,,,95
7315,VBM,55,12,21.82,4,4,4,4,2,5,3,5,2,4,3,4,,,88
7316,Election_Day,56,9,16.07,2,3,3,3,2,2,2,2,2,2,2,1,,,73
7316,VBM,56,18,32.14,4,6,5,4,3,5,4,5,4,6,4,1,,,147
7317,Election_Day,101,13,12.87,4,4,1,1,4,2,3,3,2,3,2,4,,,110
7317,VBM,101,46,45.54,15,22,14,13,17,15,19,15,10,14,16,14,1,,321
7318,Election_Day,68,13,19.12,3,6,4,4,4,2,4,2,2,2,2,4,4,,100
7318,VBM,68,18,26.47,4,5,4,5,8,5,5,6,4,5,9,6,,,132
7319,Election_Day,114,11,9.65,2,5,2,3,4,1,2,1,1,3,1,4,1,,91
7319,VBM,114,30,26.32,4,8,9,8,10,9,5,5,6,7,6,7,,,246
7321,Election_Day,39,3,7.69,,1,,,,,,,,,,1,,,31
7321,VBM,39,6,15.38,2,3,3,2,4,2,2,,1,4,3,3,,,37
7322,Election_Day,33,4,12.12,1,1,,,1,,1,1,,,,,,,39
7322,VBM,33,9,27.27,4,5,5,6,7,5,5,5,2,6,4,5,,,40
7323,Election_Day,77,17,22.08,1,9,2,2,3,1,6,,1,1,1,3,,,157
7323,VBM,77,19,24.68,4,7,4,4,5,7,7,7,1,6,6,5,,,146
7324,Election_Day,65,11,16.92,1,6,5,3,3,3,3,3,3,3,4,2,1,,81
7324,VBM,65,13,20,3,4,3,3,6,3,5,4,3,5,6,3,1,,94
7325,Election_Day,85,14,16.47,2,5,2,3,3,3,2,2,1,1,2,3,,,125
7325,VBM,85,22,25.88,3,7,2,3,7,4,4,4,3,2,2,3,,,198
7326,Election_Day,83,13,15.66,4,5,5,6,7,7,7,3,3,5,3,5,,,83
7326,VBM,83,25,30.12,8,6,6,7,7,10,5,4,6,4,9,5,,,198
7327,Election_Day,41,2,4.88,,,,,,,1,,,,,,,,21
7327,VBM,41,18,43.9,4,4,3,2,6,2,2,3,2,1,6,4,,,159
7328,Election_Day,54,4,7.41,,,1,1,1,,,,,1,,1,,,39
7328,VBM,54,23,42.59,4,4,11,9,2,3,4,3,3,5,4,3,8,,190
7329,Election_Day,83,14,16.87,2,4,1,1,2,2,4,3,1,1,1,1,,,131
7329,VBM,83,27,32.53,8,11,7,8,8,5,11,8,3,5,7,5,,,211
7331,Election_Day,148,30,20.27,4,10,8,6,7,4,6,5,3,5,7,7,1,,257
7331,VBM,148,65,43.92,15,31,19,19,15,15,18,18,9,17,13,18,2,11,495
7332,Election_Day,64,10,15.63,2,2,,,2,2,1,2,1,1,3,2,,,92
7332,VBM,64,19,29.69,7,10,9,8,7,7,7,9,6,8,8,7,,,116
7333,Election_Day,89,14,15.73,3,5,2,3,2,5,2,2,1,3,2,2,1,,121
7333,VBM,89,19,21.35,2,7,3,3,5,4,2,3,1,3,3,2,3,,168
7334,Election_Day,63,15,23.81,,2,1,1,,1,2,1,1,1,1,1,,,153
7334,VBM,63,17,26.98,4,3,,,4,5,5,4,3,1,6,4,,,148
7335,Election_Day,127,12,9.45,3,6,5,7,6,6,4,3,5,4,4,3,,,76
7335,VBM,127,59,46.46,9,20,11,10,11,11,13,14,8,12,18,12,,,500
7336,Election_Day,144,13,9.03,,2,2,,2,,,,,,,,,,137
7336,VBM,144,69,47.92,15,23,24,20,21,20,18,20,9,19,17,19,1,,533
7337,Election_Day,119,16,13.45,3,6,5,8,6,4,4,6,2,5,3,1,,,123
7337,VBM,119,53,44.54,12,19,14,14,14,15,16,16,11,16,15,12,,,409
7338,Election_Day,62,8,12.9,,3,4,4,4,3,3,3,,2,2,1,,,59
7338,VBM,62,27,43.55,8,11,12,11,11,9,14,7,3,9,7,8,,,187
7339,Election_Day,40,14,35,3,2,2,3,2,2,3,2,1,4,1,4,1,,124
7339,VBM,40,6,15,1,1,2,1,1,1,3,1,1,1,1,1,1,,50
7341,Election_Day,56,8,14.29,1,4,2,2,1,3,3,1,1,1,1,3,1,,64
7341,VBM,56,13,23.21,2,5,6,6,3,4,3,3,1,5,2,3,,,100
7342,Election_Day,84,13,15.48,6,6,6,5,7,5,5,4,3,5,5,4,3,,79
7342,VBM,84,19,22.62,2,4,9,5,5,6,4,2,2,3,4,2,,,161
7343,Election_Day,39,10,25.64,3,4,2,2,2,3,2,1,2,1,2,1,,,85
7343,VBM,39,9,23.08,,4,3,2,4,1,3,4,,2,,4,,,72
7344,Election_Day,91,15,16.48,4,5,1,3,5,4,6,5,4,2,3,3,,,120
7344,VBM,91,31,34.07,5,14,11,7,13,5,12,9,7,7,7,9,,,235
7345,Election_Day,66,12,18.18,3,5,3,4,3,4,3,3,3,3,3,3,,,92
7345,VBM,66,17,25.76,3,6,8,8,5,3,7,4,3,4,4,3,2,,127
7346,Election_Day,44,11,25,3,3,3,3,2,3,3,2,2,4,4,1,,,88
7346,VBM,44,9,20.45,,2,,,,2,,1,,,,,,,94
7347,Election_Day,43,9,20.93,2,7,3,3,1,2,2,1,,3,1,2,,,72
7347,VBM,43,10,23.26,2,3,2,1,2,4,2,2,2,4,4,1,1,,80
7348,Election_Day,59,13,22.03,1,6,3,4,3,2,3,4,3,2,3,3,,,106
7348,VBM,59,16,27.12,6,6,4,7,5,7,7,6,2,4,6,1,,,115
7349,Election_Day,88,11,12.5,1,3,2,2,1,1,1,1,,,3,1,,,105
7349,VBM,88,29,32.95,6,9,7,9,9,9,8,6,6,6,7,6,,,231
7501,Election_Day,49,9,18.37,2,4,2,1,1,1,2,1,1,1,1,2,,,80
7501,VBM,49,19,38.78,4,6,5,4,5,4,3,3,2,3,4,4,,,162
7502,Election_Day,75,8,10.67,2,3,2,3,2,3,2,3,2,1,2,3,1,,59
7502,VBM,75,27,36,1,9,4,8,6,1,5,3,2,4,5,3,,,246
7503,Election_Day,61,6,9.84,,1,1,,1,,,,,,,1,,,62
7503,VBM,61,20,32.79,5,8,5,5,7,7,5,5,2,5,4,5,,,157
7504,Election_Day,37,5,13.51,1,2,2,3,2,1,2,2,2,2,2,2,,,32
7504,VBM,37,8,21.62,1,3,1,1,2,1,1,1,1,1,1,1,,,73
7505,Election_Day,123,12,9.76,1,4,2,2,1,1,1,1,1,2,1,,,,115
7505,VBM,123,55,44.72,11,13,16,20,14,16,19,17,10,19,19,13,3,,415
7506,Election_Day,53,4,7.55,,,,,,,,1,,,,,,,43
7506,VBM,53,16,30.19,6,4,4,6,4,4,7,6,3,7,6,4,,,115
7507,Election_Day,47,6,12.77,1,1,,,1,1,,1,,,1,2,,,58
7507,VBM,47,12,25.53,4,3,3,1,4,4,6,4,2,4,5,5,,11,76
7508,Election_Day,65,7,10.77,1,3,1,1,1,2,1,1,1,2,1,1,,,61
7508,VBM,65,31,47.69,6,9,11,8,7,12,9,8,5,9,11,7,,,239
7509/7511,Election_Day,62,11,17.74,6,4,5,5,3,6,5,6,5,6,6,2,1,,61
7509/7511,VBM,62,20,32.26,10,11,12,12,11,10,11,10,4,9,11,10,7,,92
7512,Election_Day,42,3,7.14,,,,,1,,1,,,,1,1,,,29
7512,VBM,42,20,47.62,8,10,6,7,5,6,12,7,4,6,6,5,,,138
7513,Election_Day,42,8,19.05,2,2,1,2,2,4,2,2,2,3,2,,1,,63
7513,VBM,42,12,28.57,5,7,4,4,7,5,8,6,4,5,5,7,2,,63
7514,Election_Day,43,2,4.65,,,,,,,,,,,,,,,22
7514,VBM,43,12,27.91,5,3,1,4,1,5,6,2,2,1,5,3,,11,83
7515,Election_Day,39,1,2.56,,,,,,,,,,,,,,,11
7515,VBM,39,14,35.9,5,6,3,4,2,3,5,4,2,1,6,3,4,,106
7516,Election_Day,47,7,14.89,1,2,2,4,2,,2,2,,1,1,2,,,58
7516,VBM,47,23,48.94,5,7,8,6,7,5,7,8,6,5,7,6,2,11,163
7517,Election_Day,32,3,9.38,1,,1,1,1,1,1,1,1,1,1,1,,,22
7517,VBM,32,12,37.5,3,5,3,3,4,4,4,3,2,4,4,4,2,,87
7518,Election_Day,34,4,11.76,,1,1,,1,,,,,,,1,,,40
7518,VBM,34,9,26.47,4,3,5,6,3,4,4,3,2,4,2,3,,,56
7519,Election_Day,30,5,16.67,,1,1,1,1,1,1,1,1,1,1,1,1,,43
7519,VBM,30,6,20,,2,1,,1,2,1,1,,1,,,,,57
7521,Election_Day,19,0,0,,,,,,,,,,,,,,,
7521,VBM,19,8,42.11,3,4,4,4,4,3,4,3,2,4,4,3,,,46
7522,Election_Day,26,5,19.23,,1,1,,1,2,,1,,,,1,,,48
7522,VBM,26,4,15.38,1,1,1,2,1,1,1,1,1,,1,1,,,32
7523,Election_Day,14,3,21.43,,1,,,,,2,1,1,,,1,,,27
7523,VBM,14,7,50,2,3,3,3,1,1,2,,,3,2,1,,,56
7524,Election_Day,28,7,25,5,1,1,2,2,4,3,3,1,1,4,2,,,48
7524,VBM,28,10,35.71,5,6,4,5,4,4,3,5,1,3,3,4,,,63
7525,Election_Day,34,5,14.71,1,1,1,1,,2,1,2,,1,2,,,,43
7525,VBM,34,10,29.41,2,3,2,2,2,2,3,3,3,1,3,4,,,80
7526,Election_Day,38,5,13.16,2,3,,2,4,2,3,3,2,2,1,2,,,29
7526,VBM,38,8,21.05,1,2,,1,1,2,1,1,1,1,1,1,,,75
7527/7528,Election_Day,41,5,12.2,3,,2,2,2,2,2,2,2,2,3,2,,,31
7527/7528,VBM,41,9,21.95,1,3,1,,2,2,1,,,2,1,1,,,85
7529,Election_Day,20,5,25,2,1,2,2,1,2,,1,1,1,1,1,,,40
7529,VBM,20,4,20,1,2,2,2,1,2,1,2,1,2,,2,,,26
7531,Election_Day,19,4,21.05,1,,1,,,,,1,1,,,,,,40
7531,VBM,19,4,21.05,,1,,,,,,,,,,,,11,32
7532,Election_Day,37,5,13.51,1,1,1,1,1,2,1,1,,1,1,1,,,43
7532,VBM,37,12,32.43,3,6,3,3,3,1,3,4,2,2,2,3,,,97
7533,Election_Day,43,11,25.58,1,2,1,1,1,,3,,,1,1,2,,,108
7533,VBM,43,13,30.23,6,4,4,5,4,3,3,2,1,4,3,4,,,100
7534,Election_Day,29,3,10.34,2,1,2,2,1,1,,,,2,1,1,,,20
7534,VBM,29,10,34.48,3,3,2,3,4,3,4,3,2,3,3,2,8,,67
7535,Election_Day,26,7,26.92,4,2,1,1,3,3,2,3,2,1,3,2,,,50
7535,VBM,26,6,23.08,2,,,,,1,1,1,1,1,2,,,11,46
7536,Election_Day,22,6,27.27,4,4,4,4,2,4,3,3,2,3,3,1,,,29
7536,VBM,22,6,27.27,2,1,2,2,1,2,2,1,1,1,4,1,,,46
7537,Election_Day,18,4,22.22,1,1,1,1,1,1,1,1,1,,2,1,,,32
7537,VBM,18,5,27.78,,1,,,,1,,,,,,,12,,41
7538,Election_Day,18,1,5.56,,1,,,,,,,,,,,,,10
7538,VBM,18,8,44.44,1,2,2,1,1,1,2,1,1,3,2,2,1,,68
7539,Election_Day,22,8,36.36,2,3,3,3,2,2,2,3,1,1,1,3,,,62
7539,VBM,22,3,13.64,,2,1,,,,,,,,,,,,30
7541,Election_Day,18,2,11.11,,,,,,,,,,,,,,,22
7541,VBM,18,3,16.67,,2,1,1,2,,1,2,1,,1,2,,,20
7542,Election_Day,23,4,17.39,1,1,,1,1,2,,,,,1,1,,,36
7542,VBM,23,3,13.04,1,1,2,1,,1,1,1,1,1,,,,,23
7543,Election_Day,26,3,11.54,,1,,,,,,,,,,,,,32
7543,VBM,26,10,38.46,1,3,,,4,3,2,,2,,2,1,11,,81
7544,Election_Day,34,8,23.53,2,2,1,2,1,1,2,1,1,1,,1,,,73
7544,VBM,34,9,26.47,4,4,4,3,3,3,4,6,4,3,4,3,5,,49
7545,Election_Day,35,6,17.14,1,4,1,1,1,2,1,1,1,,1,1,,,51
7545,VBM,35,10,28.57,2,6,2,4,4,5,5,2,3,2,3,2,,,70
7546,Election_Day,39,13,33.33,4,8,3,4,5,3,5,1,2,2,2,2,,,102
7546,VBM,39,7,17.95,3,4,5,4,4,3,4,4,3,4,2,4,,11,22
7547,Election_Day,12,3,25,2,,1,1,2,1,2,2,1,1,1,1,,,18
7547,VBM,12,4,33.33,2,1,2,2,1,2,2,2,,2,2,1,,,25
7548,Election_Day,54,7,12.96,2,1,2,1,1,2,1,1,2,1,2,,,,61
7548,VBM,54,13,24.07,4,3,4,4,3,4,2,3,2,3,3,3,,,105
7549,Election_Day,27,6,22.22,,2,1,1,1,,1,,,3,,,,,57
7549,VBM,27,6,22.22,1,2,2,,,,1,1,1,,,,,,58
7551,Election_Day,30,3,10,,1,,,1,,1,,,,,,,,30
7551,VBM,30,7,23.33,3,2,3,4,2,3,2,2,1,3,3,2,,,47
7552,Election_Day,27,5,18.52,2,,1,1,,,,,,1,3,,,,47
7552,VBM,27,11,40.74,3,3,3,3,5,3,3,3,3,1,2,3,,,86
7553,Election_Day,10,0,0,,,,,,,,,,,,,,,
7553,VBM,10,7,70,2,1,3,2,2,2,4,4,3,2,2,3,1,,46
7554,Election_Day,34,7,20.59,2,2,1,1,3,2,4,2,1,3,3,3,,,50
7554,VBM,34,18,52.94,3,5,3,5,2,2,2,2,1,4,4,3,,,162
7555,Election_Day,45,9,20,,2,2,2,3,2,,1,,,2,1,,,84
7555,VBM,45,18,40,3,3,7,4,3,4,3,3,4,5,4,3,,,152
7556/7557,Election_Day,67,11,16.42,2,4,2,2,2,1,3,2,,1,1,3,,,98
7556/7557,VBM,67,28,41.79,4,7,7,8,7,7,5,8,4,8,5,5,,,233
7601,Election_Day,51,6,11.76,,2,2,3,2,2,1,2,,2,,1,1,,48
7601,VBM,51,11,21.57,7,5,3,4,3,5,5,4,3,4,5,4,1,,68
7602,Election_Day,39,5,12.82,1,1,,,2,,1,1,,,1,1,,,47
7602,VBM,39,12,30.77,4,5,2,2,5,4,2,4,3,2,3,4,4,,88
7603,Election_Day,34,3,8.82,,,,,,1,1,,,,,,,,31
7603,VBM,34,11,32.35,4,2,2,4,2,3,7,4,3,3,5,3,,,79
7604,Election_Day,61,9,14.75,2,4,3,2,2,3,4,1,2,3,2,1,,,70
7604,VBM,61,15,24.59,6,6,8,7,5,6,6,6,4,7,6,2,1,,95
7605,Election_Day,39,1,2.56,,1,,,1,,,,,,,1,,,8
7605,VBM,39,8,20.51,2,4,1,3,1,1,2,1,1,1,2,1,5,,63
7606,Election_Day,45,9,20,1,2,2,1,3,3,2,1,1,1,2,3,,,77
7606,VBM,45,16,35.56,3,3,4,6,4,3,4,3,1,3,2,4,,,136
7607,Election_Day,54,5,9.26,,1,,,1,1,1,,1,,2,,1,,47
7607,VBM,54,17,31.48,9,9,9,7,8,8,8,8,5,7,8,6,2,,93
7608,Election_Day,28,3,10.71,,,,,,,,,,,,,,,33
7608,VBM,28,7,25,1,,,,,2,,1,,,1,1,,,71
7609,Election_Day,52,5,9.62,2,2,3,2,3,4,2,2,2,3,2,3,,,25
7609,VBM,52,8,15.38,6,4,3,2,4,2,3,3,4,3,5,4,,,45
7611,Election_Day,45,3,6.67,1,1,1,2,1,2,1,1,1,1,1,,,,20
7611,VBM,45,13,28.89,2,5,2,4,5,6,4,3,2,3,6,3,,,98
7612,Election_Day,39,3,7.69,,,1,,,,,,,,,,,,32
7612,VBM,39,14,35.9,6,3,4,4,6,4,5,4,4,4,7,6,,,97
7613,Election_Day,46,4,8.7,2,2,2,1,2,2,2,2,2,,2,1,1,,23
7613,VBM,46,14,30.43,4,5,4,5,3,4,4,2,4,4,4,3,,,108
7614,Election_Day,71,7,9.86,,2,,,,1,,,,,,1,,,73
7614,VBM,71,22,30.99,4,6,3,3,9,4,7,5,2,3,6,5,2,,183
7615,Election_Day,58,8,13.79,1,,,3,2,1,1,2,1,1,1,1,3,,71
7615,VBM,58,16,27.59,8,6,7,9,7,7,9,7,6,6,6,5,,,93
7616,Election_Day,37,1,2.7,1,1,1,1,,1,1,1,1,1,1,1,,,
7616,VBM,37,15,40.54,4,2,5,5,3,3,5,4,2,3,3,6,,,120
7617,Election_Day,45,2,4.44,,,,,,,,,,,,,,,22
7617,VBM,45,9,20,4,4,2,3,2,4,3,4,2,1,2,3,,,65
7618,Election_Day,44,3,6.82,1,1,1,2,1,2,2,1,1,2,1,2,,,16
7618,VBM,44,9,20.45,4,4,1,1,5,2,4,3,2,1,2,4,,,66
7619,Election_Day,84,5,5.95,3,3,1,2,3,4,3,3,3,2,3,3,,,22
7619,VBM,84,26,30.95,10,12,10,12,7,8,10,7,7,9,8,4,,,182
7621,Election_Day,55,5,9.09,,2,,,1,1,1,2,2,,1,1,,,44
7621,VBM,55,15,27.27,2,6,5,3,4,7,6,5,5,4,9,5,3,,101
7622,Election_Day,67,8,11.94,1,1,,,,,,,,,,,,,86
7622,VBM,67,17,25.37,3,4,5,7,3,5,7,4,4,3,2,5,,,135
7623,Election_Day,37,7,18.92,,,,1,,1,,,1,1,1,,,,72
7623,VBM,37,10,27.03,2,2,3,3,,3,1,2,1,3,4,2,1,,83
7624,Election_Day,43,1,2.33,1,1,1,1,1,1,1,1,1,1,1,,,,
7624,VBM,43,12,27.91,6,1,1,3,4,3,2,2,3,3,6,2,2,,94
7625,Election_Day,66,1,1.52,,1,1,1,1,1,1,1,1,1,1,1,,,
7625,VBM,66,31,46.97,14,11,13,17,16,16,15,17,8,14,17,13,,,170
7626,Election_Day,97,10,10.31,3,3,1,1,2,,1,1,1,,4,1,,,92
