precinct,ballot_type,registered,ballots_cast,turnout,TROY_BODNAR,MATTHEW_DEL_CARLO,HARMEET_K._DHILLON,JASON_P._CLARK,CHRIS_CHENG,CHRISTINE_HUGHES,MASON_HARRISON,CHANTAL_ANDERSON,LAUREN_R._AMMATUNA,BARRY_A._GRAYNOR,LISA_REMMER,SARVJIT_S._RANDHAWA,WRITE-IN,over_votes,under_votes
7943,Election_Day,60,10,16.67,2,3,4,2,2,3,3,3,,5,3,3,,,77
7943,VBM,60,24,40,5,8,7,5,7,5,7,6,6,5,7,6,2,,188
7944,Election_Day,24,3,12.5,1,1,,1,1,1,2,1,1,,1,1,1,,21
7944,VBM,24,3,12.5,2,1,,,1,,,,,,,,,,29
7945,Election_Day,37,4,10.81,,1,1,1,1,1,1,1,,1,1,1,1,,33
7945,VBM,37,10,27.03,2,3,2,4,4,1,3,2,,1,2,2,3,,81
7946,Election_Day,46,3,6.52,1,,,,,,1,,,,,1,,,30
7946,VBM,46,23,50,5,5,9,10,8,9,8,7,5,8,8,4,1,,166
7947,Election_Day,61,10,16.39,1,1,1,2,1,1,1,1,1,1,4,,,,95
7947,VBM,61,23,37.7,8,13,8,8,7,9,9,8,6,8,9,6,,,154
7948,Election_Day,54,10,18.52,2,5,1,2,2,2,2,2,2,2,3,1,,,84
7948,VBM,54,14,25.93,3,1,3,4,6,2,2,2,1,5,3,2,,,120
7949,Election_Day,46,4,8.7,,,1,2,,1,1,1,1,1,1,,,,35
7949,VBM,46,14,30.43,5,5,4,6,4,5,3,3,3,4,4,2,,,106
7951,Election_Day,60,6,10,1,4,2,2,2,1,1,1,1,1,1,,,,49
7951,VBM,60,32,53.33,6,12,7,10,8,12,11,9,6,11,12,7,5,,236
7952,Election_Day,50,15,30,3,,,1,3,2,1,1,1,1,2,4,3,,143
7952,VBM,50,18,36,5,4,6,7,5,5,6,3,3,7,6,4,4,11,122
7953,Election_Day,68,7,10.29,1,2,2,2,3,2,2,2,1,2,1,2,,,55
7953,VBM,68,25,36.76,4,8,4,7,6,4,6,6,4,4,5,2,,,215
7954,Election_Day,0,0,0,,,,,,,,,,,,,,,
7954,VBM,0,0,0,,,,,,,,,,,,,,,
7955,Election_Day,60,10,16.67,2,3,3,2,2,2,3,3,1,2,3,3,,,81
7955,VBM,60,29,48.33,8,8,2,3,7,12,6,4,3,4,10,6,4,,242
7956,Election_Day,55,6,10.91,2,2,1,,2,4,1,1,1,,2,1,5,,44
7956,VBM,55,22,40,5,5,4,5,5,5,10,6,3,4,3,6,6,,175
7957,Election_Day,34,2,5.88,,,,,,1,,,,,1,1,,,19
7957,VBM,34,8,23.53,2,4,3,2,3,3,4,3,3,4,4,4,,,49
7958,Election_Day,13,0,0,,,,,,,,,,,,,,,
7958,VBM,13,6,46.15,2,4,2,2,3,3,3,2,2,2,,3,,,38
9900,Election_Day,0,0,0,,,,,,,,,,,,,,,
9900,VBM,0,0,0,,,,,,,,,,,,,,,
9901,Election_Day,0,0,0,,,,,,,,,,,,,,,
9901,VBM,0,0,0,,,,,,,,,,,,,,,
9902,Election_Day,0,0,0,,,,,,,,,,,,,,,
9902,VBM,0,0,0,,,,,,,,,,,,,,,
