precinct,ballot_type,registered_voters,ballots_cast,turnout,JOAN_LEONE,RODNEY_LEONG,KEN_LOO,ANDREW_BENTON,EDWARD_BATE,STEPHANIE_JEONG,TERENCE_FAULKNER,SARAH_L._STORELLI,RICHARD_WORNER,SCOTT_WILLIAMS,JOHN_DENNIS,JOHNNY_D._KNADLER,HILARY_W._HAGENBUCH,RUDY_ASERCION,GILBERT_GONZALES,WRITE-IN,over_votes,under_votes
9729,Election_Day,190,33,17.37,4,4,7,1,,4,10,1,4,,6,1,4,2,1,2,,411
9729,VBM,190,75,39.47,15,21,28,14,5,22,24,14,24,13,22,13,18,13,15,4,,785
9731,Election_Day,99,28,28.28,5,3,12,2,1,2,6,4,3,2,4,3,4,2,4,,,335
9731,VBM,99,37,37.37,8,9,15,7,6,10,9,6,9,7,12,7,9,6,7,,,391
9732,Election_Day,10,0,0,,,,,,,,,,,,,,,,,,
9732,VBM,10,8,80,,2,4,,,2,,,,,,,2,,1,,,101
9733,Election_Day,22,0,0,,,,,,,,,,,,,,,,,,
9733,VBM,22,14,63.64,2,4,7,2,2,3,3,4,3,3,4,5,5,4,3,1,,141
9734,Election_Day,93,20,21.51,3,1,5,4,1,1,2,2,4,2,1,2,3,1,2,6,,240
9734,VBM,93,35,37.63,6,6,15,7,6,8,11,8,8,9,7,6,11,6,8,,,368
9735,Election_Day,131,23,17.56,3,1,9,3,2,2,4,3,3,2,3,2,2,1,3,1,,278
9735,VBM,131,60,45.8,11,11,22,7,3,15,10,7,9,7,10,7,10,6,8,,,697
9736,Election_Day,84,16,19.05,5,5,7,3,2,5,4,2,4,2,2,3,3,4,2,,,171
9736,VBM,84,33,39.29,9,11,13,8,6,12,8,7,8,7,8,7,8,7,6,3,,334
9737,Election_Day,72,13,18.06,3,4,6,3,1,3,4,4,3,5,3,3,4,3,2,1,,130
9737,VBM,72,28,38.89,7,8,12,7,3,8,6,9,7,6,6,7,7,5,9,1,,284
9738,Election_Day,97,16,16.49,5,5,13,6,5,5,4,6,6,6,5,5,7,5,5,,,136
9738,VBM,97,28,28.87,9,7,10,13,9,4,9,10,8,10,10,9,8,5,3,,,268
9739,Election_Day,58,13,22.41,5,6,4,3,2,5,4,3,6,3,6,3,5,4,5,,,118
9739,VBM,58,17,29.31,2,3,4,5,3,3,6,4,5,3,4,3,2,3,4,,,184
9741,Election_Day,24,0,0,,,,,,,,,,,,,,,,,,
9741,VBM,24,2,8.33,,,1,,,,,,,,,,,,,,,27
9742,Election_Day,98,20,20.41,5,8,6,5,2,6,5,5,6,6,4,3,3,3,3,,,210
9742,VBM,98,30,30.61,9,9,15,8,5,7,8,6,5,6,5,5,7,4,4,1,,316
9743,Election_Day,60,12,20,1,1,2,2,2,2,2,1,3,2,2,,,,1,,14,133
9743,VBM,60,24,40,7,7,16,13,8,6,11,8,5,10,10,8,11,7,9,,,200
9744,Election_Day,84,13,15.48,3,3,5,6,3,3,5,4,2,4,3,4,6,3,2,1,,125
