precinct,ballot_type,registered_voters,ballots_cast,turnout,JOAN_LEONE,RODNEY_LEONG,KEN_LOO,ANDREW_BENTON,EDWARD_BATE,STEPHANIE_JEONG,TERENCE_FAULKNER,SARAH_L._STORELLI,RICHARD_WORNER,SCOTT_WILLIAMS,JOHN_DENNIS,JOHNNY_D._KNADLER,HILARY_W._HAGENBUCH,RUDY_ASERCION,GILBERT_GONZALES,WRITE-IN,over_votes,under_votes
9119,VBM,85,29,34.12,8,10,14,4,5,9,10,4,5,4,8,3,5,2,2,,,313
9121,Election_Day,71,16,22.54,3,3,1,1,,2,4,4,3,1,6,2,2,1,1,,,190
9121,VBM,71,18,25.35,4,5,6,3,,6,1,,2,1,2,1,4,1,2,,14,200
9122,Election_Day,92,5,5.43,1,1,2,1,2,1,1,1,1,2,1,1,1,,1,,,53
9122,VBM,92,27,29.35,4,7,12,7,5,6,5,5,5,7,5,5,6,5,5,10,,279
9123,Election_Day,76,11,14.47,3,3,7,3,5,3,4,4,5,3,5,2,3,4,5,,,95
9123,VBM,76,29,38.16,4,8,17,7,5,9,6,6,3,7,4,6,11,6,8,1,,298
9124,Election_Day,72,7,9.72,1,1,2,2,1,2,1,1,1,1,1,2,1,2,2,,,77
9124,VBM,72,24,33.33,3,6,10,4,1,8,6,5,4,3,5,3,7,2,4,1,,264
9125,Election_Day,54,6,11.11,1,2,2,,,2,1,1,,,1,1,1,1,1,,,70
9125,VBM,54,18,33.33,7,8,8,4,3,8,4,3,6,6,6,1,4,5,7,,,172
9126,Election_Day,80,14,17.5,1,4,8,4,1,5,3,4,2,3,,2,4,3,5,,,147
9126,VBM,80,27,33.75,12,14,17,7,6,14,11,8,9,6,14,8,8,6,10,3,,225
9127,Election_Day,85,24,28.24,4,10,13,3,2,7,4,3,2,4,4,4,5,2,5,1,,263
9127,VBM,85,19,22.35,6,7,7,1,,7,3,,3,1,4,1,1,1,1,3,,220
9128,Election_Day,80,19,23.75,1,2,9,1,,3,1,2,,,1,1,4,,,,,241
9128,VBM,80,30,37.5,6,10,17,5,8,10,7,4,6,5,6,6,6,6,3,1,,314
9129,Election_Day,66,7,10.61,1,3,1,3,1,2,2,2,2,2,2,2,2,2,2,,,69
9129,VBM,66,24,36.36,6,12,15,2,3,11,9,4,7,7,6,7,6,6,7,,,228
9131,Election_Day,48,8,16.67,,,3,,2,1,1,,,1,,,1,1,1,,,101
9131,VBM,48,13,27.08,4,5,5,2,2,4,4,2,3,2,4,2,2,2,1,,,138
9132,Election_Day,57,2,3.51,1,1,1,,,1,1,,1,,1,,,,,,,21
9132,VBM,57,13,22.81,1,2,4,2,1,1,2,,3,2,3,,3,,3,,,155
9133,Election_Day,73,15,20.55,,3,4,2,2,1,2,2,,3,3,2,3,2,6,,,175
9133,VBM,73,18,24.66,7,6,8,4,3,5,6,5,9,4,6,4,5,3,5,,,172
9134,Election_Day,83,13,15.66,5,3,9,4,4,4,4,3,2,4,5,4,4,3,4,,,120
9134,VBM,83,31,37.35,8,11,17,9,5,10,8,6,4,7,8,5,4,4,3,2,,323
