precinct,ballot_type,registered,ballots_cast,turnout,JANE_KIM,SCOTT_WIENER,KEN_LOO,WRITE-IN,over_votes,under_votes
7801,VBM,928,396,42.67,102,250,19,2,,23
7802,Election_Day,732,224,30.6,79,132,3,,,10
7802,VBM,732,286,39.07,86,164,14,,,22
7803,Election_Day,775,173,22.32,53,106,3,,,11
7803,VBM,775,410,52.9,104,276,15,,,15
7804,Election_Day,881,262,29.74,102,147,5,,,8
7804,VBM,881,372,42.22,111,225,14,2,,20
7805,Election_Day,795,207,26.04,92,103,2,,,10
7805,VBM,795,334,42.01,119,193,9,,1,12
7806,Election_Day,727,203,27.92,106,86,4,,,7
7806,VBM,727,275,37.83,100,151,6,,1,17
7807,Election_Day,729,243,33.33,122,110,3,,,8
7807,VBM,729,231,31.69,93,123,6,,,9
7808,Election_Day,653,216,33.08,94,109,2,,,11
7808,VBM,653,223,34.15,84,112,5,,,22
7809,Election_Day,978,266,27.2,144,100,4,1,,17
7809,VBM,978,362,37.01,164,166,11,,,21
7811,Election_Day,731,209,28.59,132,62,2,1,,12
7811,VBM,731,244,33.38,120,101,5,2,1,15
7812,Election_Day,819,231,28.21,115,82,7,2,1,24
7812,VBM,819,297,36.26,129,139,13,1,,15
7813,Election_Day,982,305,31.06,179,98,8,1,,19
7813,VBM,982,377,38.39,166,164,11,,1,35
7814,Election_Day,835,178,21.32,105,50,5,,,18
7814,VBM,835,211,25.27,112,78,10,1,3,7
7815,Election_Day,890,225,25.28,74,129,9,,,13
7815,VBM,890,397,44.61,147,222,9,2,,17
7816,Election_Day,837,238,28.43,91,130,3,,,14
7816,VBM,837,398,47.55,120,259,6,1,,12
7817,Election_Day,781,270,34.57,137,109,3,,,21
7817,VBM,781,303,38.8,138,150,5,,,10
7818,Election_Day,828,235,28.38,131,83,3,,,18
7818,VBM,828,324,39.13,132,170,5,,,17
7819,Election_Day,762,216,28.35,109,76,13,3,,15
7819,VBM,762,274,35.96,104,140,15,,1,14
7821,Election_Day,918,255,27.78,108,135,1,,,11
7821,VBM,918,407,44.34,131,241,19,,,16
7822,Election_Day,873,278,31.84,122,135,6,2,,13
7822,VBM,873,301,34.48,103,173,9,2,,14
7823,Election_Day,854,255,29.86,137,108,1,,,9
7823,VBM,854,322,37.7,118,173,13,,,18
7824,Election_Day,748,214,28.61,94,104,4,,,12
7824,VBM,748,272,36.36,103,139,7,1,,22
7825,Election_Day,547,174,31.81,75,84,10,1,1,3
7825,VBM,547,196,35.83,98,75,8,,,15
7826,Election_Day,672,215,31.99,112,84,2,,,17
7826,VBM,672,255,37.95,120,107,10,,,18
7827,Election_Day,890,250,28.09,164,65,7,,,14
7827,VBM,890,275,30.9,151,89,20,1,,14
7828,Election_Day,935,239,25.56,91,125,9,,,14
7828,VBM,935,401,42.89,135,219,20,,,27
7829,Election_Day,845,217,25.68,82,118,10,,,7
7829,VBM,845,390,46.15,112,252,12,,,14
7831,Election_Day,878,258,29.38,94,145,5,1,,13
7831,VBM,878,364,41.46,115,225,10,,,14
7832,Election_Day,782,222,28.39,99,109,2,,,12
7832,VBM,782,350,44.76,129,198,11,1,,11
7833,Election_Day,753,193,25.63,101,76,1,,,15
7833,VBM,753,289,38.38,127,129,8,,,25
7834,Election_Day,852,280,32.86,154,102,8,,,16
7834,VBM,852,268,31.46,122,122,5,,1,18
7835,Election_Day,787,223,28.34,107,85,9,1,,21
7835,VBM,787,327,41.55,129,154,30,1,,13
7836,Election_Day,948,249,26.27,106,120,9,,,14
7836,VBM,948,406,42.83,139,214,25,1,,27
7837,Election_Day,868,250,28.8,81,134,6,,1,28
7837,VBM,868,362,41.71,98,224,16,,1,23
7838,Election_Day,895,229,25.59,85,124,9,,,11
7838,VBM,895,426,47.6,114,278,8,,,26
7839,Election_Day,824,218,26.46,68,127,8,,,15
7839,VBM,824,365,44.3,94,233,23,,2,13
7841,Election_Day,904,271,29.98,117,130,7,,,17
7841,VBM,904,367,40.6,123,199,16,,,29
7842,Election_Day,864,294,34.03,147,124,4,,,19
7842,VBM,864,293,33.91,127,132,19,,,15
7843,Election_Day,733,231,31.51,122,82,5,,,22
7843,VBM,733,233,31.79,123,86,13,,,11
7844,Election_Day,653,198,30.32,106,66,9,1,,16
7844,VBM,653,217,33.23,101,86,11,2,,17
7845,Election_Day,835,234,28.02,89,117,7,,,21
7845,VBM,835,326,39.04,91,204,10,,1,20
7846,Election_Day,886,248,27.99,95,126,11,,,16
7846,VBM,886,334,37.7,99,193,19,1,,22
7847,Election_Day,888,258,29.05,115,122,7,,,14
7847,VBM,888,334,37.61,95,200,18,,,21
7848,Election_Day,860,247,28.72,92,130,10,,,15
7848,VBM,860,353,41.05,104,214,12,3,,20
7849,Election_Day,920,298,32.39,128,138,12,,,20
7849,VBM,920,329,35.76,117,172,15,1,1,23
7851,Election_Day,502,116,23.11,28,69,11,,,8
7851,VBM,502,228,45.42,42,155,17,,,14
7852,Election_Day,633,154,24.33,51,82,12,,,9
7852,VBM,633,269,42.5,78,156,21,,,14
7853,Election_Day,817,213,26.07,73,123,8,1,,8
7853,VBM,817,321,39.29,87,201,15,,,18
7854,Election_Day,884,250,28.28,105,123,9,,,13
7854,VBM,884,344,38.91,109,201,15,,1,18
7855,Election_Day,881,284,32.24,130,133,6,,,15
7855,VBM,881,321,36.44,100,185,14,,,22
7856,Election_Day,785,233,29.68,111,101,7,,,14
7856,VBM,785,313,39.87,127,157,12,,,17
7857,Election_Day,919,233,25.35,129,78,8,,,18
7857,VBM,919,370,40.26,154,160,24,,,32
7858,Election_Day,750,240,32,138,69,10,1,1,21
7858,VBM,750,245,32.67,127,94,7,1,,16
7859,Election_Day,844,233,27.61,66,139,9,,,19
7859,VBM,844,352,41.71,103,210,16,,1,22
7861,Election_Day,844,243,28.79,110,108,10,,,15
7861,VBM,844,319,37.8,107,182,8,,,22
7862,Election_Day,884,272,30.77,118,132,6,3,,13
7862,VBM,884,324,36.65,102,185,16,,,21
7863,Election_Day,879,275,31.29,136,116,7,1,,15
7863,VBM,879,290,32.99,126,138,5,1,,20
7864,Election_Day,769,215,27.96,108,85,10,,,12
7864,VBM,769,269,34.98,104,136,12,,,17
7865,Election_Day,814,258,31.7,130,99,14,,,15
7865,VBM,814,309,37.96,103,154,20,,,32
7866,Election_Day,786,196,24.94,57,117,15,,,7
7866,VBM,786,367,46.69,94,207,41,1,1,23
7867,Election_Day,892,251,28.14,93,139,5,,,14
7867,VBM,892,338,37.89,95,212,19,1,,11
7868,Election_Day,835,213,25.51,64,131,6,1,,11
7868,VBM,835,332,39.76,102,199,19,,1,11
7869,Election_Day,832,247,29.69,94,129,9,,,15
7869,VBM,832,361,43.39,108,223,10,1,1,18
7871,Election_Day,863,255,29.55,83,159,3,,,10
7871,VBM,863,362,41.95,122,203,19,,,18
7872,Election_Day,876,284,32.42,103,158,10,2,,11
7872,VBM,876,351,40.07,114,198,14,,,25
7873,Election_Day,847,251,29.63,95,133,2,1,,20
7873,VBM,847,346,40.85,103,203,17,,,23
7874,Election_Day,461,128,27.77,60,48,8,,,12
7874,VBM,461,166,36.01,56,87,8,1,,14
7875,Election_Day,580,107,18.45,41,52,4,,,10
7875,VBM,580,222,38.28,85,104,17,1,1,14
7901,Election_Day,1134,282,24.87,159,84,8,1,2,28
7901,VBM,1134,317,27.95,146,132,12,2,1,24
7902,Election_Day,935,253,27.06,166,59,8,1,,19
7902,VBM,935,245,26.2,133,91,7,1,,13
7903,Election_Day,848,187,22.05,102,50,5,1,,29
7903,VBM,848,239,28.18,128,86,7,,,18
7904,Election_Day,861,178,20.67,117,39,8,,,14
7904,VBM,861,273,31.71,136,98,20,1,,18
7905,Election_Day,821,224,27.28,135,59,12,1,,17
7905,VBM,821,265,32.28,124,112,15,,,14
7906,Election_Day,778,231,29.69,146,58,8,,,19
7906,VBM,778,233,29.95,125,86,7,,,15
7907,Election_Day,925,261,28.22,152,81,5,,,23
7907,VBM,925,293,31.68,155,103,15,1,,19
7908,Election_Day,935,250,26.74,147,78,5,,1,19
7908,VBM,935,271,28.98,124,113,14,,,20
7909,Election_Day,735,227,30.88,147,51,4,,,25
7909,VBM,735,207,28.16,107,80,4,,,16
7911,Election_Day,849,247,29.09,149,69,3,,,26
7911,VBM,849,279,32.86,140,102,13,,1,23
7912,Election_Day,1004,274,27.29,166,66,6,2,,34
7912,VBM,1004,314,31.27,150,129,11,2,,22
7913,Election_Day,890,293,32.92,159,95,6,1,2,30
7913,VBM,890,258,28.99,123,98,16,,,21
7914,Election_Day,859,268,31.2,162,73,6,1,,26
7914,VBM,859,275,32.01,168,70,9,,2,26
7915,Election_Day,784,242,30.87,158,47,7,,,30
7915,VBM,784,195,24.87,101,70,5,,2,17
7916,Election_Day,867,256,29.53,178,59,5,2,,12
7916,VBM,867,274,31.6,141,103,10,3,1,16
7917,Election_Day,1003,300,29.91,186,75,8,,,31
7917,VBM,1003,288,28.71,171,98,4,1,,14
7918,Election_Day,807,249,30.86,145,67,5,2,,30
7918,VBM,807,241,29.86,139,75,12,,,15
7919,Election_Day,858,271,31.59,152,82,6,,2,29
7919,VBM,858,232,27.04,127,80,7,3,,15
7921,Election_Day,893,228,25.53,134,63,2,,2,27
7921,VBM,893,245,27.44,132,80,18,1,1,13
7922,Election_Day,836,232,27.75,147,54,7,1,3,20
7922,VBM,836,278,33.25,140,94,15,1,1,27
7923,Election_Day,877,253,28.85,159,69,6,1,,18
7923,VBM,877,279,31.81,167,81,11,1,1,18
7924,Election_Day,815,229,28.1,139,66,6,2,,16
7924,VBM,815,255,31.29,134,80,17,3,,21
7925,Election_Day,551,156,28.31,97,43,3,,,13
7925,VBM,551,194,35.21,95,70,9,2,,18
7926,Election_Day,786,218,27.74,134,68,3,,,13
7926,VBM,786,280,35.62,127,111,11,1,,30
7927,Election_Day,751,246,32.76,152,66,8,2,,18
7927,VBM,751,271,36.09,129,117,10,,,15
7928,Election_Day,907,302,33.3,188,82,8,1,,23
7928,VBM,907,317,34.95,160,123,17,1,,16
7929,Election_Day,833,227,27.25,117,90,6,,,14
7929,VBM,833,356,42.74,178,144,15,,,19
7931,Election_Day,737,209,28.36,120,71,6,,,12
7931,VBM,737,324,43.96,155,140,14,,,15
7932,Election_Day,531,135,25.42,55,66,3,,,11
7932,VBM,531,200,37.66,93,83,14,,,10
7933,Election_Day,8,0,0,,,,,,
7933,VBM,8,6,75,2,4,,,,
7934,Election_Day,831,220,26.47,140,54,4,1,,21
7934,VBM,831,312,37.55,165,115,11,,,21
7935,Election_Day,907,273,30.1,165,86,5,,,17
7935,VBM,907,346,38.15,156,147,20,,,23
7936,Election_Day,843,268,31.79,161,70,6,,,31
7936,VBM,843,297,35.23,140,125,6,,,26
7937,Election_Day,870,246,28.28,127,89,8,1,,21
7937,VBM,870,311,35.75,139,135,18,2,,17
7938,Election_Day,753,215,28.55,115,65,6,4,2,23
7938,VBM,753,224,29.75,112,97,4,1,1,9
7939,Election_Day,659,230,34.9,132,74,6,1,,17
7939,VBM,659,227,34.45,112,89,5,,,21
7941,Election_Day,761,211,27.73,113,65,12,,,21
7941,VBM,761,273,35.87,135,104,13,,1,20
7942,Election_Day,868,220,25.35,115,70,12,1,,22
7942,VBM,868,276,31.8,121,105,19,,,31
7943,Election_Day,873,237,27.15,124,89,6,,,18
7943,VBM,873,303,34.71,123,123,39,,1,17
7944,Election_Day,793,234,29.51,128,76,9,,,21
7944,VBM,793,247,31.15,127,95,13,,,12
7945,Election_Day,846,114,13.48,67,31,4,1,,11
7945,VBM,846,312,36.88,166,105,19,,1,21
7946,Election_Day,915,151,16.5,65,65,4,,,17
7946,VBM,915,335,36.61,127,157,36,,,15
7947,Election_Day,886,155,17.49,64,59,12,,1,19
7947,VBM,886,284,32.05,91,115,43,,2,33
7948,Election_Day,875,191,21.83,80,69,17,,,25
7948,VBM,875,285,32.57,86,129,37,4,,29
7949,Election_Day,538,81,15.06,32,23,11,1,,14
7949,VBM,538,197,36.62,73,77,30,,,17
7951,Election_Day,752,119,15.82,57,38,11,,,13
7951,VBM,752,307,40.82,100,109,66,4,1,27
7952,Election_Day,778,138,17.74,68,45,16,1,,8
7952,VBM,778,260,33.42,104,110,29,,,17
7953,Election_Day,794,157,19.77,70,68,6,1,,12
7953,VBM,794,285,35.89,100,113,45,,,27
7954,Election_Day,0,0,0,,,,,,
7954,VBM,0,0,0,,,,,,
7955,Election_Day,831,145,17.45,61,45,19,2,1,17
7955,VBM,831,279,33.57,110,109,37,1,,22
7956,Election_Day,712,98,13.76,43,38,4,1,1,11
7956,VBM,712,258,36.24,99,106,37,2,,14
7957,Election_Day,624,109,17.47,54,40,7,,,8
7957,VBM,624,204,32.69,74,85,17,,,28
7958,Election_Day,266,10,3.76,5,3,1,,,1
7958,VBM,266,112,42.11,48,44,15,,,5
9001,Election_Day,234,5,2.14,3,1,,,,1
9001,VBM,234,99,42.31,36,46,8,,,9
9101,Election_Day,840,197,23.45,94,65,16,,,22
9101,VBM,840,312,37.14,135,113,34,1,1,28
9102,Election_Day,892,215,24.1,89,82,21,,,23
9102,VBM,892,321,35.99,134,129,44,,,14
9103,Election_Day,909,197,21.67,75,87,17,2,1,15
9103,VBM,909,294,32.34,101,125,39,2,,27
9104,Election_Day,927,204,22.01,95,66,16,2,,25
9104,VBM,927,300,32.36,120,106,46,,,28
9105,Election_Day,903,227,25.14,108,76,12,1,,30
9105,VBM,903,311,34.44,117,133,31,1,1,28
9106,Election_Day,892,253,28.36,122,95,12,1,,23
9106,VBM,892,341,38.23,119,157,28,,,37
9107,Election_Day,767,195,25.42,95,62,16,,,22
9107,VBM,767,248,32.33,116,86,25,,,21
9108,Election_Day,758,205,27.04,102,66,19,1,,17
9108,VBM,758,231,30.47,102,91,22,,,16
9109,Election_Day,810,207,25.56,88,76,21,,,22
9109,VBM,810,280,34.57,103,123,28,1,,25
9111,Election_Day,713,184,25.81,75,72,17,,,20
9111,VBM,713,216,30.29,84,87,23,,,22
9112,Election_Day,908,211,23.24,101,82,13,1,,14
9112,VBM,908,317,34.91,143,132,22,,1,19
9113,Election_Day,938,252,26.87,109,102,22,3,,16
9113,VBM,938,325,34.65,131,143,23,,1,27
9114,Election_Day,847,196,23.14,101,60,12,,,23
9114,VBM,847,275,32.47,137,92,28,1,1,16
9115,Election_Day,876,209,23.86,119,64,12,1,,13
9115,VBM,876,287,32.76,128,102,30,,,27
9116,Election_Day,900,211,23.44,114,66,9,,,22
9116,VBM,900,268,29.78,120,95,31,,1,21
9117,Election_Day,729,179,24.55,76,64,14,1,,24
9117,VBM,729,280,38.41,95,126,34,,,25
9118,Election_Day,904,218,24.12,95,75,20,,1,27
9118,VBM,904,286,31.64,117,96,35,,2,36
9119,Election_Day,865,168,19.42,69,73,9,,,17
9119,VBM,865,324,37.46,123,113,49,2,2,35
9121,Election_Day,882,208,23.58,85,88,17,,,18
9121,VBM,882,283,32.09,121,110,35,,,17
9122,Election_Day,864,168,19.44,88,57,7,1,,15
9122,VBM,864,289,33.45,118,107,42,,,22
9123,Election_Day,819,208,25.4,93,74,14,3,,24
9123,VBM,819,292,35.65,119,97,42,1,,33
9124,Election_Day,877,187,21.32,99,58,16,,,14
9124,VBM,877,269,30.67,125,96,24,3,,21
9125,Election_Day,833,185,22.21,86,68,12,,,19
9125,VBM,833,303,36.37,124,123,33,,,23
9126,Election_Day,914,204,22.32,99,72,15,,,18
9126,VBM,914,325,35.56,123,137,44,,,21
9127,Election_Day,929,235,25.3,96,92,27,,,20
9127,VBM,929,306,32.94,116,138,31,,,21
9128,Election_Day,826,229,27.72,99,76,29,,,25
9128,VBM,826,271,32.81,99,100,45,1,,26
9129,Election_Day,673,185,27.49,84,70,13,1,,17
9129,VBM,673,214,31.8,78,94,23,1,,18
9131,Election_Day,733,178,24.28,78,60,10,,,30
9131,VBM,733,250,34.11,115,96,27,1,,11
9132,Election_Day,834,206,24.7,118,56,8,,,24
9132,VBM,834,243,29.14,112,85,28,,,18
9133,Election_Day,986,211,21.4,106,73,13,,,19
9133,VBM,986,365,37.02,143,164,37,,1,20
9134,Election_Day,822,155,18.86,84,49,10,,,12
9134,VBM,822,288,35.04,116,112,34,,,26
9135,Election_Day,782,169,21.61,77,57,16,1,,18
9135,VBM,782,260,33.25,77,99,42,,1,41
9136,Election_Day,893,212,23.74,122,61,8,,,21
9136,VBM,893,304,34.04,125,122,32,,,25
9137,Election_Day,912,185,20.29,92,52,23,,,18
9137,VBM,912,315,34.54,125,126,43,,,21
9138,Election_Day,858,150,17.48,67,58,15,,,10
9138,VBM,858,283,32.98,108,115,40,,3,17
9139,Election_Day,943,188,19.94,81,66,23,1,,17
9139,VBM,943,351,37.22,123,126,74,,,28
9141,Election_Day,895,192,21.45,99,58,17,1,,17
9141,VBM,895,319,35.64,122,123,50,1,,23
9142,Election_Day,901,218,24.2,110,76,9,,,23
9142,VBM,901,292,32.41,128,112,33,1,,18
9143,Election_Day,865,209,24.16,113,68,16,,,12
9143,VBM,865,301,34.8,122,105,42,,1,31
9144,Election_Day,926,245,26.46,106,95,17,,,27
9144,VBM,926,314,33.91,134,128,28,,,24
9145,Election_Day,823,210,25.52,105,70,19,,,16
9145,VBM,823,274,33.29,103,126,26,,1,18
9146,Election_Day,856,246,28.74,118,86,17,,,25
9146,VBM,856,272,31.78,126,102,22,1,,21
9147,Election_Day,894,238,26.62,112,81,20,1,,24
9147,VBM,894,285,31.88,126,105,39,,1,14
9148,Election_Day,943,273,28.95,127,106,16,1,,23
9148,VBM,943,294,31.18,116,129,28,,1,20
9149,Election_Day,893,238,26.65,113,85,13,1,,26
9149,VBM,893,297,33.26,121,129,27,,,20
9151,Election_Day,775,156,20.13,70,59,11,,,16
9151,VBM,775,269,34.71,102,110,28,1,1,27
9152,Election_Day,724,106,14.64,46,46,2,2,,10
9152,VBM,724,165,22.79,57,62,31,,,15
9201,Election_Day,903,243,26.91,134,74,11,1,,23
9201,VBM,903,264,29.24,112,96,34,,,22
9202,Election_Day,871,222,25.49,92,79,19,1,,31
9202,VBM,871,240,27.55,90,109,21,,,20
9203,Election_Day,903,176,19.49,48,70,34,,1,23
9203,VBM,903,294,32.56,64,133,64,,,33
9204,Election_Day,753,166,22.05,51,62,25,,,28
9204,VBM,753,228,30.28,57,113,41,,,17
9205,Election_Day,665,137,20.6,47,51,19,3,,17
9205,VBM,665,225,33.83,51,111,35,,,28
9206,Election_Day,879,159,18.09,49,72,26,,,12
9206,VBM,879,305,34.7,64,139,74,,,28
9207,Election_Day,858,178,20.75,45,88,25,,,20
9207,VBM,858,247,28.79,53,124,42,1,,27
9208,Election_Day,869,186,21.4,70,73,20,,,23
9208,VBM,869,234,26.93,56,98,55,,1,24
9209,Election_Day,658,157,23.86,63,51,24,,,19
9209,VBM,658,188,28.57,43,81,40,1,,23
9211,Election_Day,777,161,20.72,48,81,13,,,19
9211,VBM,777,212,27.28,60,73,47,,,32
9212,Election_Day,762,160,21,60,63,17,,,20
9212,VBM,762,215,28.22,70,92,30,,,23
9213,Election_Day,870,172,19.77,68,68,18,,,18
9213,VBM,870,263,30.23,81,116,45,,,21
9214,Election_Day,565,111,19.65,32,47,15,,,17
9214,VBM,565,197,34.87,40,91,46,,,20
9215,Election_Day,604,132,21.85,29,72,13,,,18
9215,VBM,604,197,32.62,49,95,37,,,16
9216,Election_Day,712,160,22.47,57,64,19,,,20
9216,VBM,712,177,24.86,34,70,48,,1,24
9217,Election_Day,682,154,22.58,58,53,25,1,,17
9217,VBM,682,201,29.47,59,90,32,,,20
9218,Election_Day,743,136,18.3,37,52,26,,,21
9218,VBM,743,220,29.61,65,101,29,1,,24
9219,Election_Day,719,184,25.59,57,76,15,2,,34
9219,VBM,719,180,25.03,50,77,29,,,24
9221,Election_Day,611,136,22.26,33,67,19,,,17
9221,VBM,611,260,42.55,35,144,59,,,22
9222,Election_Day,802,155,19.33,37,86,19,,,13
9222,VBM,802,305,38.03,63,159,41,1,,41
9223,Election_Day,591,98,16.58,32,46,8,1,,11
9223,VBM,591,215,36.38,51,112,35,,,17
9224,Election_Day,898,184,20.49,50,84,17,,,33
9224,VBM,898,298,33.18,58,172,46,,,22
9225,Election_Day,866,193,22.29,59,74,27,,,33
9225,VBM,866,242,27.94,70,105,35,2,,30
9226,Election_Day,822,169,20.56,46,75,27,,1,20
9226,VBM,822,281,34.18,75,113,54,3,,36
9227,Election_Day,709,154,21.72,51,69,14,,,20
9227,VBM,709,293,41.33,68,129,65,1,,30
9228,Election_Day,687,165,24.02,43,81,23,1,,17
9228,VBM,687,272,39.59,67,129,57,,,19
9229,Election_Day,576,135,23.44,33,76,14,,,12
9229,VBM,576,230,39.93,56,133,29,,,12
9231,Election_Day,961,282,29.34,112,121,18,,1,30
9231,VBM,961,313,32.57,108,136,29,,1,39
9232,Election_Day,706,182,25.78,41,96,21,,,24
9232,VBM,706,241,34.14,65,116,39,,4,17
9233,Election_Day,748,166,22.19,48,85,14,,,19
9233,VBM,748,283,37.83,63,146,49,,,25
9234,Election_Day,708,141,19.92,42,63,16,,,20
9234,VBM,708,267,37.71,62,120,55,,,30
9235,Election_Day,825,196,23.76,50,91,33,,,22
9235,VBM,825,290,35.15,68,130,59,,,33
9236,Election_Day,637,149,23.39,50,68,17,,,14
9236,VBM,637,224,35.16,63,114,24,,1,22
9237,Election_Day,846,168,19.86,52,71,17,,,28
9237,VBM,846,301,35.58,77,140,38,,1,45
9238,Election_Day,778,150,19.28,58,68,10,,,14
9238,VBM,778,300,38.56,68,146,62,,,24
9239,Election_Day,811,155,19.11,38,69,23,1,,24
9239,VBM,811,307,37.85,74,142,53,1,,37
9241,Election_Day,903,198,21.93,74,83,15,1,,25
9241,VBM,903,292,32.34,79,130,50,1,,32
9242,Election_Day,864,193,22.34,66,82,20,1,,24
9242,VBM,864,281,32.52,101,113,40,,,27
9243,Election_Day,567,144,25.4,53,57,15,,,19
9243,VBM,567,191,33.69,63,87,25,,,16
9244,Election_Day,828,190,22.95,69,92,5,,,24
9244,VBM,828,253,30.56,91,111,29,,,22
9245,Election_Day,665,157,23.61,63,63,15,,,16
9245,VBM,665,221,33.23,68,106,22,,,25
9246,Election_Day,861,200,23.23,72,88,15,,,25
9246,VBM,861,295,34.26,94,136,33,1,,31
9247,Election_Day,887,202,22.77,77,76,14,,,35
9247,VBM,887,323,36.41,102,152,41,1,,27
9248,Election_Day,834,182,21.82,80,66,15,1,,20
9248,VBM,834,291,34.89,101,125,36,,,29
9249,Election_Day,857,219,25.55,79,107,14,,,19
9249,VBM,857,287,33.49,85,135,34,,,33
9251,Election_Day,882,223,25.28,78,110,11,,,24
9251,VBM,882,312,35.37,99,147,33,,,33
9252,Election_Day,861,170,19.74,74,68,14,,1,13
9252,VBM,861,359,41.7,132,132,46,3,,46
9253,Election_Day,741,167,22.54,62,67,14,,1,23
9253,VBM,741,237,31.98,64,117,29,,,27
9254,Election_Day,860,204,23.72,83,80,12,,1,28
9254,VBM,860,317,36.86,107,154,30,1,,25
9255,Election_Day,513,137,26.71,61,51,9,,1,15
9255,VBM,513,154,30.02,57,74,13,,,10
9256,Election_Day,371,83,22.37,31,36,4,,,12
9256,VBM,371,105,28.3,42,46,11,,,6
9257,Election_Day,284,14,4.93,6,6,,,,2
9257,VBM,284,166,58.45,88,54,12,,,12
9258,Election_Day,659,130,19.73,54,51,13,,,12
9258,VBM,659,251,38.09,113,93,28,,,17
9401,Election_Day,909,255,28.05,139,68,15,,,33
9401,VBM,909,268,29.48,127,101,18,1,1,20
9402,Election_Day,954,241,25.26,144,66,16,,,15
9402,VBM,954,322,33.75,130,117,42,,,33
9403,Election_Day,862,186,21.58,87,70,11,1,,17
9403,VBM,862,299,34.69,128,106,40,,1,24
9404,Election_Day,849,171,20.14,76,66,17,,,12
9404,VBM,849,250,29.45,94,107,33,3,,13
9405,Election_Day,765,185,24.18,70,76,17,,,22
9405,VBM,765,258,33.73,94,116,29,,1,18
9406,Election_Day,862,202,23.43,92,60,25,1,1,23
9406,VBM,862,264,30.63,121,89,34,,,20
9407,Election_Day,851,210,24.68,96,85,14,1,,14
9407,VBM,851,261,30.67,121,92,28,1,2,17
9408,Election_Day,805,218,27.08,108,67,19,3,,21
9408,VBM,805,243,30.19,110,98,13,,1,21
9409,Election_Day,574,168,29.27,95,59,6,,,8
9409,VBM,574,180,31.36,82,65,11,3,,19
9411,Election_Day,987,256,25.94,133,59,22,,,42
9411,VBM,987,296,29.99,151,102,18,,,25
9412,Election_Day,838,214,25.54,121,68,12,,,13
9412,VBM,838,262,31.26,122,85,26,1,,28
9413,Election_Day,871,191,21.93,94,54,16,,,27
9413,VBM,871,299,34.33,98,134,43,,,24
9414,Election_Day,837,176,21.03,81,61,10,,,24
9414,VBM,837,337,40.26,122,136,40,6,,33
9415,Election_Day,764,150,19.63,64,60,11,,,15
9415,VBM,764,260,34.03,100,105,40,,,15
9416,Election_Day,947,229,24.18,104,87,13,,,25
9416,VBM,947,299,31.57,131,116,30,,,22
9417,Election_Day,709,137,19.32,73,35,13,,,16
9417,VBM,709,239,33.71,75,99,50,1,,14
9418,Election_Day,761,161,21.16,63,61,19,2,1,15
9418,VBM,761,242,31.8,83,94,42,,,23
9419,Election_Day,841,142,16.88,61,53,14,,,14
9419,VBM,841,314,37.34,104,106,78,,,26
9421,Election_Day,876,148,16.89,64,54,9,,,21
9421,VBM,876,314,35.84,123,136,31,,2,22
9422,Election_Day,1001,243,24.28,103,77,35,,,28
9422,VBM,1001,323,32.27,118,129,51,,,25
9423,Election_Day,850,165,19.41,58,72,22,,,13
9423,VBM,850,291,34.24,115,126,25,2,2,21
9424,Election_Day,902,166,18.4,72,64,11,,,19
9424,VBM,902,297,32.93,104,133,42,1,,17
9425,Election_Day,880,156,17.73,81,46,6,,,23
9425,VBM,880,288,32.73,115,103,45,1,,24
9426,Election_Day,766,133,17.36,55,48,14,,,16
9426,VBM,766,251,32.77,88,92,48,1,,22
9427,Election_Day,886,144,16.25,44,56,23,2,,19
9427,VBM,886,302,34.09,100,118,64,1,,19
9428,Election_Day,890,134,15.06,54,50,16,,,14
9428,VBM,890,329,36.97,126,126,41,,1,35
9429,Election_Day,848,195,23,85,78,19,,,13
9429,VBM,848,255,30.07,97,103,40,,,15
9431,Election_Day,941,173,18.38,72,65,16,2,,18
9431,VBM,941,349,37.09,124,143,50,,,32
9432,Election_Day,855,183,21.4,72,74,18,1,,18
9432,VBM,855,274,32.05,91,100,44,1,3,35
9433,Election_Day,882,166,18.82,69,52,27,2,,16
9433,VBM,882,317,35.94,104,138,41,,,34
9434,Election_Day,944,209,22.14,87,74,23,,,25
9434,VBM,944,322,34.11,121,136,44,,,21
9435,Election_Day,909,202,22.22,88,69,21,,,24
9435,VBM,909,307,33.77,112,129,48,2,1,15
9436,Election_Day,951,178,18.72,73,58,24,1,,22
9436,VBM,951,324,34.07,108,122,60,,,34
9437,Election_Day,878,174,19.82,68,62,21,1,,22
9437,VBM,878,302,34.4,95,126,58,,1,22
9438,Election_Day,917,164,17.88,71,59,17,1,,16
9438,VBM,917,326,35.55,108,129,65,,,24
9439,Election_Day,836,157,18.78,58,55,19,,,25
9439,VBM,836,286,34.21,95,125,47,1,,18
9441,Election_Day,944,188,19.92,80,67,18,,,23
9441,VBM,944,326,34.53,124,137,39,,1,25
9442,Election_Day,935,218,23.32,104,75,18,,,21
9442,VBM,935,312,33.37,119,126,49,,,18
9443,Election_Day,867,196,22.61,98,62,16,1,,19
9443,VBM,867,273,31.49,112,100,45,,1,15
9444,Election_Day,877,126,14.37,59,43,13,,,11
9444,VBM,877,300,34.21,115,102,50,1,6,26
9445,Election_Day,918,194,21.13,85,72,21,,,16
9445,VBM,918,338,36.82,132,127,47,2,,30
9446,Election_Day,995,212,21.31,92,84,20,,,16
