precinct,ballot_type,registered,ballots_cast,turnout,JANE_KIM,SCOTT_WIENER,KEN_LOO,WRITE-IN,over_votes,under_votes
7007,Election_Day,938,274,29.21,126,110,5,,,33
7007,VBM,938,347,36.99,135,170,17,,1,24
7008,Election_Day,819,216,26.37,101,81,9,,,25
7008,VBM,819,364,44.44,129,173,25,1,,36
7009,Election_Day,873,178,20.39,85,54,18,,,21
7009,VBM,873,319,36.54,125,153,18,,,23
7011,Election_Day,990,172,17.37,77,75,4,2,,14
7011,VBM,990,215,21.72,80,107,7,,,21
7012,Election_Day,937,252,26.89,118,81,20,,,33
7012,VBM,937,348,37.14,141,153,24,1,,29
7013,Election_Day,670,128,19.1,62,49,7,,,10
7013,VBM,670,263,39.25,120,107,13,,,23
7014,Election_Day,971,245,25.23,110,98,14,1,,22
7014,VBM,971,333,34.29,133,163,13,,,24
7015,Election_Day,91,2,2.2,1,1,,,,
7015,VBM,91,47,51.65,24,15,3,,,5
7016,Election_Day,885,122,13.79,67,37,5,,,13
7016,VBM,885,226,25.54,70,109,23,,1,23
7017,Election_Day,721,81,11.23,34,36,1,,,10
7017,VBM,721,149,20.67,52,70,11,,,16
7018,Election_Day,904,105,11.62,50,41,4,,,10
7018,VBM,904,305,33.74,90,152,26,2,1,34
7019,Election_Day,883,136,15.4,64,44,6,2,,20
7019,VBM,883,319,36.13,119,150,25,2,,23
7021,Election_Day,910,146,16.04,65,50,1,,1,29
7021,VBM,910,230,25.27,91,101,20,,,18
7022,Election_Day,969,158,16.31,83,58,2,1,,14
7022,VBM,969,247,25.49,105,117,13,2,1,9
7023,Election_Day,878,136,15.49,51,51,9,1,,24
7023,VBM,878,254,28.93,72,133,15,,,34
7024,Election_Day,290,20,6.9,10,7,,,,3
7024,VBM,290,23,7.93,8,11,3,,,1
7025,Election_Day,460,59,12.83,37,14,1,,,7
7025,VBM,460,84,18.26,39,32,2,,,11
7026,Election_Day,927,110,11.87,46,39,7,1,,17
7026,VBM,927,337,36.35,122,151,36,,1,27
7027,Election_Day,823,145,17.62,57,63,7,,,18
7027,VBM,823,243,29.53,88,111,19,1,1,23
7028,Election_Day,838,145,17.3,65,65,1,,,14
7028,VBM,838,178,21.24,66,85,11,,,16
7029,Election_Day,853,102,11.96,45,45,,,,12
7029,VBM,853,152,17.82,61,69,10,,,12
7030,Election_Day,727,79,10.87,31,31,11,,,6
7030,VBM,727,236,32.46,78,101,31,1,,25
7031,Election_Day,412,39,9.47,22,12,,,,5
7031,VBM,412,179,43.45,76,63,24,,,16
7032,Election_Day,857,132,15.4,62,48,3,1,,18
7032,VBM,857,229,26.72,88,103,21,1,1,15
7033,Election_Day,767,150,19.56,62,50,11,1,,26
7033,VBM,767,159,20.73,60,70,12,1,,16
7034,Election_Day,875,97,11.09,36,41,3,,,17
7034,VBM,875,143,16.34,48,79,6,1,,9
7035,Election_Day,386,72,18.65,31,27,5,1,,8
7035,VBM,386,112,29.02,38,51,9,1,,13
7036,Election_Day,862,93,10.79,43,38,3,,1,8
7036,VBM,862,232,26.91,83,101,27,2,2,17
7037,Election_Day,762,85,11.15,39,24,2,1,,19
7037,VBM,762,70,9.19,28,29,5,,,8
7038,Election_Day,874,90,10.3,42,35,6,,,7
7038,VBM,874,243,27.8,80,116,34,,,13
7039,Election_Day,764,166,21.73,61,78,13,,,14
7039,VBM,764,196,25.65,70,82,27,,,17
7041,Election_Day,55,3,5.45,,1,,,,2
7041,VBM,55,21,38.18,7,8,4,,2,
7042,Election_Day,627,100,15.95,44,34,12,2,,8
7042,VBM,627,203,32.38,87,81,19,1,,15
7043,Election_Day,884,108,12.22,68,22,6,,,12
7043,VBM,884,260,29.41,100,112,24,1,2,21
7044,Election_Day,785,86,10.96,39,29,1,,1,16
7044,VBM,785,103,13.12,38,42,10,1,,12
7045,Election_Day,736,99,13.45,40,40,9,,,10
7045,VBM,736,243,33.02,89,113,23,,1,17
7046,Election_Day,416,65,15.63,33,22,5,,,5
7046,VBM,416,140,33.65,62,56,14,,,8
7047,Election_Day,783,99,12.64,53,29,6,,,11
7047,VBM,783,282,36.02,117,112,32,,1,20
7048,Election_Day,793,108,13.62,39,47,6,,,16
7048,VBM,793,209,26.36,76,97,17,1,1,17
7049,Election_Day,778,105,13.5,47,43,8,,,7
7049,VBM,778,216,27.76,64,108,29,,1,14
7051,Election_Day,839,80,9.54,43,25,6,,,6
7051,VBM,839,297,35.4,111,134,34,1,,17
7052,Election_Day,813,126,15.5,53,50,12,,,11
7052,VBM,813,269,33.09,90,127,34,,3,15
7053,Election_Day,446,41,9.19,25,13,1,,,2
7053,VBM,446,173,38.79,73,62,23,1,,14
7054,Election_Day,949,180,18.97,92,59,8,2,1,18
7054,VBM,949,252,26.55,94,124,14,,,20
7101,Election_Day,135,9,6.67,5,3,,,,1
7101,VBM,135,82,60.74,35,39,2,,,6
7201,Election_Day,874,172,19.68,61,76,12,,1,22
7201,VBM,874,326,37.3,127,127,48,,,24
7202,Election_Day,783,181,23.12,60,83,19,,1,18
7202,VBM,783,267,34.1,63,119,59,,,26
7203,Election_Day,806,215,26.67,80,78,19,1,,37
7203,VBM,806,232,28.78,84,94,26,1,1,26
7204,Election_Day,811,160,19.73,61,70,13,,,16
7204,VBM,811,341,42.05,97,173,38,,,33
7205,Election_Day,826,163,19.73,55,76,15,,,17
7205,VBM,826,298,36.08,75,148,45,,1,29
7206,Election_Day,339,91,26.84,37,34,9,,,11
7206,VBM,339,106,31.27,38,50,11,,,7
7207,Election_Day,584,113,19.35,49,45,6,1,,12
7207,VBM,584,197,33.73,79,70,21,,,27
7208,Election_Day,565,116,20.53,52,41,9,1,,13
7208,VBM,565,208,36.81,75,89,29,,1,14
7209,Election_Day,529,68,12.85,21,28,13,,,6
7209,VBM,529,297,56.14,56,155,53,1,1,31
7301,Election_Day,953,143,15.01,63,43,17,,,20
7301,VBM,953,327,34.31,128,126,35,,2,36
7302,Election_Day,773,139,17.98,51,61,8,1,4,14
