precinct,ballot_type,registered,ballots_cast,turnout,PHIL_TING,CARLOS_''CHUCK''_TAYLOR,WRITE-IN,over_votes,under_votes
9124,VBM,877,269,30.67,202,33,5,,29
9125,Election_Day,833,185,22.21,131,16,3,,35
9125,VBM,833,303,36.37,236,32,1,,34
9126,Election_Day,914,204,22.32,151,20,3,,30
9126,VBM,914,325,35.56,250,42,1,,32
9127,Election_Day,929,235,25.3,176,29,,,30
9127,VBM,929,306,32.94,241,26,1,,38
9128,Election_Day,826,229,27.72,162,31,2,,34
9128,VBM,826,271,32.81,187,44,1,,39
9129,Election_Day,673,185,27.49,135,19,,,31
9129,VBM,673,214,31.8,157,24,1,,32
9131,Election_Day,733,178,24.28,115,16,1,,46
9131,VBM,733,250,34.11,198,25,,,27
9132,Election_Day,834,206,24.7,156,13,3,1,33
9132,VBM,834,243,29.14,194,18,1,,30
9133,Election_Day,986,211,21.4,157,18,,,36
9133,VBM,986,365,37.02,295,39,2,,29
9134,Election_Day,822,155,18.86,115,14,1,,25
9134,VBM,822,288,35.04,215,32,1,,40
9135,Election_Day,782,169,21.61,117,20,1,,31
9135,VBM,782,260,33.25,144,60,1,1,54
9136,Election_Day,893,212,23.74,155,16,,,41
9136,VBM,893,304,34.04,238,29,1,,36
9137,Election_Day,912,185,20.29,124,25,1,,35
9137,VBM,912,315,34.54,235,42,3,,35
9138,Election_Day,858,150,17.48,105,15,2,,28
9138,VBM,858,283,32.98,225,33,,,25
9139,Election_Day,943,188,19.94,135,26,,,27
9139,VBM,943,351,37.22,257,55,1,,38
9141,Election_Day,895,192,21.45,131,18,4,,39
9141,VBM,895,319,35.64,241,48,1,,29
9142,Election_Day,901,218,24.2,169,13,3,,33
9142,VBM,901,292,32.41,229,30,2,,31
9143,Election_Day,865,209,24.16,169,12,1,,27
9143,VBM,865,301,34.8,215,39,,,47
9144,Election_Day,926,245,26.46,182,22,1,,40
9144,VBM,926,314,33.91,243,31,1,,39
9145,Election_Day,823,210,25.52,149,21,,,40
9145,VBM,823,274,33.29,212,31,1,,30
9146,Election_Day,856,246,28.74,187,22,3,,34
9146,VBM,856,272,31.78,216,22,1,,33
9147,Election_Day,894,238,26.62,163,25,1,,49
9147,VBM,894,285,31.88,223,28,,,34
9148,Election_Day,943,273,28.95,205,23,,,45
9148,VBM,943,294,31.18,217,37,2,,38
9149,Election_Day,893,238,26.65,176,13,3,,46
9149,VBM,893,297,33.26,223,37,2,,35
9151,Election_Day,775,156,20.13,106,12,1,,37
9151,VBM,775,269,34.71,198,33,1,,37
9152,Election_Day,724,106,14.64,78,5,4,,19
9152,VBM,724,165,22.79,129,19,,,17
9201,Election_Day,903,243,26.91,191,19,1,,32
9201,VBM,903,264,29.24,197,33,,,34
9202,Election_Day,871,222,25.49,142,34,2,,44
9202,VBM,871,240,27.55,174,32,,,34
9203,Election_Day,903,176,19.49,97,35,,1,43
9203,VBM,903,294,32.56,167,80,,,47
9204,Election_Day,753,166,22.05,101,24,,,41
9204,VBM,753,228,30.28,148,52,3,,25
9205,Election_Day,665,137,20.6,86,20,2,1,28
9205,VBM,665,225,33.83,147,37,,,41
9206,Election_Day,879,159,18.09,101,36,1,,21
9206,VBM,879,305,34.7,177,84,,,44
9207,Election_Day,858,178,20.75,108,41,1,,28
9207,VBM,858,247,28.79,153,49,1,,44
9208,Election_Day,869,186,21.4,122,27,,,37
9208,VBM,869,234,26.93,142,51,,,41
9209,Election_Day,658,157,23.86,97,28,,,32
9209,VBM,658,188,28.57,110,45,3,,30
9211,Election_Day,777,161,20.72,103,20,,,38
9211,VBM,777,212,27.28,115,54,,,43
9212,Election_Day,762,160,21,106,17,2,,35
9212,VBM,762,215,28.22,142,34,,,39
9213,Election_Day,870,172,19.77,116,25,,,31
9213,VBM,870,263,30.23,176,50,,,37
9214,Election_Day,565,111,19.65,66,23,1,,21
9214,VBM,565,197,34.87,125,50,,,22
9215,Election_Day,604,132,21.85,79,23,1,,29
9215,VBM,604,197,32.62,126,42,,,29
9216,Election_Day,712,160,22.47,105,22,1,,32
9216,VBM,712,177,24.86,106,41,1,,29
9217,Election_Day,682,154,22.58,103,22,1,,28
9217,VBM,682,201,29.47,138,38,,,25
9218,Election_Day,743,136,18.3,79,28,,,29
9218,VBM,743,220,29.61,148,35,1,,36
9219,Election_Day,719,184,25.59,119,19,1,,45
9219,VBM,719,180,25.03,118,31,1,,30
