precinct,ballot_type,registered,ballots_cast,turnout,Yes,No,over_votes,under_votes
7026,VBM,927,334,36.03,175,132,,27
7027,Election_Day,823,143,17.38,112,16,,15
7027,VBM,823,242,29.4,155,68,,19
7028,Election_Day,838,146,17.42,116,18,,12
7028,VBM,838,178,21.24,128,37,,13
7029,Election_Day,853,102,11.96,83,8,,11
7029,VBM,853,149,17.47,98,33,,18
7030,Election_Day,727,80,11,58,19,,3
7030,VBM,727,234,32.19,112,106,,16
7031,Election_Day,412,39,9.47,29,4,,6
7031,VBM,412,179,43.45,115,48,,16
7032,Election_Day,857,131,15.29,91,28,,12
7032,VBM,857,232,27.07,148,64,,20
7033,Election_Day,767,150,19.56,87,37,,26
7033,VBM,767,158,20.6,114,36,,8
7034,Election_Day,875,94,10.74,70,13,,11
7034,VBM,875,143,16.34,115,16,,12
7035,Election_Day,386,71,18.39,55,10,,6
7035,VBM,386,113,29.27,78,26,,9
7036,Election_Day,862,92,10.67,64,19,1,8
7036,VBM,862,233,27.03,145,73,,15
7037,Election_Day,762,83,10.89,67,5,,11
7037,VBM,762,70,9.19,45,16,,9
7038,Election_Day,874,90,10.3,60,18,,12
7038,VBM,874,242,27.69,144,76,1,21
7039,Election_Day,764,168,21.99,110,42,,16
7039,VBM,764,194,25.39,108,71,,15
7041,Election_Day,55,3,5.45,3,,,
7041,VBM,55,20,36.36,9,10,,1
7042,Election_Day,627,100,15.95,70,20,,10
7042,VBM,627,202,32.22,131,60,,11
7043,Election_Day,884,111,12.56,81,15,,15
7043,VBM,884,257,29.07,159,79,1,18
7044,Election_Day,785,85,10.83,65,9,,11
7044,VBM,785,104,13.25,71,25,1,7
7045,Election_Day,736,99,13.45,67,20,,12
7045,VBM,736,242,32.88,131,86,1,24
7046,Election_Day,416,61,14.66,44,15,,2
7046,VBM,416,139,33.41,85,44,,10
7047,Election_Day,783,98,12.52,70,23,,5
7047,VBM,783,282,36.02,165,98,,19
7048,Election_Day,793,106,13.37,68,26,,12
7048,VBM,793,210,26.48,126,60,,24
7049,Election_Day,778,105,13.5,70,21,,14
7049,VBM,778,218,28.02,123,77,,18
7051,Election_Day,839,80,9.54,61,11,,8
7051,VBM,839,297,35.4,167,117,,13
7052,Election_Day,813,126,15.5,90,23,,13
7052,VBM,813,266,32.72,159,92,1,14
7053,Election_Day,446,40,8.97,32,7,,1
7053,VBM,446,170,38.12,105,47,,18
7054,Election_Day,949,179,18.86,127,36,,16
7054,VBM,949,252,26.55,180,45,,27
7101,Election_Day,135,9,6.67,7,,,2
7101,VBM,135,81,60,66,10,1,4
7201,Election_Day,874,170,19.45,126,27,,17
7201,VBM,874,322,36.84,237,58,,27
7202,Election_Day,783,180,22.99,141,22,,17
7202,VBM,783,258,32.95,178,63,,17
7203,Election_Day,806,209,25.93,144,37,,28
7203,VBM,806,229,28.41,173,39,,17
7204,Election_Day,811,155,19.11,110,30,,15
7204,VBM,811,332,40.94,238,60,,34
7205,Election_Day,826,162,19.61,122,26,,14
7205,VBM,826,288,34.87,211,64,,13
7206,Election_Day,339,89,26.25,67,12,,10
7206,VBM,339,106,31.27,72,23,,11
7207,Election_Day,584,115,19.69,94,12,,9
7207,VBM,584,191,32.71,133,32,1,25
7208,Election_Day,565,117,20.71,88,16,,13
7208,VBM,565,199,35.22,134,50,,15
7209,Election_Day,529,67,12.67,57,8,,2
7209,VBM,529,288,54.44,216,48,,24
7301,Election_Day,953,142,14.9,106,27,,9
7301,VBM,953,321,33.68,229,55,,37
7302,Election_Day,773,138,17.85,97,22,,19
7302,VBM,773,358,46.31,235,79,,44
7303,Election_Day,914,205,22.43,154,31,,20
7303,VBM,914,294,32.17,212,60,,22
7304,Election_Day,924,199,21.54,148,32,,19
7304,VBM,924,317,34.31,234,60,,23
7305,Election_Day,825,215,26.06,153,44,,18
7305,VBM,825,302,36.61,208,68,,26
7306,Election_Day,936,181,19.34,134,34,,13
7306,VBM,936,308,32.91,211,73,,24
7307,Election_Day,717,167,23.29,132,15,,20
7307,VBM,717,231,32.22,170,40,,21
7308,Election_Day,588,171,29.08,129,31,,11
7308,VBM,588,209,35.54,162,36,1,10
7309,Election_Day,775,198,25.55,137,42,,19
7309,VBM,775,222,28.65,159,39,,24
7311,Election_Day,875,214,24.46,168,29,,17
7311,VBM,875,268,30.63,189,57,,22
7312,Election_Day,806,156,19.35,114,27,,15
7312,VBM,806,345,42.8,235,81,,29
7313,Election_Day,879,155,17.63,113,30,,12
7313,VBM,879,308,35.04,208,70,,30
7314,Election_Day,739,92,12.45,71,9,,12
7314,VBM,739,225,30.45,163,31,1,30
7315,Election_Day,695,165,23.74,116,28,,21
7315,VBM,695,193,27.77,132,43,,18
7316,Election_Day,823,142,17.25,112,13,,17
7316,VBM,823,283,34.39,183,66,,34
7317,Election_Day,885,159,17.97,117,30,,12
7317,VBM,885,343,38.76,237,80,,26
7318,Election_Day,700,154,22,108,23,,23
7318,VBM,700,247,35.29,166,57,,24
7319,Election_Day,983,193,19.63,139,31,,23
7319,VBM,983,293,29.81,201,63,,29
7321,Election_Day,620,88,14.19,60,18,,10
7321,VBM,620,207,33.39,135,50,,22
7322,Election_Day,868,66,7.6,50,7,,9
