precinct,ballot_type,registered,ballots_cast,turnout,MATTHEW_DEL_CARLO,DAVID_CHIU,WRITE-IN,over_votes,under_votes
7857,VBM,919,370,40.26,32,266,2,,70
7858,Election_Day,750,240,32,14,170,4,,52
7858,VBM,750,245,32.67,12,204,2,,27
7859,Election_Day,844,233,27.61,21,169,3,,40
7859,VBM,844,352,41.71,30,279,1,,42
7861,Election_Day,844,243,28.79,20,180,,,43
7861,VBM,844,319,37.8,26,252,2,,39
7862,Election_Day,884,272,30.77,25,207,4,,36
7862,VBM,884,324,36.65,22,253,4,,45
7863,Election_Day,879,275,31.29,17,216,2,,40
7863,VBM,879,290,32.99,17,229,2,,42
7864,Election_Day,769,215,27.96,14,166,1,,34
7864,VBM,769,269,34.98,25,206,3,,35
7865,Election_Day,814,258,31.7,19,183,3,,53
7865,VBM,814,309,37.96,29,230,1,,49
7866,Election_Day,786,196,24.94,30,142,,,24
7866,VBM,786,367,46.69,59,262,4,,42
7867,Election_Day,892,251,28.14,18,195,1,,37
7867,VBM,892,338,37.89,26,280,2,,30
7868,Election_Day,835,213,25.51,24,163,2,,24
7868,VBM,835,332,39.76,40,270,,,22
7869,Election_Day,832,247,29.69,16,187,1,,43
7869,VBM,832,361,43.39,35,278,,,48
7871,Election_Day,863,255,29.55,21,203,3,,28
7871,VBM,863,362,41.95,26,297,2,,37
7872,Election_Day,876,284,32.42,15,234,3,,32
7872,VBM,876,351,40.07,24,280,4,1,42
7873,Election_Day,847,251,29.63,12,186,4,,49
7873,VBM,847,346,40.85,25,277,,,44
7874,Election_Day,461,128,27.77,12,94,1,,21
7874,VBM,461,166,36.01,8,137,1,1,19
7875,Election_Day,580,107,18.45,9,78,1,,19
7875,VBM,580,222,38.28,26,164,2,,30
7901,Election_Day,1134,282,24.87,29,193,6,,54
7901,VBM,1134,317,27.95,19,240,3,,55
7902,Election_Day,935,253,27.06,11,179,6,,57
7902,VBM,935,245,26.2,17,195,5,,28
7903,Election_Day,848,187,22.05,15,117,2,,53
7903,VBM,848,239,28.18,17,183,1,,38
7904,Election_Day,861,178,20.67,8,126,4,,40
7904,VBM,861,273,31.71,31,196,6,,40
7905,Election_Day,821,224,27.28,15,160,5,,44
7905,VBM,821,265,32.28,17,216,4,,28
7906,Election_Day,778,231,29.69,13,170,4,,44
7906,VBM,778,233,29.95,7,189,2,,35
7907,Election_Day,925,261,28.22,14,190,6,,51
7907,VBM,925,293,31.68,12,238,3,,40
7908,Election_Day,935,250,26.74,15,183,5,,47
7908,VBM,935,271,28.98,31,199,2,,39
7909,Election_Day,735,227,30.88,13,143,5,,66
7909,VBM,735,207,28.16,12,157,4,,34
7911,Election_Day,849,247,29.09,10,176,12,,49
7911,VBM,849,279,32.86,20,214,4,,41
7912,Election_Day,1004,274,27.29,10,183,12,,69
7912,VBM,1004,314,31.27,21,237,6,,50
7913,Election_Day,890,293,32.92,20,203,5,,65
7913,VBM,890,258,28.99,21,196,1,,40
7914,Election_Day,859,268,31.2,24,178,6,,60
7914,VBM,859,275,32.01,13,217,2,,43
7915,Election_Day,784,242,30.87,14,161,4,,63
7915,VBM,784,195,24.87,7,151,1,,36
7916,Election_Day,867,256,29.53,12,196,6,,42
7916,VBM,867,274,31.6,20,218,4,,32
7917,Election_Day,1003,300,29.91,25,198,6,,71
7917,VBM,1003,288,28.71,16,220,3,,49
7918,Election_Day,807,249,30.86,11,174,6,,58
7918,VBM,807,241,29.86,14,188,3,,36
7919,Election_Day,858,271,31.59,20,195,5,1,50
7919,VBM,858,232,27.04,12,167,4,,49
7921,Election_Day,893,228,25.53,16,153,4,1,54
7921,VBM,893,245,27.44,28,185,3,,29
7922,Election_Day,836,232,27.75,18,148,6,,60
7922,VBM,836,278,33.25,26,203,3,,46
7923,Election_Day,877,253,28.85,16,183,6,,48
7923,VBM,877,279,31.81,30,202,6,,41
7924,Election_Day,815,229,28.1,13,159,7,,50
7924,VBM,815,255,31.29,24,180,6,,45
7925,Election_Day,551,156,28.31,10,109,2,,35
7925,VBM,551,194,35.21,17,147,3,,27
7926,Election_Day,786,218,27.74,8,168,2,,40
7926,VBM,786,280,35.62,22,202,2,,54
7927,Election_Day,751,246,32.76,12,185,8,,41
7927,VBM,751,271,36.09,14,225,,,32
7928,Election_Day,907,302,33.3,21,218,8,,55
7928,VBM,907,317,34.95,21,254,2,,40
7929,Election_Day,833,227,27.25,14,175,,,38
7929,VBM,833,356,42.74,23,298,4,,31
7931,Election_Day,737,209,28.36,12,160,2,,35
7931,VBM,737,324,43.96,23,258,4,,39
7932,Election_Day,531,135,25.42,14,104,,,17
7932,VBM,531,200,37.66,15,162,2,,21
7933,Election_Day,8,0,0,,,,,
7933,VBM,8,6,75,,5,,,1
7934,Election_Day,831,220,26.47,16,142,6,,56
7934,VBM,831,312,37.55,18,249,2,,43
7935,Election_Day,907,273,30.1,12,206,3,,52
7935,VBM,907,346,38.15,20,273,4,,49
7936,Election_Day,843,268,31.79,12,199,3,,54
7936,VBM,843,297,35.23,18,228,1,,50
7937,Election_Day,870,246,28.28,17,187,4,,38
7937,VBM,870,311,35.75,24,253,1,,33
7938,Election_Day,753,215,28.55,19,140,7,1,48
7938,VBM,753,224,29.75,13,181,1,,29
7939,Election_Day,659,230,34.9,12,172,2,,44
7939,VBM,659,227,34.45,5,179,2,,41
7941,Election_Day,761,211,27.73,21,144,5,,41
7941,VBM,761,273,35.87,22,204,3,,44
7942,Election_Day,868,220,25.35,20,154,6,,40
7942,VBM,868,276,31.8,17,206,1,,52
7943,Election_Day,873,237,27.15,28,167,1,1,40
7943,VBM,873,303,34.71,46,218,1,1,37
7944,Election_Day,793,234,29.51,18,169,3,,44
7944,VBM,793,247,31.15,16,202,5,,24
7945,Election_Day,846,114,13.48,14,76,,,24
7945,VBM,846,312,36.88,39,226,3,,44
7946,Election_Day,915,151,16.5,17,109,3,,22
7946,VBM,915,335,36.61,55,243,2,,35
7947,Election_Day,886,155,17.49,30,94,1,,30
7947,VBM,886,284,32.05,62,189,3,,30
7948,Election_Day,875,191,21.83,20,130,3,,38
7948,VBM,875,285,32.57,39,193,4,,49
7949,Election_Day,538,81,15.06,15,46,2,,18
7949,VBM,538,197,36.62,31,131,3,,32
7951,Election_Day,752,119,15.82,20,81,,,18
7951,VBM,752,307,40.82,48,210,5,,44
7952,Election_Day,778,138,17.74,26,92,2,,18
7952,VBM,778,260,33.42,36,185,1,,38
7953,Election_Day,794,157,19.77,12,118,1,,26
7953,VBM,794,285,35.89,51,202,1,,31
7954,Election_Day,0,0,0,,,,,
7954,VBM,0,0,0,,,,,
7955,Election_Day,831,145,17.45,20,102,3,,20
7955,VBM,831,279,33.57,49,195,2,,33
7956,Election_Day,712,98,13.76,15,64,1,,18
7956,VBM,712,258,36.24,48,176,5,,29
7957,Election_Day,624,109,17.47,9,81,1,,18
7957,VBM,624,204,32.69,17,149,1,,37
7958,Election_Day,266,10,3.76,3,4,1,,2
7958,VBM,266,112,42.11,15,83,2,,12
9900,Election_Day,0,0,0,,,,,
9900,VBM,0,0,0,,,,,
9901,Election_Day,0,0,0,,,,,
9901,VBM,0,0,0,,,,,
9902,Election_Day,0,0,0,,,,,
9902,VBM,0,0,0,,,,,
