precinct,ballot_type,registered,ballots_cast,turnout,MATTHEW_DEL_CARLO,DAVID_CHIU,WRITE-IN,over_votes,under_votes
7101,VBM,135,82,60.74,3,67,,,12
7201,Election_Day,874,172,19.68,21,119,,,32
7201,VBM,874,326,37.3,62,218,1,,45
7202,Election_Day,783,181,23.12,16,127,,,38
7202,VBM,783,267,34.1,65,163,,,39
7203,Election_Day,806,215,26.67,30,131,1,,53
7203,VBM,806,232,28.78,44,149,1,1,37
7204,Election_Day,811,160,19.73,20,104,3,,33
7204,VBM,811,341,42.05,49,245,,,47
7205,Election_Day,826,163,19.73,15,125,,,23
7205,VBM,826,298,36.08,56,206,,,36
7206,Election_Day,339,91,26.84,11,61,1,,18
7206,VBM,339,106,31.27,18,79,2,,7
7207,Election_Day,584,113,19.35,9,78,2,,24
7207,VBM,584,197,33.73,31,132,2,,32
7208,Election_Day,565,116,20.53,15,78,5,,18
7208,VBM,565,208,36.81,29,152,1,,26
7209,Election_Day,529,68,12.85,12,48,,,8
7209,VBM,529,297,56.14,57,203,1,,36
7301,Election_Day,953,143,15.01,26,92,1,,24
7301,VBM,953,327,34.31,40,231,1,,55
7302,Election_Day,773,139,17.98,23,96,1,,19
7302,VBM,773,361,46.7,61,261,1,,38
7303,Election_Day,914,209,22.87,26,154,,,29
7303,VBM,914,300,32.82,32,223,8,,37
7304,Election_Day,924,201,21.75,26,134,3,,38
7304,VBM,924,321,34.74,52,229,5,,35
7305,Election_Day,825,215,26.06,39,138,3,,35
7305,VBM,825,306,37.09,54,212,3,,37
7306,Election_Day,936,183,19.55,24,124,1,,34
7306,VBM,936,309,33.01,41,237,,,31
7307,Election_Day,717,170,23.71,20,114,4,,32
7307,VBM,717,237,33.05,31,173,1,,32
7308,Election_Day,588,171,29.08,22,121,3,,25
7308,VBM,588,214,36.39,33,146,,,35
7309,Election_Day,775,201,25.94,23,139,,,39
7309,VBM,775,225,29.03,42,149,,,34
7311,Election_Day,875,213,24.34,19,159,2,,33
7311,VBM,875,271,30.97,33,203,1,,34
7312,Election_Day,806,158,19.6,27,98,2,,31
7312,VBM,806,352,43.67,52,247,,,53
7313,Election_Day,879,155,17.63,16,110,1,,28
7313,VBM,879,317,36.06,47,233,1,,36
7314,Election_Day,739,92,12.45,9,63,,,20
7314,VBM,739,229,30.99,15,191,1,,22
7315,Election_Day,695,165,23.74,19,109,1,,36
7315,VBM,695,198,28.49,26,134,3,,35
7316,Election_Day,823,143,17.38,14,99,1,,29
7316,VBM,823,286,34.75,34,203,4,,45
7317,Election_Day,885,159,17.97,17,118,4,,20
7317,VBM,885,346,39.1,55,256,4,,31
7318,Election_Day,700,154,22,18,105,1,,30
7318,VBM,700,251,35.86,31,194,,1,25
7319,Election_Day,983,197,20.04,21,137,3,,36
7319,VBM,983,297,30.21,42,198,1,,56
7321,Election_Day,620,87,14.03,8,59,5,,15
7321,VBM,620,208,33.55,23,160,2,,23
7322,Election_Day,868,66,7.6,3,47,2,,14
7322,VBM,868,279,32.14,9,228,4,,38
7323,Election_Day,804,186,23.13,26,133,1,,26
7323,VBM,804,242,30.1,35,175,1,,31
7324,Election_Day,657,132,20.09,11,94,2,,25
7324,VBM,657,206,31.35,20,158,1,,27
7325,Election_Day,870,157,18.05,20,102,4,,31
7325,VBM,870,277,31.84,25,212,2,,38
7326,Election_Day,808,174,21.53,18,119,4,,33
7326,VBM,808,253,31.31,28,187,,1,37
7327,Election_Day,701,58,8.27,5,45,,,8
7327,VBM,701,269,38.37,26,214,,,29
7328,Election_Day,936,80,8.55,3,60,1,,16
7328,VBM,936,361,38.57,33,284,2,,42
7329,Election_Day,543,78,14.36,22,48,,,8
7329,VBM,543,203,37.38,35,149,,,19
7331,Election_Day,831,183,22.02,34,112,,,37
7331,VBM,831,345,41.52,56,262,,,27
7332,Election_Day,782,189,24.17,15,132,5,,37
7332,VBM,782,248,31.71,35,179,4,1,29
7333,Election_Day,936,232,24.79,20,165,2,,45
7333,VBM,936,270,28.85,26,208,1,,35
7334,Election_Day,833,179,21.49,11,124,4,,40
7334,VBM,833,281,33.73,25,219,4,,33
7335,Election_Day,883,169,19.14,12,123,2,,32
7335,VBM,883,343,38.84,62,240,,,41
7336,Election_Day,879,190,21.62,17,132,4,,37
7336,VBM,879,338,38.45,69,219,2,,48
7337,Election_Day,829,142,17.13,18,97,,,27
7337,VBM,829,344,41.5,67,227,,,50
7338,Election_Day,912,122,13.38,11,95,,,16
7338,VBM,912,351,38.49,41,271,1,,38
7339,Election_Day,585,142,24.27,20,95,3,,24
7339,VBM,585,173,29.57,19,132,,,22
7341,Election_Day,868,192,22.12,20,132,,,40
7341,VBM,868,245,28.23,27,187,1,,30
7342,Election_Day,908,271,29.85,38,183,5,1,44
7342,VBM,908,262,28.85,35,189,3,,35
7343,Election_Day,647,178,27.51,13,119,3,1,42
7343,VBM,647,181,27.98,15,138,,,28
7344,Election_Day,1024,213,20.8,18,154,5,,36
7344,VBM,1024,357,34.86,41,262,1,,53
7345,Election_Day,1006,241,23.96,24,176,1,,40
7345,VBM,1006,322,32.01,29,238,4,,51
7346,Election_Day,869,216,24.86,19,152,3,,42
7346,VBM,869,237,27.27,21,179,2,,35
7347,Election_Day,954,201,21.07,12,144,8,1,36
7347,VBM,954,319,33.44,29,231,2,1,56
7348,Election_Day,808,147,18.19,16,111,,,20
7348,VBM,808,238,29.46,23,178,2,,35
7349,Election_Day,893,187,20.94,16,134,3,,34
7349,VBM,893,298,33.37,54,204,,,40
7501,Election_Day,523,142,27.15,17,101,,,24
7501,VBM,523,166,31.74,21,111,1,,33
7502,Election_Day,735,160,21.77,15,117,1,,27
7502,VBM,735,267,36.33,37,192,2,1,35
7503,Election_Day,706,159,22.52,19,106,1,,33
7503,VBM,706,218,30.88,33,158,1,,26
7504,Election_Day,454,98,21.59,6,75,2,,15
7504,VBM,454,143,31.5,13,112,3,,15
7505,Election_Day,853,149,17.47,9,109,,,31
7505,VBM,853,427,50.06,59,324,1,,43
7506,Election_Day,908,205,22.58,23,144,,,38
7506,VBM,908,271,29.85,30,195,3,,43
7507,Election_Day,927,149,16.07,16,105,2,,26
7507,VBM,927,266,28.69,24,211,3,,28
7508,Election_Day,683,122,17.86,12,90,2,1,17
7508,VBM,683,308,45.1,38,218,1,,51
7509/7511,Election_Day,896,196,21.88,19,145,2,,30
7509/7511,VBM,896,325,36.27,33,253,2,,37
7512,Election_Day,579,98,16.93,11,66,1,,20
7512,VBM,579,220,38,40,140,1,,39
7513,Election_Day,735,173,23.54,8,120,1,,44
7513,VBM,735,187,25.44,24,125,,,38
7514,Election_Day,803,92,11.46,4,59,1,,28
7514,VBM,803,194,24.16,21,148,1,,24
7515,Election_Day,826,158,19.13,8,117,5,,28
7515,VBM,826,281,34.02,38,195,5,,43
7516,Election_Day,805,161,20,15,115,2,,29
7516,VBM,805,369,45.84,43,273,6,,47
7517,Election_Day,877,268,30.56,18,197,4,,49
7517,VBM,877,291,33.18,19,225,2,,45
7518,Election_Day,905,295,32.6,16,209,2,,68
7518,VBM,905,295,32.6,16,220,1,,58
7519,Election_Day,741,230,31.04,12,161,4,,53
7519,VBM,741,208,28.07,13,152,1,,42
7521,Election_Day,773,239,30.92,14,179,5,,41
7521,VBM,773,232,30.01,16,168,2,,46
7522,Election_Day,801,242,30.21,15,161,2,,64
7522,VBM,801,267,33.33,15,203,2,,47
7523,Election_Day,743,262,35.26,20,173,6,,63
7523,VBM,743,208,27.99,21,158,1,,28
7524,Election_Day,638,175,27.43,11,121,4,,39
7524,VBM,638,182,28.53,18,140,,,24
7525,Election_Day,800,172,21.5,16,118,4,,34
7525,VBM,800,221,27.63,16,166,2,,37
7526,Election_Day,890,212,23.82,11,157,4,,40
7526,VBM,890,343,38.54,16,276,1,,50
7527/7528,Election_Day,714,194,27.17,14,132,2,,46
7527/7528,VBM,714,222,31.09,21,162,1,1,37
7529,Election_Day,896,257,28.68,17,170,8,,62
7529,VBM,896,287,32.03,13,231,,,43
7531,Election_Day,879,249,28.33,12,187,3,,47
7531,VBM,879,265,30.15,10,195,2,1,57
7532,Election_Day,795,211,26.54,13,149,4,,45
7532,VBM,795,260,32.7,27,193,2,,38
7533,Election_Day,927,336,36.25,17,247,6,,66
7533,VBM,927,284,30.64,21,214,1,,48
7534,Election_Day,882,282,31.97,11,198,8,,65
7534,VBM,882,275,31.18,27,202,,,46
7535,Election_Day,761,247,32.46,17,182,5,,43
7535,VBM,761,250,32.85,15,200,3,,32
7536,Election_Day,804,260,32.34,16,195,1,,48
7536,VBM,804,287,35.7,14,231,3,1,38
7537,Election_Day,737,225,30.53,13,163,3,,46
7537,VBM,737,240,32.56,15,181,2,,42
7538,Election_Day,774,240,31.01,15,179,3,,43
7538,VBM,774,268,34.63,6,224,1,,37
7539,Election_Day,891,312,35.02,16,230,11,,55
7539,VBM,891,256,28.73,12,201,3,,40
7541,Election_Day,792,219,27.65,11,158,1,,49
7541,VBM,792,270,34.09,16,206,5,,43
7542,Election_Day,844,261,30.92,8,187,2,,64
7542,VBM,844,249,29.5,14,199,1,,35
7543,Election_Day,886,198,22.35,6,150,2,,40
