precinct,ballot_type,registered_voters,ballots_cast,turnout,DONALD_TRUMP,BEN_CARSON,TED_CRUZ,JOHN_KASICH,JIM_GILMORE,WRITE_IN,over_votes,under_votes
7006,Election_Day,38,7,18.42,4,,,2,,,,1
7006,VBM,38,10,26.32,3,,3,2,,2,,
7007,Election_Day,45,4,8.89,1,,1,1,1,,,
7007,VBM,45,19,42.22,10,1,1,4,,3,,
7008,Election_Day,59,11,18.64,2,,1,4,,1,,3
7008,VBM,59,25,42.37,14,,,9,,1,,1
7009,Election_Day,35,7,20,5,,,,,,,2
7009,VBM,35,5,14.29,2,,1,2,,,,
7011,Election_Day,32,5,15.63,1,,,2,1,,,1
7011,VBM,32,8,25,2,,1,2,1,1,,1
7012,Election_Day,61,9,14.75,7,,,2,,,,
7012,VBM,61,23,37.7,9,1,4,9,,,,
7013,Election_Day,34,5,14.71,4,,,1,,,,
7013,VBM,34,11,32.35,3,,2,5,,1,,
7014,Election_Day,38,4,10.53,1,,,2,,1,,
7014,VBM,38,7,18.42,2,,,4,,,,1
7015,Election_Day,8,0,0,,,,,,,,
7015,VBM,8,6,75,2,,,,,3,,1
7016,Election_Day,44,0,0,,,,,,,,
7016,VBM,44,11,25,7,,1,,,,,3
7017,Election_Day,27,1,3.7,,,,,,,,1
7017,VBM,27,7,25.93,4,,1,2,,,,
7018,Election_Day,35,3,8.57,3,,,,,,,
7018,VBM,35,14,40,10,,1,,1,,,2
7019,Election_Day,41,3,7.32,1,,1,,,,,1
7019,VBM,41,15,36.59,7,,2,5,,1,,
7021,Election_Day,34,0,0,,,,,,,,
7021,VBM,34,14,41.18,9,,1,,,1,,3
7022,Election_Day,33,1,3.03,,,1,,,,,
7022,VBM,33,8,24.24,2,,,3,,3,,
7023,Election_Day,37,2,5.41,,,1,,,,,1
7023,VBM,37,10,27.03,5,,2,1,,2,,
7024,Election_Day,12,2,16.67,,,1,,,,,1
7024,VBM,12,0,0,,,,,,,,
7025,Election_Day,20,0,0,,,,,,,,
7025,VBM,20,2,10,,,,1,,1,,
7026,Election_Day,50,2,4,1,,1,,,,,
7026,VBM,50,18,36,15,1,1,,,1,,
7027,Election_Day,40,5,12.5,4,,,1,,,,
7027,VBM,40,14,35,6,2,,3,1,2,,
7028,Election_Day,28,1,3.57,,,,,,1,,
7028,VBM,28,6,21.43,3,,2,1,,,,
7029,Election_Day,33,0,0,,,,,,,,
7029,VBM,33,3,9.09,1,,,,,1,,1
7030,Election_Day,47,5,10.64,2,,,,1,,,2
7030,VBM,47,12,25.53,11,,1,,,,,
7031,Election_Day,12,1,8.33,,,,,,,,1
7031,VBM,12,3,25,1,,1,,,,,1
7032,Election_Day,38,3,7.89,2,,,,,,,1
7032,VBM,38,8,21.05,6,1,,,,1,,
7033,Election_Day,30,3,10,1,,,,,1,,1
7033,VBM,30,7,23.33,4,,1,1,,1,,
7034,Election_Day,32,2,6.25,1,,,1,,,,
7034,VBM,32,6,18.75,3,,1,1,,1,,
7035,Election_Day,23,2,8.7,,,,,,1,,1
7035,VBM,23,7,30.43,4,,,1,,,,2
7036,Election_Day,70,4,5.71,1,,2,,,,,1
7036,VBM,70,19,27.14,15,,,,,3,,1
7037,Election_Day,23,2,8.7,1,,1,,,,,
7037,VBM,23,1,4.35,,,,,1,,,
7038,Election_Day,44,3,6.82,,,1,1,,,1,
7038,VBM,44,9,20.45,5,,2,,,,,2
7039,Election_Day,42,7,16.67,7,,,,,,,
7039,VBM,42,9,21.43,4,,,1,,2,,2
7041,Election_Day,6,0,0,,,,,,,,
7041,VBM,6,4,66.67,3,,1,,,,,
7042,Election_Day,34,7,20.59,3,1,,,,1,,2
7042,VBM,34,12,35.29,9,,1,1,1,,,
7043,Election_Day,47,5,10.64,2,,1,,,,,2
7043,VBM,47,13,27.66,9,,1,,,,,3
7044,Election_Day,32,2,6.25,,,,,,,,2
7044,VBM,32,5,15.63,3,,,1,,,,1
7045,Election_Day,43,7,16.28,2,,3,,,1,,1
7045,VBM,43,10,23.26,6,,1,1,,1,,1
7046,Election_Day,25,0,0,,,,,,,,
7046,VBM,25,9,36,5,,2,1,,1,,
7047,Election_Day,42,6,14.29,2,1,,,,1,,2
7047,VBM,42,10,23.81,5,2,2,,,1,,
7048,Election_Day,33,4,12.12,2,,,,,,,2
7048,VBM,33,9,27.27,7,,1,,,,,1
7049,Election_Day,55,4,7.27,1,,1,,,,,2
7049,VBM,55,17,30.91,11,1,,,1,3,,1
7051,Election_Day,73,7,9.59,5,,,1,,,,1
7051,VBM,73,24,32.88,16,,6,,,2,,
7052,Election_Day,47,5,10.64,1,1,,2,,,,1
7052,VBM,47,20,42.55,14,,2,,1,1,,2
7053,Election_Day,42,1,2.38,1,,,,,,,
7053,VBM,42,16,38.1,10,1,1,4,,,,
7054,Election_Day,35,4,11.43,3,,,,,,,1
7054,VBM,35,7,20,3,1,,3,,,,
7101,Election_Day,2,0,0,,,,,,,,
7101,VBM,2,1,50,,,,,,,,1
7201,Election_Day,132,10,7.58,4,,,3,1,,,2
7201,VBM,132,46,34.85,24,,2,11,,4,,5
7202,Election_Day,146,15,10.27,6,1,2,3,,,,3
7202,VBM,146,61,41.78,32,3,3,15,1,5,,2
7203,Election_Day,90,12,13.33,5,,1,6,,,,
