precinct,ballot_type,registered_voters,ballots_cast,turnout,Yes,No,over_votes,under_votes
7017,Election_Day,721,81,11.23,61,6,,14
7017,VBM,721,150,20.8,117,23,,10
7018,Election_Day,904,106,11.73,77,14,,15
7018,VBM,904,305,33.74,220,65,,20
7019,Election_Day,883,136,15.4,92,24,,20
7019,VBM,883,319,36.13,230,61,1,27
7021,Election_Day,910,141,15.49,90,24,,27
7021,VBM,910,235,25.82,177,37,,21
7022,Election_Day,969,157,16.2,127,18,,12
7022,VBM,969,245,25.28,190,36,,19
7023,Election_Day,878,134,15.26,101,18,,15
7023,VBM,878,253,28.82,177,48,,28
7024,Election_Day,290,21,7.24,15,4,,2
7024,VBM,290,23,7.93,20,3,,
7025,Election_Day,460,61,13.26,45,5,,11
7025,VBM,460,82,17.83,64,8,,10
7026,Election_Day,927,108,11.65,79,15,,14
7026,VBM,927,334,36.03,220,69,,45
7027,Election_Day,823,143,17.38,97,25,,21
7027,VBM,823,242,29.4,177,46,,19
7028,Election_Day,838,146,17.42,111,18,,17
7028,VBM,838,178,21.24,140,26,,12
7029,Election_Day,853,102,11.96,78,14,,10
7029,VBM,853,149,17.47,111,27,,11
7030,Election_Day,727,80,11,51,22,,7
7030,VBM,727,234,32.19,148,64,,22
7031,Election_Day,412,39,9.47,27,6,,6
7031,VBM,412,179,43.45,136,27,,16
7032,Election_Day,857,131,15.29,97,23,,11
7032,VBM,857,232,27.07,170,39,,23
7033,Election_Day,767,150,19.56,98,25,,27
7033,VBM,767,158,20.6,117,26,,15
7034,Election_Day,875,94,10.74,65,13,,16
7034,VBM,875,143,16.34,121,11,1,10
7035,Election_Day,386,71,18.39,50,13,,8
7035,VBM,386,113,29.27,83,21,,9
7036,Election_Day,862,92,10.67,60,17,1,14
7036,VBM,862,233,27.03,175,49,,9
7037,Election_Day,762,83,10.89,63,10,,10
7037,VBM,762,70,9.19,44,16,,10
7038,Election_Day,874,90,10.3,55,20,,15
7038,VBM,874,242,27.69,168,55,2,17
7039,Election_Day,764,168,21.99,106,39,,23
7039,VBM,764,194,25.39,129,45,,20
7041,Election_Day,55,3,5.45,2,,,1
7041,VBM,55,20,36.36,15,3,,2
7042,Election_Day,627,100,15.95,71,19,,10
7042,VBM,627,202,32.22,143,46,,13
7043,Election_Day,884,111,12.56,83,16,,12
7043,VBM,884,257,29.07,181,51,1,24
7044,Election_Day,785,85,10.83,59,13,,13
7044,VBM,785,104,13.25,66,28,,10
7045,Election_Day,736,99,13.45,73,15,,11
7045,VBM,736,242,32.88,173,40,1,28
7046,Election_Day,416,61,14.66,49,8,,4
7046,VBM,416,139,33.41,100,28,1,10
7047,Election_Day,783,98,12.52,66,20,,12
7047,VBM,783,282,36.02,183,74,,25
7048,Election_Day,793,106,13.37,75,19,,12
7048,VBM,793,210,26.48,140,48,,22
7049,Election_Day,778,105,13.5,65,22,,18
7049,VBM,778,218,28.02,143,50,,25
7051,Election_Day,839,80,9.54,56,12,,12
7051,VBM,839,297,35.4,207,70,,20
7052,Election_Day,813,126,15.5,85,27,,14
7052,VBM,813,266,32.72,170,71,1,24
7053,Election_Day,446,40,8.97,29,10,,1
7053,VBM,446,170,38.12,108,42,,20
7054,Election_Day,949,179,18.86,123,34,,22
7054,VBM,949,252,26.55,180,46,,26
7101,Election_Day,135,9,6.67,4,2,,3
7101,VBM,135,81,60,69,9,,3
7201,Election_Day,874,170,19.45,116,32,1,21
7201,VBM,874,322,36.84,202,75,1,44
7202,Election_Day,783,180,22.99,125,30,,25
7202,VBM,783,258,32.95,144,91,,23
7203,Election_Day,806,209,25.93,146,35,,28
7203,VBM,806,229,28.41,146,59,,24
7204,Election_Day,811,155,19.11,107,31,,17
7204,VBM,811,332,40.94,223,71,,38
7205,Election_Day,826,162,19.61,107,30,,25
7205,VBM,826,288,34.87,187,76,,25
7206,Election_Day,339,89,26.25,62,16,,11
7206,VBM,339,106,31.27,75,19,,12
7207,Election_Day,584,115,19.69,81,17,,17
7207,VBM,584,191,32.71,130,32,,29
7208,Election_Day,565,117,20.71,78,18,,21
7208,VBM,565,199,35.22,130,50,,19
7209,Election_Day,529,67,12.67,50,9,,8
7209,VBM,529,288,54.44,189,69,,30
7301,Election_Day,953,142,14.9,109,20,,13
7301,VBM,953,321,33.68,208,67,1,45
7302,Election_Day,773,138,17.85,88,28,,22
7302,VBM,773,358,46.31,210,94,,54
7303,Election_Day,914,205,22.43,145,38,1,21
7303,VBM,914,294,32.17,204,56,,34
7304,Election_Day,924,199,21.54,135,30,,34
7304,VBM,924,317,34.31,207,77,,33
7305,Election_Day,825,215,26.06,146,38,,31
7305,VBM,825,302,36.61,185,79,,38
7306,Election_Day,936,181,19.34,130,28,,23
7306,VBM,936,308,32.91,209,68,,31
