precinct,ballot_type,registered_voters,ballots_cast,turnout,Yes,No,over_votes,under_votes
7026,VBM,927,334,36.03,189,104,,41
7027,Election_Day,823,143,17.38,99,29,,15
7027,VBM,823,242,29.4,164,54,,24
7028,Election_Day,838,146,17.42,106,23,,17
7028,VBM,838,178,21.24,127,40,,11
7029,Election_Day,853,102,11.96,72,20,,10
7029,VBM,853,149,17.47,94,44,,11
7030,Election_Day,727,80,11,51,26,,3
7030,VBM,727,234,32.19,116,97,,21
7031,Election_Day,412,39,9.47,27,8,,4
7031,VBM,412,179,43.45,119,41,1,18
7032,Election_Day,857,131,15.29,91,31,,9
7032,VBM,857,232,27.07,162,48,,22
7033,Election_Day,767,150,19.56,93,34,,23
7033,VBM,767,158,20.6,115,34,,9
7034,Election_Day,875,94,10.74,56,25,,13
7034,VBM,875,143,16.34,109,24,,10
7035,Election_Day,386,71,18.39,51,16,,4
7035,VBM,386,113,29.27,74,33,,6
7036,Election_Day,862,92,10.67,60,19,1,12
7036,VBM,862,233,27.03,135,87,,11
7037,Election_Day,762,83,10.89,56,16,,11
7037,VBM,762,70,9.19,47,16,,7
7038,Election_Day,874,90,10.3,46,28,,16
7038,VBM,874,242,27.69,146,74,2,20
7039,Election_Day,764,168,21.99,107,45,,16
7039,VBM,764,194,25.39,98,75,,21
7041,Election_Day,55,3,5.45,3,,,
7041,VBM,55,20,36.36,14,4,,2
7042,Election_Day,627,100,15.95,67,18,,15
7042,VBM,627,202,32.22,124,66,,12
7043,Election_Day,884,111,12.56,75,22,,14
7043,VBM,884,257,29.07,168,73,,16
7044,Election_Day,785,85,10.83,58,15,,12
7044,VBM,785,104,13.25,65,33,,6
7045,Election_Day,736,99,13.45,65,22,,12
7045,VBM,736,242,32.88,137,71,2,32
7046,Election_Day,416,61,14.66,42,17,,2
7046,VBM,416,139,33.41,90,39,,10
7047,Election_Day,783,98,12.52,61,29,,8
7047,VBM,783,282,36.02,161,98,,23
7048,Election_Day,793,106,13.37,67,30,,9
7048,VBM,793,210,26.48,144,47,,19
7049,Election_Day,778,105,13.5,64,28,,13
7049,VBM,778,218,28.02,116,78,,24
7051,Election_Day,839,80,9.54,49,21,,10
7051,VBM,839,297,35.4,183,95,,19
7052,Election_Day,813,126,15.5,76,36,,14
7052,VBM,813,266,32.72,143,103,1,19
7053,Election_Day,446,40,8.97,29,10,,1
7053,VBM,446,170,38.12,93,57,,20
7054,Election_Day,949,179,18.86,126,37,,16
7054,VBM,949,252,26.55,185,43,1,23
7101,Election_Day,135,9,6.67,5,2,,2
7101,VBM,135,81,60,55,22,,4
7201,Election_Day,874,170,19.45,99,51,,20
7201,VBM,874,322,36.84,164,116,1,41
7202,Election_Day,783,180,22.99,103,59,,18
7202,VBM,783,258,32.95,100,135,,23
7203,Election_Day,806,209,25.93,114,67,,28
7203,VBM,806,229,28.41,129,79,,21
7204,Election_Day,811,155,19.11,104,35,,16
7204,VBM,811,332,40.94,161,133,,38
7205,Election_Day,826,162,19.61,92,53,,17
7205,VBM,826,288,34.87,135,130,,23
7206,Election_Day,339,89,26.25,57,20,,12
7206,VBM,339,106,31.27,55,37,1,13
7207,Election_Day,584,115,19.69,79,24,,12
7207,VBM,584,191,32.71,112,60,,19
7208,Election_Day,565,117,20.71,66,35,,16
7208,VBM,565,199,35.22,108,74,,17
7209,Election_Day,529,67,12.67,30,30,,7
7209,VBM,529,288,54.44,124,136,,28
7301,Election_Day,953,142,14.9,92,38,,12
7301,VBM,953,321,33.68,217,69,1,34
7302,Election_Day,773,138,17.85,86,36,,16
7302,VBM,773,358,46.31,170,141,,47
7303,Election_Day,914,205,22.43,134,52,,19
7303,VBM,914,294,32.17,172,96,,26
7304,Election_Day,924,199,21.54,113,57,1,28
7304,VBM,924,317,34.31,173,114,,30
7305,Election_Day,825,215,26.06,105,81,,29
7305,VBM,825,302,36.61,147,122,,33
7306,Election_Day,936,181,19.34,102,58,,21
7306,VBM,936,308,32.91,193,93,1,21
7307,Election_Day,717,167,23.29,97,41,,29
7307,VBM,717,231,32.22,119,86,,26
7308,Election_Day,588,171,29.08,112,43,,16
7308,VBM,588,209,35.54,120,73,,16
7309,Election_Day,775,198,25.55,120,55,,23
7309,VBM,775,222,28.65,129,65,1,27
7311,Election_Day,875,214,24.46,120,72,,22
7311,VBM,875,268,30.63,155,82,,31
7312,Election_Day,806,156,19.35,88,57,,11
7312,VBM,806,345,42.8,167,144,,34
7313,Election_Day,879,155,17.63,96,42,,17
7313,VBM,879,308,35.04,166,110,,32
7314,Election_Day,739,92,12.45,66,15,,11
7314,VBM,739,225,30.45,174,29,1,21
7315,Election_Day,695,165,23.74,111,33,,21
7315,VBM,695,193,27.77,133,45,1,14
7316,Election_Day,823,142,17.25,92,31,,19
7316,VBM,823,283,34.39,169,81,1,32
7317,Election_Day,885,159,17.97,101,47,,11
7317,VBM,885,343,38.76,173,139,1,30
7318,Election_Day,700,154,22,71,52,,31
7318,VBM,700,247,35.29,156,72,,19
7319,Election_Day,983,193,19.63,117,53,,23
7319,VBM,983,293,29.81,170,86,,37
7321,Election_Day,620,88,14.19,58,20,,10
7321,VBM,620,207,33.39,127,63,,17
7322,Election_Day,868,66,7.6,45,11,,10
7322,VBM,868,277,31.91,194,58,,25
7323,Election_Day,804,187,23.26,111,52,,24
7323,VBM,804,237,29.48,141,66,,30
7324,Election_Day,657,130,19.79,85,29,1,15
7324,VBM,657,207,31.51,135,44,,28
7325,Election_Day,870,159,18.28,87,48,,24
7325,VBM,870,272,31.26,156,88,,28
7326,Election_Day,808,173,21.41,105,46,,22
7326,VBM,808,247,30.57,156,68,,23
7327,Election_Day,701,58,8.27,40,7,1,10
7327,VBM,701,266,37.95,172,59,1,34
7328,Election_Day,936,79,8.44,53,14,,12
7328,VBM,936,362,38.68,251,67,,44
7329,Election_Day,543,76,14,42,25,1,8
7329,VBM,543,201,37.02,109,76,1,15
7331,Election_Day,831,181,21.78,90,63,,28
7331,VBM,831,343,41.28,194,118,,31
7332,Election_Day,782,188,24.04,136,31,,21
7332,VBM,782,241,30.82,174,46,1,20
7333,Election_Day,936,228,24.36,140,58,,30
7333,VBM,936,273,29.17,159,79,,35
7334,Election_Day,833,173,20.77,126,29,,18
7334,VBM,833,277,33.25,186,61,,30
7335,Election_Day,883,166,18.8,106,43,,17
7335,VBM,883,336,38.05,184,119,,33
7336,Election_Day,879,188,21.39,119,51,,18
7336,VBM,879,334,38,183,128,,23
7337,Election_Day,829,141,17.01,87,41,,13
7337,VBM,829,339,40.89,172,130,,37
7338,Election_Day,912,120,13.16,78,21,,21
7338,VBM,912,346,37.94,196,106,,44
7339,Election_Day,585,142,24.27,94,31,,17
7339,VBM,585,169,28.89,124,34,,11
7341,Election_Day,868,192,22.12,130,40,,22
7341,VBM,868,239,27.53,157,61,,21
7342,Election_Day,908,269,29.63,190,63,1,15
7342,VBM,908,252,27.75,154,75,,23
7343,Election_Day,647,176,27.2,123,30,,23
7343,VBM,647,176,27.2,139,22,,15
7344,Election_Day,1024,210,20.51,143,42,,25
7344,VBM,1024,356,34.77,221,101,,34
