PrecinctName,ReportingType,PrecinctID,Precincts,Registration,Ballots Cast,Turnout (%),Yes,No,Under Vote,Over Vote
Pct 1101,Election Day,1101,1,586,159,27.13,43,97,17,2
Pct 1101,VBM,1101,1,586,287,48.98,98,156,29,0
Pct 1102,Election Day,1102,1,996,291,29.22,80,181,29,0
Pct 1102,VBM,1102,1,996,519,52.11,157,312,48,0
Pct 1103,Election Day,1103,1,971,263,27.09,73,163,27,0
Pct 1103,VBM,1103,1,971,518,53.35,157,317,41,0
Pct 1104/1105,Election Day,1104,1,991,329,33.20,94,191,44,0
Pct 1104/1105,VBM,1104,1,991,434,43.79,153,249,35,0
Pct 1106,Election Day,1106,1,808,217,26.86,66,115,36,0
Pct 1106,VBM,1106,1,808,383,47.40,124,217,35,0
Pct 1107,Election Day,1107,1,781,222,28.43,59,135,28,0
Pct 1107,VBM,1107,1,781,284,36.36,102,154,21,0
Pct 1108,Election Day,1108,1,951,250,26.29,83,130,37,0
Pct 1108,VBM,1108,1,951,494,51.95,166,284,41,0
Pct 1109,Election Day,1109,1,809,215,26.58,68,123,25,0
Pct 1109,VBM,1109,1,809,402,49.69,139,206,52,0
Pct 1111,Election Day,1111,1,1031,246,23.86,76,142,30,0
Pct 1111,VBM,1111,1,1031,471,45.68,181,228,52,0
Pct 1112,Election Day,1112,1,765,173,22.61,54,93,21,2
Pct 1112,VBM,1112,1,765,384,50.20,140,193,47,0
Pct 1113,Election Day,1113,1,713,145,20.34,39,83,23,0
Pct 1113,VBM,1113,1,713,402,56.38,146,199,48,0
Pct 1114,Election Day,1114,1,971,297,30.59,86,161,49,1
Pct 1114,VBM,1114,1,971,444,45.73,142,254,48,0
Pct 1115,Election Day,1115,1,910,233,25.60,78,121,32,1
Pct 1115,VBM,1115,1,910,513,56.37,164,274,74,0
Pct 1116,Election Day,1116,1,913,245,26.83,82,126,37,0
Pct 1116,VBM,1116,1,913,391,42.83,137,197,52,0
Pct 1117,Election Day,1117,1,886,273,30.81,89,155,26,0
Pct 1117,VBM,1117,1,886,371,41.87,141,196,29,0
