PrecinctName,ReportingType,PrecinctID,Precincts,Registration,Ballots Cast,Turnout (%),Yes,No,Under Vote,Over Vote
Pct 1101,Election Day,1101,1,586,159,27.13,100,51,8,0
Pct 1101,VBM,1101,1,586,287,48.98,162,105,15,0
Pct 1102,Election Day,1102,1,996,291,29.22,202,75,13,0
Pct 1102,VBM,1102,1,996,519,52.11,300,176,41,0
Pct 1103,Election Day,1103,1,971,263,27.09,164,77,22,0
Pct 1103,VBM,1103,1,971,518,53.35,295,178,40,0
Pct 1104/1105,Election Day,1104,1,991,329,33.20,200,89,40,0
Pct 1104/1105,VBM,1104,1,991,434,43.79,243,156,37,0
Pct 1106,Election Day,1106,1,808,217,26.86,122,74,21,0
Pct 1106,VBM,1106,1,808,383,47.40,201,149,25,1
Pct 1107,Election Day,1107,1,781,222,28.43,140,64,18,0
Pct 1107,VBM,1107,1,781,284,36.36,153,109,17,0
Pct 1108,Election Day,1108,1,951,250,26.29,151,72,26,0
Pct 1108,VBM,1108,1,951,494,51.95,295,158,36,0
Pct 1109,Election Day,1109,1,809,215,26.58,119,79,18,0
Pct 1109,VBM,1109,1,809,402,49.69,215,145,36,0
Pct 1111,Election Day,1111,1,1031,246,23.86,145,76,25,0
Pct 1111,VBM,1111,1,1031,471,45.68,233,182,47,0
Pct 1112,Election Day,1112,1,765,173,22.61,84,66,21,0
Pct 1112,VBM,1112,1,765,384,50.20,190,153,36,0
Pct 1113,Election Day,1113,1,713,145,20.34,91,44,10,0
Pct 1113,VBM,1113,1,713,402,56.38,177,190,28,0
Pct 1114,Election Day,1114,1,971,297,30.59,156,96,45,0
Pct 1114,VBM,1114,1,971,444,45.73,245,157,39,0
Pct 1115,Election Day,1115,1,910,233,25.60,135,74,23,0
Pct 1115,VBM,1115,1,910,513,56.37,273,182,52,0
Pct 1116,Election Day,1116,1,913,245,26.83,137,85,23,0
Pct 1116,VBM,1116,1,913,391,42.83,194,148,45,1
Pct 1117,Election Day,1117,1,886,273,30.81,165,78,26,0
Pct 1117,VBM,1117,1,886,371,41.87,209,131,27,1
Pct 1118,Election Day,1118,1,1031,261,25.32,171,71,19,0
Pct 1118,VBM,1118,1,1031,515,49.95,293,182,32,0
Pct 1119,Election Day,1119,1,783,176,22.48,108,52,17,0
Pct 1119,VBM,1119,1,783,411,52.49,252,126,28,0
Pct 1121,Election Day,1121,1,691,192,27.79,91,84,18,0
Pct 1121,VBM,1121,1,691,333,48.19,157,147,27,0
Pct 1122,Election Day,1122,1,658,166,25.23,89,60,17,0
Pct 1122,VBM,1122,1,658,316,48.02,132,157,25,0
Pct 1123,Election Day,1123,1,954,259,27.15,158,72,27,1
Pct 1123,VBM,1123,1,954,387,40.57,201,154,31,0
Pct 1124,Election Day,1124,1,831,210,25.27,129,57,24,0
Pct 1124,VBM,1124,1,831,346,41.64,172,134,33,0
Pct 1125,Election Day,1125,1,1029,234,22.74,127,80,28,0
Pct 1125,VBM,1125,1,1029,511,49.66,242,216,50,0
Pct 1126,Election Day,1126,1,954,254,26.62,134,90,28,0
Pct 1126,VBM,1126,1,954,447,46.86,229,170,42,0
Pct 1127,Election Day,1127,1,911,273,29.97,147,95,32,0
Pct 1127,VBM,1127,1,911,412,45.23,202,172,36,0
Pct 1128,Election Day,1128,1,907,237,26.13,142,71,23,1
Pct 1128,VBM,1128,1,907,449,49.50,205,177,62,0
Pct 1129,Election Day,1129,1,951,280,29.44,139,110,32,0
Pct 1129,VBM,1129,1,951,423,44.48,194,188,36,0
Pct 1131,Election Day,1131,1,853,192,22.51,99,70,23,0
Pct 1131,VBM,1131,1,853,382,44.78,157,180,41,0
Pct 1132,Election Day,1132,1,982,226,23.01,117,80,29,0
Pct 1132,VBM,1132,1,982,495,50.41,256,185,46,0
Pct 1133,Election Day,1133,1,870,223,25.63,125,73,22,0
Pct 1133,VBM,1133,1,870,438,50.34,217,173,42,1
Pct 1134,Election Day,1134,1,793,216,27.24,121,77,17,0
Pct 1134,VBM,1134,1,793,377,47.54,173,171,33,0
Pct 1135,Election Day,1135,1,521,122,23.42,78,39,5,0
Pct 1135,VBM,1135,1,521,299,57.39,153,120,23,0
Pct 1136,Election Day,1136,1,857,206,24.04,109,82,15,0
Pct 1136,VBM,1136,1,857,463,54.03,217,204,39,0
Pct 1141,Election Day,1141,1,1047,259,24.74,169,71,24,0
Pct 1141,VBM,1141,1,1047,553,52.82,312,200,34,0
Pct 1142,Election Day,1142,1,858,232,27.04,135,73,26,0
Pct 1142,VBM,1142,1,858,435,50.70,215,173,32,0
Pct 1143,Election Day,1143,1,1056,302,28.60,193,88,25,0
Pct 1143,VBM,1143,1,1056,499,47.25,288,158,42,0
Pct 1144,Election Day,1144,1,928,266,28.66,155,89,26,0
Pct 1144,VBM,1144,1,928,447,48.17,263,150,30,0
Pct 1145,Election Day,1145,1,931,237,25.46,139,68,31,0
Pct 1145,VBM,1145,1,931,516,55.42,309,166,32,0
Pct 1146,Election Day,1146,1,1036,241,23.26,141,81,21,1
Pct 1146,VBM,1146,1,1036,550,53.09,288,206,49,0
Pct 1147,Election Day,1147,1,927,270,29.13,166,87,18,0
Pct 1147,VBM,1147,1,927,464,50.05,268,165,24,0
Pct 1148,Election Day,1148,1,992,264,26.61,146,92,26,0
Pct 1148,VBM,1148,1,992,463,46.67,233,182,43,0
Pct 1149,Election Day,1149,1,950,291,30.63,171,96,28,0
Pct 1149,VBM,1149,1,950,456,48.00,253,170,25,0
Pct 1151 MB,Election Day,1151,1,0,0,0.00,0,0,0,0
Pct 1151 MB,VBM,1151,1,0,0,0.00,0,0,0,0
Pct 1152,Election Day,1152,1,898,236,26.28,139,82,17,0
Pct 1152,VBM,1152,1,898,435,48.44,213,186,31,0
Pct 1153,Election Day,1153,1,961,281,29.24,155,107,21,1
Pct 1153,VBM,1153,1,961,468,48.70,252,160,45,0
Pct 1154 MB,Election Day,1154,1,0,0,0.00,0,0,0,0
Pct 1154 MB,VBM,1154,1,0,0,0.00,0,0,0,0
Pct 7001,Election Day,7001,1,742,204,27.49,139,53,12,0
Pct 7001,VBM,7001,1,742,355,47.84,254,80,19,0
Pct 7002,Election Day,7002,1,1225,322,26.29,230,68,24,0
Pct 7002,VBM,7002,1,1225,675,55.10,444,188,40,0
Pct 7003,Election Day,7003,1,927,280,30.20,206,59,15,0
Pct 7003,VBM,7003,1,927,554,59.76,432,90,30,0
Pct 7004,Election Day,7004,1,896,253,28.24,190,48,15,0
Pct 7004,VBM,7004,1,896,555,61.94,419,101,26,0
Pct 7005,Election Day,7005,1,853,302,35.40,223,51,28,0
Pct 7005,VBM,7005,1,853,453,53.11,353,78,17,0
Pct 7006,Election Day,7006,1,966,290,30.02,215,55,20,0
Pct 7006,VBM,7006,1,966,509,52.69,405,77,24,0
Pct 7007,Election Day,7007,1,987,302,30.60,245,46,11,0
Pct 7007,VBM,7007,1,987,568,57.55,444,83,31,0
Pct 7008,Election Day,7008,1,882,293,33.22,242,42,9,0
Pct 7008,VBM,7008,1,882,527,59.75,406,90,21,0
Pct 7009,Election Day,7009,1,931,249,26.75,184,47,19,0
Pct 7009,VBM,7009,1,931,501,53.81,377,90,31,0
Pct 7011,Election Day,7011,1,1063,255,23.99,178,49,28,0
Pct 7011,VBM,7011,1,1063,366,34.43,257,75,30,0
Pct 7012,Election Day,7012,1,1034,361,34.91,274,69,15,0
Pct 7012,VBM,7012,1,1034,564,54.55,424,108,26,0
Pct 7013,Election Day,7013,1,733,209,28.51,156,40,13,0
Pct 7013,VBM,7013,1,733,431,58.80,339,72,17,0
Pct 7014,Election Day,7014,1,1073,311,28.98,229,60,22,1
Pct 7014,VBM,7014,1,1073,617,57.50,472,111,28,0
Pct 7015 MB,Election Day,7015,1,113,3,2.65,1,0,2,0
Pct 7015 MB,VBM,7015,1,113,78,69.03,58,16,4,0
Pct 7016,Election Day,7016,1,977,239,24.46,146,67,25,0
Pct 7016,VBM,7016,1,977,354,36.23,186,135,33,1
Pct 7017,Election Day,7017,1,786,200,25.45,144,39,20,0
Pct 7017,VBM,7017,1,786,269,34.22,180,66,21,0
Pct 7018,Election Day,7018,1,992,195,19.66,111,70,15,0
Pct 7018,VBM,7018,1,992,477,48.08,227,201,44,1
Pct 7019,Election Day,7019,1,945,228,24.13,156,61,12,0
Pct 7019,VBM,7019,1,945,468,49.52,276,153,34,0
Pct 7021,Election Day,7021,1,993,266,26.79,181,64,22,0
Pct 7021,VBM,7021,1,993,365,36.76,239,91,27,0
Pct 7022,Election Day,7022,1,1032,271,26.26,183,54,25,0
Pct 7022,VBM,7022,1,1032,396,38.37,244,109,41,0
Pct 7023,Election Day,7023,1,938,255,27.19,168,65,19,0
Pct 7023,VBM,7023,1,938,416,44.35,265,109,36,0
Pct 7024,Election Day,7024,1,309,75,24.27,49,23,3,0
Pct 7024,VBM,7024,1,309,44,14.24,27,12,4,0
Pct 7025,Election Day,7025,1,505,129,25.54,85,32,12,0
Pct 7025,VBM,7025,1,505,137,27.13,96,29,10,0
Pct 7026,Election Day,7026,1,1022,202,19.77,102,73,27,0
Pct 7026,VBM,7026,1,1022,498,48.73,201,247,38,0
Pct 7027,Election Day,7027,1,879,244,27.76,164,48,29,0
Pct 7027,VBM,7027,1,879,333,37.88,188,112,30,0
Pct 7028,Election Day,7028,1,900,267,29.67,172,73,22,0
Pct 7028,VBM,7028,1,900,277,30.78,193,64,17,1
Pct 7029,Election Day,7029,1,924,252,27.27,163,64,25,0
Pct 7029,VBM,7029,1,924,273,29.55,178,67,25,0
Pct 7030,Election Day,7030,1,787,162,20.58,82,67,14,0
Pct 7030,VBM,7030,1,787,396,50.32,157,195,41,0
Pct 7031,Election Day,7031,1,511,97,18.98,55,30,13,0
Pct 7031,VBM,7031,1,511,295,57.73,145,114,30,0
Pct 7032,Election Day,7032,1,938,227,24.20,161,51,14,0
Pct 7032,VBM,7032,1,938,362,38.59,211,107,38,2
Pct 7033,Election Day,7033,1,814,247,30.34,138,77,31,0
Pct 7033,VBM,7033,1,814,299,36.73,196,79,24,0
Pct 7034,Election Day,7034,1,954,264,27.67,170,62,29,0
Pct 7034,VBM,7034,1,954,251,26.31,155,75,21,0
Pct 7035,Election Day,7035,1,476,141,29.62,91,41,9,0
Pct 7035,VBM,7035,1,476,200,42.02,139,49,11,0
Pct 7036,Election Day,7036,1,967,175,18.10,91,61,23,0
Pct 7036,VBM,7036,1,967,421,43.54,211,171,39,0
Pct 7037,Election Day,7037,1,840,221,26.31,129,59,35,0
Pct 7037,VBM,7037,1,840,158,18.81,89,58,8,0
Pct 7038,Election Day,7038,1,960,209,21.77,123,69,16,1
Pct 7038,VBM,7038,1,960,386,40.21,167,173,44,0
Pct 7039,Election Day,7039,1,831,246,29.60,133,90,24,0
Pct 7039,VBM,7039,1,831,379,45.61,187,167,24,0
Pct 7041 MB,Election Day,7041,1,62,6,9.68,1,3,3,0
