PrecinctName,ReportingType,PrecinctID,Precincts,Registration,Ballots Cast,Turnout (%),Yes,No,Under Vote,Over Vote
Pct 1151 MB,VBM,1151,1,0,0,0.00,0,0,0,0
Pct 1152,Election Day,1152,1,898,236,26.28,172,35,29,0
Pct 1152,VBM,1152,1,898,435,48.44,311,68,52,1
Pct 1153,Election Day,1153,1,961,281,29.24,193,47,44,0
Pct 1153,VBM,1153,1,961,468,48.70,347,58,51,0
Pct 1154 MB,Election Day,1154,1,0,0,0.00,0,0,0,0
Pct 1154 MB,VBM,1154,1,0,0,0.00,0,0,0,0
Pct 7001,Election Day,7001,1,742,204,27.49,159,24,21,0
Pct 7001,VBM,7001,1,742,355,47.84,278,40,37,0
Pct 7002,Election Day,7002,1,1225,322,26.29,244,29,48,1
Pct 7002,VBM,7002,1,1225,675,55.10,544,65,65,0
Pct 7003,Election Day,7003,1,927,280,30.20,224,25,31,0
Pct 7003,VBM,7003,1,927,554,59.76,467,44,39,0
Pct 7004,Election Day,7004,1,896,253,28.24,193,30,30,0
Pct 7004,VBM,7004,1,896,555,61.94,431,62,52,1
Pct 7005,Election Day,7005,1,853,302,35.40,235,31,36,0
Pct 7005,VBM,7005,1,853,453,53.11,377,36,33,0
Pct 7006,Election Day,7006,1,966,290,30.02,220,31,38,0
Pct 7006,VBM,7006,1,966,509,52.69,418,54,30,0
Pct 7007,Election Day,7007,1,987,302,30.60,241,31,29,0
Pct 7007,VBM,7007,1,987,568,57.55,437,52,69,0
Pct 7008,Election Day,7008,1,882,293,33.22,233,29,31,0
Pct 7008,VBM,7008,1,882,527,59.75,432,39,46,0
Pct 7009,Election Day,7009,1,931,249,26.75,180,37,32,0
Pct 7009,VBM,7009,1,931,501,53.81,402,49,45,0
Pct 7011,Election Day,7011,1,1063,255,23.99,161,51,44,0
Pct 7011,VBM,7011,1,1063,366,34.43,268,61,32,0
Pct 7012,Election Day,7012,1,1034,361,34.91,277,47,32,0
Pct 7012,VBM,7012,1,1034,564,54.55,444,56,57,0
Pct 7013,Election Day,7013,1,733,209,28.51,159,25,25,0
Pct 7013,VBM,7013,1,733,431,58.80,341,42,43,0
Pct 7014,Election Day,7014,1,1073,311,28.98,234,33,41,1
Pct 7014,VBM,7014,1,1073,617,57.50,479,75,54,0
Pct 7015 MB,Election Day,7015,1,113,3,2.65,2,0,1,0
Pct 7015 MB,VBM,7015,1,113,78,69.03,69,4,3,0
Pct 7016,Election Day,7016,1,977,239,24.46,158,46,34,0
Pct 7016,VBM,7016,1,977,354,36.23,256,58,42,0
Pct 7017,Election Day,7017,1,786,200,25.45,119,49,36,0
Pct 7017,VBM,7017,1,786,269,34.22,196,41,30,0
Pct 7018,Election Day,7018,1,992,195,19.66,129,37,30,0
Pct 7018,VBM,7018,1,992,477,48.08,347,80,43,0
Pct 7019,Election Day,7019,1,945,228,24.13,146,50,33,0
Pct 7019,VBM,7019,1,945,468,49.52,358,50,56,0
Pct 7021,Election Day,7021,1,993,266,26.79,178,53,33,1
Pct 7021,VBM,7021,1,993,365,36.76,260,61,38,0
Pct 7022,Election Day,7022,1,1032,271,26.26,184,40,38,0
Pct 7022,VBM,7022,1,1032,396,38.37,308,45,40,0
Pct 7023,Election Day,7023,1,938,255,27.19,164,45,39,1
Pct 7023,VBM,7023,1,938,416,44.35,298,59,51,0
Pct 7024,Election Day,7024,1,309,75,24.27,37,27,10,0
