PrecinctName,ReportingType,PrecinctID,Precincts,Registration,Ballots Cast,Turnout (%),VICTOR HWANG,PAUL HENDERSON,Under Vote,Over Vote
Pct 1151 MB,VBM,1151,1,0,0,0.00,0,0,0,0
Pct 1152,Election Day,1152,1,898,236,26.28,92,89,55,0
Pct 1152,VBM,1152,1,898,435,48.44,226,142,64,3
Pct 1153,Election Day,1153,1,961,281,29.24,129,82,69,1
Pct 1153,VBM,1153,1,961,468,48.70,265,135,67,1
Pct 1154 MB,Election Day,1154,1,0,0,0.00,0,0,0,0
Pct 1154 MB,VBM,1154,1,0,0,0.00,0,0,0,0
Pct 7001,Election Day,7001,1,742,204,27.49,110,53,41,0
Pct 7001,VBM,7001,1,742,355,47.84,188,101,66,0
Pct 7002,Election Day,7002,1,1225,322,26.29,172,80,70,0
Pct 7002,VBM,7002,1,1225,675,55.10,363,162,149,1
Pct 7003,Election Day,7003,1,927,280,30.20,166,68,46,0
Pct 7003,VBM,7003,1,927,554,59.76,290,170,94,0
Pct 7004,Election Day,7004,1,896,253,28.24,136,58,59,0
Pct 7004,VBM,7004,1,896,555,61.94,294,150,111,0
Pct 7005,Election Day,7005,1,853,302,35.40,162,65,75,0
Pct 7005,VBM,7005,1,853,453,53.11,262,120,71,0
Pct 7006,Election Day,7006,1,966,290,30.02,160,70,60,0
Pct 7006,VBM,7006,1,966,509,52.69,292,148,69,0
Pct 7007,Election Day,7007,1,987,302,30.60,152,90,59,1
Pct 7007,VBM,7007,1,987,568,57.55,299,154,115,0
Pct 7008,Election Day,7008,1,882,293,33.22,149,76,67,1
Pct 7008,VBM,7008,1,882,527,59.75,233,189,104,1
Pct 7009,Election Day,7009,1,931,249,26.75,134,67,48,0
Pct 7009,VBM,7009,1,931,501,53.81,277,147,75,2
Pct 7011,Election Day,7011,1,1063,255,23.99,113,80,62,0
Pct 7011,VBM,7011,1,1063,366,34.43,191,113,62,0
Pct 7012,Election Day,7012,1,1034,361,34.91,185,88,87,1
Pct 7012,VBM,7012,1,1034,564,54.55,297,168,98,1
Pct 7013,Election Day,7013,1,733,209,28.51,102,57,50,0
Pct 7013,VBM,7013,1,733,431,58.80,221,124,86,0
Pct 7014,Election Day,7014,1,1073,311,28.98,178,68,65,0
Pct 7014,VBM,7014,1,1073,617,57.50,319,177,121,0
Pct 7015 MB,Election Day,7015,1,113,3,2.65,2,0,1,0
Pct 7015 MB,VBM,7015,1,113,78,69.03,55,13,9,1
Pct 7016,Election Day,7016,1,977,239,24.46,113,67,58,1
Pct 7016,VBM,7016,1,977,354,36.23,191,114,48,1
Pct 7017,Election Day,7017,1,786,200,25.45,77,87,36,0
Pct 7017,VBM,7017,1,786,269,34.22,129,91,47,2
Pct 7018,Election Day,7018,1,992,195,19.66,85,66,44,0
