PrecinctName,ReportingType,PrecinctID,Precincts,Registration,Ballots Cast,Turnout (%),VICTOR HWANG,PAUL HENDERSON,Under Vote,Over Vote
Pct 7608,Election Day,7608,1,456,89,19.52,35,26,28,0
Pct 7608,VBM,7608,1,456,155,33.99,78,55,22,0
Pct 7609,Election Day,7609,1,1051,153,14.56,78,35,40,0
Pct 7609,VBM,7609,1,1051,398,37.87,226,115,54,3
Pct 7611,Election Day,7611,1,898,155,17.26,77,43,35,0
Pct 7611,VBM,7611,1,898,324,36.08,173,93,57,1
Pct 7612,Election Day,7612,1,668,120,17.96,65,28,27,0
Pct 7612,VBM,7612,1,668,298,44.61,156,87,55,0
Pct 7613,Election Day,7613,1,1015,225,22.17,115,60,50,0
Pct 7613,VBM,7613,1,1015,392,38.62,200,120,70,2
Pct 7614,Election Day,7614,1,1177,275,23.36,141,85,49,0
Pct 7614,VBM,7614,1,1177,518,44.01,282,166,70,0
Pct 7615,Election Day,7615,1,1020,216,21.18,101,65,50,0
Pct 7615,VBM,7615,1,1020,312,30.59,154,94,64,0
Pct 7616,Election Day,7616,1,981,195,19.88,105,54,36,0
Pct 7616,VBM,7616,1,981,612,62.39,295,197,120,0
Pct 7617,Election Day,7617,1,898,151,16.82,59,46,45,1
Pct 7617,VBM,7617,1,898,365,40.65,176,127,60,2
Pct 7618,Election Day,7618,1,948,184,19.41,110,38,36,0
Pct 7618,VBM,7618,1,948,505,53.27,276,147,82,0
Pct 7619,Election Day,7619,1,1971,418,21.21,215,104,98,1
Pct 7619,VBM,7619,1,1971,1067,54.13,558,311,196,2
Pct 7621,Election Day,7621,1,1082,254,23.48,131,64,59,0
Pct 7621,VBM,7621,1,1082,546,50.46,262,176,108,0
Pct 7622,Election Day,7622,1,1007,181,17.97,91,42,47,1
Pct 7622,VBM,7622,1,1007,353,35.05,171,111,68,3
Pct 7623,Election Day,7623,1,839,171,20.38,81,55,35,0
Pct 7623,VBM,7623,1,839,296,35.28,150,97,47,2
Pct 7624,Election Day,7624,1,1074,212,19.74,92,74,46,0
Pct 7624,VBM,7624,1,1074,353,32.87,176,113,61,3
Pct 7625,Election Day,7625,1,896,87,9.71,32,23,32,0
Pct 7625,VBM,7625,1,896,530,59.15,279,168,79,4
Pct 7626,Election Day,7626,1,1177,291,24.72,136,85,69,1
Pct 7626,VBM,7626,1,1177,720,61.17,347,231,140,2
Pct 7627,Election Day,7627,1,1586,411,25.91,184,140,87,0
Pct 7627,VBM,7627,1,1586,915,57.69,424,273,217,1
Pct 7628,Election Day,7628,1,1006,255,25.35,137,62,56,0
Pct 7628,VBM,7628,1,1006,465,46.22,239,143,82,1
Pct 7629,Election Day,7629,1,837,212,25.33,126,45,41,0
Pct 7629,VBM,7629,1,837,365,43.61,188,105,72,0
Pct 7631,Election Day,7631,1,1143,313,27.38,157,80,76,0
Pct 7631,VBM,7631,1,1143,602,52.67,341,167,94,0
Pct 7632,Election Day,7632,1,727,190,26.13,107,51,32,0
Pct 7632,VBM,7632,1,727,342,47.04,178,107,55,2
Pct 7633,Election Day,7633,1,731,182,24.90,90,55,37,0
Pct 7633,VBM,7633,1,731,392,53.63,209,113,70,0
Pct 7634,Election Day,7634,1,1017,222,21.83,91,78,53,0
Pct 7634,VBM,7634,1,1017,484,47.59,240,155,88,1
Pct 7635,Election Day,7635,1,868,202,23.27,103,54,45,0
Pct 7635,VBM,7635,1,868,441,50.81,234,137,69,1
Pct 7636,Election Day,7636,1,993,282,28.40,149,67,66,0
Pct 7636,VBM,7636,1,993,502,50.55,237,143,121,1
Pct 7637,Election Day,7637,1,1361,370,27.19,165,108,97,0
Pct 7637,VBM,7637,1,1361,781,57.38,365,229,185,2
Pct 7638,Election Day,7638,1,1285,300,23.35,123,101,76,0
Pct 7638,VBM,7638,1,1285,835,64.98,397,284,154,0
Pct 7639,Election Day,7639,1,1011,267,26.41,123,72,72,0
Pct 7639,VBM,7639,1,1011,624,61.72,271,217,135,1
Pct 7641,Election Day,7641,1,977,224,22.93,110,71,42,1
Pct 7641,VBM,7641,1,977,571,58.44,263,205,103,0
Pct 7642,Election Day,7642,1,967,212,21.92,120,48,44,0
Pct 7642,VBM,7642,1,967,598,61.84,272,179,147,0
Pct 7643,Election Day,7643,1,959,203,21.17,94,60,49,0
Pct 7643,VBM,7643,1,959,555,57.87,284,165,105,1
Pct 7644,Election Day,7644,1,1111,322,28.98,152,97,73,0
Pct 7644,VBM,7644,1,1111,603,54.28,303,151,147,2
Pct 7645,Election Day,7645,1,669,142,21.23,56,51,35,0
Pct 7645,VBM,7645,1,669,445,66.52,181,158,104,2
Pct 7646,Election Day,7646,1,2163,586,27.09,278,157,151,0
Pct 7646,VBM,7646,1,2163,1307,60.43,682,358,266,1
Pct 7647,Election Day,7647,1,1028,260,25.29,156,56,48,0
Pct 7647,VBM,7647,1,1028,338,32.88,181,106,51,0
Pct 7648 MB,Election Day,7648,1,4,0,0.00,0,0,0,0
Pct 7648 MB,VBM,7648,1,4,3,75.00,1,0,2,0
Pct 7701,Election Day,7701,1,1049,354,33.75,203,89,62,0
Pct 7701,VBM,7701,1,1049,560,53.38,302,151,107,0
Pct 7702,Election Day,7702,1,775,192,24.77,92,60,40,0
Pct 7702,VBM,7702,1,775,471,60.77,201,189,81,0
Pct 7703 MB,Election Day,7703,1,178,0,0.00,0,0,0,0
Pct 7703 MB,VBM,7703,1,178,100,56.18,46,29,25,0
Pct 7704,Election Day,7704,1,1006,302,30.02,148,86,68,0
Pct 7704,VBM,7704,1,1006,579,57.55,299,194,85,1
Pct 7705,Election Day,7705,1,554,186,33.57,91,62,33,0
Pct 7705,VBM,7705,1,554,309,55.78,148,113,48,0
Pct 7706,Election Day,7706,1,853,282,33.06,138,99,45,0
Pct 7706,VBM,7706,1,853,491,57.56,234,178,79,0
Pct 7707,Election Day,7707,1,854,285,33.37,157,93,35,0
Pct 7707,VBM,7707,1,854,499,58.43,229,187,83,0
Pct 7708,Election Day,7708,1,894,231,25.84,115,74,42,0
Pct 7708,VBM,7708,1,894,552,61.74,265,211,75,1
Pct 7709,Election Day,7709,1,390,120,30.77,73,25,22,0
Pct 7709,VBM,7709,1,390,234,60.00,147,64,23,0
Pct 7711,Election Day,7711,1,789,223,28.26,109,65,49,0
Pct 7711,VBM,7711,1,789,462,58.56,246,131,84,1
Pct 7712,Election Day,7712,1,577,180,31.20,123,33,24,0
Pct 7712,VBM,7712,1,577,338,58.58,188,86,64,0
Pct 7801,Election Day,7801,1,975,309,31.69,148,104,56,1
Pct 7801,VBM,7801,1,975,655,67.18,280,250,125,0
Pct 7802,Election Day,7802,1,760,261,34.34,131,68,62,0
Pct 7802,VBM,7802,1,760,462,60.79,214,145,101,2
Pct 7803,Election Day,7803,1,827,200,24.18,112,52,36,0
Pct 7803,VBM,7803,1,827,574,69.41,271,196,107,0
Pct 7804,Election Day,7804,1,932,310,33.26,154,85,71,0
Pct 7804,VBM,7804,1,932,566,60.73,275,179,112,0
Pct 7805,Election Day,7805,1,852,260,30.52,148,64,48,0
Pct 7805,VBM,7805,1,852,501,58.80,233,183,85,0
Pct 7806,Election Day,7806,1,746,251,33.65,160,52,39,0
Pct 7806,VBM,7806,1,746,412,55.23,213,117,82,0
Pct 7807,Election Day,7807,1,774,293,37.86,160,88,45,0
Pct 7807,VBM,7807,1,774,378,48.84,228,95,55,0
Pct 7808,Election Day,7808,1,702,218,31.05,102,58,58,0
Pct 7808,VBM,7808,1,702,360,51.28,198,99,63,0
Pct 7809,Election Day,7809,1,1234,401,32.50,224,94,83,0
Pct 7809,VBM,7809,1,1234,690,55.92,358,220,112,0
Pct 7811,Election Day,7811,1,806,268,33.25,149,66,53,0
Pct 7811,VBM,7811,1,806,428,53.10,243,108,77,0
Pct 7812,Election Day,7812,1,892,275,30.83,156,59,60,0
Pct 7812,VBM,7812,1,892,477,53.48,263,135,79,0
Pct 7813,Election Day,7813,1,1061,362,34.12,201,84,77,0
Pct 7813,VBM,7813,1,1061,581,54.76,302,164,114,1
Pct 7814,Election Day,7814,1,919,298,32.43,167,73,58,0
Pct 7814,VBM,7814,1,919,369,40.15,207,101,60,1
Pct 7815,Election Day,7815,1,967,296,30.61,155,81,59,1
Pct 7815,VBM,7815,1,967,583,60.29,282,202,99,0
Pct 7816,Election Day,7816,1,896,268,29.91,134,93,41,0
Pct 7816,VBM,7816,1,896,555,61.94,261,208,86,0
Pct 7817,Election Day,7817,1,804,285,35.45,167,69,49,0
Pct 7817,VBM,7817,1,804,426,52.99,227,122,77,0
Pct 7818,Election Day,7818,1,889,271,30.48,151,73,47,0
Pct 7818,VBM,7818,1,889,516,58.04,274,151,90,1
Pct 7819,Election Day,7819,1,809,249,30.78,156,54,37,2
Pct 7819,VBM,7819,1,809,433,53.52,243,117,73,0
Pct 7821,Election Day,7821,1,998,286,28.66,152,84,50,0
Pct 7821,VBM,7821,1,998,630,63.13,294,238,97,1
Pct 7822,Election Day,7822,1,951,318,33.44,180,90,48,0
Pct 7822,VBM,7822,1,951,458,48.16,236,150,72,0
Pct 7823,Election Day,7823,1,928,294,31.68,167,77,49,1
Pct 7823,VBM,7823,1,928,512,55.17,232,185,95,0
Pct 7824,Election Day,7824,1,794,254,31.99,125,78,51,0
Pct 7824,VBM,7824,1,794,411,51.76,192,139,79,1
Pct 7825,Election Day,7825,1,578,216,37.37,132,53,31,0
Pct 7825,VBM,7825,1,578,305,52.77,188,67,50,0
Pct 7826,Election Day,7826,1,709,259,36.53,150,62,47,0
Pct 7826,VBM,7826,1,709,374,52.75,224,84,66,0
Pct 7827,Election Day,7827,1,931,313,33.62,199,53,61,0
Pct 7827,VBM,7827,1,931,445,47.80,232,131,82,0
Pct 7828,Election Day,7828,1,1053,311,29.53,157,101,53,0
Pct 7828,VBM,7828,1,1053,613,58.21,300,196,116,1
Pct 7829,Election Day,7829,1,904,269,29.76,143,73,53,0
Pct 7829,VBM,7829,1,904,572,63.27,277,212,83,0
Pct 7831,Election Day,7831,1,906,272,30.02,151,71,50,0
Pct 7831,VBM,7831,1,906,531,58.61,254,196,81,0
Pct 7832,Election Day,7832,1,824,247,29.98,129,72,46,0
Pct 7832,VBM,7832,1,824,512,62.14,238,170,104,0
Pct 7833,Election Day,7833,1,785,251,31.97,143,49,59,0
Pct 7833,VBM,7833,1,785,459,58.47,259,113,87,0
Pct 7834,Election Day,7834,1,901,321,35.63,205,62,54,0
Pct 7834,VBM,7834,1,901,454,50.39,251,116,87,0
Pct 7835,Election Day,7835,1,863,249,28.85,123,83,43,0
Pct 7835,VBM,7835,1,863,536,62.11,259,183,93,1
Pct 7836,Election Day,7836,1,990,290,29.29,157,85,48,0
Pct 7836,VBM,7836,1,990,613,61.92,306,191,116,0
Pct 7837,Election Day,7837,1,934,305,32.66,153,96,56,0
Pct 7837,VBM,7837,1,934,535,57.28,229,186,119,1
Pct 7838,Election Day,7838,1,933,250,26.80,120,82,48,0
Pct 7838,VBM,7838,1,933,589,63.13,271,209,109,0
Pct 7839,Election Day,7839,1,869,229,26.35,122,65,41,1
Pct 7839,VBM,7839,1,869,556,63.98,246,186,123,1
Pct 7841,Election Day,7841,1,947,309,32.63,177,67,64,1
Pct 7841,VBM,7841,1,947,530,55.97,263,159,107,1
Pct 7842,Election Day,7842,1,960,356,37.08,213,84,59,0
Pct 7842,VBM,7842,1,960,508,52.92,286,144,78,0
Pct 7843,Election Day,7843,1,802,272,33.92,177,54,41,0
Pct 7843,VBM,7843,1,802,407,50.75,235,105,67,0
Pct 7844,Election Day,7844,1,682,246,36.07,145,59,42,0
Pct 7844,VBM,7844,1,682,348,51.03,193,98,57,0
Pct 7845,Election Day,7845,1,869,288,33.14,141,88,58,1
Pct 7845,VBM,7845,1,869,495,56.96,218,173,103,1
Pct 7846,Election Day,7846,1,925,272,29.41,146,65,61,0
Pct 7846,VBM,7846,1,925,542,58.59,255,178,107,2
Pct 7847,Election Day,7847,1,960,284,29.58,134,94,56,0
Pct 7847,VBM,7847,1,960,559,58.23,270,184,105,0
Pct 7848,Election Day,7848,1,905,304,33.59,166,77,61,0
Pct 7848,VBM,7848,1,905,514,56.80,265,145,103,1
Pct 7849,Election Day,7849,1,967,318,32.89,184,85,49,0
Pct 7849,VBM,7849,1,967,546,56.46,286,166,94,0
Pct 7851,Election Day,7851,1,528,168,31.82,90,44,34,0
Pct 7851,VBM,7851,1,528,304,57.58,159,99,46,0
Pct 7852,Election Day,7852,1,644,179,27.80,78,66,35,0
Pct 7852,VBM,7852,1,644,405,62.89,203,128,74,0
Pct 7853,Election Day,7853,1,896,252,28.12,126,74,51,1
Pct 7853,VBM,7853,1,896,518,57.81,248,187,83,0
Pct 7854,Election Day,7854,1,933,302,32.37,150,78,74,0
Pct 7854,VBM,7854,1,933,523,56.06,253,159,110,1
Pct 7855,Election Day,7855,1,968,326,33.68,174,86,66,0
Pct 7855,VBM,7855,1,968,544,56.20,255,194,95,0
Pct 7856,Election Day,7856,1,849,289,34.04,167,69,53,0
Pct 7856,VBM,7856,1,849,480,56.54,264,126,90,0
Pct 7857,Election Day,7857,1,963,323,33.54,201,64,58,0
Pct 7857,VBM,7857,1,963,531,55.14,275,161,95,0
Pct 7858,Election Day,7858,1,791,275,34.77,157,59,59,0
Pct 7858,VBM,7858,1,791,399,50.44,241,89,69,0
Pct 7859,Election Day,7859,1,915,273,29.84,133,81,59,0
Pct 7859,VBM,7859,1,915,561,61.31,279,194,87,1
Pct 7861,Election Day,7861,1,881,268,30.42,140,79,48,1
Pct 7861,VBM,7861,1,881,508,57.66,242,162,103,1
Pct 7862,Election Day,7862,1,923,318,34.45,158,98,62,0
Pct 7862,VBM,7862,1,923,497,53.85,239,174,84,0
Pct 7863,Election Day,7863,1,939,348,37.06,201,87,60,0
Pct 7863,VBM,7863,1,939,471,50.16,231,155,85,0
Pct 7864,Election Day,7864,1,815,276,33.87,150,69,57,0
Pct 7864,VBM,7864,1,815,427,52.39,243,111,73,0
Pct 7865,Election Day,7865,1,853,274,32.12,161,65,48,0
Pct 7865,VBM,7865,1,853,480,56.27,218,170,92,0
Pct 7866,Election Day,7866,1,831,239,28.76,118,81,39,1
Pct 7866,VBM,7866,1,831,507,61.01,248,165,94,0
Pct 7867,Election Day,7867,1,946,308,32.56,153,96,59,0
Pct 7867,VBM,7867,1,946,514,54.33,262,174,78,0
Pct 7868,Election Day,7868,1,901,292,32.41,142,94,56,0
Pct 7868,VBM,7868,1,901,472,52.39,229,175,68,0
Pct 7869,Election Day,7869,1,874,304,34.78,169,78,57,0
Pct 7869,VBM,7869,1,874,485,55.49,225,174,85,1
Pct 7871,Election Day,7871,1,909,274,30.14,146,79,49,0
Pct 7871,VBM,7871,1,909,530,58.31,281,170,79,0
Pct 7872,Election Day,7872,1,902,313,34.70,169,99,45,0
Pct 7872,VBM,7872,1,902,506,56.10,258,161,86,1
Pct 7873,Election Day,7873,1,874,278,31.81,155,79,44,0
Pct 7873,VBM,7873,1,874,510,58.35,253,155,102,0
Pct 7874,Election Day,7874,1,482,167,34.65,86,49,32,0
Pct 7874,VBM,7874,1,482,241,50.00,117,84,40,0
Pct 7875,Election Day,7875,1,628,198,31.53,102,57,38,1
Pct 7875,VBM,7875,1,628,327,52.07,163,102,62,0
Pct 7901,Election Day,7901,1,1286,375,29.16,221,79,75,0
Pct 7901,VBM,7901,1,1286,577,44.87,329,138,109,1
Pct 7902,Election Day,7902,1,1064,327,30.73,196,72,59,0
Pct 7902,VBM,7902,1,1064,515,48.40,312,123,80,0
Pct 7903,Election Day,7903,1,929,242,26.05,131,62,49,0
Pct 7903,VBM,7903,1,929,410,44.13,238,108,64,0
Pct 7904,Election Day,7904,1,926,231,24.95,143,48,40,0
Pct 7904,VBM,7904,1,926,463,50.00,277,113,72,1
Pct 7905,Election Day,7905,1,851,299,35.14,187,66,46,0
Pct 7905,VBM,7905,1,851,419,49.24,237,117,65,0
Pct 7906,Election Day,7906,1,854,275,32.20,180,46,49,0
Pct 7906,VBM,7906,1,854,378,44.26,237,86,55,0
Pct 7907,Election Day,7907,1,991,346,34.91,205,66,75,0
Pct 7907,VBM,7907,1,991,488,49.24,297,97,94,0
Pct 7908,Election Day,7908,1,1008,310,30.75,190,64,56,0
Pct 7908,VBM,7908,1,1008,562,55.75,333,140,89,0
Pct 7909,Election Day,7909,1,787,280,35.58,183,53,44,0
Pct 7909,VBM,7909,1,787,364,46.25,199,102,63,0
Pct 7911,Election Day,7911,1,907,304,33.52,199,54,51,0
Pct 7911,VBM,7911,1,907,430,47.41,248,126,55,1
Pct 7912,Election Day,7912,1,1090,348,31.93,222,62,64,0
Pct 7912,VBM,7912,1,1090,526,48.26,330,117,78,1
Pct 7913,Election Day,7913,1,964,376,39.00,244,70,62,0
Pct 7913,VBM,7913,1,964,424,43.98,255,105,64,0
Pct 7914,Election Day,7914,1,895,315,35.20,205,61,49,0
Pct 7914,VBM,7914,1,895,437,48.83,268,93,74,2
Pct 7915,Election Day,7915,1,892,329,36.88,225,62,42,0
Pct 7915,VBM,7915,1,892,387,43.39,235,92,59,1
Pct 7916,Election Day,7916,1,953,307,32.21,197,64,46,0
Pct 7916,VBM,7916,1,953,461,48.37,290,101,69,1
Pct 7917,Election Day,7917,1,1073,389,36.25,250,79,58,2
Pct 7917,VBM,7917,1,1073,479,44.64,303,112,64,0
Pct 7918,Election Day,7918,1,860,304,35.35,184,66,52,2
Pct 7918,VBM,7918,1,860,393,45.70,232,95,66,0
Pct 7919,Election Day,7919,1,928,361,38.90,234,66,61,0
Pct 7919,VBM,7919,1,928,406,43.75,254,87,65,0
Pct 7921,Election Day,7921,1,970,293,30.21,184,64,45,0
Pct 7921,VBM,7921,1,970,401,41.34,244,110,46,1
Pct 7922,Election Day,7922,1,884,306,34.62,200,56,50,0
Pct 7922,VBM,7922,1,884,399,45.14,260,94,45,0
Pct 7923,Election Day,7923,1,930,335,36.02,220,58,57,0
Pct 7923,VBM,7923,1,930,354,38.06,210,101,43,0
Pct 7924,Election Day,7924,1,883,280,31.71,173,44,62,1
Pct 7924,VBM,7924,1,883,416,47.11,255,110,49,2
Pct 7925,Election Day,7925,1,591,196,33.16,122,41,32,1
Pct 7925,VBM,7925,1,591,287,48.56,164,76,47,0
Pct 7926,Election Day,7926,1,820,259,31.59,164,59,36,0
Pct 7926,VBM,7926,1,820,436,53.17,247,119,70,0
Pct 7927,Election Day,7927,1,782,283,36.19,182,61,40,0
Pct 7927,VBM,7927,1,782,405,51.79,233,99,72,1
Pct 7928,Election Day,7928,1,976,323,33.09,200,74,49,0
Pct 7928,VBM,7928,1,976,526,53.89,326,143,56,1
Pct 7929,Election Day,7929,1,871,290,33.30,171,74,45,0
Pct 7929,VBM,7929,1,871,490,56.26,286,141,63,0
Pct 7931,Election Day,7931,1,765,252,32.94,151,64,37,0
Pct 7931,VBM,7931,1,765,435,56.86,274,99,62,0
Pct 7932,Election Day,7932,1,557,173,31.06,105,37,31,0
Pct 7932,VBM,7932,1,557,309,55.48,188,79,42,0
Pct 7933 MB,Election Day,7933,1,8,0,0.00,0,0,0,0
Pct 7933 MB,VBM,7933,1,8,7,87.50,1,5,1,0
Pct 7934,Election Day,7934,1,888,289,32.55,181,60,47,1
Pct 7934,VBM,7934,1,888,483,54.39,292,127,62,2
Pct 7935,Election Day,7935,1,949,341,35.93,216,67,58,0
Pct 7935,VBM,7935,1,949,510,53.74,302,131,75,2
Pct 7936,Election Day,7936,1,876,325,37.10,206,67,52,0
Pct 7936,VBM,7936,1,876,439,50.11,256,120,62,1
Pct 7937,Election Day,7937,1,909,325,35.75,204,70,51,0
Pct 7937,VBM,7937,1,909,455,50.06,284,114,57,0
Pct 7938,Election Day,7938,1,808,295,36.51,166,73,55,1
Pct 7938,VBM,7938,1,808,341,42.20,216,83,42,0
Pct 7939,Election Day,7939,1,674,262,38.87,159,58,45,0
Pct 7939,VBM,7939,1,674,331,49.11,198,77,55,1
Pct 7941,Election Day,7941,1,790,261,33.04,167,47,47,0
Pct 7941,VBM,7941,1,790,394,49.87,230,93,71,0
Pct 7942,Election Day,7942,1,950,299,31.47,163,76,60,0
Pct 7942,VBM,7942,1,950,470,49.47,256,123,89,2
Pct 7943,Election Day,7943,1,938,310,33.05,163,84,62,1
Pct 7943,VBM,7943,1,938,470,50.11,252,154,64,0
Pct 7944,Election Day,7944,1,830,305,36.75,193,61,51,0
Pct 7944,VBM,7944,1,830,387,46.63,226,108,53,0
Pct 7945,Election Day,7945,1,926,208,22.46,110,57,41,0
Pct 7945,VBM,7945,1,926,455,49.14,261,130,64,0
Pct 7946,Election Day,7946,1,976,225,23.05,135,56,34,0
Pct 7946,VBM,7946,1,976,491,50.31,271,141,79,0
Pct 7947,Election Day,7947,1,964,257,26.66,120,80,57,0
Pct 7947,VBM,7947,1,964,460,47.72,267,126,67,0
Pct 7948,Election Day,7948,1,933,270,28.94,156,63,51,0
Pct 7948,VBM,7948,1,933,451,48.34,250,139,62,0
Pct 7949,Election Day,7949,1,594,142,23.91,72,36,34,0
Pct 7949,VBM,7949,1,594,291,48.99,162,91,38,0
Pct 7951,Election Day,7951,1,841,189,22.47,93,62,34,0
Pct 7951,VBM,7951,1,841,456,54.22,267,114,75,0
Pct 7952,Election Day,7952,1,865,221,25.55,127,66,28,0
Pct 7952,VBM,7952,1,865,430,49.71,262,114,54,0
Pct 7953,Election Day,7953,1,853,216,25.32,130,63,23,0
Pct 7953,VBM,7953,1,853,461,54.04,238,151,72,0
Pct 7954 MB,Election Day,7954,1,0,0,0.00,0,0,0,0
Pct 7954 MB,VBM,7954,1,0,0,0.00,0,0,0,0
Pct 7955,Election Day,7955,1,899,218,24.25,119,61,38,0
Pct 7955,VBM,7955,1,899,466,51.84,258,139,69,0
Pct 7956,Election Day,7956,1,779,199,25.55,105,49,44,1
Pct 7956,VBM,7956,1,779,380,48.78,222,92,65,1
Pct 7957,Election Day,7957,1,664,188,28.31,94,59,35,0
Pct 7957,VBM,7957,1,664,336,50.60,173,109,54,0
Pct 7958 MB,Election Day,7958,1,291,8,2.75,5,1,2,0
Pct 7958 MB,VBM,7958,1,291,191,65.64,109,59,23,0
Pct 9001 MB,Election Day,9001,1,269,11,4.09,3,4,4,0
Pct 9001 MB,VBM,9001,1,269,186,69.14,100,64,22,0
Pct 9101,Election Day,9101,1,899,296,32.93,170,74,52,0
Pct 9101,VBM,9101,1,899,444,49.39,232,127,85,0
Pct 9102,Election Day,9102,1,989,313,31.65,180,59,73,1
Pct 9102,VBM,9102,1,989,504,50.96,299,136,68,1
Pct 9103,Election Day,9103,1,971,317,32.65,175,81,61,0
Pct 9103,VBM,9103,1,971,469,48.30,258,133,78,0
Pct 9104,Election Day,9104,1,1004,273,27.19,168,50,55,0
Pct 9104,VBM,9104,1,1004,522,51.99,300,123,98,1
Pct 9105,Election Day,9105,1,975,316,32.41,193,64,59,0
Pct 9105,VBM,9105,1,975,501,51.38,267,130,104,0
Pct 9106,Election Day,9106,1,938,307,32.73,184,60,63,0
Pct 9106,VBM,9106,1,938,512,54.58,269,148,95,0
Pct 9107,Election Day,9107,1,859,290,33.76,169,58,62,1
Pct 9107,VBM,9107,1,859,389,45.29,219,87,83,0
Pct 9108,Election Day,9108,1,815,294,36.07,174,70,50,0
Pct 9108,VBM,9108,1,815,397,48.71,225,108,64,0
Pct 9109,Election Day,9109,1,875,311,35.54,174,68,69,0
Pct 9109,VBM,9109,1,875,438,50.06,238,122,77,1
Pct 9111,Election Day,9111,1,785,278,35.41,146,54,78,0
Pct 9111,VBM,9111,1,785,359,45.73,207,86,66,0
Pct 9112,Election Day,9112,1,975,294,30.15,168,63,63,0
Pct 9112,VBM,9112,1,975,510,52.31,253,164,93,0
Pct 9113,Election Day,9113,1,1008,331,32.84,155,107,69,0
Pct 9113,VBM,9113,1,1008,522,51.79,291,135,95,1
Pct 9114,Election Day,9114,1,913,308,33.73,178,57,73,0
Pct 9114,VBM,9114,1,913,441,48.30,254,101,85,1
Pct 9115,Election Day,9115,1,948,293,30.91,182,63,48,0
Pct 9115,VBM,9115,1,948,468,49.37,263,122,83,0
Pct 9116,Election Day,9116,1,986,326,33.06,206,61,59,0
Pct 9116,VBM,9116,1,986,485,49.19,267,115,103,0
Pct 9117,Election Day,9117,1,785,232,29.55,126,60,45,1
Pct 9117,VBM,9117,1,785,438,55.80,248,109,81,0
Pct 9118,Election Day,9118,1,987,295,29.89,170,68,57,0
Pct 9118,VBM,9118,1,987,485,49.14,261,115,108,1
Pct 9119,Election Day,9119,1,911,275,30.19,136,73,66,0
Pct 9119,VBM,9119,1,911,469,51.48,276,112,80,1
Pct 9121,Election Day,9121,1,950,314,33.05,178,75,61,0
Pct 9121,VBM,9121,1,950,444,46.74,270,95,79,0
Pct 9122,Election Day,9122,1,976,262,26.84,152,54,56,0
Pct 9122,VBM,9122,1,976,507,51.95,295,122,88,2
Pct 9123,Election Day,9123,1,902,290,32.15,164,70,56,0
Pct 9123,VBM,9123,1,902,450,49.89,270,105,75,0
Pct 9124,Election Day,9124,1,940,263,27.98,156,56,51,0
Pct 9124,VBM,9124,1,940,467,49.68,273,112,82,0
Pct 9125,Election Day,9125,1,911,263,28.87,156,48,59,0
Pct 9125,VBM,9125,1,911,477,52.36,297,95,85,0
Pct 9126,Election Day,9126,1,978,283,28.94,169,60,54,0
Pct 9126,VBM,9126,1,978,537,54.91,323,123,91,0
Pct 9127,Election Day,9127,1,985,347,35.23,200,87,60,0
Pct 9127,VBM,9127,1,985,472,47.92,262,124,86,0
Pct 9128,Election Day,9128,1,859,282,32.83,161,60,61,0
Pct 9128,VBM,9128,1,859,445,51.80,237,125,82,1
Pct 9129,Election Day,9129,1,772,259,33.55,152,62,45,0
Pct 9129,VBM,9129,1,772,362,46.89,211,88,63,0
Pct 9131,Election Day,9131,1,806,250,31.02,148,57,45,0
Pct 9131,VBM,9131,1,806,411,50.99,256,91,64,0
Pct 9132,Election Day,9132,1,898,297,33.07,180,58,59,0
Pct 9132,VBM,9132,1,898,404,44.99,243,91,66,4
Pct 9133,Election Day,9133,1,1083,299,27.61,182,74,43,0
Pct 9133,VBM,9133,1,1083,589,54.39,339,153,97,0
Pct 9134,Election Day,9134,1,937,248,26.47,129,42,77,0
Pct 9134,VBM,9134,1,937,519,55.39,279,131,109,0
Pct 9135,Election Day,9135,1,831,242,29.12,123,65,54,0
Pct 9135,VBM,9135,1,831,410,49.34,183,137,90,0
Pct 9136,Election Day,9136,1,952,313,32.88,173,59,81,0
Pct 9136,VBM,9136,1,952,475,49.89,281,122,71,1
Pct 9137,Election Day,9137,1,977,287,29.38,167,67,53,0
Pct 9137,VBM,9137,1,977,498,50.97,272,127,98,1
Pct 9138,Election Day,9138,1,930,264,28.39,148,62,54,0
Pct 9138,VBM,9138,1,930,507,54.52,328,108,71,0
Pct 9139,Election Day,9139,1,1004,298,29.68,169,74,55,0
Pct 9139,VBM,9139,1,1004,533,53.09,315,134,84,0
Pct 9141,Election Day,9141,1,963,296,30.74,181,55,60,0
Pct 9141,VBM,9141,1,963,498,51.71,311,110,77,0
Pct 9142,Election Day,9142,1,1003,327,32.60,195,69,62,1
Pct 9142,VBM,9142,1,1003,516,51.45,325,113,78,0
Pct 9143,Election Day,9143,1,921,290,31.49,176,62,52,0
Pct 9143,VBM,9143,1,921,457,49.62,265,112,80,0
Pct 9144,Election Day,9144,1,983,341,34.69,202,84,54,1
Pct 9144,VBM,9144,1,983,491,49.95,275,121,95,0
Pct 9145,Election Day,9145,1,889,297,33.41,179,68,50,0
Pct 9145,VBM,9145,1,889,456,51.29,255,118,82,1
Pct 9146,Election Day,9146,1,929,359,38.64,203,81,75,0
Pct 9146,VBM,9146,1,929,440,47.36,252,105,83,0
Pct 9147,Election Day,9147,1,983,302,30.72,182,66,54,0
