PrecinctName,ReportingType,PrecinctID,Precincts,Registration,Ballots Cast,Turnout (%),PHIL TING,CARLOS ''CHUCK'' TAYLOR,Under Vote,Over Vote
Pct 9116,VBM,9116,1,986,485,49.19,356,50,79,0
Pct 9117,Election Day,9117,1,785,232,29.55,161,35,36,0
Pct 9117,VBM,9117,1,785,438,55.80,335,46,57,0
Pct 9118,Election Day,9118,1,987,295,29.89,200,34,61,0
Pct 9118,VBM,9118,1,987,485,49.14,342,62,81,0
Pct 9119,Election Day,9119,1,911,275,30.19,181,38,56,0
Pct 9119,VBM,9119,1,911,469,51.48,334,69,66,0
Pct 9121,Election Day,9121,1,950,314,33.05,207,58,49,0
Pct 9121,VBM,9121,1,950,444,46.74,332,50,62,0
Pct 9122,Election Day,9122,1,976,262,26.84,184,31,47,0
Pct 9122,VBM,9122,1,976,507,51.95,363,80,64,0
Pct 9123,Election Day,9123,1,902,290,32.15,189,53,48,0
Pct 9123,VBM,9123,1,902,450,49.89,318,62,70,0
Pct 9124,Election Day,9124,1,940,263,27.98,179,37,47,0
Pct 9124,VBM,9124,1,940,467,49.68,339,57,71,0
Pct 9125,Election Day,9125,1,911,263,28.87,180,30,53,0
Pct 9125,VBM,9125,1,911,477,52.36,358,54,65,0
Pct 9126,Election Day,9126,1,978,283,28.94,192,37,54,0
Pct 9126,VBM,9126,1,978,537,54.91,380,84,73,0
Pct 9127,Election Day,9127,1,985,347,35.23,244,45,58,0
Pct 9127,VBM,9127,1,985,472,47.92,347,71,54,0
Pct 9128,Election Day,9128,1,859,282,32.83,187,42,53,0
Pct 9128,VBM,9128,1,859,445,51.80,314,68,62,1
Pct 9129,Election Day,9129,1,772,259,33.55,179,33,47,0
Pct 9129,VBM,9129,1,772,362,46.89,267,47,48,0
Pct 9131,Election Day,9131,1,806,250,31.02,184,29,37,0
Pct 9131,VBM,9131,1,806,411,50.99,296,64,51,0
Pct 9132,Election Day,9132,1,898,297,33.07,200,27,70,0
Pct 9132,VBM,9132,1,898,404,44.99,300,44,60,0
Pct 9133,Election Day,9133,1,1083,299,27.61,228,33,38,0
Pct 9133,VBM,9133,1,1083,589,54.39,440,74,75,0
Pct 9134,Election Day,9134,1,937,248,26.47,154,27,67,0
Pct 9134,VBM,9134,1,937,519,55.39,366,75,77,1
Pct 9135,Election Day,9135,1,831,242,29.12,152,36,53,1
Pct 9135,VBM,9135,1,831,410,49.34,252,96,62,0
Pct 9136,Election Day,9136,1,952,313,32.88,206,39,68,0
Pct 9136,VBM,9136,1,952,475,49.89,358,66,51,0
Pct 9137,Election Day,9137,1,977,287,29.38,206,42,39,0
Pct 9137,VBM,9137,1,977,498,50.97,353,65,80,0
Pct 9138,Election Day,9138,1,930,264,28.39,169,42,53,0
Pct 9138,VBM,9138,1,930,507,54.52,388,66,53,0
Pct 9139,Election Day,9139,1,1004,298,29.68,179,52,67,0
Pct 9139,VBM,9139,1,1004,533,53.09,378,99,56,0
Pct 9141,Election Day,9141,1,963,296,30.74,204,39,53,0
Pct 9141,VBM,9141,1,963,498,51.71,385,55,58,0
Pct 9142,Election Day,9142,1,1003,327,32.60,237,33,57,0
Pct 9142,VBM,9142,1,1003,516,51.45,398,47,70,1
Pct 9143,Election Day,9143,1,921,290,31.49,203,34,53,0
Pct 9143,VBM,9143,1,921,457,49.62,320,67,70,0
Pct 9144,Election Day,9144,1,983,341,34.69,239,42,60,0
Pct 9144,VBM,9144,1,983,491,49.95,358,59,74,0
Pct 9145,Election Day,9145,1,889,297,33.41,207,35,55,0
Pct 9145,VBM,9145,1,889,456,51.29,337,60,59,0
Pct 9146,Election Day,9146,1,929,359,38.64,236,52,71,0
Pct 9146,VBM,9146,1,929,440,47.36,321,56,63,0
Pct 9147,Election Day,9147,1,983,302,30.72,212,39,51,0
