PrecinctName,ReportingType,PrecinctID,Precincts,Registration,Ballots Cast,Turnout (%),Yes,No,Under Vote,Over Vote
Pct 1101,Election Day,1101,1,586,159,27.13,124,28,6,1
Pct 1101,VBM,1101,1,586,287,48.98,229,44,10,0
Pct 1102,Election Day,1102,1,996,291,29.22,229,54,7,0
Pct 1102,VBM,1102,1,996,519,52.11,406,90,21,0
Pct 1103,Election Day,1103,1,971,263,27.09,220,36,7,0
Pct 1103,VBM,1103,1,971,518,53.35,431,70,14,0
Pct 1104/1105,Election Day,1104,1,991,329,33.20,257,59,13,0
Pct 1104/1105,VBM,1104,1,991,434,43.79,343,78,16,0
Pct 1106,Election Day,1106,1,808,217,26.86,159,38,20,0
Pct 1106,VBM,1106,1,808,383,47.40,303,58,15,0
Pct 1107,Election Day,1107,1,781,222,28.43,174,35,13,0
Pct 1107,VBM,1107,1,781,284,36.36,223,48,6,0
Pct 1108,Election Day,1108,1,951,250,26.29,186,50,14,0
Pct 1108,VBM,1108,1,951,494,51.95,412,64,15,0
Pct 1109,Election Day,1109,1,809,215,26.58,162,43,11,0
Pct 1109,VBM,1109,1,809,402,49.69,318,60,19,0
Pct 1111,Election Day,1111,1,1031,246,23.86,191,44,13,0
Pct 1111,VBM,1111,1,1031,471,45.68,381,62,18,0
Pct 1112,Election Day,1112,1,765,173,22.61,132,24,14,0
Pct 1112,VBM,1112,1,765,384,50.20,319,42,19,0
Pct 1113,Election Day,1113,1,713,145,20.34,122,21,2,0
Pct 1113,VBM,1113,1,713,402,56.38,313,62,17,1
Pct 1114,Election Day,1114,1,971,297,30.59,224,46,27,0
Pct 1114,VBM,1114,1,971,444,45.73,355,63,26,0
Pct 1115,Election Day,1115,1,910,233,25.60,180,34,17,1
Pct 1115,VBM,1115,1,910,513,56.37,402,81,29,0
Pct 1116,Election Day,1116,1,913,245,26.83,188,41,16,0
Pct 1116,VBM,1116,1,913,391,42.83,319,45,22,0
Pct 1117,Election Day,1117,1,886,273,30.81,213,42,15,0
Pct 1117,VBM,1117,1,886,371,41.87,297,56,13,0
Pct 1118,Election Day,1118,1,1031,261,25.32,203,43,15,0
Pct 1118,VBM,1118,1,1031,515,49.95,411,77,21,0
Pct 1119,Election Day,1119,1,783,176,22.48,134,32,10,0
Pct 1119,VBM,1119,1,783,411,52.49,338,53,15,0
Pct 1121,Election Day,1121,1,691,192,27.79,143,44,6,0
Pct 1121,VBM,1121,1,691,333,48.19,255,67,11,0
Pct 1122,Election Day,1122,1,658,166,25.23,126,29,11,0
Pct 1122,VBM,1122,1,658,316,48.02,248,53,11,0
Pct 1123,Election Day,1123,1,954,259,27.15,193,53,14,0
Pct 1123,VBM,1123,1,954,387,40.57,313,54,17,0
Pct 1124,Election Day,1124,1,831,210,25.27,157,34,17,1
Pct 1124,VBM,1124,1,831,346,41.64,268,58,15,0
Pct 1125,Election Day,1125,1,1029,234,22.74,184,38,13,0
Pct 1125,VBM,1125,1,1029,511,49.66,412,68,25,0
Pct 1126,Election Day,1126,1,954,254,26.62,189,44,18,1
Pct 1126,VBM,1126,1,954,447,46.86,373,54,12,0
Pct 1127,Election Day,1127,1,911,273,29.97,192,65,17,0
Pct 1127,VBM,1127,1,911,412,45.23,334,69,11,0
Pct 1128,Election Day,1128,1,907,237,26.13,182,34,21,0
Pct 1128,VBM,1128,1,907,449,49.50,332,82,27,0
Pct 1129,Election Day,1129,1,951,280,29.44,186,71,26,0
Pct 1129,VBM,1129,1,951,423,44.48,346,59,15,0
Pct 1131,Election Day,1131,1,853,192,22.51,143,36,13,0
Pct 1131,VBM,1131,1,853,382,44.78,287,75,17,0
Pct 1132,Election Day,1132,1,982,226,23.01,168,34,23,0
Pct 1132,VBM,1132,1,982,495,50.41,381,79,27,0
Pct 1133,Election Day,1133,1,870,223,25.63,158,46,16,0
Pct 1133,VBM,1133,1,870,438,50.34,334,85,14,0
Pct 1134,Election Day,1134,1,793,216,27.24,165,39,10,1
Pct 1134,VBM,1134,1,793,377,47.54,306,53,16,0
Pct 1135,Election Day,1135,1,521,122,23.42,96,23,4,0
Pct 1135,VBM,1135,1,521,299,57.39,229,59,9,0
Pct 1136,Election Day,1136,1,857,206,24.04,149,49,8,0
Pct 1136,VBM,1136,1,857,463,54.03,361,79,19,0
Pct 1141,Election Day,1141,1,1047,259,24.74,200,52,12,0
Pct 1141,VBM,1141,1,1047,553,52.82,448,76,21,0
Pct 1142,Election Day,1142,1,858,232,27.04,175,48,12,0
Pct 1142,VBM,1142,1,858,435,50.70,339,61,20,0
Pct 1143,Election Day,1143,1,1056,302,28.60,239,48,19,0
Pct 1143,VBM,1143,1,1056,499,47.25,383,84,21,1
Pct 1144,Election Day,1144,1,928,266,28.66,197,60,12,0
Pct 1144,VBM,1144,1,928,447,48.17,359,64,21,0
Pct 1145,Election Day,1145,1,931,237,25.46,179,40,17,0
Pct 1145,VBM,1145,1,931,516,55.42,411,88,8,1
