PrecinctName,ReportingType,PrecinctID,Precincts,Registration,Ballots Cast,Turnout (%),AHSHA SAFAI,MAGDALENA DE GUZMAN,FRANCISCO HERRERA,BERTA HERNANDEZ,KIM ALVARENGA,WRITE-IN,Under Vote,Over Vote
Pct 1147,Election Day,1147,1,927,270,29.13,72,23,14,15,112,0,23,2
Pct 1147,VBM,1147,1,927,464,50.05,145,52,41,29,163,0,17,6
Pct 1148,Election Day,1148,1,992,264,26.61,59,12,29,15,104,2,36,5
Pct 1148,VBM,1148,1,992,463,46.67,142,46,42,35,143,0,37,5
Pct 1149,Election Day,1149,1,950,291,30.63,62,30,28,26,107,0,34,2
Pct 1149,VBM,1149,1,950,456,48.00,169,43,42,16,144,2,25,5
Pct 1151 MB,Election Day,1151,1,0,0,0.00,0,0,0,0,0,0,0,0
Pct 1151 MB,VBM,1151,1,0,0,0.00,0,0,0,0,0,0,0,0
Pct 1152,Election Day,1152,1,898,236,26.28,68,39,16,7,88,0,8,1
Pct 1152,VBM,1152,1,898,435,48.44,140,66,31,26,131,1,30,6
Pct 1153,Election Day,1153,1,961,281,29.24,96,27,25,16,79,1,32,2
Pct 1153,VBM,1153,1,961,468,48.70,159,39,36,27,156,0,32,1
Pct 1154 MB,Election Day,1154,1,0,0,0.00,0,0,0,0,0,0,0,0
Pct 1154 MB,VBM,1154,1,0,0,0.00,0,0,0,0,0,0,0,0
