PrecinctName,ReportingType,PrecinctID,Precincts,Registration,Ballots Cast,Turnout (%),MELISSA SAN MIGUEL,HILLARY RONEN,ISWARI ESPAÑA,JOSHUA ARCE,WRITE-IN,Under Vote,Over Vote
Pct 7944,VBM,7944,1,830,387,46.63,32,207,6,105,2,24,2
Pct 7945,Election Day,7945,1,926,208,22.46,22,103,3,55,2,14,0
Pct 7945,VBM,7945,1,926,455,49.14,54,215,9,145,0,24,2
Pct 7946,Election Day,7946,1,976,225,23.05,29,117,3,57,0,16,0
Pct 7946,VBM,7946,1,976,491,50.31,67,244,8,106,2,52,1
Pct 7947,Election Day,7947,1,964,257,26.66,29,121,3,63,3,34,0
Pct 7947,VBM,7947,1,964,460,47.72,57,220,7,120,4,40,3
Pct 7948,Election Day,7948,1,933,270,28.94,31,120,9,55,1,38,0
Pct 7948,VBM,7948,1,933,451,48.34,67,223,3,103,3,33,3
Pct 7949,Election Day,7949,1,594,142,23.91,17,61,2,35,0,23,0
Pct 7949,VBM,7949,1,594,291,48.99,40,124,9,84,0,22,1
Pct 7951,Election Day,7951,1,841,189,22.47,22,104,2,37,1,17,1
Pct 7951,VBM,7951,1,841,456,54.22,60,203,5,115,5,56,2
Pct 7952,Election Day,7952,1,865,221,25.55,20,104,4,67,0,14,0
Pct 7952,VBM,7952,1,865,430,49.71,57,247,8,79,1,25,2
Pct 7953,Election Day,7953,1,853,216,25.32,28,115,0,51,0,16,0
Pct 7953,VBM,7953,1,853,461,54.04,62,210,10,118,1,49,1
Pct 7954 MB,Election Day,7954,1,0,0,0.00,0,0,0,0,0,0,0
Pct 7954 MB,VBM,7954,1,0,0,0.00,0,0,0,0,0,0,0
Pct 7955,Election Day,7955,1,899,218,24.25,17,110,4,47,1,34,2
Pct 7955,VBM,7955,1,899,466,51.84,69,218,9,109,5,40,1
Pct 7956,Election Day,7956,1,779,199,25.55,22,90,3,42,0,31,2
Pct 7956,VBM,7956,1,779,380,48.78,50,168,11,109,3,25,2
Pct 7957,Election Day,7957,1,664,188,28.31,25,92,7,39,6,12,0
Pct 7957,VBM,7957,1,664,336,50.60,39,168,7,89,1,23,1
Pct 7958 MB,Election Day,7958,1,291,8,2.75,0,1,0,3,0,0,0
Pct 7958 MB,VBM,7958,1,291,191,65.64,29,92,5,41,0,17,1
