PrecinctName,ReportingType,PrecinctID,Precincts,Registration,Ballots Cast,Turnout (%),DEAN PRESTON,LONDON BREED,WRITE-IN,Under Vote,Over Vote
Pct 7553 MB,Election Day,7553,1,187,5,2.67,0,0,0,5,0
Pct 7553 MB,VBM,7553,1,187,163,87.17,58,85,2,11,0
Pct 7554,Election Day,7554,1,859,279,32.48,129,122,0,26,0
Pct 7554,VBM,7554,1,859,490,57.04,170,267,2,32,0
Pct 7555,Election Day,7555,1,893,298,33.37,118,156,1,21,0
Pct 7555,VBM,7555,1,893,548,61.37,204,289,0,31,1
Pct 7556/7557,Election Day,7556,1,1008,315,31.25,125,156,3,27,0
Pct 7556/7557,VBM,7556,1,1008,591,58.63,175,370,0,30,1
Pct 9501 MB,Election Day,9501,1,153,6,3.92,1,2,0,2,0
Pct 9501 MB,VBM,9501,1,153,125,81.70,47,58,0,9,0
Pct 9502 MB,Election Day,9502,1,233,5,2.15,0,0,0,0,0
Pct 9502 MB,VBM,9502,1,233,204,87.55,82,88,1,24,0
Pct 9503/9504,Election Day,9503,1,822,277,33.70,105,110,2,47,0
Pct 9503/9504,VBM,9503,1,822,397,48.30,148,182,0,46,2
Pct 9505,Election Day,9505,1,804,226,28.11,79,118,1,22,0
Pct 9505,VBM,9505,1,804,391,48.63,168,183,2,29,0
Pct 9506,Election Day,9506,1,810,266,32.84,100,129,0,23,0
Pct 9506,VBM,9506,1,810,336,41.48,110,194,2,19,0
Pct 9507,Election Day,9507,1,783,248,31.67,101,125,1,13,1
Pct 9507,VBM,9507,1,783,390,49.81,152,203,4,24,1
Pct 9508,Election Day,9508,1,862,304,35.27,156,109,0,33,0
Pct 9508,VBM,9508,1,862,416,48.26,174,198,2,28,0
Pct 9509,Election Day,9509,1,758,237,31.27,109,98,2,12,0
Pct 9509,VBM,9509,1,758,424,55.94,166,209,0,42,0
Pct 9511,Election Day,9511,1,630,236,37.46,135,76,0,23,0
Pct 9511,VBM,9511,1,630,293,46.51,129,118,2,36,0
Pct 9512,Election Day,9512,1,848,279,32.90,143,107,0,21,1
