PrecinctName,ReportingType,PrecinctID,Precincts,Registration,Ballots Cast,Turnout (%),Yes,No,Under Vote,Over Vote
Pct 9219,Election Day,9219,1,829,295,35.59,84,137,74,0
Pct 9219,VBM,9219,1,829,424,51.15,138,195,86,0
Pct 9221,Election Day,9221,1,662,171,25.83,28,113,29,0
Pct 9221,VBM,9221,1,662,466,70.39,91,311,62,0
Pct 9222,Election Day,9222,1,889,281,31.61,71,155,52,2
Pct 9222,VBM,9222,1,889,530,59.62,135,291,91,0
Pct 9223,Election Day,9223,1,664,184,27.71,52,91,41,0
Pct 9223,VBM,9223,1,664,389,58.58,96,208,80,0
Pct 9224,Election Day,9224,1,993,300,30.21,73,166,61,0
Pct 9224,VBM,9224,1,993,563,56.70,157,301,95,0
Pct 9225,Election Day,9225,1,994,346,34.81,111,145,90,0
Pct 9225,VBM,9225,1,994,580,58.35,189,243,134,0
Pct 9226,Election Day,9226,1,960,292,30.42,88,145,59,0
Pct 9226,VBM,9226,1,960,541,56.35,142,277,111,0
Pct 9227,Election Day,9227,1,759,237,31.23,59,137,40,0
Pct 9227,VBM,9227,1,759,428,56.39,98,267,55,1
Pct 9228,Election Day,9228,1,725,233,32.14,60,140,32,1
Pct 9228,VBM,9228,1,725,418,57.66,99,261,56,0
Pct 9229,Election Day,9229,1,615,195,31.71,50,115,30,0
Pct 9229,VBM,9229,1,615,360,58.54,91,213,53,0
Pct 9231,Election Day,9231,1,1006,372,36.98,130,197,45,0
Pct 9231,VBM,9231,1,1006,497,49.40,138,262,86,2
Pct 9232,Election Day,9232,1,746,276,37.00,81,140,55,0
Pct 9232,VBM,9232,1,746,419,56.17,112,243,55,0
Pct 9233,Election Day,9233,1,816,268,32.84,67,147,51,1
Pct 9233,VBM,9233,1,816,468,57.35,102,292,72,0
Pct 9234,Election Day,9234,1,759,216,28.46,77,96,42,0
Pct 9234,VBM,9234,1,759,448,59.03,109,255,70,0
Pct 9235,Election Day,9235,1,907,303,33.41,81,184,37,1
Pct 9235,VBM,9235,1,907,515,56.78,135,268,103,0
Pct 9236,Election Day,9236,1,682,237,34.75,68,122,45,1
Pct 9236,VBM,9236,1,682,363,53.23,91,201,62,0
Pct 9237,Election Day,9237,1,941,279,29.65,78,147,54,0
Pct 9237,VBM,9237,1,941,545,57.92,127,312,98,0
Pct 9238,Election Day,9238,1,846,271,32.03,72,131,66,0
Pct 9238,VBM,9238,1,846,538,63.59,146,306,76,1
Pct 9239,Election Day,9239,1,885,250,28.25,57,138,55,0
Pct 9239,VBM,9239,1,885,588,66.44,158,295,128,0
Pct 9241,Election Day,9241,1,1027,286,27.85,87,139,58,1
Pct 9241,VBM,9241,1,1027,608,59.20,172,326,101,0
Pct 9242,Election Day,9242,1,1023,317,30.99,90,141,85,1
Pct 9242,VBM,9242,1,1023,568,55.52,172,296,97,0
Pct 9243,Election Day,9243,1,611,228,37.32,74,101,53,0
Pct 9243,VBM,9243,1,611,327,53.52,95,173,52,0
Pct 9244,Election Day,9244,1,940,279,29.68,75,141,63,0
Pct 9244,VBM,9244,1,940,545,57.98,158,267,114,0
Pct 9245,Election Day,9245,1,725,229,31.59,92,97,40,0
Pct 9245,VBM,9245,1,725,398,54.90,138,178,74,0
Pct 9246,Election Day,9246,1,964,293,30.39,106,126,62,0
Pct 9246,VBM,9246,1,964,549,56.95,158,281,99,0
Pct 9247,Election Day,9247,1,1004,315,31.37,130,121,63,0
Pct 9247,VBM,9247,1,1004,570,56.77,161,293,106,0
Pct 9248,Election Day,9248,1,955,296,30.99,106,143,46,1
Pct 9248,VBM,9248,1,955,550,57.59,177,264,100,0
Pct 9249,Election Day,9249,1,926,322,34.77,91,177,55,0
Pct 9249,VBM,9249,1,926,485,52.38,141,247,83,0
Pct 9251,Election Day,9251,1,982,324,32.99,91,182,48,1
Pct 9251,VBM,9251,1,982,547,55.70,166,291,86,1
Pct 9252,Election Day,9252,1,943,284,30.12,123,116,44,0
Pct 9252,VBM,9252,1,943,553,58.64,178,291,73,0
Pct 9253,Election Day,9253,1,808,253,31.31,79,116,57,1
Pct 9253,VBM,9253,1,808,456,56.44,148,238,59,0
Pct 9254,Election Day,9254,1,951,300,31.55,114,123,60,1
Pct 9254,VBM,9254,1,951,571,60.04,176,295,96,0
Pct 9255,Election Day,9255,1,577,213,36.92,85,99,28,0
Pct 9255,VBM,9255,1,577,305,52.86,87,143,71,0
Pct 9256,Election Day,9256,1,403,133,33.00,49,58,26,0
Pct 9256,VBM,9256,1,403,209,51.86,76,92,40,0
Pct 9257 MB,Election Day,9257,1,339,9,2.65,3,1,5,0
Pct 9257 MB,VBM,9257,1,339,278,82.01,123,104,44,0
Pct 9258,Election Day,9258,1,715,216,30.21,84,104,29,0
Pct 9258,VBM,9258,1,715,429,60.00,137,212,75,0
Pct 9401,Election Day,9401,1,1014,355,35.01,167,118,70,0
Pct 9401,VBM,9401,1,1014,460,45.36,194,186,77,0
Pct 9402,Election Day,9402,1,1028,323,31.42,151,118,53,1
Pct 9402,VBM,9402,1,1028,493,47.96,214,185,84,0
Pct 9403,Election Day,9403,1,933,273,29.26,103,120,49,0
Pct 9403,VBM,9403,1,933,466,49.95,187,197,75,0
Pct 9404,Election Day,9404,1,921,286,31.05,127,107,52,0
Pct 9404,VBM,9404,1,921,458,49.73,164,232,58,0
Pct 9405,Election Day,9405,1,818,258,31.54,102,118,39,0
Pct 9405,VBM,9405,1,818,441,53.91,179,190,62,0
Pct 9406,Election Day,9406,1,916,291,31.77,104,147,39,1
Pct 9406,VBM,9406,1,916,500,54.59,194,216,85,0
Pct 9407,Election Day,9407,1,941,309,32.84,130,127,52,0
Pct 9407,VBM,9407,1,941,419,44.53,137,202,72,0
Pct 9408,Election Day,9408,1,879,297,33.79,149,84,64,0
Pct 9408,VBM,9408,1,879,407,46.30,189,142,74,0
Pct 9409,Election Day,9409,1,626,236,37.70,103,95,38,0
Pct 9409,VBM,9409,1,626,288,46.01,118,111,60,0
Pct 9411,Election Day,9411,1,1051,345,32.83,156,127,60,0
Pct 9411,VBM,9411,1,1051,495,47.10,206,194,84,0
Pct 9412,Election Day,9412,1,885,291,32.88,117,125,49,0
Pct 9412,VBM,9412,1,885,412,46.55,155,193,64,0
Pct 9413,Election Day,9413,1,907,265,29.22,111,102,52,1
Pct 9413,VBM,9413,1,907,477,52.59,172,219,78,1
Pct 9414,Election Day,9414,1,894,272,30.43,107,104,59,1
Pct 9414,VBM,9414,1,894,468,52.35,165,224,75,0
Pct 9415,Election Day,9415,1,798,216,27.07,74,103,40,0
Pct 9415,VBM,9415,1,798,421,52.76,167,188,60,0
Pct 9416,Election Day,9416,1,1018,305,29.96,120,139,43,0
Pct 9416,VBM,9416,1,1018,501,49.21,178,222,96,0
Pct 9417,Election Day,9417,1,759,192,25.30,73,83,36,0
Pct 9417,VBM,9417,1,759,412,54.28,141,202,63,0
Pct 9418,Election Day,9418,1,814,235,28.87,88,116,30,0
