PrecinctName,ReportingType,PrecinctID,Precincts,Registration,Ballots Cast,Turnout (%),Yes,No,Under Vote,Over Vote
Pct 9137,VBM,9137,1,977,498,50.97,153,271,62,0
Pct 9138,Election Day,9138,1,930,264,28.39,76,151,35,0
Pct 9138,VBM,9138,1,930,507,54.52,175,268,56,0
Pct 9139,Election Day,9139,1,1004,298,29.68,80,172,45,0
Pct 9139,VBM,9139,1,1004,533,53.09,170,307,49,0
Pct 9141,Election Day,9141,1,963,296,30.74,93,168,36,0
Pct 9141,VBM,9141,1,963,498,51.71,160,288,44,0
Pct 9142,Election Day,9142,1,1003,327,32.60,87,199,41,0
Pct 9142,VBM,9142,1,1003,516,51.45,135,320,51,0
Pct 9143,Election Day,9143,1,921,290,31.49,66,187,37,0
Pct 9143,VBM,9143,1,921,457,49.62,131,267,44,0
Pct 9144,Election Day,9144,1,983,341,34.69,90,215,34,1
Pct 9144,VBM,9144,1,983,491,49.95,124,290,67,0
Pct 9145,Election Day,9145,1,889,297,33.41,84,180,33,0
Pct 9145,VBM,9145,1,889,456,51.29,127,279,42,0
Pct 9146,Election Day,9146,1,929,359,38.64,82,222,55,0
Pct 9146,VBM,9146,1,929,440,47.36,108,274,52,1
Pct 9147,Election Day,9147,1,983,302,30.72,77,179,45,0
Pct 9147,VBM,9147,1,983,516,52.49,140,311,57,0
Pct 9148,Election Day,9148,1,1007,340,33.76,89,214,35,0
Pct 9148,VBM,9148,1,1007,529,52.53,132,326,59,0
Pct 9149,Election Day,9149,1,976,320,32.79,65,195,60,0
Pct 9149,VBM,9149,1,976,522,53.48,150,310,47,1
Pct 9151,Election Day,9151,1,858,288,33.57,77,168,43,0
Pct 9151,VBM,9151,1,858,416,48.48,127,230,45,1
Pct 9152,Election Day,9152,1,842,291,34.56,75,147,69,0
Pct 9152,VBM,9152,1,842,345,40.97,82,203,49,0
Pct 9201,Election Day,9201,1,1047,404,38.59,118,244,43,0
Pct 9201,VBM,9201,1,1047,489,46.70,150,285,49,0
Pct 9202,Election Day,9202,1,962,342,35.55,104,174,64,1
Pct 9202,VBM,9202,1,962,464,48.23,137,257,66,0
Pct 9203,Election Day,9203,1,1006,308,30.62,117,131,61,0
Pct 9203,VBM,9203,1,1006,549,54.57,220,223,91,0
Pct 9204,Election Day,9204,1,849,325,38.28,116,161,48,0
Pct 9204,VBM,9204,1,849,408,48.06,162,186,50,1
Pct 9205,Election Day,9205,1,760,249,32.76,79,121,48,0
Pct 9205,VBM,9205,1,760,403,53.03,118,215,62,0
Pct 9206,Election Day,9206,1,960,287,29.90,105,124,58,0
Pct 9206,VBM,9206,1,960,535,55.73,222,227,78,0
Pct 9207,Election Day,9207,1,980,335,34.18,130,143,62,0
Pct 9207,VBM,9207,1,980,510,52.04,196,213,87,1
Pct 9208,Election Day,9208,1,1028,356,34.63,136,155,63,1
Pct 9208,VBM,9208,1,1028,541,52.63,206,225,100,0
Pct 9209,Election Day,9209,1,750,283,37.73,104,131,46,0
Pct 9209,VBM,9209,1,750,363,48.40,147,149,55,1
Pct 9211,Election Day,9211,1,910,326,35.82,112,150,63,1
Pct 9211,VBM,9211,1,910,452,49.67,164,187,91,0
Pct 9212,Election Day,9212,1,857,298,34.77,112,135,51,0
Pct 9212,VBM,9212,1,857,448,52.28,138,228,66,0
Pct 9213,Election Day,9213,1,987,349,35.36,113,157,78,0
Pct 9213,VBM,9213,1,987,504,51.06,184,243,70,0
Pct 9214,Election Day,9214,1,632,195,30.85,69,91,35,0
Pct 9214,VBM,9214,1,632,344,54.43,123,169,48,0
Pct 9215,Election Day,9215,1,645,216,33.49,91,94,30,0
Pct 9215,VBM,9215,1,645,350,54.26,138,161,43,0
Pct 9216,Election Day,9216,1,861,301,34.96,117,117,66,0
Pct 9216,VBM,9216,1,861,425,49.36,163,179,65,0
Pct 9217,Election Day,9217,1,761,268,35.22,100,121,46,0
Pct 9217,VBM,9217,1,761,394,51.77,150,176,56,0
Pct 9218,Election Day,9218,1,868,288,33.18,96,149,40,0
Pct 9218,VBM,9218,1,868,442,50.92,146,212,73,0
Pct 9219,Election Day,9219,1,829,295,35.59,89,140,66,0
Pct 9219,VBM,9219,1,829,424,51.15,136,195,87,0
Pct 9221,Election Day,9221,1,662,171,25.83,49,93,28,0
Pct 9221,VBM,9221,1,662,466,70.39,199,209,54,0
Pct 9222,Election Day,9222,1,889,281,31.61,108,125,45,1
Pct 9222,VBM,9222,1,889,530,59.62,185,262,64,0
Pct 9223,Election Day,9223,1,664,184,27.71,70,81,33,0
Pct 9223,VBM,9223,1,664,389,58.58,144,191,45,0
Pct 9224,Election Day,9224,1,993,300,30.21,97,150,51,0
Pct 9224,VBM,9224,1,993,563,56.70,222,267,63,0
Pct 9225,Election Day,9225,1,994,346,34.81,120,153,73,0
