PrecinctName,ReportingType,PrecinctID,Precincts,Registration,Ballots Cast,Turnout (%),Yes,No,Under Vote,Over Vote
Pct 1101,Election Day,1101,1,586,159,27.13,125,28,6,0
Pct 1101,VBM,1101,1,586,287,48.98,213,61,8,0
Pct 1102,Election Day,1102,1,996,291,29.22,235,47,8,0
Pct 1102,VBM,1102,1,996,519,52.11,377,126,13,1
Pct 1103,Election Day,1103,1,971,263,27.09,203,51,9,0
Pct 1103,VBM,1103,1,971,518,53.35,387,112,14,0
Pct 1104/1105,Election Day,1104,1,991,329,33.20,247,67,15,0
Pct 1104/1105,VBM,1104,1,991,434,43.79,348,81,7,0
Pct 1106,Election Day,1106,1,808,217,26.86,149,55,13,0
Pct 1106,VBM,1106,1,808,383,47.40,295,71,10,0
Pct 1107,Election Day,1107,1,781,222,28.43,168,45,9,0
Pct 1107,VBM,1107,1,781,284,36.36,210,63,6,0
Pct 1108,Election Day,1108,1,951,250,26.29,183,55,11,0
Pct 1108,VBM,1108,1,951,494,51.95,390,84,15,0
Pct 1109,Election Day,1109,1,809,215,26.58,157,54,5,0
Pct 1109,VBM,1109,1,809,402,49.69,307,76,13,0
Pct 1111,Election Day,1111,1,1031,246,23.86,193,36,17,0
Pct 1111,VBM,1111,1,1031,471,45.68,355,94,13,0
Pct 1112,Election Day,1112,1,765,173,22.61,143,20,8,0
Pct 1112,VBM,1112,1,765,384,50.20,309,58,12,0
Pct 1113,Election Day,1113,1,713,145,20.34,114,30,1,0
Pct 1113,VBM,1113,1,713,402,56.38,306,78,11,0
Pct 1114,Election Day,1114,1,971,297,30.59,217,60,19,1
Pct 1114,VBM,1114,1,971,444,45.73,350,78,13,0
Pct 1115,Election Day,1115,1,910,233,25.60,169,48,15,0
Pct 1115,VBM,1115,1,910,513,56.37,394,96,17,0
Pct 1116,Election Day,1116,1,913,245,26.83,171,62,12,0
Pct 1116,VBM,1116,1,913,391,42.83,296,76,16,0
Pct 1117,Election Day,1117,1,886,273,30.81,192,66,11,0
Pct 1117,VBM,1117,1,886,371,41.87,270,83,15,0
Pct 1118,Election Day,1118,1,1031,261,25.32,190,57,14,0
Pct 1118,VBM,1118,1,1031,515,49.95,388,99,19,1
Pct 1119,Election Day,1119,1,783,176,22.48,135,27,15,0
Pct 1119,VBM,1119,1,783,411,52.49,313,81,12,0
Pct 1121,Election Day,1121,1,691,192,27.79,138,49,6,0
Pct 1121,VBM,1121,1,691,333,48.19,264,60,7,0
Pct 1122,Election Day,1122,1,658,166,25.23,119,42,5,0
Pct 1122,VBM,1122,1,658,316,48.02,245,61,8,0
Pct 1123,Election Day,1123,1,954,259,27.15,176,68,14,0
Pct 1123,VBM,1123,1,954,387,40.57,307,62,17,0
Pct 1124,Election Day,1124,1,831,210,25.27,156,42,12,0
Pct 1124,VBM,1124,1,831,346,41.64,252,70,17,0
Pct 1125,Election Day,1125,1,1029,234,22.74,183,39,13,0
Pct 1125,VBM,1125,1,1029,511,49.66,385,106,16,1
Pct 1126,Election Day,1126,1,954,254,26.62,187,50,14,1
