PrecinctName,ReportingType,PrecinctID,Precincts,Registration,Ballots Cast,Turnout (%),Yes,No,Under Vote,Over Vote
Pct 1128,VBM,1128,1,907,449,49.50,270,114,57,0
Pct 1129,Election Day,1129,1,951,280,29.44,199,43,41,0
Pct 1129,VBM,1129,1,951,423,44.48,280,101,38,1
Pct 1131,Election Day,1131,1,853,192,22.51,137,20,35,0
Pct 1131,VBM,1131,1,853,382,44.78,228,105,46,0
Pct 1132,Election Day,1132,1,982,226,23.01,153,39,33,0
Pct 1132,VBM,1132,1,982,495,50.41,321,116,50,0
Pct 1133,Election Day,1133,1,870,223,25.63,156,33,31,0
Pct 1133,VBM,1133,1,870,438,50.34,308,91,34,0
Pct 1134,Election Day,1134,1,793,216,27.24,176,17,22,0
Pct 1134,VBM,1134,1,793,377,47.54,236,98,40,1
Pct 1135,Election Day,1135,1,521,122,23.42,88,24,11,0
Pct 1135,VBM,1135,1,521,299,57.39,196,80,21,0
Pct 1136,Election Day,1136,1,857,206,24.04,142,39,25,0
Pct 1136,VBM,1136,1,857,463,54.03,281,118,60,0
Pct 1141,Election Day,1141,1,1047,259,24.74,204,31,29,0
Pct 1141,VBM,1141,1,1047,553,52.82,390,115,39,1
Pct 1142,Election Day,1142,1,858,232,27.04,169,32,34,0
Pct 1142,VBM,1142,1,858,435,50.70,283,94,43,0
Pct 1143,Election Day,1143,1,1056,302,28.60,238,35,33,0
Pct 1143,VBM,1143,1,1056,499,47.25,336,108,45,0
Pct 1144,Election Day,1144,1,928,266,28.66,193,42,34,0
Pct 1144,VBM,1144,1,928,447,48.17,285,113,45,1
Pct 1145,Election Day,1145,1,931,237,25.46,162,37,37,0
Pct 1145,VBM,1145,1,931,516,55.42,378,91,38,1
Pct 1146,Election Day,1146,1,1036,241,23.26,182,36,27,1
Pct 1146,VBM,1146,1,1036,550,53.09,392,94,58,0
Pct 1147,Election Day,1147,1,927,270,29.13,200,39,33,0
Pct 1147,VBM,1147,1,927,464,50.05,340,82,36,0
Pct 1148,Election Day,1148,1,992,264,26.61,178,50,36,0
Pct 1148,VBM,1148,1,992,463,46.67,300,113,47,0
Pct 1149,Election Day,1149,1,950,291,30.63,212,51,32,0
Pct 1149,VBM,1149,1,950,456,48.00,289,120,40,0
Pct 1151 MB,Election Day,1151,1,0,0,0.00,0,0,0,0
Pct 1151 MB,VBM,1151,1,0,0,0.00,0,0,0,0
Pct 1152,Election Day,1152,1,898,236,26.28,175,33,30,0
Pct 1152,VBM,1152,1,898,435,48.44,286,111,37,0
Pct 1153,Election Day,1153,1,961,281,29.24,196,55,33,0
Pct 1153,VBM,1153,1,961,468,48.70,312,97,46,0
Pct 1154 MB,Election Day,1154,1,0,0,0.00,0,0,0,0
Pct 1154 MB,VBM,1154,1,0,0,0.00,0,0,0,0
Pct 7001,Election Day,7001,1,742,204,27.49,160,22,22,0
Pct 7001,VBM,7001,1,742,355,47.84,270,52,31,0
Pct 7002,Election Day,7002,1,1225,322,26.29,225,48,48,0
Pct 7002,VBM,7002,1,1225,675,55.10,434,159,82,0
Pct 7003,Election Day,7003,1,927,280,30.20,210,44,26,0
Pct 7003,VBM,7003,1,927,554,59.76,411,86,54,0
Pct 7004,Election Day,7004,1,896,253,28.24,169,45,38,0
Pct 7004,VBM,7004,1,896,555,61.94,409,81,56,0
Pct 7005,Election Day,7005,1,853,302,35.40,229,35,38,0
Pct 7005,VBM,7005,1,853,453,53.11,328,71,47,0
Pct 7006,Election Day,7006,1,966,290,30.02,220,30,40,0
Pct 7006,VBM,7006,1,966,509,52.69,394,66,46,0
Pct 7007,Election Day,7007,1,987,302,30.60,232,38,32,0
Pct 7007,VBM,7007,1,987,568,57.55,401,97,60,0
Pct 7008,Election Day,7008,1,882,293,33.22,205,59,29,0
Pct 7008,VBM,7008,1,882,527,59.75,384,90,45,0
Pct 7009,Election Day,7009,1,931,249,26.75,181,32,37,0
Pct 7009,VBM,7009,1,931,501,53.81,367,88,39,1
Pct 7011,Election Day,7011,1,1063,255,23.99,196,26,33,0
Pct 7011,VBM,7011,1,1063,366,34.43,276,48,37,1
Pct 7012,Election Day,7012,1,1034,361,34.91,258,63,39,0
Pct 7012,VBM,7012,1,1034,564,54.55,422,77,60,0
Pct 7013,Election Day,7013,1,733,209,28.51,145,33,31,0
Pct 7013,VBM,7013,1,733,431,58.80,311,60,55,1
Pct 7014,Election Day,7014,1,1073,311,28.98,225,48,38,0
Pct 7014,VBM,7014,1,1073,617,57.50,449,92,71,0
Pct 7015 MB,Election Day,7015,1,113,3,2.65,1,0,2,0
Pct 7015 MB,VBM,7015,1,113,78,69.03,63,7,7,0
Pct 7016,Election Day,7016,1,977,239,24.46,181,14,42,0
Pct 7016,VBM,7016,1,977,354,36.23,250,65,39,1
Pct 7017,Election Day,7017,1,786,200,25.45,163,13,26,0
