PrecinctName,ReportingType,PrecinctID,Precincts,Registration,Ballots Cast,Turnout (%),SHANELL WILLIAMS,ALEX RANDOLPH,TOM TEMPRANO,RAFAEL MANDELMAN,AMY BACHARACH,WRITE-IN,Under Vote,Over Vote
Pct 1146,VBM,1146,1,1036,550,53.09,270,234,181,241,205,6,1059,4
Pct 1147,Election Day,1147,1,927,270,29.13,121,84,117,97,67,0,594,0
Pct 1147,VBM,1147,1,927,464,50.05,278,216,202,236,182,3,739,0
Pct 1148,Election Day,1148,1,992,264,26.61,118,65,99,87,70,1,616,0
Pct 1148,VBM,1148,1,992,463,46.67,248,176,166,192,175,3,884,8
Pct 1149,Election Day,1149,1,950,291,30.63,129,91,109,98,93,5,639,0
Pct 1149,VBM,1149,1,950,456,48.00,254,189,191,218,160,3,809,0
Pct 1151 MB,Election Day,1151,1,0,0,0.00,0,0,0,0,0,0,0,0
Pct 1151 MB,VBM,1151,1,0,0,0.00,0,0,0,0,0,0,0,0
Pct 1152,Election Day,1152,1,898,236,26.28,117,80,85,90,77,3,492,0
Pct 1152,VBM,1152,1,898,435,48.44,256,208,149,211,178,0,734,4
Pct 1153,Election Day,1153,1,961,281,29.24,116,96,101,97,73,1,636,4
Pct 1153,VBM,1153,1,961,468,48.70,243,194,158,195,180,2,900,0
Pct 1154 MB,Election Day,1154,1,0,0,0.00,0,0,0,0,0,0,0,0
Pct 1154 MB,VBM,1154,1,0,0,0.00,0,0,0,0,0,0,0,0
Pct 7001,Election Day,7001,1,742,204,27.49,103,73,67,87,64,0,422,0
Pct 7001,VBM,7001,1,742,355,47.84,167,153,140,150,112,0,698,0
Pct 7002,Election Day,7002,1,1225,322,26.29,139,97,112,121,96,2,721,0
Pct 7002,VBM,7002,1,1225,675,55.10,303,257,217,265,212,1,1445,0
Pct 7003,Election Day,7003,1,927,280,30.20,149,94,125,144,85,1,522,0
Pct 7003,VBM,7003,1,927,554,59.76,271,239,212,279,199,5,1003,8
Pct 7004,Election Day,7004,1,896,253,28.24,112,76,77,108,85,0,554,0
Pct 7004,VBM,7004,1,896,555,61.94,279,215,204,265,176,2,1079,0
Pct 7005,Election Day,7005,1,853,302,35.40,144,110,111,151,96,1,591,4
Pct 7005,VBM,7005,1,853,453,53.11,214,194,186,233,150,0,835,0
Pct 7006,Election Day,7006,1,966,290,30.02,133,74,129,139,72,0,613,0
Pct 7006,VBM,7006,1,966,509,52.69,297,206,226,272,176,0,855,4
Pct 7007,Election Day,7007,1,987,302,30.60,156,107,114,136,105,0,590,0
Pct 7007,VBM,7007,1,987,568,57.55,280,234,210,281,205,0,1062,0
Pct 7008,Election Day,7008,1,882,293,33.22,131,121,114,135,97,0,574,0
Pct 7008,VBM,7008,1,882,527,59.75,241,220,175,226,194,4,1028,20
Pct 7009,Election Day,7009,1,931,249,26.75,124,81,89,101,88,0,513,0
Pct 7009,VBM,7009,1,931,501,53.81,268,208,216,263,161,2,886,0
Pct 7011,Election Day,7011,1,1063,255,23.99,123,67,73,90,71,6,590,0
Pct 7011,VBM,7011,1,1063,366,34.43,183,126,137,141,91,0,786,0
Pct 7012,Election Day,7012,1,1034,361,34.91,157,111,144,150,116,1,765,0
Pct 7012,VBM,7012,1,1034,564,54.55,265,234,203,266,189,2,1097,0
Pct 7013,Election Day,7013,1,733,209,28.51,101,70,70,81,55,0,459,0
Pct 7013,VBM,7013,1,733,431,58.80,205,160,144,188,155,0,872,0
Pct 7014,Election Day,7014,1,1073,311,28.98,140,103,117,135,118,1,630,0
Pct 7014,VBM,7014,1,1073,617,57.50,303,244,199,284,215,1,1210,12
Pct 7015 MB,Election Day,7015,1,113,3,2.65,1,0,0,0,0,0,11,0
Pct 7015 MB,VBM,7015,1,113,78,69.03,49,29,45,39,22,0,128,0
Pct 7016,Election Day,7016,1,977,239,24.46,114,59,59,70,66,3,585,0
Pct 7016,VBM,7016,1,977,354,36.23,203,165,134,144,122,3,645,0
Pct 7017,Election Day,7017,1,786,200,25.45,122,51,44,48,50,2,483,0
Pct 7017,VBM,7017,1,786,269,34.22,165,120,77,107,80,5,514,8
Pct 7018,Election Day,7018,1,992,195,19.66,93,70,68,63,65,0,421,0
Pct 7018,VBM,7018,1,992,477,48.08,246,211,152,196,170,3,922,8
Pct 7019,Election Day,7019,1,945,228,24.13,117,73,70,71,64,1,516,0
Pct 7019,VBM,7019,1,945,468,49.52,271,213,162,202,185,2,829,8
Pct 7021,Election Day,7021,1,993,266,26.79,145,76,80,88,64,1,602,8
Pct 7021,VBM,7021,1,993,365,36.76,227,172,103,165,141,1,651,0
Pct 7022,Election Day,7022,1,1032,271,26.26,175,92,88,101,73,2,553,0
Pct 7022,VBM,7022,1,1032,396,38.37,251,188,147,176,147,6,665,4
Pct 7023,Election Day,7023,1,938,255,27.19,142,81,60,77,61,0,591,8
Pct 7023,VBM,7023,1,938,416,44.35,262,217,149,202,145,2,687,0
Pct 7024,Election Day,7024,1,309,75,24.27,42,17,22,8,18,0,193,0
Pct 7024,VBM,7024,1,309,44,14.24,27,17,11,9,18,0,90,4
Pct 7025,Election Day,7025,1,505,129,25.54,71,37,35,31,32,0,310,0
Pct 7025,VBM,7025,1,505,137,27.13,93,56,51,46,43,0,259,0
Pct 7026,Election Day,7026,1,1022,202,19.77,111,80,71,75,67,0,404,0
Pct 7026,VBM,7026,1,1022,498,48.73,253,217,113,220,197,4,984,4
Pct 7027,Election Day,7027,1,879,244,27.76,141,72,59,77,69,1,553,4
Pct 7027,VBM,7027,1,879,333,37.88,185,169,104,137,131,1,601,4
Pct 7028,Election Day,7028,1,900,267,29.67,165,87,78,84,82,2,570,0
Pct 7028,VBM,7028,1,900,277,30.78,178,138,116,123,94,0,459,0
Pct 7029,Election Day,7029,1,924,252,27.27,141,70,58,60,57,1,621,0
Pct 7029,VBM,7029,1,924,273,29.55,158,106,96,96,78,4,546,8
Pct 7030,Election Day,7030,1,787,162,20.58,74,56,44,54,66,1,353,0
Pct 7030,VBM,7030,1,787,396,50.32,194,169,105,140,174,5,793,4
Pct 7031,Election Day,7031,1,511,97,18.98,45,32,36,25,26,0,224,0
Pct 7031,VBM,7031,1,511,295,57.73,146,129,92,124,113,2,574,0
Pct 7032,Election Day,7032,1,938,227,24.20,123,88,60,63,71,0,499,4
Pct 7032,VBM,7032,1,938,362,38.59,209,188,127,161,137,4,614,8
Pct 7033,Election Day,7033,1,814,247,30.34,124,69,64,69,54,2,602,4
Pct 7033,VBM,7033,1,814,299,36.73,170,137,101,109,119,1,555,4
Pct 7034,Election Day,7034,1,954,264,27.67,144,63,50,44,46,1,708,0
Pct 7034,VBM,7034,1,954,251,26.31,160,110,89,80,79,1,485,0
Pct 7035,Election Day,7035,1,476,141,29.62,84,47,34,42,40,0,317,0
Pct 7035,VBM,7035,1,476,200,42.02,102,92,64,68,63,0,411,0
Pct 7036,Election Day,7036,1,967,175,18.10,96,68,54,56,61,1,360,4
Pct 7036,VBM,7036,1,967,421,43.54,263,222,144,164,211,2,674,4
Pct 7037,Election Day,7037,1,840,221,26.31,118,59,43,47,57,0,560,0
Pct 7037,VBM,7037,1,840,158,18.81,84,62,37,37,58,0,354,0
Pct 7038,Election Day,7038,1,960,209,21.77,97,68,50,43,62,0,512,4
Pct 7038,VBM,7038,1,960,386,40.21,203,171,102,147,161,4,752,4
Pct 7039,Election Day,7039,1,831,246,29.60,120,75,87,94,70,3,535,0
Pct 7039,VBM,7039,1,831,379,45.61,218,180,135,155,145,12,671,0
Pct 7041 MB,Election Day,7041,1,62,6,9.68,0,2,0,0,2,0,20,0
Pct 7041 MB,VBM,7041,1,62,36,58.06,18,16,9,14,15,0,72,0
Pct 7042,Election Day,7042,1,697,145,20.80,77,51,52,57,41,2,300,0
Pct 7042,VBM,7042,1,697,369,52.94,203,173,132,147,139,0,682,0
Pct 7043,Election Day,7043,1,990,208,21.01,100,60,60,50,65,1,496,0
Pct 7043,VBM,7043,1,990,432,43.64,240,210,169,180,159,1,765,4
Pct 7044,Election Day,7044,1,867,234,26.99,123,75,54,58,59,0,567,0
Pct 7044,VBM,7044,1,867,181,20.88,102,65,58,66,58,1,374,0
Pct 7045,Election Day,7045,1,803,205,25.53,95,65,72,55,64,0,469,0
Pct 7045,VBM,7045,1,803,326,40.60,172,136,120,146,130,1,599,0
Pct 7046,Election Day,7046,1,435,110,25.29,42,38,30,34,24,1,271,0
Pct 7046,VBM,7046,1,435,209,48.05,115,90,71,89,92,1,374,4
Pct 7047,Election Day,7047,1,858,178,20.75,87,63,53,60,50,0,399,0
Pct 7047,VBM,7047,1,858,424,49.42,231,192,146,190,169,1,763,4
