PrecinctName,ReportingType,PrecinctID,Precincts,Registration,Ballots Cast,Turnout (%),SHANELL WILLIAMS,ALEX RANDOLPH,TOM TEMPRANO,RAFAEL MANDELMAN,AMY BACHARACH,WRITE-IN,Under Vote,Over Vote
Pct 7515,VBM,7515,1,898,448,49.89,231,171,131,163,147,1,948,0
Pct 7516,Election Day,7516,1,907,201,22.16,96,76,60,80,64,0,428,0
Pct 7516,VBM,7516,1,907,558,61.52,276,247,175,254,224,11,1045,0
Pct 7517,Election Day,7517,1,956,354,37.03,174,107,154,160,85,1,735,0
Pct 7517,VBM,7517,1,956,472,49.37,239,181,180,231,150,2,901,4
Pct 7518,Election Day,7518,1,993,356,35.85,173,97,156,169,90,1,738,0
Pct 7518,VBM,7518,1,993,502,50.55,268,196,201,257,173,1,912,0
Pct 7519,Election Day,7519,1,802,283,35.29,145,78,115,121,69,0,604,0
Pct 7519,VBM,7519,1,802,393,49.00,191,159,151,189,123,5,750,4
Pct 7521,Election Day,7521,1,854,321,37.59,162,91,118,145,86,0,682,0
Pct 7521,VBM,7521,1,854,405,47.42,210,151,157,189,117,2,794,0
Pct 7522,Election Day,7522,1,848,307,36.20,170,96,129,163,81,0,589,0
Pct 7522,VBM,7522,1,848,435,51.30,224,146,171,209,141,1,844,4
Pct 7523,Election Day,7523,1,821,288,35.08,169,81,155,156,70,0,521,0
Pct 7523,VBM,7523,1,821,401,48.84,183,115,147,178,94,0,887,0
Pct 7524,Election Day,7524,1,728,228,31.32,116,64,83,79,57,2,511,0
Pct 7524,VBM,7524,1,728,304,41.76,169,111,115,138,104,0,579,0
Pct 7525,Election Day,7525,1,870,236,27.13,113,66,90,83,70,0,522,0
Pct 7525,VBM,7525,1,870,400,45.98,208,140,123,165,129,4,831,0
Pct 7526,Election Day,7526,1,999,280,28.03,119,78,116,128,80,0,599,0
Pct 7526,VBM,7526,1,999,578,57.86,293,225,202,272,197,1,1122,0
Pct 7527/7528,Election Day,7527,1,773,258,33.38,114,74,94,106,63,0,581,0
Pct 7527/7528,VBM,7527,1,773,366,47.35,181,153,124,154,113,1,734,4
Pct 7529,Election Day,7529,1,992,318,32.06,163,84,139,136,68,1,681,0
Pct 7529,VBM,7529,1,992,542,54.64,292,213,214,258,162,0,1029,0
Pct 7531,Election Day,7531,1,954,301,31.55,163,78,136,140,71,0,616,0
Pct 7531,VBM,7531,1,954,504,52.83,242,185,173,236,154,1,1025,0
Pct 7532,Election Day,7532,1,886,280,31.60,133,74,102,120,68,1,622,0
Pct 7532,VBM,7532,1,886,461,52.03,215,156,149,204,150,2,968,0
Pct 7533,Election Day,7533,1,1025,428,41.76,224,122,201,200,111,6,848,0
Pct 7533,VBM,7533,1,1025,482,47.02,233,164,178,206,134,4,1009,0
Pct 7534,Election Day,7534,1,967,337,34.85,170,87,147,159,88,1,696,0
Pct 7534,VBM,7534,1,967,438,45.29,235,161,164,220,140,1,831,0
Pct 7535,Election Day,7535,1,807,296,36.68,156,95,127,137,73,1,595,0
Pct 7535,VBM,7535,1,807,415,51.43,210,152,161,199,125,3,810,0
Pct 7536,Election Day,7536,1,895,295,32.96,142,85,103,132,73,2,643,0
Pct 7536,VBM,7536,1,895,480,53.63,234,162,169,222,120,0,1009,4
Pct 7537,Election Day,7537,1,783,294,37.55,144,76,121,140,77,0,618,0
Pct 7537,VBM,7537,1,783,370,47.25,189,135,147,195,122,0,692,0
Pct 7538,Election Day,7538,1,831,291,35.02,155,81,143,145,78,0,562,0
Pct 7538,VBM,7538,1,831,445,53.55,209,162,173,207,132,2,895,0
Pct 7539,Election Day,7539,1,978,363,37.12,194,96,177,179,79,0,727,0
Pct 7539,VBM,7539,1,978,458,46.83,235,135,194,218,106,0,944,0
Pct 7541,Election Day,7541,1,865,271,31.33,142,71,122,127,66,0,556,0
Pct 7541,VBM,7541,1,865,457,52.83,216,150,162,211,116,6,967,0
Pct 7542,Election Day,7542,1,906,291,32.12,166,92,144,149,80,8,525,0
Pct 7542,VBM,7542,1,906,465,51.32,249,156,220,237,122,2,874,0
Pct 7543,Election Day,7543,1,993,267,26.89,142,72,109,119,67,1,558,0
Pct 7543,VBM,7543,1,993,539,54.28,292,204,218,273,170,1,998,0
Pct 7544,Election Day,7544,1,962,295,30.67,133,72,122,126,86,5,636,0
Pct 7544,VBM,7544,1,962,526,54.68,252,191,202,252,181,3,1023,0
Pct 7545,Election Day,7545,1,970,276,28.45,136,76,118,128,70,1,575,0
Pct 7545,VBM,7545,1,970,557,57.42,284,219,205,254,173,1,1092,0
Pct 7546,Election Day,7546,1,935,365,39.04,173,107,142,174,99,0,761,4
Pct 7546,VBM,7546,1,935,452,48.34,262,181,198,240,148,1,778,0
Pct 7547,Election Day,7547,1,1057,335,31.69,176,85,141,159,68,3,708,0
Pct 7547,VBM,7547,1,1057,502,47.49,242,165,184,234,148,5,1030,0
Pct 7548,Election Day,7548,1,1135,338,29.78,178,99,126,160,94,0,695,0
Pct 7548,VBM,7548,1,1135,556,48.99,268,227,187,274,200,6,1062,0
Pct 7549,Election Day,7549,1,854,276,32.32,123,77,97,116,78,4,609,0
Pct 7549,VBM,7549,1,854,458,53.63,211,187,174,218,154,1,887,0
Pct 7551,Election Day,7551,1,762,252,33.07,120,72,95,115,69,0,533,4
Pct 7551,VBM,7551,1,762,417,54.72,214,156,138,205,140,1,814,0
Pct 7552,Election Day,7552,1,756,256,33.86,128,84,106,122,77,0,507,0
Pct 7552,VBM,7552,1,756,422,55.82,215,169,154,201,129,0,820,0
Pct 7553 MB,Election Day,7553,1,187,5,2.67,0,0,0,0,0,0,20,0
Pct 7553 MB,VBM,7553,1,187,163,87.17,84,80,54,70,62,1,301,0
Pct 7554,Election Day,7554,1,859,279,32.48,133,109,92,126,90,0,566,0
Pct 7554,VBM,7554,1,859,490,57.04,228,203,181,235,168,1,944,0
Pct 7555,Election Day,7555,1,893,298,33.37,142,116,111,138,103,0,582,0
Pct 7555,VBM,7555,1,893,548,61.37,267,200,203,274,172,2,1074,0
Pct 7556/7557,Election Day,7556,1,1008,315,31.25,154,106,111,150,111,1,627,0
Pct 7556/7557,VBM,7556,1,1008,591,58.63,290,272,200,324,208,3,1063,4
Pct 7601,Election Day,7601,1,929,223,24.00,97,69,87,85,49,4,501,0
Pct 7601,VBM,7601,1,929,365,39.29,196,145,120,153,127,3,712,4
Pct 7602,Election Day,7602,1,962,267,27.75,129,81,116,103,61,0,574,4
Pct 7602,VBM,7602,1,962,422,43.87,214,166,175,197,136,1,791,8
Pct 7603,Election Day,7603,1,888,286,32.21,140,94,110,109,85,0,606,0
Pct 7603,VBM,7603,1,888,404,45.50,234,157,174,206,140,1,704,0
Pct 7604,Election Day,7604,1,989,284,28.72,125,80,96,108,72,2,653,0
Pct 7604,VBM,7604,1,989,393,39.74,197,166,175,157,144,1,728,4
Pct 7605,Election Day,7605,1,771,191,24.77,74,49,55,54,38,1,493,0
Pct 7605,VBM,7605,1,771,237,30.74,136,99,87,99,83,0,444,0
Pct 7606,Election Day,7606,1,992,247,24.90,110,73,98,82,64,0,561,0
Pct 7606,VBM,7606,1,992,393,39.62,194,133,156,166,120,5,790,8
Pct 7607,Election Day,7607,1,1055,272,25.78,131,94,95,97,74,1,596,0
Pct 7607,VBM,7607,1,1055,438,41.52,238,173,179,193,141,5,823,0
Pct 7608,Election Day,7608,1,456,89,19.52,36,24,24,27,21,1,223,0
Pct 7608,VBM,7608,1,456,155,33.99,81,78,48,70,54,1,284,4
Pct 7609,Election Day,7609,1,1051,153,14.56,64,47,41,43,38,0,371,8
Pct 7609,VBM,7609,1,1051,398,37.87,221,167,103,178,155,1,763,4
Pct 7611,Election Day,7611,1,898,155,17.26,68,50,50,57,51,0,340,4
Pct 7611,VBM,7611,1,898,324,36.08,158,117,90,128,102,2,699,0
Pct 7612,Election Day,7612,1,668,120,17.96,58,37,38,52,29,0,266,0
Pct 7612,VBM,7612,1,668,298,44.61,151,136,111,133,101,4,556,0
Pct 7613,Election Day,7613,1,1015,225,22.17,110,75,84,90,62,2,477,0
Pct 7613,VBM,7613,1,1015,392,38.62,215,157,150,140,129,8,765,4
Pct 7614,Election Day,7614,1,1177,275,23.36,123,85,77,84,79,9,643,0
Pct 7614,VBM,7614,1,1177,518,44.01,282,219,198,216,170,2,985,0
Pct 7615,Election Day,7615,1,1020,216,21.18,103,61,77,67,62,2,488,4
Pct 7615,VBM,7615,1,1020,312,30.59,159,134,91,119,122,2,621,0
Pct 7616,Election Day,7616,1,981,195,19.88,74,64,57,62,47,0,476,0
Pct 7616,VBM,7616,1,981,612,62.39,261,237,199,232,200,1,1318,0
Pct 7617,Election Day,7617,1,898,151,16.82,64,49,47,43,48,0,353,0
Pct 7617,VBM,7617,1,898,365,40.65,197,152,128,158,122,0,691,12
Pct 7618,Election Day,7618,1,948,184,19.41,100,59,74,84,49,1,369,0
Pct 7618,VBM,7618,1,948,505,53.27,267,213,184,258,155,9,934,0
Pct 7619,Election Day,7619,1,1971,418,21.21,186,126,139,133,112,7,969,0
Pct 7619,VBM,7619,1,1971,1067,54.13,518,430,351,457,388,11,2113,0
Pct 7621,Election Day,7621,1,1082,254,23.48,117,81,64,82,73,1,598,0
Pct 7621,VBM,7621,1,1082,546,50.46,270,236,192,216,177,4,1089,0
Pct 7622,Election Day,7622,1,1007,181,17.97,74,62,60,62,49,0,417,0
Pct 7622,VBM,7622,1,1007,353,35.05,184,138,119,138,129,2,678,24
Pct 7623,Election Day,7623,1,839,171,20.38,82,58,63,67,43,0,371,0
Pct 7623,VBM,7623,1,839,296,35.28,160,126,113,136,86,0,555,8
Pct 7624,Election Day,7624,1,1074,212,19.74,95,75,67,81,57,2,459,12
Pct 7624,VBM,7624,1,1074,353,32.87,193,166,130,150,132,2,639,0
Pct 7625,Election Day,7625,1,896,87,9.71,38,26,25,33,22,0,204,0
Pct 7625,VBM,7625,1,896,530,59.15,271,237,147,256,189,0,1016,4
Pct 7626,Election Day,7626,1,1177,291,24.72,125,101,97,98,96,0,647,0
Pct 7626,VBM,7626,1,1177,720,61.17,320,307,266,278,254,5,1450,0
Pct 7627,Election Day,7627,1,1586,411,25.91,147,134,105,122,131,0,1005,0
Pct 7627,VBM,7627,1,1586,915,57.69,344,358,242,328,328,1,2059,0
Pct 7628,Election Day,7628,1,1006,255,25.35,118,75,97,100,64,1,565,0
Pct 7628,VBM,7628,1,1006,465,46.22,234,183,166,218,147,5,907,0
Pct 7629,Election Day,7629,1,837,212,25.33,103,60,77,86,45,1,472,4
Pct 7629,VBM,7629,1,837,365,43.61,163,138,125,144,119,0,771,0
Pct 7631,Election Day,7631,1,1143,313,27.38,127,98,99,107,83,3,735,0
Pct 7631,VBM,7631,1,1143,602,52.67,290,271,202,266,228,4,1143,4
Pct 7632,Election Day,7632,1,727,190,26.13,102,76,74,85,66,1,352,4
Pct 7632,VBM,7632,1,727,342,47.04,159,140,141,165,100,7,656,0
Pct 7633,Election Day,7633,1,731,182,24.90,88,58,56,72,57,0,397,0
Pct 7633,VBM,7633,1,731,392,53.63,192,183,137,168,136,2,750,0
Pct 7634,Election Day,7634,1,1017,222,21.83,87,62,59,75,59,0,546,0
Pct 7634,VBM,7634,1,1017,484,47.59,256,219,153,209,196,1,902,0
Pct 7635,Election Day,7635,1,868,202,23.27,80,56,77,69,52,0,474,0
Pct 7635,VBM,7635,1,868,441,50.81,203,171,118,156,143,1,972,0
Pct 7636,Election Day,7636,1,993,282,28.40,112,86,75,85,83,0,687,0
Pct 7636,VBM,7636,1,993,502,50.55,187,164,126,168,149,3,1211,0
Pct 7637,Election Day,7637,1,1361,370,27.19,141,117,99,103,103,2,907,8
Pct 7637,VBM,7637,1,1361,781,57.38,338,297,247,308,253,1,1680,0
Pct 7638,Election Day,7638,1,1285,300,23.35,98,91,76,88,101,0,746,0
Pct 7638,VBM,7638,1,1285,835,64.98,309,341,270,306,312,1,1801,0
Pct 7639,Election Day,7639,1,1011,267,26.41,102,90,74,75,80,0,647,0
Pct 7639,VBM,7639,1,1011,624,61.72,244,254,184,239,208,1,1366,0
Pct 7641,Election Day,7641,1,977,224,22.93,97,81,72,97,66,4,479,0
Pct 7641,VBM,7641,1,977,571,58.44,235,253,183,242,212,1,1150,8
Pct 7642,Election Day,7642,1,967,212,21.92,78,62,52,66,61,0,529,0
Pct 7642,VBM,7642,1,967,598,61.84,202,170,130,161,190,5,1530,4
Pct 7643,Election Day,7643,1,959,203,21.17,83,70,68,67,61,8,455,0
Pct 7643,VBM,7643,1,959,555,57.87,266,238,175,248,201,1,1091,0
Pct 7644,Election Day,7644,1,1111,322,28.98,138,109,97,102,92,0,750,0
Pct 7644,VBM,7644,1,1111,603,54.28,225,221,172,225,193,0,1372,4
Pct 7645,Election Day,7645,1,669,142,21.23,50,35,38,43,39,0,363,0
Pct 7645,VBM,7645,1,669,445,66.52,165,160,123,166,156,1,1009,0
Pct 7646,Election Day,7646,1,2163,586,27.09,219,187,150,183,175,6,1424,0
Pct 7646,VBM,7646,1,2163,1307,60.43,557,537,348,523,480,3,2780,0
Pct 7647,Election Day,7647,1,1028,260,25.29,127,73,86,77,70,0,607,0
Pct 7647,VBM,7647,1,1028,338,32.88,194,154,124,134,132,0,614,0
Pct 7648 MB,Election Day,7648,1,4,0,0.00,0,0,0,0,0,0,0,0
Pct 7648 MB,VBM,7648,1,4,3,75.00,1,1,1,0,1,0,8,0
Pct 7701,Election Day,7701,1,1049,354,33.75,147,127,117,147,113,1,764,0
Pct 7701,VBM,7701,1,1049,560,53.38,255,220,191,230,193,3,1148,0
Pct 7702,Election Day,7702,1,775,192,24.77,83,74,62,78,81,0,390,0
Pct 7702,VBM,7702,1,775,471,60.77,203,211,124,195,184,0,967,0
Pct 7703 MB,Election Day,7703,1,178,0,0.00,0,0,0,0,0,0,0,0
Pct 7703 MB,VBM,7703,1,178,100,56.18,36,37,16,29,34,0,244,4
Pct 7704,Election Day,7704,1,1006,302,30.02,104,113,78,116,101,1,691,4
Pct 7704,VBM,7704,1,1006,579,57.55,246,239,194,232,226,5,1174,0
Pct 7705,Election Day,7705,1,554,186,33.57,75,76,55,76,70,0,388,4
Pct 7705,VBM,7705,1,554,309,55.78,141,143,112,141,123,2,574,0
Pct 7706,Election Day,7706,1,853,282,33.06,137,103,100,117,106,4,561,0
Pct 7706,VBM,7706,1,853,491,57.56,209,193,146,209,177,6,1024,0
Pct 7707,Election Day,7707,1,854,285,33.37,136,121,104,129,103,1,546,0
Pct 7707,VBM,7707,1,854,499,58.43,207,239,150,234,200,0,966,0
Pct 7708,Election Day,7708,1,894,231,25.84,98,85,81,101,81,0,478,0
Pct 7708,VBM,7708,1,894,552,61.74,270,263,209,265,204,2,995,0
Pct 7709,Election Day,7709,1,390,120,30.77,50,39,50,52,38,0,247,4
Pct 7709,VBM,7709,1,390,234,60.00,144,108,114,123,77,0,370,0
Pct 7711,Election Day,7711,1,789,223,28.26,96,67,75,102,78,2,472,0
Pct 7711,VBM,7711,1,789,462,58.56,222,205,161,221,165,0,874,0
Pct 7712,Election Day,7712,1,577,180,31.20,90,71,71,94,53,0,341,0
Pct 7712,VBM,7712,1,577,338,58.58,178,138,132,176,91,2,635,0
Pct 7801,Election Day,7801,1,975,309,31.69,158,133,94,166,108,0,577,0
Pct 7801,VBM,7801,1,975,655,67.18,321,306,203,355,236,3,1196,0
Pct 7802,Election Day,7802,1,760,261,34.34,128,110,100,141,90,0,475,0
Pct 7802,VBM,7802,1,760,462,60.79,216,187,177,229,151,0,884,4
Pct 7803,Election Day,7803,1,827,200,24.18,99,62,84,104,50,0,401,0
Pct 7803,VBM,7803,1,827,574,69.41,275,262,154,292,192,0,1121,0
Pct 7804,Election Day,7804,1,932,310,33.26,128,115,107,154,94,0,642,0
Pct 7804,VBM,7804,1,932,566,60.73,256,259,196,297,189,3,1064,0
Pct 7805,Election Day,7805,1,852,260,30.52,116,88,102,143,81,0,510,0
Pct 7805,VBM,7805,1,852,501,58.80,244,221,196,283,174,0,886,0
Pct 7806,Election Day,7806,1,746,251,33.65,141,87,109,133,73,0,461,0
Pct 7806,VBM,7806,1,746,412,55.23,206,178,151,224,130,0,759,0
Pct 7807,Election Day,7807,1,774,293,37.86,150,96,126,159,80,2,559,0
Pct 7807,VBM,7807,1,774,378,48.84,200,138,159,211,110,0,694,0
Pct 7808,Election Day,7808,1,702,218,31.05,89,64,79,103,49,0,488,0
Pct 7808,VBM,7808,1,702,360,51.28,196,151,168,200,103,3,619,0
Pct 7809,Election Day,7809,1,1234,401,32.50,205,157,165,211,114,1,747,4
Pct 7809,VBM,7809,1,1234,690,55.92,353,286,239,337,229,3,1313,0
Pct 7811,Election Day,7811,1,806,268,33.25,128,92,108,134,77,2,531,0
Pct 7811,VBM,7811,1,806,428,53.10,229,143,200,225,103,0,812,0
Pct 7812,Election Day,7812,1,892,275,30.83,122,88,110,123,76,1,580,0
Pct 7812,VBM,7812,1,892,477,53.48,257,200,188,273,148,3,835,4
Pct 7813,Election Day,7813,1,1061,362,34.12,192,111,173,191,88,6,687,0
Pct 7813,VBM,7813,1,1061,581,54.76,291,218,227,298,150,1,1135,4
Pct 7814,Election Day,7814,1,919,298,32.43,137,76,113,106,61,0,699,0
Pct 7814,VBM,7814,1,919,369,40.15,201,142,152,169,98,0,706,8
Pct 7815,Election Day,7815,1,967,296,30.61,125,117,101,141,93,1,606,0
Pct 7815,VBM,7815,1,967,583,60.29,315,284,226,347,182,1,977,0
Pct 7816,Election Day,7816,1,896,268,29.91,121,104,102,137,76,1,531,0
Pct 7816,VBM,7816,1,896,555,61.94,277,289,208,333,212,2,899,0
Pct 7817,Election Day,7817,1,804,285,35.45,140,96,125,152,69,1,557,0
Pct 7817,VBM,7817,1,804,426,52.99,229,186,180,263,137,0,709,0
Pct 7818,Election Day,7818,1,889,271,30.48,145,96,113,142,76,0,512,0
Pct 7818,VBM,7818,1,889,516,58.04,266,213,208,270,159,0,948,0
Pct 7819,Election Day,7819,1,809,249,30.78,126,72,99,124,63,2,510,0
Pct 7819,VBM,7819,1,809,433,53.52,230,147,168,212,132,2,837,4
Pct 7821,Election Day,7821,1,998,286,28.66,125,110,108,142,90,2,567,0
Pct 7821,VBM,7821,1,998,630,63.13,319,286,241,349,215,2,1108,0
Pct 7822,Election Day,7822,1,951,318,33.44,156,131,132,182,85,1,585,0
Pct 7822,VBM,7822,1,951,458,48.16,223,216,165,259,162,1,806,0
Pct 7823,Election Day,7823,1,928,294,31.68,166,99,151,177,69,1,513,0
Pct 7823,VBM,7823,1,928,512,55.17,274,240,222,295,158,0,859,0
Pct 7824,Election Day,7824,1,794,254,31.99,118,85,109,129,51,0,524,0
Pct 7824,VBM,7824,1,794,411,51.76,185,167,153,208,134,0,793,4
Pct 7825,Election Day,7825,1,578,216,37.37,120,89,97,126,56,0,376,0
Pct 7825,VBM,7825,1,578,305,52.77,158,128,129,169,107,3,526,0
Pct 7826,Election Day,7826,1,709,259,36.53,143,90,119,153,68,0,463,0
Pct 7826,VBM,7826,1,709,374,52.75,212,149,156,213,110,0,656,0
Pct 7827,Election Day,7827,1,931,313,33.62,155,80,150,155,72,4,636,0
Pct 7827,VBM,7827,1,931,445,47.80,237,139,212,224,116,2,850,0
Pct 7828,Election Day,7828,1,1053,311,29.53,139,118,126,137,89,0,635,0
Pct 7828,VBM,7828,1,1053,613,58.21,289,280,212,312,188,0,1171,0
Pct 7829,Election Day,7829,1,904,269,29.76,121,104,115,145,85,2,504,0
Pct 7829,VBM,7829,1,904,572,63.27,299,285,204,322,232,3,943,0
Pct 7831,Election Day,7831,1,906,272,30.02,145,109,120,160,78,0,476,0
Pct 7831,VBM,7831,1,906,531,58.61,270,272,195,305,197,2,883,0
Pct 7832,Election Day,7832,1,824,247,29.98,118,91,95,126,72,2,484,0
Pct 7832,VBM,7832,1,824,512,62.14,245,211,188,270,167,0,967,0
Pct 7833,Election Day,7833,1,785,251,31.97,122,66,106,126,55,1,528,0
Pct 7833,VBM,7833,1,785,459,58.47,238,171,182,242,147,0,856,0
Pct 7834,Election Day,7834,1,901,321,35.63,161,105,153,169,79,0,617,0
Pct 7834,VBM,7834,1,901,454,50.39,251,149,199,262,130,1,824,0
Pct 7835,Election Day,7835,1,863,249,28.85,115,83,101,122,68,4,503,0
Pct 7835,VBM,7835,1,863,536,62.11,264,265,193,279,191,3,949,0
Pct 7836,Election Day,7836,1,990,290,29.29,147,120,118,144,82,1,548,0
Pct 7836,VBM,7836,1,990,613,61.92,286,272,216,292,207,2,1173,4
Pct 7837,Election Day,7837,1,934,305,32.66,137,108,103,158,99,1,614,0
Pct 7837,VBM,7837,1,934,535,57.28,247,244,170,276,168,4,1031,0
Pct 7838,Election Day,7838,1,933,250,26.80,122,91,95,133,93,0,466,0
Pct 7838,VBM,7838,1,933,589,63.13,308,285,210,335,224,0,990,4
Pct 7839,Election Day,7839,1,869,229,26.35,105,66,88,118,67,0,472,0
Pct 7839,VBM,7839,1,869,556,63.98,264,229,170,287,179,8,1083,4
Pct 7841,Election Day,7841,1,947,309,32.63,152,109,118,159,88,0,610,0
Pct 7841,VBM,7841,1,947,530,55.97,266,202,194,276,161,0,1021,0
Pct 7842,Election Day,7842,1,960,356,37.08,191,121,173,194,94,2,649,0
Pct 7842,VBM,7842,1,960,508,52.92,262,200,226,270,180,1,893,0
Pct 7843,Election Day,7843,1,802,272,33.92,141,95,112,151,65,0,520,4
Pct 7843,VBM,7843,1,802,407,50.75,239,165,196,238,127,1,662,0
Pct 7844,Election Day,7844,1,682,246,36.07,134,69,120,125,58,0,478,0
Pct 7844,VBM,7844,1,682,348,51.03,184,122,157,187,103,1,638,0
Pct 7845,Election Day,7845,1,869,288,33.14,147,92,115,146,73,1,574,4
Pct 7845,VBM,7845,1,869,495,56.96,250,241,180,266,161,0,882,0
Pct 7846,Election Day,7846,1,925,272,29.41,132,110,101,141,79,0,525,0
Pct 7846,VBM,7846,1,925,542,58.59,261,246,190,274,195,1,1001,0
Pct 7847,Election Day,7847,1,960,284,29.58,137,109,121,141,77,1,550,0
Pct 7847,VBM,7847,1,960,559,58.23,269,244,197,299,188,0,1035,4
Pct 7848,Election Day,7848,1,905,304,33.59,134,111,115,155,97,3,601,0
Pct 7848,VBM,7848,1,905,514,56.80,269,239,200,284,189,2,873,0
Pct 7849,Election Day,7849,1,967,318,32.89,171,110,144,171,106,0,570,0
Pct 7849,VBM,7849,1,967,546,56.46,281,234,214,301,193,2,959,0
Pct 7851,Election Day,7851,1,528,168,31.82,62,59,33,75,63,0,380,0
Pct 7851,VBM,7851,1,528,304,57.58,146,152,96,172,125,0,525,0
Pct 7852,Election Day,7852,1,644,179,27.80,70,73,46,82,65,0,380,0
Pct 7852,VBM,7852,1,644,405,62.89,218,199,140,220,181,0,662,0
Pct 7853,Election Day,7853,1,896,252,28.12,115,97,85,107,74,0,530,0
Pct 7853,VBM,7853,1,896,518,57.81,260,269,193,267,209,2,868,4
Pct 7854,Election Day,7854,1,933,302,32.37,127,111,99,132,95,0,644,0
Pct 7854,VBM,7854,1,933,523,56.06,265,225,176,263,180,1,982,0
Pct 7855,Election Day,7855,1,968,326,33.68,162,117,127,176,98,1,623,0
Pct 7855,VBM,7855,1,968,544,56.20,265,232,209,292,182,2,994,0
Pct 7856,Election Day,7856,1,849,289,34.04,147,96,131,152,96,1,533,0
Pct 7856,VBM,7856,1,849,480,56.54,249,195,187,264,149,1,875,0
Pct 7857,Election Day,7857,1,963,323,33.54,175,103,160,174,66,0,614,0
Pct 7857,VBM,7857,1,963,531,55.14,269,190,227,268,163,1,1006,0
Pct 7858,Election Day,7858,1,791,275,34.77,132,63,127,126,63,1,584,4
Pct 7858,VBM,7858,1,791,399,50.44,224,143,192,212,108,4,713,0
Pct 7859,Election Day,7859,1,915,273,29.84,118,88,107,125,79,0,575,0
Pct 7859,VBM,7859,1,915,561,61.31,263,256,178,317,219,2,1009,0
Pct 7861,Election Day,7861,1,881,268,30.42,130,92,111,138,88,0,513,0
Pct 7861,VBM,7861,1,881,508,57.66,245,220,189,274,178,0,926,0
Pct 7862,Election Day,7862,1,923,318,34.45,157,110,135,151,102,0,617,0
Pct 7862,VBM,7862,1,923,497,53.85,243,213,174,272,174,0,912,0
Pct 7863,Election Day,7863,1,939,348,37.06,162,135,153,186,105,3,648,0
Pct 7863,VBM,7863,1,939,471,50.16,250,186,189,246,154,0,859,0
Pct 7864,Election Day,7864,1,815,276,33.87,142,92,119,146,68,0,537,0
Pct 7864,VBM,7864,1,815,427,52.39,206,175,172,227,143,0,785,0
Pct 7865,Election Day,7865,1,853,274,32.12,126,86,116,122,72,1,573,0
Pct 7865,VBM,7865,1,853,480,56.27,242,188,185,252,163,2,888,0
Pct 7866,Election Day,7866,1,831,239,28.76,95,96,89,115,88,1,472,0
Pct 7866,VBM,7866,1,831,507,61.01,246,224,142,241,190,1,984,0
Pct 7867,Election Day,7867,1,946,308,32.56,155,109,109,152,92,4,611,0
Pct 7867,VBM,7867,1,946,514,54.33,285,242,207,265,187,4,866,0
Pct 7868,Election Day,7868,1,901,292,32.41,144,128,110,133,97,0,556,0
Pct 7868,VBM,7868,1,901,472,52.39,245,237,168,259,193,2,784,0
Pct 7869,Election Day,7869,1,874,304,34.78,151,109,137,166,93,0,560,0
Pct 7869,VBM,7869,1,874,485,55.49,270,224,209,273,174,3,787,0
Pct 7871,Election Day,7871,1,909,274,30.14,131,113,95,138,98,0,521,0
Pct 7871,VBM,7871,1,909,530,58.31,285,244,197,282,192,1,915,4
Pct 7872,Election Day,7872,1,902,313,34.70,144,119,125,176,99,0,589,0
Pct 7872,VBM,7872,1,902,506,56.10,264,235,174,275,193,1,882,0
Pct 7873,Election Day,7873,1,874,278,31.81,135,97,117,143,72,0,548,0
Pct 7873,VBM,7873,1,874,510,58.35,271,228,194,285,174,5,883,0
Pct 7874,Election Day,7874,1,482,167,34.65,72,58,76,79,46,1,336,0
Pct 7874,VBM,7874,1,482,241,50.00,131,132,93,135,106,4,363,0
Pct 7875,Election Day,7875,1,628,198,31.53,107,71,93,93,60,0,364,4
Pct 7875,VBM,7875,1,628,327,52.07,180,140,133,167,118,0,566,4
Pct 7901,Election Day,7901,1,1286,375,29.16,173,90,154,164,69,5,845,0
Pct 7901,VBM,7901,1,1286,577,44.87,276,194,235,271,161,5,1158,8
Pct 7902,Election Day,7902,1,1064,327,30.73,159,70,135,147,83,6,704,4
Pct 7902,VBM,7902,1,1064,515,48.40,246,178,227,233,147,1,1028,0
Pct 7903,Election Day,7903,1,929,242,26.05,107,66,93,113,58,0,531,0
Pct 7903,VBM,7903,1,929,410,44.13,224,165,167,222,133,0,729,0
Pct 7904,Election Day,7904,1,926,231,24.95,114,66,112,113,57,1,461,0
Pct 7904,VBM,7904,1,926,463,50.00,241,176,193,229,144,0,869,0
Pct 7905,Election Day,7905,1,851,299,35.14,163,79,141,153,65,1,594,0
Pct 7905,VBM,7905,1,851,419,49.24,248,170,183,226,155,0,690,4
Pct 7906,Election Day,7906,1,854,275,32.20,126,66,136,127,50,0,595,0
Pct 7906,VBM,7906,1,854,378,44.26,207,136,158,205,102,2,702,0
Pct 7907,Election Day,7907,1,991,346,34.91,160,82,155,152,61,2,772,0
Pct 7907,VBM,7907,1,991,488,49.24,254,197,197,250,150,1,903,0
Pct 7908,Election Day,7908,1,1008,310,30.75,151,80,147,146,67,3,646,0
Pct 7908,VBM,7908,1,1008,562,55.75,266,185,239,253,139,0,1162,4
Pct 7909,Election Day,7909,1,787,280,35.58,153,72,122,155,68,1,549,0
Pct 7909,VBM,7909,1,787,364,46.25,184,137,151,193,108,0,683,0
Pct 7911,Election Day,7911,1,907,304,33.52,149,86,134,155,79,0,613,0
