PrecinctName,ReportingType,PrecinctID,Precincts,Registration,Ballots Cast,Turnout (%),Yes,No,Under Vote,Over Vote
Pct 1101,Election Day,1101,1,586,159,27.13,116,31,12,0
Pct 1101,VBM,1101,1,586,287,48.98,221,51,10,0
Pct 1102,Election Day,1102,1,996,291,29.22,217,58,15,0
Pct 1102,VBM,1102,1,996,519,52.11,360,131,26,0
Pct 1103,Election Day,1103,1,971,263,27.09,194,54,15,0
Pct 1103,VBM,1103,1,971,518,53.35,384,112,17,0
Pct 1104/1105,Election Day,1104,1,991,329,33.20,243,63,23,0
Pct 1104/1105,VBM,1104,1,991,434,43.79,323,96,17,0
Pct 1106,Election Day,1106,1,808,217,26.86,145,53,18,1
Pct 1106,VBM,1106,1,808,383,47.40,290,72,14,0
Pct 1107,Election Day,1107,1,781,222,28.43,173,32,17,0
Pct 1107,VBM,1107,1,781,284,36.36,197,70,12,0
Pct 1108,Election Day,1108,1,951,250,26.29,182,48,19,0
Pct 1108,VBM,1108,1,951,494,51.95,371,96,22,0
Pct 1109,Election Day,1109,1,809,215,26.58,161,39,16,0
Pct 1109,VBM,1109,1,809,402,49.69,275,97,24,0
Pct 1111,Election Day,1111,1,1031,246,23.86,178,46,22,0
Pct 1111,VBM,1111,1,1031,471,45.68,351,81,30,0
Pct 1112,Election Day,1112,1,765,173,22.61,133,26,12,0
Pct 1112,VBM,1112,1,765,384,50.20,286,69,24,0
Pct 1113,Election Day,1113,1,713,145,20.34,105,35,5,0
Pct 1113,VBM,1113,1,713,402,56.38,288,85,22,0
Pct 1114,Election Day,1114,1,971,297,30.59,215,51,31,0
Pct 1114,VBM,1114,1,971,444,45.73,338,81,21,1
Pct 1115,Election Day,1115,1,910,233,25.60,170,40,22,0
Pct 1115,VBM,1115,1,910,513,56.37,345,124,38,0
Pct 1116,Election Day,1116,1,913,245,26.83,186,39,20,0
Pct 1116,VBM,1116,1,913,391,42.83,303,65,20,0
Pct 1117,Election Day,1117,1,886,273,30.81,198,59,12,0
Pct 1117,VBM,1117,1,886,371,41.87,272,73,23,0
Pct 1118,Election Day,1118,1,1031,261,25.32,205,41,15,0
Pct 1118,VBM,1118,1,1031,515,49.95,398,95,14,0
Pct 1119,Election Day,1119,1,783,176,22.48,131,25,21,0
Pct 1119,VBM,1119,1,783,411,52.49,315,70,21,0
Pct 1121,Election Day,1121,1,691,192,27.79,131,51,11,0
Pct 1121,VBM,1121,1,691,333,48.19,242,75,13,1
Pct 1122,Election Day,1122,1,658,166,25.23,112,40,14,0
Pct 1122,VBM,1122,1,658,316,48.02,216,80,18,0
Pct 1123,Election Day,1123,1,954,259,27.15,183,54,21,0
Pct 1123,VBM,1123,1,954,387,40.57,293,66,25,2
Pct 1124,Election Day,1124,1,831,210,25.27,168,25,17,0
Pct 1124,VBM,1124,1,831,346,41.64,236,81,21,1
Pct 1125,Election Day,1125,1,1029,234,22.74,174,40,21,0
Pct 1125,VBM,1125,1,1029,511,49.66,384,88,36,0
Pct 1126,Election Day,1126,1,954,254,26.62,179,51,22,0
Pct 1126,VBM,1126,1,954,447,46.86,347,68,26,0
Pct 1127,Election Day,1127,1,911,273,29.97,188,63,23,0
Pct 1127,VBM,1127,1,911,412,45.23,284,106,20,0
Pct 1128,Election Day,1128,1,907,237,26.13,166,55,16,0
Pct 1128,VBM,1128,1,907,449,49.50,307,105,30,2
Pct 1129,Election Day,1129,1,951,280,29.44,191,65,25,0
Pct 1129,VBM,1129,1,951,423,44.48,301,95,20,2
Pct 1131,Election Day,1131,1,853,192,22.51,144,33,15,0
Pct 1131,VBM,1131,1,853,382,44.78,259,97,22,0
Pct 1132,Election Day,1132,1,982,226,23.01,154,47,25,0
Pct 1132,VBM,1132,1,982,495,50.41,350,110,27,0
Pct 1133,Election Day,1133,1,870,223,25.63,143,58,19,0
Pct 1133,VBM,1133,1,870,438,50.34,332,80,21,0
Pct 1134,Election Day,1134,1,793,216,27.24,156,43,16,0
Pct 1134,VBM,1134,1,793,377,47.54,262,90,25,0
Pct 1135,Election Day,1135,1,521,122,23.42,94,24,4,0
Pct 1135,VBM,1135,1,521,299,57.39,214,64,18,0
Pct 1136,Election Day,1136,1,857,206,24.04,135,51,20,0
Pct 1136,VBM,1136,1,857,463,54.03,319,119,22,0
Pct 1141,Election Day,1141,1,1047,259,24.74,194,56,14,0
Pct 1141,VBM,1141,1,1047,553,52.82,445,78,23,0
Pct 1142,Election Day,1142,1,858,232,27.04,165,53,15,1
Pct 1142,VBM,1142,1,858,435,50.70,303,98,19,0
Pct 1143,Election Day,1143,1,1056,302,28.60,239,47,20,0
Pct 1143,VBM,1143,1,1056,499,47.25,359,97,31,1
Pct 1144,Election Day,1144,1,928,266,28.66,196,58,16,0
Pct 1144,VBM,1144,1,928,447,48.17,331,93,19,0
Pct 1145,Election Day,1145,1,931,237,25.46,169,43,26,0
Pct 1145,VBM,1145,1,931,516,55.42,387,107,13,0
Pct 1146,Election Day,1146,1,1036,241,23.26,169,53,22,0
Pct 1146,VBM,1146,1,1036,550,53.09,414,98,31,0
Pct 1147,Election Day,1147,1,927,270,29.13,199,53,19,0
Pct 1147,VBM,1147,1,927,464,50.05,356,85,16,0
Pct 1148,Election Day,1148,1,992,264,26.61,193,49,21,1
Pct 1148,VBM,1148,1,992,463,46.67,318,118,22,0
Pct 1149,Election Day,1149,1,950,291,30.63,217,53,24,1
Pct 1149,VBM,1149,1,950,456,48.00,323,105,20,0
Pct 1151 MB,Election Day,1151,1,0,0,0.00,0,0,0,0
Pct 1151 MB,VBM,1151,1,0,0,0.00,0,0,0,0
Pct 1152,Election Day,1152,1,898,236,26.28,176,47,15,0
Pct 1152,VBM,1152,1,898,435,48.44,319,92,18,1
Pct 1153,Election Day,1153,1,961,281,29.24,178,80,26,0
Pct 1153,VBM,1153,1,961,468,48.70,327,106,24,0
Pct 1154 MB,Election Day,1154,1,0,0,0.00,0,0,0,0
Pct 1154 MB,VBM,1154,1,0,0,0.00,0,0,0,0
Pct 7001,Election Day,7001,1,742,204,27.49,146,39,19,0
Pct 7001,VBM,7001,1,742,355,47.84,247,89,17,0
Pct 7002,Election Day,7002,1,1225,322,26.29,216,77,29,0
Pct 7002,VBM,7002,1,1225,675,55.10,454,172,44,2
Pct 7003,Election Day,7003,1,927,280,30.20,189,76,15,0
Pct 7003,VBM,7003,1,927,554,59.76,378,150,24,0
Pct 7004,Election Day,7004,1,896,253,28.24,171,68,14,0
Pct 7004,VBM,7004,1,896,555,61.94,356,155,35,0
Pct 7005,Election Day,7005,1,853,302,35.40,216,59,27,0
Pct 7005,VBM,7005,1,853,453,53.11,315,113,20,0
Pct 7006,Election Day,7006,1,966,290,30.02,228,47,15,0
Pct 7006,VBM,7006,1,966,509,52.69,388,92,26,0
Pct 7007,Election Day,7007,1,987,302,30.60,234,56,12,0
Pct 7007,VBM,7007,1,987,568,57.55,368,154,35,1
Pct 7008,Election Day,7008,1,882,293,33.22,205,73,15,0
Pct 7008,VBM,7008,1,882,527,59.75,342,151,24,0
Pct 7009,Election Day,7009,1,931,249,26.75,173,60,17,0
Pct 7009,VBM,7009,1,931,501,53.81,381,93,23,1
Pct 7011,Election Day,7011,1,1063,255,23.99,194,43,18,0
Pct 7011,VBM,7011,1,1063,366,34.43,257,83,21,1
Pct 7012,Election Day,7012,1,1034,361,34.91,257,80,21,0
Pct 7012,VBM,7012,1,1034,564,54.55,398,133,26,1
Pct 7013,Election Day,7013,1,733,209,28.51,129,63,17,0
Pct 7013,VBM,7013,1,733,431,58.80,272,128,28,0
Pct 7014,Election Day,7014,1,1073,311,28.98,204,88,20,0
Pct 7014,VBM,7014,1,1073,617,57.50,398,176,36,1
Pct 7015 MB,Election Day,7015,1,113,3,2.65,1,2,0,0
Pct 7015 MB,VBM,7015,1,113,78,69.03,68,8,2,0
Pct 7016,Election Day,7016,1,977,239,24.46,179,40,18,1
Pct 7016,VBM,7016,1,977,354,36.23,260,75,20,0
Pct 7017,Election Day,7017,1,786,200,25.45,151,27,25,0
Pct 7017,VBM,7017,1,786,269,34.22,215,37,14,1
Pct 7018,Election Day,7018,1,992,195,19.66,145,38,13,0
Pct 7018,VBM,7018,1,992,477,48.08,338,104,31,0
Pct 7019,Election Day,7019,1,945,228,24.13,175,37,17,0
Pct 7019,VBM,7019,1,945,468,49.52,335,102,25,1
Pct 7021,Election Day,7021,1,993,266,26.79,215,29,23,0
Pct 7021,VBM,7021,1,993,365,36.76,284,50,23,0
Pct 7022,Election Day,7022,1,1032,271,26.26,203,31,28,0
Pct 7022,VBM,7022,1,1032,396,38.37,298,71,25,0
Pct 7023,Election Day,7023,1,938,255,27.19,173,48,29,2
Pct 7023,VBM,7023,1,938,416,44.35,322,66,22,0
Pct 7024,Election Day,7024,1,309,75,24.27,63,8,4,0
Pct 7024,VBM,7024,1,309,44,14.24,35,5,3,0
Pct 7025,Election Day,7025,1,505,129,25.54,98,18,13,0
Pct 7025,VBM,7025,1,505,137,27.13,112,15,8,0
Pct 7026,Election Day,7026,1,1022,202,19.77,142,42,18,0
Pct 7026,VBM,7026,1,1022,498,48.73,363,91,31,1
Pct 7027,Election Day,7027,1,879,244,27.76,183,37,21,0
Pct 7027,VBM,7027,1,879,333,37.88,249,56,25,0
Pct 7028,Election Day,7028,1,900,267,29.67,209,41,17,0
Pct 7028,VBM,7028,1,900,277,30.78,218,36,19,2
Pct 7029,Election Day,7029,1,924,252,27.27,183,40,29,0
Pct 7029,VBM,7029,1,924,273,29.55,221,33,16,0
Pct 7030,Election Day,7030,1,787,162,20.58,110,46,7,0
Pct 7030,VBM,7030,1,787,396,50.32,265,103,24,1
Pct 7031,Election Day,7031,1,511,97,18.98,66,18,14,0
Pct 7031,VBM,7031,1,511,295,57.73,211,57,21,0
Pct 7032,Election Day,7032,1,938,227,24.20,177,28,20,1
Pct 7032,VBM,7032,1,938,362,38.59,283,49,24,2
Pct 7033,Election Day,7033,1,814,247,30.34,175,51,19,1
Pct 7033,VBM,7033,1,814,299,36.73,227,52,19,1
Pct 7034,Election Day,7034,1,954,264,27.67,195,42,24,0
Pct 7034,VBM,7034,1,954,251,26.31,214,24,13,0
Pct 7035,Election Day,7035,1,476,141,29.62,99,33,9,0
Pct 7035,VBM,7035,1,476,200,42.02,125,65,9,0
Pct 7036,Election Day,7036,1,967,175,18.10,121,37,17,0
Pct 7036,VBM,7036,1,967,421,43.54,315,75,31,0
Pct 7037,Election Day,7037,1,840,221,26.31,170,22,31,0
Pct 7037,VBM,7037,1,840,158,18.81,118,29,7,1
Pct 7038,Election Day,7038,1,960,209,21.77,149,42,18,0
Pct 7038,VBM,7038,1,960,386,40.21,279,79,26,0
Pct 7039,Election Day,7039,1,831,246,29.60,167,59,20,1
Pct 7039,VBM,7039,1,831,379,45.61,267,87,24,0
Pct 7041 MB,Election Day,7041,1,62,6,9.68,4,0,3,0
Pct 7041 MB,VBM,7041,1,62,36,58.06,22,10,4,0
Pct 7042,Election Day,7042,1,697,145,20.80,96,36,13,0
Pct 7042,VBM,7042,1,697,369,52.94,273,67,27,0
