PrecinctName,ReportingType,PrecinctID,Precincts,Registration,Ballots Cast,Turnout (%),JANE KIM,SCOTT WIENER,Under Vote,Over Vote
Pct 7003,VBM,7003,1,927,554,59.76,218,284,52,0
Pct 7004,Election Day,7004,1,896,253,28.24,119,111,23,0
Pct 7004,VBM,7004,1,896,555,61.94,228,280,46,1
Pct 7005,Election Day,7005,1,853,302,35.40,142,128,32,0
Pct 7005,VBM,7005,1,853,453,53.11,197,217,38,1
Pct 7006,Election Day,7006,1,966,290,30.02,176,86,28,0
Pct 7006,VBM,7006,1,966,509,52.69,258,205,46,0
Pct 7007,Election Day,7007,1,987,302,30.60,141,145,16,0
Pct 7007,VBM,7007,1,987,568,57.55,223,282,63,0
Pct 7008,Election Day,7008,1,882,293,33.22,138,130,23,2
Pct 7008,VBM,7008,1,882,527,59.75,188,298,41,0
Pct 7009,Election Day,7009,1,931,249,26.75,132,92,25,0
Pct 7009,VBM,7009,1,931,501,53.81,202,255,44,0
Pct 7011,Election Day,7011,1,1063,255,23.99,126,101,28,0
Pct 7011,VBM,7011,1,1063,366,34.43,164,176,25,1
Pct 7012,Election Day,7012,1,1034,361,34.91,164,154,43,0
Pct 7012,VBM,7012,1,1034,564,54.55,232,277,55,0
Pct 7013,Election Day,7013,1,733,209,28.51,94,96,19,0
Pct 7013,VBM,7013,1,733,431,58.80,169,214,47,1
Pct 7014,Election Day,7014,1,1073,311,28.98,149,134,28,0
Pct 7014,VBM,7014,1,1073,617,57.50,270,291,56,0
Pct 7015 MB,Election Day,7015,1,113,3,2.65,3,0,0,0
Pct 7015 MB,VBM,7015,1,113,78,69.03,53,21,4,0
Pct 7016,Election Day,7016,1,977,239,24.46,123,82,33,1
Pct 7016,VBM,7016,1,977,354,36.23,157,157,40,0
Pct 7017,Election Day,7017,1,786,200,25.45,88,87,25,0
Pct 7017,VBM,7017,1,786,269,34.22,121,130,16,2
Pct 7018,Election Day,7018,1,992,195,19.66,88,83,24,0
Pct 7018,VBM,7018,1,992,477,48.08,153,268,53,3
Pct 7019,Election Day,7019,1,945,228,24.13,117,96,15,0
Pct 7019,VBM,7019,1,945,468,49.52,183,249,36,0
Pct 7021,Election Day,7021,1,993,266,26.79,136,101,25,4
Pct 7021,VBM,7021,1,993,365,36.76,173,161,31,0
Pct 7022,Election Day,7022,1,1032,271,26.26,133,100,38,0
Pct 7022,VBM,7022,1,1032,396,38.37,172,191,33,0
Pct 7023,Election Day,7023,1,938,255,27.19,121,101,33,0
Pct 7023,VBM,7023,1,938,416,44.35,146,231,38,1
Pct 7024,Election Day,7024,1,309,75,24.27,36,29,10,0
Pct 7024,VBM,7024,1,309,44,14.24,23,16,4,1
Pct 7025,Election Day,7025,1,505,129,25.54,69,49,11,0
Pct 7025,VBM,7025,1,505,137,27.13,70,58,8,1
Pct 7026,Election Day,7026,1,1022,202,19.77,95,87,19,1
Pct 7026,VBM,7026,1,1022,498,48.73,163,278,55,2
Pct 7027,Election Day,7027,1,879,244,27.76,112,103,29,0
Pct 7027,VBM,7027,1,879,333,37.88,114,190,29,0
Pct 7028,Election Day,7028,1,900,267,29.67,127,111,28,1
Pct 7028,VBM,7028,1,900,277,30.78,124,128,25,0
Pct 7029,Election Day,7029,1,924,252,27.27,126,91,35,0
Pct 7029,VBM,7029,1,924,273,29.55,120,119,30,4
Pct 7030,Election Day,7030,1,787,162,20.58,73,72,17,0
Pct 7030,VBM,7030,1,787,396,50.32,152,206,36,2
Pct 7031,Election Day,7031,1,511,97,18.98,44,45,8,0
Pct 7031,VBM,7031,1,511,295,57.73,131,127,37,0
Pct 7032,Election Day,7032,1,938,227,24.20,93,105,28,1
Pct 7032,VBM,7032,1,938,362,38.59,138,185,36,3
Pct 7033,Election Day,7033,1,814,247,30.34,122,92,31,2
Pct 7033,VBM,7033,1,814,299,36.73,132,140,21,6
Pct 7034,Election Day,7034,1,954,264,27.67,129,98,35,2
Pct 7034,VBM,7034,1,954,251,26.31,106,123,22,0
Pct 7035,Election Day,7035,1,476,141,29.62,54,72,15,0
Pct 7035,VBM,7035,1,476,200,42.02,71,105,24,0
Pct 7036,Election Day,7036,1,967,175,18.10,90,64,21,0
Pct 7036,VBM,7036,1,967,421,43.54,189,193,38,1
Pct 7037,Election Day,7037,1,840,221,26.31,90,88,43,0
Pct 7037,VBM,7037,1,840,158,18.81,71,71,15,1
Pct 7038,Election Day,7038,1,960,209,21.77,88,99,21,1
Pct 7038,VBM,7038,1,960,386,40.21,176,181,27,2
Pct 7039,Election Day,7039,1,831,246,29.60,120,98,27,1
Pct 7039,VBM,7039,1,831,379,45.61,154,192,33,0
Pct 7041 MB,Election Day,7041,1,62,6,9.68,2,1,3,0
Pct 7041 MB,VBM,7041,1,62,36,58.06,11,15,9,1
Pct 7042,Election Day,7042,1,697,145,20.80,73,51,21,0
Pct 7042,VBM,7042,1,697,369,52.94,165,168,35,1
Pct 7043,Election Day,7043,1,990,208,21.01,105,84,18,1
Pct 7043,VBM,7043,1,990,432,43.64,214,182,36,0
Pct 7044,Election Day,7044,1,867,234,26.99,92,110,32,0
Pct 7044,VBM,7044,1,867,181,20.88,86,79,16,0
Pct 7045,Election Day,7045,1,803,205,25.53,84,96,25,0
Pct 7045,VBM,7045,1,803,326,40.60,110,186,28,2
Pct 7046,Election Day,7046,1,435,110,25.29,49,45,16,0
Pct 7046,VBM,7046,1,435,209,48.05,87,110,12,0
Pct 7047,Election Day,7047,1,858,178,20.75,97,60,21,0
Pct 7047,VBM,7047,1,858,424,49.42,169,212,43,0
Pct 7048,Election Day,7048,1,877,196,22.35,88,84,24,0
Pct 7048,VBM,7048,1,877,322,36.72,123,169,29,1
Pct 7049,Election Day,7049,1,829,219,26.42,107,80,32,0
Pct 7049,VBM,7049,1,829,315,38.00,126,164,24,1
Pct 7051,Election Day,7051,1,909,160,17.60,78,64,17,1
Pct 7051,VBM,7051,1,909,452,49.72,159,248,44,1
Pct 7052,Election Day,7052,1,894,214,23.94,86,97,31,0
Pct 7052,VBM,7052,1,894,461,51.57,193,218,50,0
Pct 7053,Election Day,7053,1,552,105,19.02,51,44,10,0
Pct 7053,VBM,7053,1,552,357,64.67,149,169,39,0
Pct 7054,Election Day,7054,1,1068,318,29.78,175,118,25,0
Pct 7054,VBM,7054,1,1068,365,34.18,149,176,38,2
Pct 7101 MB,Election Day,7101,1,150,3,2.00,1,1,1,0
Pct 7101 MB,VBM,7101,1,150,123,82.00,53,60,10,0
Pct 7201,Election Day,7201,1,983,268,27.26,95,148,24,1
Pct 7201,VBM,7201,1,983,600,61.04,205,298,97,0
Pct 7202,Election Day,7202,1,885,278,31.41,96,148,33,1
Pct 7202,VBM,7202,1,885,474,53.56,144,268,61,1
Pct 7203,Election Day,7203,1,950,341,35.89,131,161,49,0
Pct 7203,VBM,7203,1,950,499,52.53,169,264,65,1
Pct 7204,Election Day,7204,1,933,276,29.58,99,138,39,0
Pct 7204,VBM,7204,1,933,557,59.70,186,318,53,0
Pct 7205,Election Day,7205,1,903,292,32.34,104,152,36,0
Pct 7205,VBM,7205,1,903,523,57.92,163,298,62,0
Pct 7206,Election Day,7206,1,390,137,35.13,61,67,9,0
Pct 7206,VBM,7206,1,390,203,52.05,66,113,24,0
Pct 7207,Election Day,7207,1,712,184,25.84,77,84,23,0
Pct 7207,VBM,7207,1,712,411,57.72,177,180,53,1
Pct 7208,Election Day,7208,1,635,155,24.41,66,74,13,2
Pct 7208,VBM,7208,1,635,384,60.47,135,198,51,0
Pct 7209,Election Day,7209,1,563,84,14.92,26,51,7,0
Pct 7209,VBM,7209,1,563,407,72.29,109,250,48,0
Pct 7301,Election Day,7301,1,1080,258,23.89,121,91,46,0
Pct 7301,VBM,7301,1,1080,555,51.39,221,257,77,0
Pct 7302,Election Day,7302,1,862,224,25.99,77,112,35,0
