PrecinctName,ReportingType,PrecinctID,Precincts,Registration,Ballots Cast,Turnout (%),BEVAN DUFTY,MICHAEL PETRELIS,GWYNETH BORDEN,WRITE-IN,Under Vote,Over Vote
Pct 7849,Election Day,7849,1,967,318,32.89,177,10,64,1,66,0
Pct 7849,VBM,7849,1,967,546,56.46,269,17,152,2,106,0
Pct 7851,Election Day,7851,1,528,168,31.82,76,2,42,0,48,0
Pct 7851,VBM,7851,1,528,304,57.58,168,4,58,2,72,0
Pct 7852,Election Day,7852,1,644,179,27.80,88,9,42,1,39,0
Pct 7852,VBM,7852,1,644,405,62.89,206,20,97,2,79,1
Pct 7853,Election Day,7853,1,896,252,28.12,123,15,47,0,67,0
Pct 7853,VBM,7853,1,896,518,57.81,276,15,131,0,96,0
Pct 7854,Election Day,7854,1,933,302,32.37,141,13,73,1,74,0
Pct 7854,VBM,7854,1,933,523,56.06,229,12,164,2,115,1
Pct 7855,Election Day,7855,1,968,326,33.68,173,9,63,1,80,0
Pct 7855,VBM,7855,1,968,544,56.20,279,16,129,3,117,0
Pct 7856,Election Day,7856,1,849,289,34.04,152,12,65,0,59,1
Pct 7856,VBM,7856,1,849,480,56.54,257,6,105,1,111,0
Pct 7857,Election Day,7857,1,963,323,33.54,181,7,65,1,69,0
Pct 7857,VBM,7857,1,963,531,55.14,261,9,137,0,123,1
Pct 7858,Election Day,7858,1,791,275,34.77,133,15,57,0,66,4
Pct 7858,VBM,7858,1,791,399,50.44,196,10,111,3,79,0
Pct 7859,Election Day,7859,1,915,273,29.84,132,11,60,0,70,0
Pct 7859,VBM,7859,1,915,561,61.31,287,19,142,1,112,0
Pct 7861,Election Day,7861,1,881,268,30.42,144,10,55,0,58,1
Pct 7861,VBM,7861,1,881,508,57.66,283,13,105,0,107,0
Pct 7862,Election Day,7862,1,923,318,34.45,181,6,68,1,62,0
Pct 7862,VBM,7862,1,923,497,53.85,257,9,107,0,123,1
Pct 7863,Election Day,7863,1,939,348,37.06,166,20,93,3,66,0
Pct 7863,VBM,7863,1,939,471,50.16,236,11,115,0,109,0
Pct 7864,Election Day,7864,1,815,276,33.87,149,13,55,0,58,1
Pct 7864,VBM,7864,1,815,427,52.39,212,9,114,0,92,0
Pct 7865,Election Day,7865,1,853,274,32.12,128,11,72,2,61,0
Pct 7865,VBM,7865,1,853,480,56.27,263,7,109,2,99,0
Pct 7866,Election Day,7866,1,831,239,28.76,120,6,53,3,57,0
Pct 7866,VBM,7866,1,831,507,61.01,249,9,130,2,117,0
Pct 7867,Election Day,7867,1,946,308,32.56,173,12,59,0,64,0
Pct 7867,VBM,7867,1,946,514,54.33,265,16,139,2,90,2
Pct 7868,Election Day,7868,1,901,292,32.41,152,12,74,1,53,0
Pct 7868,VBM,7868,1,901,472,52.39,264,16,115,0,77,0
Pct 7869,Election Day,7869,1,874,304,34.78,164,13,61,1,64,1
Pct 7869,VBM,7869,1,874,485,55.49,273,7,124,1,79,1
Pct 7871,Election Day,7871,1,909,274,30.14,151,8,58,0,55,2
Pct 7871,VBM,7871,1,909,530,58.31,279,10,143,1,96,1
Pct 7872,Election Day,7872,1,902,313,34.70,189,9,67,0,48,0
Pct 7872,VBM,7872,1,902,506,56.10,284,11,135,1,75,0
Pct 7873,Election Day,7873,1,874,278,31.81,163,6,65,0,44,0
Pct 7873,VBM,7873,1,874,510,58.35,292,11,97,1,107,2
Pct 7874,Election Day,7874,1,482,167,34.65,78,14,43,0,32,0
Pct 7874,VBM,7874,1,482,241,50.00,118,14,62,2,45,0
Pct 7875,Election Day,7875,1,628,198,31.53,94,22,41,0,40,1
Pct 7875,VBM,7875,1,628,327,52.07,144,18,90,0,73,2
Pct 7901,Election Day,7901,1,1286,375,29.16,147,31,80,3,114,0
Pct 7901,VBM,7901,1,1286,577,44.87,242,46,149,0,136,4
Pct 7902,Election Day,7902,1,1064,327,30.73,163,28,66,2,68,0
Pct 7902,VBM,7902,1,1064,515,48.40,240,38,128,1,105,3
Pct 7903,Election Day,7903,1,929,242,26.05,99,32,52,0,59,0
Pct 7903,VBM,7903,1,929,410,44.13,193,24,111,4,75,3
Pct 7904,Election Day,7904,1,926,231,24.95,118,22,41,2,48,0
Pct 7904,VBM,7904,1,926,463,50.00,212,38,123,0,90,0
Pct 7905,Election Day,7905,1,851,299,35.14,142,18,71,1,65,2
Pct 7905,VBM,7905,1,851,419,49.24,198,17,129,0,75,0
Pct 7906,Election Day,7906,1,854,275,32.20,134,25,49,0,67,0
Pct 7906,VBM,7906,1,854,378,44.26,157,24,108,1,88,0
Pct 7907,Election Day,7907,1,991,346,34.91,160,27,75,0,84,0
Pct 7907,VBM,7907,1,991,488,49.24,218,18,130,1,121,0
Pct 7908,Election Day,7908,1,1008,310,30.75,150,33,51,4,71,1
Pct 7908,VBM,7908,1,1008,562,55.75,246,44,128,4,139,1
Pct 7909,Election Day,7909,1,787,280,35.58,153,16,55,1,54,1
Pct 7909,VBM,7909,1,787,364,46.25,175,11,89,0,87,2
Pct 7911,Election Day,7911,1,907,304,33.52,137,23,74,1,69,0
Pct 7911,VBM,7911,1,907,430,47.41,205,24,122,3,75,1
Pct 7912,Election Day,7912,1,1090,348,31.93,157,40,63,0,87,1
Pct 7912,VBM,7912,1,1090,526,48.26,240,32,132,0,122,0
Pct 7913,Election Day,7913,1,964,376,39.00,180,26,81,4,85,0
Pct 7913,VBM,7913,1,964,424,43.98,202,24,112,1,83,2
Pct 7914,Election Day,7914,1,895,315,35.20,153,27,66,2,66,1
Pct 7914,VBM,7914,1,895,437,48.83,209,16,117,1,93,1
Pct 7915,Election Day,7915,1,892,329,36.88,172,20,77,0,59,1
Pct 7915,VBM,7915,1,892,387,43.39,179,23,97,1,84,3
Pct 7916,Election Day,7916,1,953,307,32.21,164,17,68,3,55,0
Pct 7916,VBM,7916,1,953,461,48.37,245,19,101,0,95,1
Pct 7917,Election Day,7917,1,1073,389,36.25,184,44,76,3,79,3
Pct 7917,VBM,7917,1,1073,479,44.64,251,37,107,2,80,2
Pct 7918,Election Day,7918,1,860,304,35.35,143,26,59,2,73,1
Pct 7918,VBM,7918,1,860,393,45.70,193,30,90,3,77,0
Pct 7919,Election Day,7919,1,928,361,38.90,183,36,63,1,75,3
Pct 7919,VBM,7919,1,928,406,43.75,206,21,102,4,73,0
Pct 7921,Election Day,7921,1,970,293,30.21,114,47,75,3,52,2
Pct 7921,VBM,7921,1,970,401,41.34,177,41,110,0,68,5
Pct 7922,Election Day,7922,1,884,306,34.62,145,28,72,1,60,0
Pct 7922,VBM,7922,1,884,399,45.14,217,20,86,2,73,1
Pct 7923,Election Day,7923,1,930,335,36.02,163,33,68,1,69,1
Pct 7923,VBM,7923,1,930,354,38.06,172,29,95,0,56,2
Pct 7924,Election Day,7924,1,883,280,31.71,144,27,44,3,62,0
Pct 7924,VBM,7924,1,883,416,47.11,206,44,89,2,75,0
Pct 7925,Election Day,7925,1,591,196,33.16,106,11,44,3,32,0
Pct 7925,VBM,7925,1,591,287,48.56,129,14,77,2,65,0
Pct 7926,Election Day,7926,1,820,259,31.59,145,11,51,1,50,1
Pct 7926,VBM,7926,1,820,436,53.17,194,27,126,2,87,0
Pct 7927,Election Day,7927,1,782,283,36.19,161,13,54,0,55,0
Pct 7927,VBM,7927,1,782,405,51.79,230,6,88,1,80,0
Pct 7928,Election Day,7928,1,976,323,33.09,178,11,76,1,57,0
Pct 7928,VBM,7928,1,976,526,53.89,291,18,128,1,88,0
Pct 7929,Election Day,7929,1,871,290,33.30,167,9,52,0,61,1
Pct 7929,VBM,7929,1,871,490,56.26,269,25,119,0,77,0
Pct 7931,Election Day,7931,1,765,252,32.94,134,9,57,0,52,0
Pct 7931,VBM,7931,1,765,435,56.86,236,18,96,2,81,2
Pct 7932,Election Day,7932,1,557,173,31.06,87,11,35,0,38,2
Pct 7932,VBM,7932,1,557,309,55.48,157,10,78,1,61,2
Pct 7933 MB,Election Day,7933,1,8,0,0.00,0,0,0,0,0,0
Pct 7933 MB,VBM,7933,1,8,7,87.50,1,2,2,0,2,0
Pct 7934,Election Day,7934,1,888,289,32.55,163,17,56,3,49,1
Pct 7934,VBM,7934,1,888,483,54.39,270,24,108,3,77,1
Pct 7935,Election Day,7935,1,949,341,35.93,199,10,68,2,62,0
Pct 7935,VBM,7935,1,949,510,53.74,269,9,131,1,97,3
Pct 7936,Election Day,7936,1,876,325,37.10,199,14,60,1,51,0
Pct 7936,VBM,7936,1,876,439,50.11,248,11,100,0,79,1
Pct 7937,Election Day,7937,1,909,325,35.75,189,11,57,3,63,2
Pct 7937,VBM,7937,1,909,455,50.06,253,9,112,0,79,2
Pct 7938,Election Day,7938,1,808,295,36.51,133,31,74,1,54,2
Pct 7938,VBM,7938,1,808,341,42.20,186,14,78,2,61,0
Pct 7939,Election Day,7939,1,674,262,38.87,139,10,55,0,57,1
Pct 7939,VBM,7939,1,674,331,49.11,181,8,75,1,65,1
Pct 7941,Election Day,7941,1,790,261,33.04,124,14,60,1,61,1
Pct 7941,VBM,7941,1,790,394,49.87,191,17,110,1,75,0
Pct 7942,Election Day,7942,1,950,299,31.47,148,25,65,3,58,0
Pct 7942,VBM,7942,1,950,470,49.47,202,34,125,1,107,1
Pct 7943,Election Day,7943,1,938,310,33.05,153,29,55,1,72,0
Pct 7943,VBM,7943,1,938,470,50.11,236,18,118,0,96,2
Pct 7944,Election Day,7944,1,830,305,36.75,173,17,56,1,57,1
Pct 7944,VBM,7944,1,830,387,46.63,208,18,97,1,61,2
Pct 7945,Election Day,7945,1,926,208,22.46,69,28,65,1,45,0
Pct 7945,VBM,7945,1,926,455,49.14,217,24,133,1,78,2
Pct 7946,Election Day,7946,1,976,225,23.05,96,18,67,1,43,0
Pct 7946,VBM,7946,1,976,491,50.31,171,34,156,2,128,0
Pct 7947,Election Day,7947,1,964,257,26.66,90,28,69,2,66,2
Pct 7947,VBM,7947,1,964,460,47.72,171,44,133,2,109,1
Pct 7948,Election Day,7948,1,933,270,28.94,122,20,53,1,74,0
Pct 7948,VBM,7948,1,933,451,48.34,194,16,130,3,104,4
Pct 7949,Election Day,7949,1,594,142,23.91,55,10,36,0,41,0
Pct 7949,VBM,7949,1,594,291,48.99,113,20,93,0,64,1
Pct 7951,Election Day,7951,1,841,189,22.47,75,16,46,1,50,1
Pct 7951,VBM,7951,1,841,456,54.22,160,35,128,2,131,0
Pct 7952,Election Day,7952,1,865,221,25.55,85,28,59,2,46,1
Pct 7952,VBM,7952,1,865,430,49.71,169,39,120,5,97,0
Pct 7953,Election Day,7953,1,853,216,25.32,98,13,60,0,45,0
Pct 7953,VBM,7953,1,853,461,54.04,182,24,142,3,110,0
Pct 7955,Election Day,7955,1,899,218,24.25,84,17,60,2,55,0
Pct 7955,VBM,7955,1,899,466,51.84,178,46,127,6,109,0
Pct 7956,Election Day,7956,1,779,199,25.55,63,33,42,0,60,1
Pct 7956,VBM,7956,1,779,380,48.78,140,36,117,1,86,0
Pct 7957,Election Day,7957,1,664,188,28.31,84,11,54,1,38,0
Pct 7957,VBM,7957,1,664,336,50.60,151,13,90,0,80,2
Pct 9254,Election Day,9254,1,951,300,31.55,103,14,73,2,108,0
Pct 9254,VBM,9254,1,951,571,60.04,196,10,172,1,187,5
Pct 9256,Election Day,9256,1,403,133,33.00,50,7,30,0,46,0
Pct 9256,VBM,9256,1,403,209,51.86,77,6,59,0,66,1
Pct 9257 MB,Election Day,9257,1,339,9,2.65,1,0,0,0,8,0
Pct 9257 MB,VBM,9257,1,339,278,82.01,119,4,74,0,79,2
Pct 9409,Election Day,9409,1,626,236,37.70,100,15,49,0,72,0
Pct 9409,VBM,9409,1,626,288,46.01,129,7,70,2,80,0
Pct 9501 MB,Election Day,9501,1,153,6,3.92,1,0,1,0,4,0
Pct 9501 MB,VBM,9501,1,153,125,81.70,49,4,34,0,38,0
Pct 9503/9504,Election Day,9503,1,822,277,33.70,92,19,74,0,90,2
Pct 9503/9504,VBM,9503,1,822,397,48.30,156,17,93,0,131,0
Pct 9505,Election Day,9505,1,804,226,28.11,90,17,46,0,72,1
Pct 9505,VBM,9505,1,804,391,48.63,160,28,110,2,87,4
Pct 9506,Election Day,9506,1,810,266,32.84,109,30,67,1,58,1
Pct 9506,VBM,9506,1,810,336,41.48,148,21,94,1,71,1
Pct 9507,Election Day,9507,1,783,248,31.67,114,11,56,1,65,1
Pct 9507,VBM,9507,1,783,390,49.81,181,15,105,1,88,0
Pct 9508,Election Day,9508,1,862,304,35.27,132,24,64,0,83,1
Pct 9508,VBM,9508,1,862,416,48.26,183,13,108,1,111,0
Pct 9509,Election Day,9509,1,758,237,31.27,100,8,62,1,65,1
Pct 9509,VBM,9509,1,758,424,55.94,165,9,127,1,121,1
Pct 9511,Election Day,9511,1,630,236,37.46,121,14,54,0,46,1
Pct 9511,VBM,9511,1,630,293,46.51,132,11,61,4,85,0
Pct 9512,Election Day,9512,1,848,279,32.90,130,20,54,2,72,1
Pct 9512,VBM,9512,1,848,430,50.71,206,16,108,3,97,0
Pct 9513,Election Day,9513,1,952,319,33.51,145,28,67,3,75,1
Pct 9513,VBM,9513,1,952,447,46.95,195,17,116,4,112,3
Pct 9514/9522,Election Day,9514,1,959,342,35.66,154,16,66,1,104,1
Pct 9514/9522,VBM,9514,1,959,490,51.09,185,13,151,1,140,0
Pct 9515,Election Day,9515,1,748,278,37.17,109,24,62,1,82,0
Pct 9515,VBM,9515,1,748,368,49.20,166,9,99,0,94,0
Pct 9516,Election Day,9516,1,922,311,33.73,127,17,68,0,99,0
Pct 9516,VBM,9516,1,922,452,49.02,186,15,125,1,125,0
Pct 9517,Election Day,9517,1,854,279,32.67,121,16,54,3,85,0
Pct 9517,VBM,9517,1,854,434,50.82,191,17,96,0,129,1
Pct 9518,Election Day,9518,1,826,275,33.29,140,6,64,0,65,0
Pct 9518,VBM,9518,1,826,432,52.30,182,13,122,0,114,1
Pct 9519,Election Day,9519,1,922,307,33.30,119,12,76,0,100,0
Pct 9519,VBM,9519,1,922,483,52.39,203,9,128,1,142,0
Pct 9521,Election Day,9521,1,947,354,37.38,161,14,80,0,99,0
Pct 9521,VBM,9521,1,947,473,49.95,207,11,123,3,128,1
Pct 9701,Election Day,9701,1,664,212,31.93,94,5,38,2,73,0
Pct 9701,VBM,9701,1,664,359,54.07,153,11,84,1,110,0
Pct 9702,Election Day,9702,1,760,257,33.82,118,7,52,2,78,0
Pct 9702,VBM,9702,1,760,383,50.39,159,13,98,1,112,0
Pct 9706 MB,Election Day,9706,1,54,3,5.56,0,0,0,0,3,0
Pct 9706 MB,VBM,9706,1,54,51,94.44,26,0,11,0,14,0
Pct 9754,Election Day,9754,1,744,259,34.81,119,20,67,1,52,0
Pct 9754,VBM,9754,1,744,389,52.28,192,14,99,2,81,1
Pct 9755,Election Day,9755,1,605,185,30.58,95,12,31,0,47,0
Pct 9755,VBM,9755,1,605,307,50.74,145,21,76,0,65,0
Pct 9801,Election Day,9801,1,434,131,30.18,55,8,34,2,32,0
Pct 9801,VBM,9801,1,434,208,47.93,96,6,67,0,39,0
Pct 9901 MB,Election Day,9901,1,0,0,0.00,0,0,0,0,0,0
Pct 9901 MB,VBM,9901,1,0,0,0.00,0,0,0,0,0,0
Pct 9902 MB,Election Day,9902,1,0,0,0.00,0,0,0,0,0,0
Pct 9902 MB,VBM,9902,1,0,0,0.00,0,0,0,0,0,0
