PrecinctName,ReportingType,PrecinctID,Precincts,Registration,Ballots Cast,Turnout (%),Yes,No,Under Vote,Over Vote
Pct 1101,Election Day,1101,1,586,159,27.13,107,46,6,0
Pct 1101,VBM,1101,1,586,287,48.98,163,112,8,0
Pct 1102,Election Day,1102,1,996,291,29.22,192,90,8,0
Pct 1102,VBM,1102,1,996,519,52.11,313,186,18,0
Pct 1103,Election Day,1103,1,971,263,27.09,176,80,7,0
Pct 1103,VBM,1103,1,971,518,53.35,322,183,10,0
Pct 1104/1105,Election Day,1104,1,991,329,33.20,200,116,13,0
Pct 1104/1105,VBM,1104,1,991,434,43.79,241,181,15,0
Pct 1106,Election Day,1106,1,808,217,26.86,145,63,9,0
Pct 1106,VBM,1106,1,808,383,47.40,233,134,9,0
Pct 1107,Election Day,1107,1,781,222,28.43,158,58,6,0
Pct 1107,VBM,1107,1,781,284,36.36,177,92,8,0
Pct 1108,Election Day,1108,1,951,250,26.29,165,77,8,0
Pct 1108,VBM,1108,1,951,494,51.95,314,161,15,1
Pct 1109,Election Day,1109,1,809,215,26.58,133,71,12,0
Pct 1109,VBM,1109,1,809,402,49.69,223,160,14,0
Pct 1111,Election Day,1111,1,1031,246,23.86,150,84,14,0
Pct 1111,VBM,1111,1,1031,471,45.68,244,201,16,0
Pct 1112,Election Day,1112,1,765,173,22.61,90,74,6,0
Pct 1112,VBM,1112,1,765,384,50.20,219,146,15,0
Pct 1113,Election Day,1113,1,713,145,20.34,95,45,5,0
Pct 1113,VBM,1113,1,713,402,56.38,182,202,9,0
Pct 1114,Election Day,1114,1,971,297,30.59,154,126,17,0
Pct 1114,VBM,1114,1,971,444,45.73,215,209,20,0
Pct 1115,Election Day,1115,1,910,233,25.60,141,78,13,0
Pct 1115,VBM,1115,1,910,513,56.37,302,201,9,0
Pct 1116,Election Day,1116,1,913,245,26.83,164,73,8,0
Pct 1116,VBM,1116,1,913,391,42.83,218,146,20,2
Pct 1117,Election Day,1117,1,886,273,30.81,187,73,10,0
Pct 1117,VBM,1117,1,886,371,41.87,219,139,8,0
Pct 1118,Election Day,1118,1,1031,261,25.32,167,84,10,0
Pct 1118,VBM,1118,1,1031,515,49.95,304,192,13,0
Pct 1119,Election Day,1119,1,783,176,22.48,126,41,9,0
Pct 1119,VBM,1119,1,783,411,52.49,238,154,13,1
Pct 1121,Election Day,1121,1,691,192,27.79,95,90,8,0
Pct 1121,VBM,1121,1,691,333,48.19,168,154,11,0
Pct 1122,Election Day,1122,1,658,166,25.23,95,66,5,0
Pct 1122,VBM,1122,1,658,316,48.02,153,152,7,0
Pct 1123,Election Day,1123,1,954,259,27.15,159,87,14,0
Pct 1123,VBM,1123,1,954,387,40.57,215,161,8,0
Pct 1124,Election Day,1124,1,831,210,25.27,134,65,10,0
Pct 1124,VBM,1124,1,831,346,41.64,177,153,11,0
Pct 1125,Election Day,1125,1,1029,234,22.74,149,74,12,0
Pct 1125,VBM,1125,1,1029,511,49.66,244,242,19,0
Pct 1126,Election Day,1126,1,954,254,26.62,138,103,11,0
Pct 1126,VBM,1126,1,954,447,46.86,207,219,13,0
Pct 1127,Election Day,1127,1,911,273,29.97,150,117,7,0
Pct 1127,VBM,1127,1,911,412,45.23,186,219,9,0
Pct 1128,Election Day,1128,1,907,237,26.13,146,81,10,0
Pct 1128,VBM,1128,1,907,449,49.50,178,245,18,0
Pct 1129,Election Day,1129,1,951,280,29.44,144,118,21,0
Pct 1129,VBM,1129,1,951,423,44.48,191,216,13,0
Pct 1131,Election Day,1131,1,853,192,22.51,104,75,13,0
Pct 1131,VBM,1131,1,853,382,44.78,166,196,17,0
Pct 1132,Election Day,1132,1,982,226,23.01,127,84,14,0
Pct 1132,VBM,1132,1,982,495,50.41,229,235,23,0
Pct 1133,Election Day,1133,1,870,223,25.63,135,78,7,0
Pct 1133,VBM,1133,1,870,438,50.34,223,193,16,1
Pct 1134,Election Day,1134,1,793,216,27.24,128,78,9,0
Pct 1134,VBM,1134,1,793,377,47.54,184,182,9,0
Pct 1135,Election Day,1135,1,521,122,23.42,71,49,3,0
Pct 1135,VBM,1135,1,521,299,57.39,152,136,9,0
Pct 1136,Election Day,1136,1,857,206,24.04,126,73,7,0
Pct 1136,VBM,1136,1,857,463,54.03,252,192,15,0
Pct 1141,Election Day,1141,1,1047,259,24.74,175,81,8,0
Pct 1141,VBM,1141,1,1047,553,52.82,320,210,14,1
Pct 1142,Election Day,1142,1,858,232,27.04,140,81,14,0
Pct 1142,VBM,1142,1,858,435,50.70,246,156,18,0
Pct 1143,Election Day,1143,1,1056,302,28.60,190,97,19,0
Pct 1143,VBM,1143,1,1056,499,47.25,265,210,14,0
Pct 1144,Election Day,1144,1,928,266,28.66,169,88,12,0
Pct 1144,VBM,1144,1,928,447,48.17,256,172,15,1
Pct 1145,Election Day,1145,1,931,237,25.46,147,78,11,0
Pct 1145,VBM,1145,1,931,516,55.42,330,169,9,0
Pct 1146,Election Day,1146,1,1036,241,23.26,157,84,5,0
Pct 1146,VBM,1146,1,1036,550,53.09,301,224,19,0
Pct 1147,Election Day,1147,1,927,270,29.13,191,73,8,0
Pct 1147,VBM,1147,1,927,464,50.05,273,177,8,0
Pct 1148,Election Day,1148,1,992,264,26.61,170,84,10,0
Pct 1148,VBM,1148,1,992,463,46.67,241,204,15,0
Pct 1149,Election Day,1149,1,950,291,30.63,193,88,13,1
Pct 1149,VBM,1149,1,950,456,48.00,260,176,13,0
Pct 1151 MB,Election Day,1151,1,0,0,0.00,0,0,0,0
Pct 1151 MB,VBM,1151,1,0,0,0.00,0,0,0,0
Pct 1152,Election Day,1152,1,898,236,26.28,117,114,7,0
Pct 1152,VBM,1152,1,898,435,48.44,213,208,12,1
Pct 1153,Election Day,1153,1,961,281,29.24,145,126,13,0
Pct 1153,VBM,1153,1,961,468,48.70,253,188,14,0
Pct 1154 MB,Election Day,1154,1,0,0,0.00,0,0,0,0
Pct 1154 MB,VBM,1154,1,0,0,0.00,0,0,0,0
Pct 7001,Election Day,7001,1,742,204,27.49,163,33,8,0
Pct 7001,VBM,7001,1,742,355,47.84,262,83,8,0
Pct 7002,Election Day,7002,1,1225,322,26.29,261,50,10,0
Pct 7002,VBM,7002,1,1225,675,55.10,509,147,18,1
Pct 7003,Election Day,7003,1,927,280,30.20,231,42,7,0
Pct 7003,VBM,7003,1,927,554,59.76,447,88,16,0
Pct 7004,Election Day,7004,1,896,253,28.24,213,32,7,0
Pct 7004,VBM,7004,1,896,555,61.94,452,79,14,1
Pct 7005,Election Day,7005,1,853,302,35.40,244,45,13,0
Pct 7005,VBM,7005,1,853,453,53.11,382,56,8,0
Pct 7006,Election Day,7006,1,966,290,30.02,232,50,8,0
Pct 7006,VBM,7006,1,966,509,52.69,437,55,14,0
Pct 7007,Election Day,7007,1,987,302,30.60,257,43,2,0
Pct 7007,VBM,7007,1,987,568,57.55,455,81,21,1
Pct 7008,Election Day,7008,1,882,293,33.22,228,54,10,1
Pct 7008,VBM,7008,1,882,527,59.75,424,81,14,0
Pct 7009,Election Day,7009,1,931,249,26.75,201,39,10,0
Pct 7009,VBM,7009,1,931,501,53.81,404,76,15,0
Pct 7011,Election Day,7011,1,1063,255,23.99,200,42,13,0
Pct 7011,VBM,7011,1,1063,366,34.43,288,68,6,0
Pct 7012,Election Day,7012,1,1034,361,34.91,308,43,8,1
Pct 7012,VBM,7012,1,1034,564,54.55,454,94,11,0
Pct 7013,Election Day,7013,1,733,209,28.51,178,26,5,0
Pct 7013,VBM,7013,1,733,431,58.80,375,44,8,0
Pct 7014,Election Day,7014,1,1073,311,28.98,262,42,7,0
Pct 7014,VBM,7014,1,1073,617,57.50,520,75,17,0
Pct 7015 MB,Election Day,7015,1,113,3,2.65,1,2,0,0
Pct 7015 MB,VBM,7015,1,113,78,69.03,64,12,1,0
Pct 7016,Election Day,7016,1,977,239,24.46,162,67,8,0
Pct 7016,VBM,7016,1,977,354,36.23,206,130,19,0
Pct 7017,Election Day,7017,1,786,200,25.45,169,25,8,0
Pct 7017,VBM,7017,1,786,269,34.22,194,64,10,0
Pct 7018,Election Day,7018,1,992,195,19.66,116,63,17,0
Pct 7018,VBM,7018,1,992,477,48.08,232,214,27,0
Pct 7019,Election Day,7019,1,945,228,24.13,164,51,12,1
Pct 7019,VBM,7019,1,945,468,49.52,282,169,15,0
Pct 7021,Election Day,7021,1,993,266,26.79,200,54,13,0
Pct 7021,VBM,7021,1,993,365,36.76,233,115,11,0
Pct 7022,Election Day,7022,1,1032,271,26.26,197,52,13,0
Pct 7022,VBM,7022,1,1032,396,38.37,241,140,14,0
Pct 7023,Election Day,7023,1,938,255,27.19,176,61,13,0
Pct 7023,VBM,7023,1,938,416,44.35,276,121,14,0
Pct 7024,Election Day,7024,1,309,75,24.27,57,13,4,0
Pct 7024,VBM,7024,1,309,44,14.24,28,16,0,0
Pct 7025,Election Day,7025,1,505,129,25.54,101,21,7,0
Pct 7025,VBM,7025,1,505,137,27.13,108,24,4,0
Pct 7026,Election Day,7026,1,1022,202,19.77,101,92,9,0
Pct 7026,VBM,7026,1,1022,498,48.73,209,257,21,0
Pct 7027,Election Day,7027,1,879,244,27.76,148,80,12,1
Pct 7027,VBM,7027,1,879,333,37.88,163,157,12,0
Pct 7028,Election Day,7028,1,900,267,29.67,193,62,12,0
Pct 7028,VBM,7028,1,900,277,30.78,190,76,11,0
Pct 7029,Election Day,7029,1,924,252,27.27,182,50,19,0
Pct 7029,VBM,7029,1,924,273,29.55,199,64,8,0
Pct 7030,Election Day,7030,1,787,162,20.58,72,82,8,0
Pct 7030,VBM,7030,1,787,396,50.32,148,227,19,0
