PrecinctName,ReportingType,PrecinctID,Precincts,Registration,Ballots Cast,Turnout (%),JOEL ENGARDIO,JOHN FARRELL,MIKE YOUNG,NORMAN YEE,BEN MATRANGA,WRITE-IN,Under Vote,Over Vote
Pct 9729,VBM,9729,1,802,490,61.10,101,75,13,137,121,1,28,0
Pct 9731,Election Day,9731,1,548,198,36.13,44,26,9,35,63,0,17,1
Pct 9731,VBM,9731,1,548,287,52.37,53,35,27,63,82,1,18,2
Pct 9732 MB,Election Day,9732,1,76,1,1.32,0,0,0,0,0,0,1,0
Pct 9732 MB,VBM,9732,1,76,70,92.11,23,10,7,10,11,0,9,0
Pct 9733 MB,Election Day,9733,1,221,4,1.81,2,0,0,0,0,0,1,0
Pct 9733 MB,VBM,9733,1,221,200,90.50,49,19,8,73,29,0,18,0
Pct 9734,Election Day,9734,1,603,185,30.68,46,22,9,41,39,0,5,1
Pct 9734,VBM,9734,1,603,350,58.04,72,47,24,104,68,0,27,3
Pct 9735,Election Day,9735,1,807,227,28.13,53,25,8,56,53,0,28,2
Pct 9735,VBM,9735,1,807,472,58.49,127,62,20,155,73,2,25,2
Pct 9736,Election Day,9736,1,729,209,28.67,46,23,4,63,51,0,20,1
Pct 9736,VBM,9736,1,729,442,60.63,125,48,10,126,88,1,31,0
Pct 9737,Election Day,9737,1,782,233,29.80,49,24,3,73,48,1,31,0
Pct 9737,VBM,9737,1,782,482,61.64,101,37,28,216,51,0,36,2
Pct 9738,Election Day,9738,1,850,275,32.35,50,49,14,85,28,0,43,1
Pct 9738,VBM,9738,1,850,405,47.65,65,61,16,127,68,1,44,0
Pct 9739,Election Day,9739,1,912,302,33.11,50,23,23,117,33,1,48,2
Pct 9739,VBM,9739,1,912,379,41.56,56,40,28,162,45,0,32,5
Pct 9741,Election Day,9741,1,1064,433,40.70,98,51,31,96,23,0,129,1
Pct 9741,VBM,9741,1,1064,246,23.12,50,39,20,50,16,0,64,2
Pct 9742,Election Day,9742,1,669,217,32.44,24,37,14,60,50,0,31,0
Pct 9742,VBM,9742,1,669,313,46.79,38,43,29,123,53,1,22,2
