PrecinctName,ReportingType,PrecinctID,Precincts,Registration,Ballots Cast,Turnout (%),Yes,No,Under Vote,Over Vote
Pct 7003,VBM,7003,1,927,554,59.76,198,282,70,0
Pct 7004,Election Day,7004,1,896,253,28.24,98,114,41,0
Pct 7004,VBM,7004,1,896,555,61.94,202,277,67,0
Pct 7005,Election Day,7005,1,853,302,35.40,134,110,58,0
Pct 7005,VBM,7005,1,853,453,53.11,204,193,49,0
Pct 7006,Election Day,7006,1,966,290,30.02,157,85,47,0
Pct 7006,VBM,7006,1,966,509,52.69,227,228,47,0
Pct 7007,Election Day,7007,1,987,302,30.60,127,130,44,0
Pct 7007,VBM,7007,1,987,568,57.55,206,279,73,0
Pct 7008,Election Day,7008,1,882,293,33.22,114,139,40,0
Pct 7008,VBM,7008,1,882,527,59.75,192,256,69,0
Pct 7009,Election Day,7009,1,931,249,26.75,94,119,36,0
Pct 7009,VBM,7009,1,931,501,53.81,207,226,63,0
Pct 7011,Election Day,7011,1,1063,255,23.99,115,101,40,0
Pct 7011,VBM,7011,1,1063,366,34.43,152,166,43,0
Pct 7012,Election Day,7012,1,1034,361,34.91,146,154,56,0
Pct 7012,VBM,7012,1,1034,564,54.55,223,262,72,0
Pct 7013,Election Day,7013,1,733,209,28.51,85,79,45,0
Pct 7013,VBM,7013,1,733,431,58.80,182,193,51,0
Pct 7014,Election Day,7014,1,1073,311,28.98,114,154,40,1
Pct 7014,VBM,7014,1,1073,617,57.50,219,304,84,1
Pct 7015 MB,Election Day,7015,1,113,3,2.65,0,2,1,0
Pct 7015 MB,VBM,7015,1,113,78,69.03,46,24,6,0
Pct 7016,Election Day,7016,1,977,239,24.46,116,89,33,0
Pct 7016,VBM,7016,1,977,354,36.23,152,165,38,1
Pct 7017,Election Day,7017,1,786,200,25.45,90,83,31,0
Pct 7017,VBM,7017,1,786,269,34.22,110,129,28,0
Pct 7018,Election Day,7018,1,992,195,19.66,90,83,23,0
Pct 7018,VBM,7018,1,992,477,48.08,195,235,40,0
Pct 7019,Election Day,7019,1,945,228,24.13,102,92,35,0
Pct 7019,VBM,7019,1,945,468,49.52,173,251,39,1
Pct 7021,Election Day,7021,1,993,266,26.79,133,104,28,0
Pct 7021,VBM,7021,1,993,365,36.76,154,171,34,0
Pct 7022,Election Day,7022,1,1032,271,26.26,124,111,27,0
Pct 7022,VBM,7022,1,1032,396,38.37,180,171,42,0
Pct 7023,Election Day,7023,1,938,255,27.19,110,101,38,0
Pct 7023,VBM,7023,1,938,416,44.35,173,200,35,0
Pct 7024,Election Day,7024,1,309,75,24.27,38,28,8,0
Pct 7024,VBM,7024,1,309,44,14.24,28,12,3,0
Pct 7025,Election Day,7025,1,505,129,25.54,60,54,15,0
Pct 7025,VBM,7025,1,505,137,27.13,79,49,8,0
Pct 7026,Election Day,7026,1,1022,202,19.77,73,88,41,0
Pct 7026,VBM,7026,1,1022,498,48.73,186,245,54,0
Pct 7027,Election Day,7027,1,879,244,27.76,87,111,43,1
Pct 7027,VBM,7027,1,879,333,37.88,99,188,43,0
Pct 7028,Election Day,7028,1,900,267,29.67,118,112,39,0
Pct 7028,VBM,7028,1,900,277,30.78,130,118,29,0
Pct 7029,Election Day,7029,1,924,252,27.27,129,77,44,0
Pct 7029,VBM,7029,1,924,273,29.55,125,115,29,0
Pct 7030,Election Day,7030,1,787,162,20.58,60,80,22,0
Pct 7030,VBM,7030,1,787,396,50.32,137,212,44,0
Pct 7031,Election Day,7031,1,511,97,18.98,40,32,25,0
Pct 7031,VBM,7031,1,511,295,57.73,127,132,29,0
Pct 7032,Election Day,7032,1,938,227,24.20,96,104,24,0
Pct 7032,VBM,7032,1,938,362,38.59,143,176,33,3
Pct 7033,Election Day,7033,1,814,247,30.34,104,103,41,0
Pct 7033,VBM,7033,1,814,299,36.73,124,149,25,0
Pct 7034,Election Day,7034,1,954,264,27.67,122,105,35,0
Pct 7034,VBM,7034,1,954,251,26.31,119,100,31,0
Pct 7035,Election Day,7035,1,476,141,29.62,60,58,22,0
Pct 7035,VBM,7035,1,476,200,42.02,76,99,24,1
Pct 7036,Election Day,7036,1,967,175,18.10,86,66,23,0
Pct 7036,VBM,7036,1,967,421,43.54,173,209,33,1
Pct 7037,Election Day,7037,1,840,221,26.31,104,81,37,1
Pct 7037,VBM,7037,1,840,158,18.81,69,72,12,0
Pct 7038,Election Day,7038,1,960,209,21.77,93,80,34,0
Pct 7038,VBM,7038,1,960,386,40.21,155,185,47,0
Pct 7039,Election Day,7039,1,831,246,29.60,116,99,31,0
Pct 7039,VBM,7039,1,831,379,45.61,151,192,30,0
Pct 7041 MB,Election Day,7041,1,62,6,9.68,2,2,3,0
Pct 7041 MB,VBM,7041,1,62,36,58.06,7,21,8,0
Pct 7042,Election Day,7042,1,697,145,20.80,68,54,23,0
Pct 7042,VBM,7042,1,697,369,52.94,141,174,51,0
Pct 7043,Election Day,7043,1,990,208,21.01,97,90,20,0
Pct 7043,VBM,7043,1,990,432,43.64,162,218,47,0
Pct 7044,Election Day,7044,1,867,234,26.99,117,89,27,0
Pct 7044,VBM,7044,1,867,181,20.88,68,89,27,0
Pct 7045,Election Day,7045,1,803,205,25.53,79,91,32,0
