PrecinctName,ReportingType,PrecinctID,Precincts,Registration,Ballots Cast,Turnout (%),Yes,No,Under Vote,Over Vote
Pct 7003,VBM,7003,1,927,554,59.76,444,82,25,0
Pct 7004,Election Day,7004,1,896,253,28.24,206,37,9,0
Pct 7004,VBM,7004,1,896,555,61.94,438,91,17,0
Pct 7005,Election Day,7005,1,853,302,35.40,247,36,19,0
Pct 7005,VBM,7005,1,853,453,53.11,361,72,13,0
Pct 7006,Election Day,7006,1,966,290,30.02,227,46,17,0
Pct 7006,VBM,7006,1,966,509,52.69,416,70,19,1
Pct 7007,Election Day,7007,1,987,302,30.60,255,35,12,0
Pct 7007,VBM,7007,1,987,568,57.55,446,89,21,2
Pct 7008,Election Day,7008,1,882,293,33.22,239,41,13,0
Pct 7008,VBM,7008,1,882,527,59.75,410,89,20,0
Pct 7009,Election Day,7009,1,931,249,26.75,177,56,17,0
Pct 7009,VBM,7009,1,931,501,53.81,379,94,22,0
Pct 7011,Election Day,7011,1,1063,255,23.99,166,67,22,0
Pct 7011,VBM,7011,1,1063,366,34.43,274,78,10,0
Pct 7012,Election Day,7012,1,1034,361,34.91,280,64,16,0
Pct 7012,VBM,7012,1,1034,564,54.55,432,100,27,0
Pct 7013,Election Day,7013,1,733,209,28.51,148,46,15,0
Pct 7013,VBM,7013,1,733,431,58.80,343,68,16,0
Pct 7014,Election Day,7014,1,1073,311,28.98,238,60,13,0
Pct 7014,VBM,7014,1,1073,617,57.50,505,86,21,0
Pct 7015 MB,Election Day,7015,1,113,3,2.65,2,1,0,0
Pct 7015 MB,VBM,7015,1,113,78,69.03,64,13,0,0
Pct 7016,Election Day,7016,1,977,239,24.46,145,74,18,0
Pct 7016,VBM,7016,1,977,354,36.23,239,97,19,0
Pct 7017,Election Day,7017,1,786,200,25.45,120,64,18,0
Pct 7017,VBM,7017,1,786,269,34.22,185,76,7,0
Pct 7018,Election Day,7018,1,992,195,19.66,124,56,16,0
Pct 7018,VBM,7018,1,992,477,48.08,295,146,32,0
Pct 7019,Election Day,7019,1,945,228,24.13,138,73,17,0
