PrecinctName,ReportingType,PrecinctID,Precincts,Registration,Ballots Cast,Turnout (%),SAMUEL KWONG,SHERMAN R. D'SILVA,MARJAN PHILHOUR,RICHIE GREENBERG,DAVID LEE,BRIAN J. LARKIN,JONATHAN LYENS,SANDRA LEE FEWER,ANDY THORNLEY,JASON JUNGREIS,WRITE-IN,Under Vote,Over Vote
Pct 9132,VBM,9132,1,898,404,44.99,2,5,125,8,40,8,4,152,4,10,1,24,4
Pct 9133,Election Day,9133,1,1083,299,27.61,3,4,74,10,30,1,12,125,2,1,0,29,3
Pct 9133,VBM,9133,1,1083,589,54.39,17,6,190,16,53,15,10,209,3,7,0,49,2
Pct 9134,Election Day,9134,1,937,248,26.47,5,0,47,2,18,7,6,97,4,6,0,51,3
Pct 9134,VBM,9134,1,937,519,55.39,17,11,134,8,53,9,5,177,8,15,1,52,2
Pct 9135,Election Day,9135,1,831,242,29.12,5,4,78,13,16,14,7,66,1,4,0,23,4
Pct 9135,VBM,9135,1,831,410,49.34,10,5,113,35,31,21,5,135,3,10,1,29,3
Pct 9136,Election Day,9136,1,952,313,32.88,12,0,91,7,24,8,5,124,1,5,0,28,4
Pct 9136,VBM,9136,1,952,475,49.89,11,9,126,9,43,10,6,196,4,17,2,31,1
Pct 9137,Election Day,9137,1,977,287,29.38,6,3,100,3,30,2,3,89,3,7,1,23,0
Pct 9137,VBM,9137,1,977,498,50.97,8,6,168,15,52,8,6,159,4,11,2,32,4
Pct 9138,Election Day,9138,1,930,264,28.39,5,2,89,6,18,6,4,98,1,5,0,22,1
Pct 9138,VBM,9138,1,930,507,54.52,10,5,163,11,69,6,4,180,3,3,1,38,3
Pct 9139,Election Day,9139,1,1004,298,29.68,10,6,94,13,29,6,1,83,2,7,0,35,1
Pct 9139,VBM,9139,1,1004,533,53.09,18,5,186,25,62,13,7,153,3,12,1,29,5
Pct 9141,Election Day,9141,1,963,296,30.74,5,2,94,14,30,7,4,110,1,3,1,22,2
Pct 9141,VBM,9141,1,963,498,51.71,11,7,179,11,55,11,4,158,3,3,0,37,4
Pct 9142,Election Day,9142,1,1003,327,32.60,5,4,106,13,21,7,4,116,7,5,0,31,4
Pct 9142,VBM,9142,1,1003,516,51.45,6,12,139,9,52,13,7,214,0,8,0,35,1
Pct 9143,Election Day,9143,1,921,290,31.49,3,1,76,11,15,7,7,137,7,1,0,23,0
Pct 9143,VBM,9143,1,921,457,49.62,5,7,121,17,53,10,1,173,8,13,1,26,4
Pct 9144,Election Day,9144,1,983,341,34.69,3,6,97,4,33,7,6,142,4,1,1,30,1
Pct 9144,VBM,9144,1,983,491,49.95,16,6,148,14,66,9,4,154,8,4,0,46,2
Pct 9145,Election Day,9145,1,889,297,33.41,9,2,91,9,25,6,1,121,4,2,0,23,3
Pct 9145,VBM,9145,1,889,456,51.29,7,2,147,13,34,2,10,165,2,13,0,42,6
Pct 9146,Election Day,9146,1,929,359,38.64,8,4,74,12,19,9,6,168,4,2,0,47,0
Pct 9146,VBM,9146,1,929,440,47.36,9,3,112,11,37,7,10,186,2,8,1,44,1
Pct 9147,Election Day,9147,1,983,302,30.72,6,4,76,6,44,4,2,111,9,3,0,34,0
Pct 9147,VBM,9147,1,983,516,52.49,7,7,146,8,51,7,3,191,16,12,1,48,3
Pct 9148,Election Day,9148,1,1007,340,33.76,6,4,114,9,29,1,5,132,4,2,1,27,0
Pct 9148,VBM,9148,1,1007,529,52.53,1,12,162,15,41,3,10,187,9,11,0,57,1
Pct 9149,Election Day,9149,1,976,320,32.79,5,1,74,8,25,9,8,126,6,2,2,49,1
Pct 9149,VBM,9149,1,976,522,53.48,8,7,140,9,42,9,5,210,2,15,0,57,1
Pct 9151,Election Day,9151,1,858,288,33.57,4,4,80,6,30,9,3,79,4,5,0,59,1
Pct 9151,VBM,9151,1,858,416,48.48,7,6,134,4,45,8,7,119,7,13,1,46,3
Pct 9152,Election Day,9152,1,842,291,34.56,3,5,53,3,38,5,10,91,0,1,0,73,1
Pct 9152,VBM,9152,1,842,345,40.97,7,5,91,12,21,13,4,103,7,9,1,52,1
