precinct_id	name	list_order	type_1	type_2	type_3	type_4	type_5	type_6	cmax_category_order	ed_turnout	ev_turnout	MAIL_turnout	type4_turnout	type5_turnout	type6_turnout	turnout
135	Pct 7333	135	1	2	3	4	5	6	2	193	137	0	0	0	0	330
136	Pct 7334	136	1	2	3	4	5	6	2	162	165	0	0	0	0	327
137	Pct 7335	137	1	2	3	4	5	6	2	140	232	0	0	0	0	372
138	Pct 7336	138	1	2	3	4	5	6	2	160	218	0	0	0	0	378
139	Pct 7337	139	1	2	3	4	5	6	2	128	224	0	0	0	0	352
140	Pct 7338	140	1	2	3	4	5	6	2	96	265	0	0	0	0	361
141	Pct 7339	141	1	2	3	4	5	6	2	116	125	0	0	0	0	241
142	Pct 7341	142	1	2	3	4	5	6	2	151	133	0	0	0	0	284
143	Pct 7342	143	1	2	3	4	5	6	2	250	144	0	0	0	0	394
144	Pct 7343	144	1	2	3	4	5	6	2	147	109	0	0	0	0	256
145	Pct 7344	145	1	2	3	4	5	6	2	176	213	0	0	0	0	389
146	Pct 7345	146	1	2	3	4	5	6	2	195	205	0	0	0	0	400
147	Pct 7346	147	1	2	3	4	5	6	2	180	138	0	0	0	0	318
148	Pct 7347	148	1	2	3	4	5	6	2	164	187	0	0	0	0	351
149	Pct 7348	149	1	2	3	4	5	6	2	122	153	0	0	0	0	275
150	Pct 7349	150	1	2	3	4	5	6	2	159	204	0	0	0	0	363
151	Pct 7501	151	1	2	3	4	5	6	2	121	88	0	0	0	0	209
152	Pct 7502	152	1	2	3	4	5	6	2	135	146	0	0	0	0	281
153	Pct 7503	153	1	2	3	4	5	6	2	130	130	0	0	0	0	260
154	Pct 7504	154	1	2	3	4	5	6	2	76	105	0	0	0	0	181
155	Pct 7505	155	1	2	3	4	5	6	2	127	305	0	0	0	0	432
156	Pct 7506	156	1	2	3	4	5	6	2	154	157	0	0	0	0	311
157	Pct 7507	157	1	2	3	4	5	6	2	119	150	0	0	0	0	269
158	Pct 7508	158	1	2	3	4	5	6	2	108	214	0	0	0	0	322
159	Pct 7509/7511	159	1	2	3	4	5	6	2	177	200	0	0	0	0	377
160	Pct 7512	160	1	2	3	4	5	6	2	90	155	0	0	0	0	245
161	Pct 7513	161	1	2	3	4	5	6	2	141	106	0	0	0	0	247
162	Pct 7514	162	1	2	3	4	5	6	2	70	136	0	0	0	0	206
163	Pct 7515	163	1	2	3	4	5	6	2	130	154	0	0	0	0	284
164	Pct 7516	164	1	2	3	4	5	6	2	142	239	0	0	0	0	381
165	Pct 7517	165	1	2	3	4	5	6	2	238	174	0	0	0	0	412
166	Pct 7518	166	1	2	3	4	5	6	2	251	157	0	0	0	0	408
167	Pct 7519	167	1	2	3	4	5	6	2	176	95	0	0	0	0	271
168	Pct 7521	168	1	2	3	4	5	6	2	228	119	0	0	0	0	347
169	Pct 7522	169	1	2	3	4	5	6	2	206	135	0	0	0	0	341
170	Pct 7523	170	1	2	3	4	5	6	2	244	118	0	0	0	0	362
171	Pct 7524	171	1	2	3	4	5	6	2	138	86	0	0	0	0	224
172	Pct 7525	172	1	2	3	4	5	6	2	147	113	0	0	0	0	260
173	Pct 7526	173	1	2	3	4	5	6	2	174	184	0	0	0	0	358
174	Pct 7527/7528	174	1	2	3	4	5	6	2	168	118	0	0	0	0	286
175	Pct 7529	175	1	2	3	4	5	6	2	224	155	0	0	0	0	379
176	Pct 7531	176	1	2	3	4	5	6	2	204	129	0	0	0	0	333
